Org_Name,Original_Text,Reported_Date,Cleaned_Date,URL,Name_Processing
ACTIVEOutdoors,"ACTIVEOutdoors, September 19, 2016 ","September 19, 2016 ",9/19/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/activeoutdoors-20160919.pdf,"ACTIVEOutdoors, September 19, 2016 "
Acumentrics Corporation,"Acumentrics Corporation, June 11, 2012 ","June 11, 2012 ",6/11/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/acumentrics-20120611.pdf,"Acumentrics Corporation, June 11, 2012 "
ADF InternationalInc.,"ADF International, Inc., April 12, 2017 ","April 12, 2017 ",4/12/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/adf-20170412.pdf,"ADF InternationalInc., April 12, 2017 "
Adobe Systems,"Adobe Systems, October 02, 2013 ","October 02, 2013 ",10/2/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/adobe-systems-20131002.pdf,"Adobe Systems, October 02, 2013 "
Adopt A Highway Maintenance Corporation,"Adopt A Highway Maintenance Corporation, December 03, 2018 ","December 03, 2018 ",12/3/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/adopt-a-highway-20181203.pdf,"Adopt A Highway Maintenance Corporation, December 03, 2018 "
Advance Auto Parts,"Advance Auto Parts, March 15, 2016 ","March 15, 2016 ",3/15/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/advance-auto-20150315.pdf,"Advance Auto Parts, March 15, 2016 "
Advanced Data ProcessingInc.,"Advanced Data Processing, Inc., November 28, 2012 ","November 28, 2012 ",11/28/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/advanced-data-processing-20121128.pdf,"Advanced Data ProcessingInc., November 28, 2012 "
Advanced Graphic ProductsInc.,"Advanced Graphic Products, Inc., February 01, 2018 ","February 01, 2018 ",2/1/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/advanced-graphic-20180201.pdf,"Advanced Graphic ProductsInc., February 01, 2018 "
AdvancePierre Foods,"AdvancePierre Foods, October 06, 2010 ","October 06, 2010 ",10/6/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/advancepierre-20111006.pdf,"AdvancePierre Foods, October 06, 2010 "
Advantage Capital Funding LLC,"Advantage Capital Funding, LLC, September 8, 2020 ","September 8, 2020 ",9/8/2020,https://www.doj.nh.gov/consumer/security-breaches/documents/advantage-capital-funding-20200908.pdf,"Advantage Capital Funding LLC, September 8, 2020 "
Advantage Funding Company,"Advantage Funding Company, September 26 2014 ",September 26 2014 ,9/26/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/advantage-funding-20140926.pdf,"Advantage Funding Company, September 26 2014 "
Advisory ResearchInc.,"Advisory Research, Inc., October 24, 2017 ","October 24, 2017 ",10/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/advisory-reearch-20171024.pdf,"Advisory ResearchInc., October 24, 2017 "
Advocate Medical Group,"Advocate Medical Group, August 23, 2013 ","August 23, 2013 ",8/23/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/advocate-medical-group-20130823.pdf,"Advocate Medical Group, August 23, 2013 "
Aegis Medical Group LLC,"Aegis Medical Group, LLC, November 8, 2019 ","November 8, 2019 ",11/8/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aegis-medical-group-20191108.pdf,"Aegis Medical Group LLC, November 8, 2019 "
Aegis Sciences Corporation,"Aegis Sciences Corporation, December 20, 2011 ","December 20, 2011 ",12/20/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/aegis-20111220.pdf,"Aegis Sciences Corporation, December 20, 2011 "
Aeroflow,"Aeroflow, May 20, 2019 ","May 20, 2019 ",5/20/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aeroflow-20190520.pdf,"Aeroflow, May 20, 2019 "
Aerogrow InternationalInc.,"Aerogrow International, Inc.,, April 17, 2019 ","April 17, 2019 ",4/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-20190417.pdf,"Aerogrow InternationalInc., April 17, 2019 "
AeroGrow InternationalInc.,"AeroGrow International, Inc., June 03, 2015 ","June 03, 2015 ",6/3/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-international-20150603.pdf,"AeroGrow InternationalInc., June 03, 2015 "
AeroGrow InternationalInc.,"AeroGrow International, Inc., July 09, 2015 ","July 09, 2015 ",7/9/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/aerogrow-20150709.pdf,"AeroGrow InternationalInc., July 09, 2015 "
AerServ owned by InMobi,"AerServ, owned by InMobi, December 02, 2018 ",2-Dec-18,12/2/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/aerserv-20181206.pdf,"AerServ owned by InMobi, December 02, 2018"
Aetna,"Aetna, December 29, 2016 ","December 29, 2016 ",12/29/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/aetna-20161229.pdf,"Aetna, December 29, 2016 "
Aetrex WorldwideInc.,"Aetrex Worldwide, Inc., January 22, 2019  ","January 22, 2019  ",1/22/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aetrex-20190122.pdf,"Aetrex WorldwideInc., January 22, 2019  "
Affinity Gaming,"Affinity Gaming, May 16 2014 ","May 16, 2014 ",5/16/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/affinity-gaming-20140516.pdf,"Affinity Gaming, May 16, 2014 "
Affinity Gaming,"Affinity Gaming, December 19, 2013 ","December 19, 2013 ",12/19/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/affinity-gaming-20131219.pdf,"Affinity Gaming, December 19, 2013 "
Affy Tapple LLC,"Affy Tapple, LLC, February 24, 2017 ","February 24, 2017 ",2/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/affy-tapple-20170224.pdf,"Affy Tapple LLC, February 24, 2017 "
Aflac,"Aflac, September 28, 2018 ","September 28, 2018 ",9/28/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/aflac-20180928.pdf,"Aflac, September 28, 2018 "
Aflac,"Aflac, October 03, 2016 ","October 03, 2016 ",10/3/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/aflac-20151003.pdf,"Aflac, October 03, 2016 "
AG SourceInc.,"AG Source, Inc., February 05, 2019 ","February 05, 2019 ",2/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/ag-source-20190205.pdf,"AG SourceInc., February 05, 2019 "
Agenus,"Agenus, April 19, 2016 ","April 19, 2016 ",4/19/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/agenus-20160419.pdf,"Agenus, April 19, 2016 "
Agri Beef Co.,"Agri Beef Co.May 11, 2017 ","May 11, 2017 ",5/11/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/agri-beef-20170511.pdf,"Agri Beef Co., May 11, 2017 "
Agri Supply,"Agri Supply, March 1, 2019 ","March 1, 2019 ",3/1/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/agri-supply-20190301.pdf,"Agri Supply, March 1, 2019 "
AHW LLC,"AHW LLC, November 11, 2013 ","November 11, 2013 ",11/11/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/ahw-llc-20131111.pdf,"AHW LLC, November 11, 2013 "
AHW LLC,"AHW LLC, May 22 2013 ",May 22 2013 ,5/22/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/ahw-20130522.pdf,"AHW LLC, May 22 2013 "
AirBornInc.,"AirBorn, Inc., June 13 2014 ",June 13 2014 ,6/13/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/airborn-20140613.pdf,"AirBornInc., June 13 2014 "
AIMInc.,"AIM, Inc., April 2, 2016 ","April 2, 2016 ",4/2/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/aim-20160426.pdf,"AIMInc., April 2, 2016 "
Ambridge Hospitality Holdings LLC,"Ambridge Hospitality Holdings, LLC, January 3, 2019 ","January 3, 2019 ",1/3/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aimbridge-20190103.pdf,"Ambridge Hospitality Holdings LLC, January 3, 2019 "
Aimbridge Hospitality Holdings LLC,"Aimbridge Hospitality Holdings, LLC, June 07, 2018 ","June 07, 2018 ",6/7/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/aimbridge-20180607.pdf,"Aimbridge Hospitality Holdings LLC, June 07, 2018 "
Air Canada,"Air Canada, August 31, 2018 ","August 31, 2018 ",8/31/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/air-canada-20180831.pdf,"Air Canada, August 31, 2018 "
Akin Doherty Klein & Feuge P.C,"Akin Doherty Klein & Feuge, P.C, May 17, 2019 ","May 17, 2019 ",5/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/akin-doherty-klein-feuge-20190517.pdf,"Akin Doherty Klein & Feuge P.C, May 17, 2019 "
Aires,"Aires, August 5, 2019 ","August 5, 2019 ",8/5/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aires-20190805.pdf,"Aires, August 5, 2019 "
Airway OxygenInc.,"Airway Oxygen, Inc., June 02, 2017 ","June 02, 2017 ",6/2/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/airway-oxygen-20170602.pdf,"Airway OxygenInc., June 02, 2017 "
Airway OxygenInc.,"Airway Oxygen, Inc., May 30, 2017 ","May 30, 2017 ",5/30/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/airway-oxygen-20170530.pdf,"Airway OxygenInc., May 30, 2017 "
Akira,"Akira, September 01, 2017 ","September 01, 2017 ",9/1/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/akira-20170901.pdf,"Akira, September 01, 2017 "
AkornInc.,"Akorn, Inc., June 04, 2015 ","June 04, 2015 ",6/4/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/akorn-20150604.pdf,"AkornInc., June 04, 2015 "
Akwa Vista LLC,"Akwa Vista LLC, February 06, 2019 ","February 06, 2019 ",2/6/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/akwa-vista-20190206.pdf,"Akwa Vista LLC, February 06, 2019 "
Alaska Airlines,"Alaska Airlines, May 03, 2018 ","May 03, 2018 ",5/3/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/alaska-airlines-20180503.pdf,"Alaska Airlines, May 03, 2018 "
Alaska Communications Systems HoldingsInc.,"Alaska Communications Systems Holdings, Inc., February 24, 2014 ","February 24, 2014 ",2/24/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/alaska-communications-20140224.pdf,"Alaska Communications Systems HoldingsInc., February 24, 2014 "
Alere Home MonitoringInc.,"Alere Home Monitoring, Inc., October 30, 2012 ","October 30, 2012 ",10/30/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/alere-20121030.pdf,"Alere Home MonitoringInc., October 30, 2012 "
Alexandrian Hotel,"Alexandrian Hotel, July 9, 2019 ","July 9, 2019 ",7/9/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/alexandrian-20190709.pdf,"Alexandrian Hotel, July 9, 2019 "
Alfa Specialty Insurance Corporation and Alfa Vision Insurance Corporation,"Alfa Specialty Insurance Corporation and Alfa Vision Insurance Corporation, July 10, 2015 ","July 10, 2015 ",7/10/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/alfa-insurance-20150710.pdf,"Alfa Specialty Insurance Corporation and Alfa Vision Insurance Corporation, July 10, 2015 "
Al-Farabi Kazakh National University,"Al-Farabi Kazakh National University, January 23, 2019 ","January 23, 2019 ",1/23/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/al-farabi-kazakh-20190123.pdf,"Al-Farabi Kazakh National University, January 23, 2019 "
AliMedInc.,"AliMed, Inc., September 4, 2020 ","September 4, 2020 ",9/4/2020,https://www.doj.nh.gov/consumer/security-breaches/documents/alimed-20200904.pdf,"AliMedInc., September 4, 2020 "
Alight Solutions LLC ,"Alight Solutions, LLC , August 21, 2019 ","August 21, 2019 ",8/21/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/alight-solutions-20190821.pdf,"Alight Solutions LLC , August 21, 2019 "
Alin Machining Company Inc dba Power Plant Services,"Alin Machining Company Inc dba Power Plant Services, January 12, 2015 ","January 12, 2015 ",1/12/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/alin-machining-20150112.pdf,"Alin Machining Company Inc dba Power Plant Services, January 12, 2015 "
Allen Community College,"Allen Community College, September 18, 2019 ","September 18, 2019 ",9/18/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/allen-comunity-college-20190918.pdf,"Allen Community College, September 18, 2019 "
Alliance Workplace Solutions LLC,"Alliance Workplace Solutions, LLC, October 24, 2014 ","October 24, 2014 ",10/24/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/alliance-workplace-solutions-20141024.pdf,"Alliance Workplace Solutions LLC, October 24, 2014 "
AlliedBarton Security Services LLC,"AlliedBarton Security Services LLC, July 16, 2013 ","July 16, 2013 ",7/16/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/alliedbarton-20130716.pdf,"AlliedBarton Security Services LLC, July 16, 2013 "
Allied Minds LLC,"Allied Minds, LLC, February 24, 2017 ","February 24, 2017 ",2/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/allied-minds-20170224.pdf,"Allied Minds LLC, February 24, 2017 "
ALM Media LLC,"ALM Media, LLC, January 23, 2019  ","January 23, 2019  ",1/23/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/alm-media-20190123.pdf,"ALM Media LLC, January 23, 2019  "
Alpha IndustriesInc.,"Alpha Industries, Inc., October 26, 2017 ","October 26, 2017 ",10/26/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-industries-20171026.pdf,"Alpha IndustriesInc., October 26, 2017 "
Alpha IndustriesInc.,"Alpha Industries, Inc., October 02, 2017 ","October 02, 2017 ",10/2/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-industries-20171002.pdf,"Alpha IndustriesInc., October 02, 2017 "
Alpha Payroll Services LLC,"Alpha Payroll Services, LLC, April 29, 2016 ","April 29, 2016 ",4/29/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-payroll-20160429.pdf,"Alpha Payroll Services LLC, April 29, 2016 "
Alta Ski Lifts Co.,"Alta Ski Lifts, Co., March 09, 2015 ","March 09, 2015 ",3/9/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/alta-ski-lifts-20150309.pdf,"Alta Ski Lifts Co., March 09, 2015 "
Alton Lane,"Alton Lane, January 10, 2018 ","January 10, 2018 ",1/10/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/alton-lane-20180110.pdf,"Alton Lane, January 10, 2018 "
AltrecInc.,"Altrec, Inc., May 24, 2012 ","May 24, 2012 ",5/24/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/altrec-20120524.pdf,"AltrecInc., May 24, 2012 "
AM2 Enterprises LLC,"AM2 Enterprises, LLC, September 19, 2017 ","September 19, 2017 ",9/19/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/am2-20170919.pdf,"AM2 Enterprises LLC, September 19, 2017 "
Amateur Athletic Union,"Amateur Athletic Union, September 17, 2019 ","September 17, 2019 ",9/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/amateur-athletic-union-20190917.pdf,"Amateur Athletic Union, September 17, 2019 "
AMB Industries,"AMB Industries, April 14, 2011 ","April 14, 2011 ",4/14/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/amb-industries-20110414.pdf,"AMB Industries, April 14, 2011 "
Ambassador Title Service and Accurate Title Company,"Ambassador Title Service and Accurate Title Company, February 28, 2017 ","February 28, 2017 ",2/28/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/ambassador-title-20170228.pdf,"Ambassador Title Service and Accurate Title Company, February 28, 2017 "
AmedisysInc.,"Amedisys, Inc., March 02, 2015 ","March 02, 2015 ",3/2/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/amedisys-20150302.pdf,"AmedisysInc., March 02, 2015 "
American Association of Nurse Anesthetists,"American Association of Nurse Anesthetists, March 12, 2019 ","March 12, 2019 ",3/12/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-nurse-anesthetists-20190312.pdf,"American Association of Nurse Anesthetists, March 12, 2019 "
American Cancer SocietyInc,"American Cancer Society, Inc, March 1, 2019 ","March 1, 2019 ",3/1/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-cancer-society-20190301.pdf,"American Cancer SocietyInc, March 1, 2019 "
American Esoteric Laboratories (AEL),"American Esoteric Laboratories (AEL), April 20, 2018 ","April 20, 2018 ",4/20/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/american-esoteric-20180420.pdf,"American Esoteric Laboratories (AEL), April 20, 2018 "
American Express Travel Related Services CompanyInc.,"American Express Travel Related Services Company, Inc., March 22, 2018 ","March 22, 2018 ",3/22/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/american-express-travel-20180322.pdf,"American Express Travel Related Services CompanyInc., March 22, 2018 "
American Friends Service Committee,"American Friends Service Committee, August 21, 2017 ","August 21, 2017 ",8/21/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/american-friends-20170821.pdf,"American Friends Service Committee, August 21, 2017 "
American Institute of Aeronautics and Astronautics,"American Institute of Aeronautics and Astronautics, August 20, 2018 ","August 20, 2018 ",8/20/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/american-institute-20180820.pdf,"American Institute of Aeronautics and Astronautics, August 20, 2018 "
American Juice Co,"American Juice Co, April 8, 2019 ","April 8, 2019 ",4/8/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-juice-20190408.pdf,"American Juice Co, April 8, 2019 "
American Kennel Club,"American Kennel Club, July 8, 2019 ","July 8, 2019 ",7/8/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-kennel-club-20190708.pdf,"American Kennel Club, July 8, 2019 "
American Medical Response Inc,"American Medical Response Inc, June 17, 2019 ","June 17, 2019 ",6/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-medical-response-20190617.pdf,"American Medical Response Inc, June 17, 2019 "
American Payroll Association,"American Payroll Association, September 1, 2020 ","September 1, 2020 ",9/1/2020,https://www.doj.nh.gov/consumer/security-breaches/documents/american-payroll-20200901..pdf,"American Payroll Association, September 1, 2020 "
American Pharmacists Association,"American Pharmacists Association, July 09, 2012 ","July 09, 2012 ",7/9/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/american-pharmacists-20120709.pdf,"American Pharmacists Association, July 09, 2012 "
American Public Works Association,"American Public Works Association, July 22, 2020 ","July 22, 2020 ",7/22/2020,https://www.doj.nh.gov/consumer/security-breaches/documents/american-public-works-association-20200722.pdf,"American Public Works Association, July 22, 2020 "
American Residuals and TalentInc.,"American Residuals and Talent, Inc., December 02, 2014 ","December 02, 2014 ",12/2/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/american-residuals-talent-20141202.pdf,"American Residuals and TalentInc., December 02, 2014 "
American Seating Company,"American Seating Company, August 14, 2020 ","August 14, 2020 ",8/14/2020,https://www.doj.nh.gov/consumer/security-breaches/documents/american-seating-20200814.pdf,"American Seating Company, August 14, 2020 "
American Stock Transfer & Trust Company LLC,"American Stock Transfer & Trust Company, LLC, April 13, 2012 ","April 13, 2012 ",4/13/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/american-stock-20120413.pdf,"American Stock Transfer & Trust Company LLC, April 13, 2012 "
American Stock Transfer & Trust Company LLC,"American Stock Transfer & Trust Company, LLC, February 14 2012 ",February 14 2012 ,2/14/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/american-stock-20120214.pdf,"American Stock Transfer & Trust Company LLC, February 14 2012 "
