ID,Case No,Case Title,Letter URL,Date Received,No of MD Residents,Information Breached,How Breach Occurred
35,itu-328977,Florida Orthopaedic Institute,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328977.pdf,6/22/2020,610,"names, dates of birth, Social Security numbers, medical information related to appointment times, physician locations, diagnosis codes, and payment amounts, insurance plan identification numbers, payer identification numbers, claims addresses, and/or FOI claims history",ransomware
36,itu-328978,North Carolina Joint Underwriting Association and North Carolina Insurance Underwriting Association,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328978.pdf,6/22/2020,1,"name, ssn, medical info",unauthorized access to email account
37,itu-328981,"GAIN Capital Group, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328981.pdf,6/22/2020,435,names in combination with financial account information (bank account and routing numbers) and passport number,unauthorized access
38,itu-328983,Community Development Bank,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328983.pdf,6/22/2020,2,"name, ssn, financial account info",unauthorized access
39,itu-328962,"Flagship Real Estate Services, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328962.pdf,6/19/2020,2,"name, ssn",info inadvertently sent to wrong recipient
40,itu-328964 (1),CodeMetro,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328964 (1).pdf,6/19/2020,74,"name, address, Social Security number (SSN), driver's license number, and date of birth",ransomware
41,itu-328964 (2),CodeMetro,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328964 (2).pdf,6/19/2020,74,"name, address, Social Security number (SSN), driver's license number, and date of birth",ransomware
42,itu-328966 (2),"Joseph J. Gormley, CPA",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328966 (2).pdf,6/19/2020,16,"names, addresses, social security numbers, tax return info",unauthorized access to server
43,itu-328966,"Joseph J. Gormley, CPA",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328966.pdf,6/19/2020,16,"names, addresses, social security numbers, tax return info",unauthorized access to server
44,itu-328970 (1),News-Press & Gazette Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328970 (1).pdf,6/19/2020,1,"names, social security numbers, passport numbers, health insurance information, driver's license information, and contact information",ransomware
45,itu-328970 (2),News-Press & Gazette Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328970 (2).pdf,6/19/2020,1,"names, social security numbers, passport numbers, health insurance information, driver's license information, and contact information",ransomware
46,itu-328971 (1),STRATA Trust Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328971 (1).pdf,6/19/2020,153,"names, Social Security numbers, financial account numbers, driver's license numbers, diagnosis or symptom information, or treatment information",unauthorized access to email account
47,itu-328971 (2),STRATA Trust Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328971 (2).pdf,6/19/2020,153,"names, Social Security numbers, financial account numbers, driver's license numbers, diagnosis or symptom information, or treatment information",unauthorized access to email account
48,itu-328972 (1),"Mattress Insider, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328972 (1).pdf,6/19/2020,17,"name, payment card info",malware
49,itu-328972 (2),"Mattress Insider, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328972 (2).pdf,6/19/2020,17,"name, payment card info",malware
50,itu-328702,Southern Farm Bureau Life Insurance Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328702.PDF,6/18/2020,,"name, ssn, dln, ID info, signature, medical info, financial account info",unauthorized access to email account
51,itu-328703,"Wilkenson Barker Knauer, LLP",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328703.PDF,6/18/2020,52,"name, ssn, health insurance info",unauthorized access to network
52,itu-328704,American Medical Technologies,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328704.pdf,6/18/2020,368,,unauthorized access to email account
53,itu-328706,Image Engineering,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328706.pdf,6/18/2020,57,"name, dob, ssn",unauthorized access to email accounts
54,itu-328707,"Kelly Financial Group, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328707.pdf,6/18/2020,446,"names, driver's license or state identification numbers, a passport number, historical medical information, financial account numbers, investment account numbers, and Social Security numbers",unauthorized access to email account
55,itu-328762 (1),"Alliant Insurance Services, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328762 (1).pdf,6/18/2020,1,"name, ssn",unauthorized access to email account
56,itu-328762 (2),"Alliant Insurance Services, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328762 (2).pdf,6/18/2020,1,"name, ssn",unauthorized access to email account
57,itu-328763,"CU Collections, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328763.pdf,6/18/2020,1,"names, addresses, Social Security numbers, financial account numbers, and driver's license numbers",unauthorized access
58,itu-328764,Valencia College,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328764.pdf,6/18/2020,3,"name, ssn",unauthorized access to email account
59,itu-328767,"Le Duff America, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328767.pdf,6/18/2020,774,"name, Social Security number and employer-assigned ID number or password, medical or health information, digital or electronic signature, Alien Registration number, and credit or debit card number",unauthorized access to email account
60,itu-328692 (1),H&R Block,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328692 (1).pdf,6/17/2020,1,"name, address, phone number, Social Security Number, and tax returns",unauthorized access
61,itu-328692 (2),H&R Block,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328692 (2).pdf,6/17/2020,1,"name, address, phone number, Social Security Number, and tax returns",unauthorized access
62,itu-328692 (3),H&R Block,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328692 (3).pdf,6/17/2020,1,"name, address, phone number, Social Security Number, and tax returns",unauthorized access
63,itu-328693 (2),Bowdoin College,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328693 (2).pdf,6/17/2020,6,"name, dob, ssn, info relating to grants/loans",info inadvertently included on spreadsheet
64,itu-328693,Bowdoin College,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328693.pdf,6/17/2020,6,"name, dob, ssn, info relating to grants/loans",info inadvertently included on spreadsheet
65,itu-328699,"Leichter Accounting Services, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328699.pdf,6/17/2020,250,"name, address social security number and/or date of birth",unauthorized access from malware/virus
66,itu-328688,Sonicbids LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328688.pdf,6/16/2020,102,username/passwords,info publicly accessible on cloud hosting services
67,itu-328213,Jodat Law Group,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328213.pdf,6/15/2020,1,"name, medical records",unauthorized access to email account
68,itu-328214,"DAAR Engineering, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328214.pdf,6/15/2020,2,"names, addresses, Social Security numbers, drivers' license numbers, bank account/routing numbers, employment history, date of birth, emergency contact data, 1099 tax data, and Equal Employment Opportunity data",processesing error
69,itu-328684,PeoplesBank,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328684.pdf,6/15/2020,427,"name, Social Security number, driver's license number, financial account information and credit or debit card information",unauthorized access to email account
70,itu-328685,New Horizons Credit Union,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328685.pdf,6/15/2020,24,"name, address, date of birth, phone number, Social Security number, driver's license number and state, financial account number,debit or credit card number with security code and expiration date, and/or limited medical information",unauthorized access to email account
71,itu-328687,"Community Solutions, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328687.pdf,6/15/2020,,"name and one or more of Social Security number, driver's license, financial account, health information and health insurance information.",unauthorized access to email account
72,itu-328210,American Statistical Association,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328210.pdf,6/12/2020,24,"name, payment card info",malicious code
73,itu-328211,"Common Cents Tax Services, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328211.pdf,6/12/2020,6,"name, dob, address, ssn, tax return info",phishing
74,itu-328144,Tait Towers Manufacturing LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328144.pdf,6/11/2020,,"names, addresses, email addresses, dates of birth,",unauthorized access to email accounts
75,,,,,,Social Security numbers and financial account numbers,
76,itu-328147,"Concorde Investment Services, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328147.pdf,6/11/2020,139,"Social Security numbers, driver's license numbers or state identification numbers, financial account information, credit or debit card information, dates of birth, passport numbers, and/or usernames and passwords",unauthorized access to email account
77,itu-328208,Homeland Mortgage Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328208.pdf,6/11/2020,2,"name, ssn, dob, financial account info",ransomware
78,itu-328209 (1),"MaxLinear, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328209 (1).pdf,6/11/2020,2,"names, personal and company email addresses, personal mailing addresses, employee ID numbers,driver's license numbers, financial account numbers, Social Security numbers, dates of birth, work locations, compensation and benefit information, dependents information, and dates of employment",unauthorized access to systems
79,itu-328209 (2),"MaxLinear, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328209 (2).pdf,6/11/2020,2,"names, personal and company email addresses, personal mailing addresses, employee ID numbers,driver's license numbers, financial account numbers, Social Security numbers, dates of birth, work locations, compensation and benefit information, dependents information, and dates of employment",unauthorized access to systems
80,itu-325750 (1),Genworth Life Insurance Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325750 (1).pdf,6/10/2020,3,"name, address, date of birth, and social security number, financial info, signatute",unauthorized access to online accounts
81,itu-325750 (2),Genworth Life Insurance Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325750 (2).pdf,6/10/2020,3,"name, address, date of birth, and social security number, financial info, signatute",unauthorized access to online accounts
82,itu-325750 (3),Genworth Life Insurance Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325750 (3).pdf,6/10/2020,3,"name, address, date of birth, and social security number, financial info, signatute",unauthorized access to online accounts
83,itu-325751,Good Samaritan Hospital,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325751.pdf,6/10/2020,4,"name, date of birth, Social Security number, driver's license number, passport number, tax identifcation number, fnancial account number, treatment/diagnosis, health insurance information, billing information, doctor's name, medical record number, medical history, prescription information, Medicare/Medicaid ID and/or patient account number",unauthorized access to email account
84,itu-325775 (1),"Digital Management, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325775 (1).pdf,6/10/2020,"1,457","name, personal email address, company email address and hashed password, employee ID number, passport information, US birth certificate, US naturalization certificate, driver's license number,bank account information, Social Security number, date of birth, mailing address, work location, compensation and benefit information, emergency contact information, and dates of employment",ransomware
85,itu-325775 (2),"Digital Management, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325775 (2).pdf,6/10/2020,"1,457","name, personal email address, company email address and hashed password, employee ID number, passport information, US birth certificate, US naturalization certificate, driver's license number,bank account information, Social Security number, date of birth, mailing address, work location, compensation and benefit information, emergency contact information, and dates of employment",ransomware
86,itu-325776,Gonzalez CPA,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325776.pdf,6/10/2020,2,"name, address, Social Security number, bank account number, and other tax related information",potential unauthorized access
87,itu-325778,"Richard E. Munoz, CPA",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325778.pdf,6/10/2020,2,"name, ssn",unauthorized access to email account
88,itu-325779,Waterfront Enterprises LLC and Fullen Dock & Warehouse LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325779.pdf,6/10/2020,4,"name, Social Security number and health insurance number",unauthorized access to email account
89,itu-325658 (1),Pioneer Railcorp,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325658 (1).pdf,6/9/2020,3,"name, address and Social Security number",unauthorized access to email account
90,itu-325658 (2),Pioneer Railcorp,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325658 (2).pdf,6/9/2020,3,"name, address and Social Security number",unauthorized access to email account
91,itu-325619,The Venice Golf and Country Club,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325619.pdf,6/8/2020,2,"name, ssn, health insurance info",unauthorized access to email account
92,itu-325573,"Orascom Construction USA, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325573.pdf,6/5/2020,14,"name,  Social Security Numbers; driver license numbers or other unique identification numbers; medical treatment information, health insurance information, and/or financial account number or credit card number or debit card number",unauthorized access to email account
93,itu-325574,Republic Finance,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325574.pdf,6/5/2020,3,"name, ssn",unauthorized access to email account
94,itu-325575,Willow Valley Communities,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325575.pdf,6/5/2020,18,"name, address, ssn",unauthorized access to server
95,itu-325576,BHHS Legacy Foundation,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325576.pdf,6/5/2020,2,"name, ssn",unauthorized access to email account
96,itu-325621,Myron Corp. d/b/a Pen Factory,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325621.pdf,6/5/2020,345,"names, emails, addresses, and credit or debit card information",malicious code
97,itu-328143,Green Paper Products of Highland Heights,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328143.pdf,6/5/2020,,"name, payment card info",unauthorized access
98,itu-325780,St. Michael's College,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-325780.pdf,6/4/2020,10,"names, Social Security numbers, a passport number, and health information",phishing
99,itu-328135 (1),DAK Americas,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328135 (1).pdf,6/4/2020,,"names, driver&#39;s license or state identification numbers,",ransomware
100,,,,,,"Social Security numbers, and salary information",
101,itu-328135 (2),DAK Americas,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328135 (2).pdf,6/4/2020,,"names, driver&#39;s license or state identification numbers,",ransomware
102,,,,,,"Social Security numbers, and salary information",
103,itu-328136,Interstates,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328136.pdf,6/4/2020,2,"name, address, and Social Security number",unauthorized access
104,itu-328115 (1),Cook & Morehar,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328115 (1).PDF,6/3/2020,7,"name, ssn, tax info,",burglary
105,itu-328115 (2),Cook & Morehar,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328115 (2).PDF,6/3/2020,7,"name, ssn, tax info,",burglary
106,itu-328115 (3),Cook & Morehar,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328115 (3).PDF,6/3/2020,7,"name, ssn, tax info,",burglary
107,itu-328115 (4),Cook & Morehar,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328115 (4).PDF,6/3/2020,7,"name, ssn, tax info,",burglary
108,itu-328116,Chartered Professional Accountants of Canada,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328116.pdf,6/3/2020,4,"name, address, email address, encrypted passwords",phishing
109,itu-328120 (1),Grande Ronde Hospital,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328120 (1).pdf,6/3/2020,,"name, address, pay and withholdings and Social Security number",unauthorized access
110,itu-328120 (2),Grande Ronde Hospital,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328120 (2).pdf,6/3/2020,,"name, address, pay and withholdings and Social Security number",unauthorized access
111,itu-328125 (1),Bombas LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328125 (1).pdf,6/3/2020,"1,908","name, address, payment card data",malicious code
112,itu-328125 (2),Bombas LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328125 (2).pdf,6/3/2020,"1,908","name, address, payment card data",malicious code
113,itu-328130,Resource Recycling Systems,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328130.pdf,6/3/2020,1,"name, address, ssn",unauthorized access to email account
114,itu-328067,"AVI-SPL, Inc.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328067.pdf,6/2/2020,1,"name, ssn",unauthorized access
115,itu-328068,OrbiMed Advisors LLC,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328068.pdf,6/2/2020,1,"name, passport number",unauthorized access to email account
116,itu-328069 (1),"VanOrden, Lund & Cannon, PLLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328069 (1).PDF,6/2/2020,5,"name, address and date of birth,",unauthorized access
117,itu-328069 (2),"VanOrden, Lund & Cannon, PLLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328069 (2).PDF,6/2/2020,5,"name, address and date of birth,",unauthorized access
118,itu-328069 (3),"VanOrden, Lund & Cannon, PLLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328069 (3).PDF,6/2/2020,5,"name, address and date of birth,",unauthorized access
119,itu-328058 (1),New York Life Insurance Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328058 (1).pdf,6/1/2020,3,"ve included some or all of the following personal information of certain Maryland residents: their name, address, phone number, email address, date of birth, social security number, policy number, driver's license or passport and bank account information",ransomware
120,itu-328058 (2),New York Life Insurance Company,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328058 (2).pdf,6/1/2020,3,"ve included some or all of the following personal information of certain Maryland residents: their name, address, phone number, email address, date of birth, social security number, policy number, driver's license or passport and bank account information",ransomware
121,itu-328059,Conway Hospital. Inc. d/b/a Conway Medical Center,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328059.pdf,6/1/2020,119,"name, ssn, health info",unauthorized access to email account
122,itu-328060,"CNU Online Holdings, LLC d/b/a CashNetUSA",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328060.PDF,6/1/2020,10,"name, address, bank account info, account info, income info, last four digits of DLN",unauthorized access
123,itu-328062 (1),Paul Quinn College,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328062 (1).PDF,6/1/2020,900,"name, Social Security numbers, Health Insurance numbers, Individual Taxpayer Identification Number, and/or state identification card numbers.",unauthorized access to email account
124,itu-328062 (2),Paul Quinn College,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328062 (2).PDF,6/1/2020,900,"name, Social Security numbers, Health Insurance numbers, Individual Taxpayer Identification Number, and/or state identification card numbers.",unauthorized access to email account
125,itu-328064,Hawkes Hastings & Aaron,https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328064.pdf,6/1/2020,1,"name, address, ssn, tax filing info",malware
126,itu-328053 (1),"TD Bank, N.A.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328053 (1).pdf,5/29/2020,1,"name, Social Security Number, Driver's License number, and account number",stolen during transportation to a shredding facility
127,itu-328053 (2),"TD Bank, N.A.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328053 (2).pdf,5/29/2020,1,"name, Social Security Number, Driver's License number, and account number",stolen during transportation to a shredding facility
128,itu-328053 (3),"TD Bank, N.A.",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328053 (3).pdf,5/29/2020,1,"name, Social Security Number, Driver's License number, and account number",stolen during transportation to a shredding facility
129,itu-328054,"Peterson & Smith Equine Hospital, LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328054.pdf,5/29/2020,5,"name, address and social security numbers",unauthorized access/malware
130,itu-328055,"Rogue & Co., LLC",https://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2020/itu-328055.pdf,5/29/2020,10,"name, payment card info",malware
