Matter Number,Status,Opendt,Category,Sub category,Matter (Short) Name,Injry Date,Resid Effected,Corprt State,Thru Date,Industry,Crdt Monit,Notif Ltr,Name,Adrs,Email,SSN,DOB,Track1,Track2,Crdt
PR1919128,CLOSED,10/2/2019,Data Breach,Investigation,"Majoris Health Systems, Inc. (9-24-2019)",7/24/2019,1,OR,,Health care,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1919123,CLOSED,10/1/2019,Data Breach,Investigation,Jewish Community Federation (9-24-2019),9/12/2018,1,CA,,Nonprofit,N,N,Y,Y,N,Y,N,N,N,N
PR1919121,CLOSED,10/1/2019,Data Breach,Investigation,"Nordstrom, Inc. (9-23-2019)",9/3/2019,1,WA,,Retail,Y,Y,Y,N,N,Y,N,N,N,N
PR1919120,CLOSED,10/1/2019,Data Breach,Investigation,Covestro LLC (9-23-2019),4/1/2019,9,PA,,Polymer Supplier,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1918793,OPEN,9/27/2019,Data Breach,Investigation,DoorDash Inc. (9-26-2019),4/5/2019,127,,,,N,N,Y,N,Y,N,N,N,N,Y
PR1918767,CLOSED,9/26/2019,Data Breach,Investigation,World Learning (9-23-2019),9/3/2019,6,VT,,Nonprofit,N,Y,Y,N,N,N,Y,N,N,N
PR1918766,CLOSED,9/26/2019,Data Breach,Investigation,"Ameriprise Financial Services, Inc. (9-23-2019)",8/21/2019,1,MI,,Financial Services,Y,Y,Y,N,N,Y,N,N,N,N
PR1918762,CLOSED,9/26/2019,Data Breach,Investigation,Certified Credit Reporting (client - MidAmerica Le,8/22/2019,2,FL,8/26/2019,Finance,Y,Y,Y,Y,N,Y,Y,N,N,Y
PR1918739,CLOSED,9/26/2019,Data Breach,Investigation,New Age Media dba All American Entertainment (9-20,2/10/2019,8,NC,,Entertainment,Y,Y,Y,N,N,Y,N,N,N,N
PR1918738,CLOSED,9/26/2019,Data Breach,Investigation,Weichert Co. and its affiliates (9-20-2019) (Mortg,,5,NJ,,Financial Services,Y,Y,Y,Y,N,N,N,N,N,N
PR1918365,CLOSED,9/20/2019,Data Breach,Investigation,PAR Technology Corporation (9-19-2019),4/19/2019,2,NY ,6/20/2019,Tech,Y,Y,Y,N,N,Y,N,N,N,N
PR1918358,CLOSED,9/19/2019,Data Breach,Investigation,World Relief Corp. of Nat'l Assoc of Evangelicals ,4/4/2019,1,MD,5/21/2019,Religious Nonprofit,Y,Y,Y,N,N,Y,N,N,N,N
PR1918355,CLOSED,9/19/2019,Data Breach,Investigation,"Gordon Advisors, P.C. (9-19-2019)",2/1/2019,3,MI,,Financial Services,Y,Y,N,Y,N,Y,N,N,N,N
PR1918351,CLOSED,9/19/2019,Data Breach,Investigation,Allen Community College (9-17-2019),7/30/2019,1,Kansas,8/19/2019,Higher Education,Y,Y,Y,N,N,Y,N,N,N,N
PR1918332,CLOSED,9/19/2019,Data Breach,Investigation,"Accurate Word, LLC (9-17-2019)",8/16/2019,11,MD,,Retail,N,Y,Y,N,N,N,N,N,N,Y
PR1918331,CLOSED,9/19/2019,Data Breach,Investigation,Wood Ranch Medical (9-18-2019),8/10/2019,,CA,,Health care,N,Y,Y,Y,N,N,Y,N,N,N
PR1918319,CLOSED,9/18/2019,Data Breach,Investigation,Independent Pet Partners Holdings LLC (9-16-2019),,5,NY,,Retail,Y,Y,Y,N,N,Y,N,N,N,N
PR1918317,CLOSED,9/18/2019,Data Breach,Investigation,Steiber & Schopick (9-10-2019),,163,CT,,Legal Services,Y,Y,Y,N,N,Y,N,N,N,N
PR1918313,CLOSED,9/18/2019,Data Breach,Investigation,"ArborBridge Group, Inc. (9-13-2019)",4/25/2019,7,CA,,Higher Education,Y,Y,Y,N,N,Y,N,N,N,N
PR1918114,CLOSED,9/16/2019,Data Breach,Investigation,Amateur Athletic Union (9-13-2019),10/1/2018,"3,024",FL,7/2/2019,Sports,N,Y,Y,Y,N,N,N,N,N,Y
PR1918106,CLOSED,9/16/2019,Data Breach,Investigation,The Boeing Company (9-13-2019),,58,IL,,Aerospace Manufacturing,Y,Y,N,Y,N,Y,N,N,N,N
PR1917935,CLOSED,9/13/2019,Data Breach,Investigation,Community Healthlink (9-13-2019),,7,,,,N,N,Y,N,N,Y,Y,N,N,N
PR1917934,CLOSED,9/13/2019,Data Breach,Investigation,Securities Training Corporation (9-13-2019),4/16/2019,21,,6/14/2019,,N,N,Y,N,N,N,N,N,N,Y
PR1917933,CLOSED,9/13/2019,Data Breach,Investigation,HITE Hedge Asset Management LLC (9-13-2019),8/15/2019,8,,8/16/2019,,N,N,Y,N,N,Y,N,N,N,N
PR1917870,CLOSED,9/12/2019,Data Breach,Investigation,Sarrell Dental of Alabama (9-12-2019),1/1/2019,9,,7/31/2019,,N,N,Y,Y,N,Y,Y,N,N,N
PR1917866,CLOSED,9/12/2019,Data Breach,Investigation,Metropolitan Life Insurance Company (9-11-2019),,2,,,,N,N,Y,N,N,Y,N,N,N,N
PR1917863,CLOSED,9/12/2019,Data Breach,Investigation,"Cornerstone Building Brands, Inc. (9-11-2019)",4/1/2019,8,,8/16/2019,,N,N,N,N,N,Y,N,N,N,Y
PR1917859,CLOSED,9/12/2019,Data Breach,Investigation,Tom Sauer Bond Agency LLC (9-11-2019),6/18/2019,2,,,,N,N,Y,N,N,Y,N,N,N,N
PR1917827,CLOSED,9/12/2019,Data Breach,Investigation,"City Furniture, Inc. (9-11-2019)",5/14/2019,2,,7/9/2019,,N,N,Y,Y,N,N,N,N,N,Y
PR1917809,OPEN,9/11/2019,Data Breach,Investigation,CafePress Inc. (9-4-2019),2/19/2019,"236,619",Kentucky,,Retail,Y,Y,Y,Y,Y,Y,N,N,N,Y
PR1917807,CLOSED,9/11/2019,Data Breach,Investigation,"Andy Frain Services, Inc. (9-3-2019)",,1,,,,N,N,Y,N,N,Y,N,N,N,N
PR1917805,CLOSED,9/11/2019,Data Breach,Investigation,Central Michigan University (8-30-2019),12/7/2018,1,MI,3/14/2019,University,N,Y,Y,N,N,N,N,N,N,N
PR1917798,CLOSED,9/11/2019,Data Breach,Investigation,TD Bank (9-10-2019),,1,NJ,,Banking,Y,Y,N,N,N,N,N,N,N,N
PR1917795,CLOSED,9/11/2019,Data Breach,Investigation,TD Bank (7-12-2019),,4,NJ,,Banking,Y,Y,Y,Y,N,N,N,N,N,N
PR1917782,CLOSED,9/11/2019,Data Breach,Investigation,Brixmor Property Group (9-9-2019),5/26/2019,1,NY,,REIT,Y,Y,N,N,N,N,N,N,N,N
PR1917773,CLOSED,9/11/2019,Data Breach,Investigation,Woodforest National Bank (9-9-2019),2/27/2019,4,TX,4/8/2019,Banking,N,Y,Y,N,N,N,N,N,N,Y
PR1917771,CLOSED,9/11/2019,Data Breach,Investigation,MGM Resorts International (9-4-2019),7/7/2019,3,Nevada,7/24/2019,Hospitality,Y,Y,Y,Y,N,N,N,N,N,N
PR1917769,CLOSED,9/11/2019,Data Breach,Investigation,"JPMorgan Chase Bank, N.A. (9-9-2019)",8/5/2019,14,NY,8/15/2019,Banking,Y,Y,Y,N,N,N,N,N,N,N
PR1917694,CLOSED,9/10/2019,Data Breach,Investigation,PayPal Inc. (9-6-2019),8/18/2019,2,CA,,Financial Services (Payment processor),Y,Y,Y,N,Y,N,N,N,N,Y
PR1917570,OPEN,9/9/2019,Data Breach,Investigation,Optum360 [AMCA],,,,,,,,,,,,,,,
PR1917564,OPEN,9/9/2019,Data Breach,Investigation,Quest Diagnostics [AMCA],,,,,,,,,,,,,,,
PR1917464,CLOSED,9/6/2019,Data Breach,Investigation,Friedlander Misler PLLC (9-6-2019),,1,,,,N,N,Y,Y,Y,Y,Y,N,N,N
PR1917463,CLOSED,9/6/2019,Data Breach,Investigation,Southeastern Pennsylvania Transportation Authority,6/21/2019,5,,7/16/2019,,N,N,Y,Y,N,N,N,N,N,Y
PR1917461,CLOSED,9/6/2019,Data Breach,Investigation,Penn-Mar Human Services (9-5-2019),,1,,,,N,N,Y,N,N,Y,N,N,N,N
PR1917386,CLOSED,9/5/2019,Data Breach,Investigation,Wall Street Greetings (9-4-2019),7/30/2019,6,,8/21/2019,,N,N,Y,Y,Y,N,N,N,N,Y
PR1917375,CLOSED,9/5/2019,Data Breach,Investigation,"mGage, LLC (9-3-2019)",,1,,,,N,N,Y,Y,N,Y,Y,N,N,N
PR1917367,CLOSED,9/5/2019,Data Breach,Investigation,"Findaway, Inc. (9-3-2019)",6/19/2019,2,,6/24/2019,,N,N,Y,N,N,Y,N,N,N,N
PR1917360,CLOSED,9/5/2019,Data Breach,Investigation,Signature Systems Group (8-31-2019),,1,,,,N,N,Y,Y,N,Y,N,N,N,N
PR1917359,CLOSED,9/5/2019,Data Breach,Investigation,The Crichton Group (8-30-2019),,1,,,,N,N,Y,N,N,Y,N,N,N,N
PR1917358,CLOSED,9/5/2019,Data Breach,Investigation,TALX Corporation (8-30-2019),3/30/2017,1,,,,N,N,N,N,N,N,N,N,N,N
PR1917344,CLOSED,9/4/2019,Data Breach,Investigation,SSI (US) Inc. dba Spencer Stuart Inc. (8-30-2019),3/11/2019,4,,,,N,N,N,N,N,Y,N,N,N,N
PR1917340,CLOSED,9/4/2019,Data Breach,Investigation,"Fedcap Rehabilitation Services, Inc. (8-29-2019)",,4,,,,N,N,Y,N,N,Y,N,N,N,N
PR1917336,CLOSED,9/4/2019,Data Breach,Investigation,"Communities Connected for Kids, Inc. (8-29-2019)",8/1/2018,113,,3/31/2019,,N,N,Y,Y,Y,Y,Y,N,N,N
PR1917334,CLOSED,9/4/2019,Data Breach,Investigation,"EmCare, Inc., Sheridan Healthcorp, Inc. and their ",,469+16=485,,,,N,N,Y,N,N,Y,N,N,N,N
PR1917333,CLOSED,9/4/2019,Data Breach,Investigation,"Homeside Financial, LLC (8-29-2019)",3/27/2019,2,,3/31/2019,,N,N,Y,Y,N,Y,N,N,N,N
PR1917323,CLOSED,9/4/2019,Data Breach,Investigation,NTCA - The Rural Broadband Association (8-23-2019),4/3/2019,37,,,,N,N,Y,N,N,Y,N,N,N,N
PR1917295,CLOSED,9/4/2019,Data Breach,Investigation,"Carl's Golfland, Inc. (8-29-2019)",3/25/2019,,,7/14/2019,,N,N,Y,Y,Y,N,N,N,N,Y
PR1917284,CLOSED,9/3/2019,Data Breach,Investigation,"Eye Safety Systems, Inc. (8-29-2019)",11/21/2017,63,,7/16/2019,,N,N,Y,Y,N,N,N,N,N,Y
PR1917283,CLOSED,9/3/2019,Data Breach,Investigation,"Corporate Creations International, Inc. (8-28-2019",7/17/2019,14,FL,7/24/2019,Legal services,Y,Y,Y,N,N,Y,N,N,N,N
PR1917233,CLOSED,9/3/2019,Data Breach,Investigation,Deluxe Corporation (8-28-2019),9/13/2019,1,MN,,Financial services,Y,Y,Y,Y,N,N,N,N,N,N
PR1916935,CLOSED,8/29/2019,Data Breach,Investigation,"O'Connell Group, LLC (8-27-2019)",2/20/2019,2,CT,,Recruiting firm,Y,Y,N,N,N,Y,N,N,N,N
PR1916934,CLOSED,8/29/2019,Data Breach,Investigation,Connecticut Laborers Fund Office (8-27-2019),5/9/2019,"1,075",CT,,Union benefits,Y,Y,Y,N,N,Y,N,N,N,N
PR1916930,CLOSED,8/29/2019,Data Breach,Investigation,"Environmental StoneWorks, LLC (8-26-2019)",3/12/2019,1,PA,4/23/2019,Masonry,Y,Y,Y,N,N,Y,N,N,N,N
PR1916923,CLOSED,8/29/2019,Data Breach,Investigation,Calibre CPA Group (8-26-2019),3/11/2019,8,MA,5/7/2019,Accounting,Y,Y,Y,N,N,Y,N,N,N,N
PR1916899,CLOSED,8/28/2019,Data Breach,Investigation,"Creation Entertainment, Inc. (8-26-2019)",2/1/2018,567,CA,10/10/2018,Entertainment,N,Y,N,N,N,N,N,N,N,Y
PR1916897,CLOSED,8/28/2019,Data Breach,Investigation,Stafford Savings Bank (8-22-2019),8/20/2019,1,CT,8/22/2019,Banking,N,Y,N,N,N,N,N,N,N,N
PR1916891,CLOSED,8/28/2019,Data Breach,Investigation,Fidelity Investments (8-26-2019),8/8/2019,1,MA,8/20/2019,Financial services ,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1916668,CLOSED,8/26/2019,Data Breach,Investigation,Lyons Companies (8-23-2019),2/4/2019,174+40,DE,3/12/2019,Insurance brokerage,Y,Y,N,N,N,Y,Y,N,N,N
PR1916667,CLOSED,8/26/2019,Data Breach,Investigation,"L Brands, Inc. (8-23-2019)",,1,OH,,Retail - Fashion,Y,Y,Y,Y,N,Y,N,N,N,N
PR1916664,CLOSED,8/26/2019,Data Breach,Investigation,"Nannies by Noa, LLC (8-21-2019)",8/12/2019,1,NY,,Personal services (nanny),Y,Y,Y,Y,N,Y,N,N,N,N
PR1916663,CLOSED,8/26/2019,Data Breach,Investigation,The New York Athletic Club (8-20-2019),6/7/2019,9,NY,7/23/2019,Health Club,Y,Y,Y,Y,N,Y,Y,N,N,Y
PR1916656,CLOSED,8/26/2019,Data Breach,Investigation,Metropolitan Life Insurance Company (8-20-2019),7/30/2019,2,NY,8/15/2019,Life insurance,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1916649,CLOSED,8/26/2019,Data Breach,Investigation,Alight Solutions LLC (8-20-2019),,165,IL,,Human Resources/Benefits,Y,Y,N,N,N,Y,Y,N,N,N
PR1916528,CLOSED,8/23/2019,Data Breach,Investigation,Market Street Trust Company (8-20-2019),7/23/2019,9,NH,7/25/2019,Finance,Y,Y,Y,Y,N,Y,N,N,N,N
PR1916527,CLOSED,8/23/2019,Data Breach,Investigation,"Espresso Parts, LLC (8-20-2019)",6/4/2019,7,WA,6/21/2019,Food,N,Y,Y,Y,Y,N,N,N,N,Y
PR1916523,CLOSED,8/23/2019,Data Breach,Investigation,People's United Bank (8-23-2019),,2,CT,,Bank,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1916518,CLOSED,8/23/2019,Data Breach,Investigation,"Levitt-Fuirst Associates, LTD (8-16-2019)",2/2/2019,6,NY,5/2/2019,Insurance,Y,Y,Y,N,N,Y,N,N,N,N
PR1916504,CLOSED,8/23/2019,Data Breach,Investigation,Medical College of Wisconsin (8-14-2019),3/22/2019,1,WI,,Education,Y,Y,N,N,N,Y,N,N,N,N
PR1916310,CLOSED,8/20/2019,Data Breach,Investigation,"Borough of Fair Lawn, NJ (8-19-2019)",12/4/2018,6,New Jersey,12/11/2018,municipality,Y,Y,Y,Y,N,Y,N,N,N,N
PR1916144,CLOSED,8/19/2019,Data Breach,Investigation,Cleveland Clinic Foundation (8-19-2019),5/23/2019,1,Ohio,6/20/2019,medical,N,N,Y,N,N,Y,Y,N,N,N
PR1916140,CLOSED,8/19/2019,Data Breach,Investigation,"Pelican Products, Inc. (8-16-2019)",6/28/2019,15,Florida,7/16/2019,merchandiser,N,Y,N,Y,N,N,N,N,N,Y
PR1916136,CLOSED,8/19/2019,Data Breach,Investigation,"Rhode Island Ear, Nose and Throat (8-16-2019)",6/19/2019,3,Rhode Island,8/16/2019,medical,Y,Y,Y,N,N,Y,N,N,N,N
PR1916001,CLOSED,8/16/2019,Data Breach,Investigation,Edinboro University Student Government Association,,1,PA,,Higher ed,Y,Y,Y,N,N,Y,N,N,N,N
PR1916000,CLOSED,8/16/2019,Data Breach,Investigation,"Capital One, N.A. (8-15-2019)",4/27/2019,1,VA,5/11/2019,Financial,Y,Y,Y,Y,N,Y,Y,N,N,Y
PR1915999,CLOSED,8/16/2019,Data Breach,Investigation,"North Central Area Agency on Aging, Inc. (8-15-201",,39,CT,,Non-profit,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1915998,CLOSED,8/16/2019,Data Breach,Investigation,Ameriprise Financial (8-15-2019),8/12/2019,1,MN,,Financial,Y,Y,Y,Y,N,Y,N,N,N,N
PR1915997,CLOSED,8/16/2019,Data Breach,Investigation,Marks & Associates (8-14-2019),11/1/2018,8,CA,,Legal services,Y,Y,N,N,N,Y,N,N,N,N
PR1915993,CLOSED,8/16/2019,Data Breach,Investigation,"Aspire Financial Services, LLC (8-13-2019)",8/2/2019,1,FL,,Financial,Y,Y,Y,Y,N,Y,Y,N,N,N
PR1915991,CLOSED,8/16/2019,Data Breach,Investigation,Biotrial Inc. (8-13-2019),8/8/2019,1,NJ,,Health care,Y,Y,Y,Y,N,Y,N,N,N,N
PR1915987,CLOSED,8/16/2019,Data Breach,Investigation,"Wind River Environmental, LLC (8-12-2019)",,34,MA,,Waste Management,Y,Y,Y,Y,N,Y,N,N,N,N
PR1915969,CLOSED,8/16/2019,Data Breach,Investigation,"Gorman Brothers, Inc. (8-8-2019)",2/7/2019,2,NY,3/26/2019,Construction,Y,Y,Y,N,N,Y,N,N,N,N
PR1915957,CLOSED,8/16/2019,Data Breach,Investigation,"Canard, Inc. (8-12-2019)",6/16/2019,4,NY,6/18/2019,Event Planning,Y,Y,Y,Y,Y,Y,Y,N,N,N
PR1915955,CLOSED,8/16/2019,Data Breach,Investigation,"Anvil Accounting Services, LLC (8-9-2019)",4/1/2019,5,PA,4/8/2019,Financial,Y,Y,Y,N,N,Y,N,N,N,N
PR1915941,CLOSED,8/15/2019,Data Breach,Investigation,St. Croix Hospice (8-8-2019),4/23/2019,1,MN,5/11/2019,Health care,Y,Y,Y,Y,N,N,N,N,N,N
PR1915935,CLOSED,8/15/2019,Data Breach,Investigation,"Cable One, Inc. (8-8-2019)",3/1/2019,4,OR,5/31/2019,Internet Service Provider,Y,Y,Y,N,N,Y,N,N,N,N
PR1915930,CLOSED,8/15/2019,Data Breach,Investigation,Matrix Sciences (8-6-2019),1/1/2019,2,IL,4/14/2019,Engineering Services,N,Y,Y,N,N,N,N,N,N,Y
PR1915897,CLOSED,8/15/2019,Data Breach,Investigation,KeyBank National Association (8-7-2019),,5,OH,,Banking,Y,Y,Y,Y,Y,Y,N,N,N,N
PR1915894,CLOSED,8/15/2019,Data Breach,Investigation,AAR Corp. (8-6-2019),,16,IL,,Aviation Services,Y,Y,Y,N,N,Y,Y,N,N,N
PR1915893,CLOSED,8/15/2019,Data Breach,Investigation,"Vitagene, Inc. (8-6-2019)",1/1/2015,22,CA,12/31/2017,Health care,Y,Y,Y,N,Y,N,Y,N,N,N
PR1915892,CLOSED,8/15/2019,Data Breach,Investigation,Courier Express Inc. (8-6-2019),6/11/2019,1,MA,6/11/2019,Courier Service,Y,Y,N,N,N,Y,N,N,N,N
PR1915890,CLOSED,8/15/2019,Data Breach,Investigation,TBI Mortgage Company (8-6-2019),6/1/2019,233,PA,,Finance,Y,Y,Y,Y,Y,Y,Y,N,N,N
PR1915883,CLOSED,8/14/2019,Data Breach,Investigation,YMCA of Greater Hartford (8-5-2019),4/10/2019,6,,4/15/2019,,N,N,Y,N,N,Y,N,N,N,N
PR1915880,CLOSED,8/14/2019,Data Breach,Investigation,Greek Orthodox Archdiocese of America (8-5-2019),8/3/2018,8+2=10,,1/24/2019,,N,N,Y,N,N,Y,N,N,N,N
PR1915877,CLOSED,8/14/2019,Data Breach,Investigation,Weichert Co. (8-5-2019),,18,,,,N,N,Y,Y,N,Y,N,N,N,Y
PR1915876,CLOSED,8/14/2019,Data Breach,Investigation,"JoFit, LLC (8-5-2019)",1/18/2019,43,,5/12/2019,,N,N,Y,Y,N,N,N,N,N,Y
PR1915870,OPEN,8/14/2019,Data Breach,Investigation,Mount Sinai Medical Center (8-2-2019) [AMCA],8/1/2018,114,,3/30/2019,,N,N,Y,N,N,N,N,N,N,N
PR1915867,CLOSED,8/14/2019,Data Breach,Investigation,Presbyterian Healthcare Services (8-2-2019),5/9/2019,2,,,,N,N,Y,N,N,Y,Y,N,N,N
PR1915865,CLOSED,8/14/2019,Data Breach,Investigation,The Law Office of Wendell Avery (7-15-2019),,1,CT,,Law,Y,Y,N,N,N,Y,N,N,N,N
PR1915860,CLOSED,8/14/2019,Data Breach,Investigation,MetLife Holdings (8-2-2019),7/11/2019,1,,,,N,N,Y,N,N,Y,N,N,N,N
PR1915854,CLOSED,8/14/2019,Data Breach,Investigation,National Baseball Hall of Fame and Museum (8-2-201,11/15/2018,137,,5/14/2019,,N,N,Y,Y,N,N,N,N,N,Y
PR1915830,CLOSED,8/14/2019,Data Breach,Investigation,Covia Holdings Corporation (8-1-2019),4/12/2019,32,,4/15/2019,,N,N,N,N,N,Y,N,N,N,N
PR1915825,CLOSED,8/14/2019,Data Breach,Investigation,State Farm (8-1-2019),7/6/2019,,,,,N,N,Y,N,N,N,N,N,N,N
PR1915818,CLOSED,8/14/2019,Data Breach,Investigation,"SaveDay, Inc. (8-1-2019)",,25,,,,N,N,Y,Y,Y,Y,Y,N,N,N
PR1915809,CLOSED,8/13/2019,Data Breach,Investigation,"Southern Title, Inc. (7-30-2019)",10/7/2018,3 (1 deceased),,1/24/2019,,N,N,Y,N,N,Y,N,N,N,N
PR1915807,CLOSED,8/13/2019,Data Breach,Investigation,"Webster Bank, N.A. (7-31-2019)",8/1/2018,3,,7/11/2019,,N,N,N,N,N,N,N,N,N,N
PR1915806,CLOSED,8/13/2019,Data Breach,Investigation,JPMorgan Chase Bank (7-31-2019),7/25/2019,1,,,,N,N,Y,Y,N,N,N,N,N,N
PR1915797,CLOSED,8/13/2019,Data Breach,Investigation,Aires (7-30-2019),10/10/2018,290,,10/20/2018,,N,N,N,N,N,Y,Y,N,N,N
PR1915788,OPEN,8/13/2019,Data Breach,Investigation,BioReference Laboratories (7-30-2019) [AMCA],8/1/2018,,,3/30/2019,,N,N,Y,N,N,N,N,N,N,N
PR1915776,CLOSED,8/13/2019,Data Breach,Investigation,"Wells Fargo Bank, N.A. (7-30-2019)",4/18/2019,12,CA,6/11/2019,Bank,Y,Y,Y,N,N,N,N,N,N,Y
PR1915668,CLOSED,8/12/2019,Data Breach,Investigation,"Trusted Tours & Attractions, LLC (7-29-2019)",3/24/2019,628,,6/27/2019,,N,N,Y,Y,Y,N,N,N,N,Y
PR1915666,CLOSED,8/12/2019,Data Breach,Investigation,"Craft Beer Guild Distributing of Connecticut, LLC ",5/22/2019,43,,,,N,N,Y,N,N,Y,N,N,N,N
PR1915665,CLOSED,8/12/2019,Data Breach,Investigation,Allied Community Resources (7-26-2019),7/11/2019,,,,,N,N,Y,Y,N,Y,Y,N,N,N
PR1915658,CLOSED,8/12/2019,Data Breach,Investigation,Florida A & M University Federal Credit Union (7-2,8/29/2018,1,,8/31/2018,,N,N,Y,N,N,N,N,N,N,N
PR1915652,OPEN,8/12/2019,Data Breach,Investigation,CompuNet Clinical Laboratories (7-26-2019) [AMCA],8/1/2018,6,OH,3/30/2019,Health care,Y,Y,Y,N,N,Y,Y,N,N,Y
PR1915649,CLOSED,8/12/2019,Data Breach,Investigation,Sage Financial Group (7-26-2019),5/11/2019,13,,5/15/2019,,N,N,Y,N,N,Y,N,N,N,N
PR1915648,CLOSED,8/12/2019,Data Breach,Investigation,"Robert W. Woodruff Arts Center, Inc. (7-26-2019)",2/10/2019,13,,4/18/2019,,N,N,Y,N,N,Y,N,N,N,N
PR1915636,CLOSED,8/12/2019,Data Breach,Investigation,Viability (7-26-2019),4/1/2019,93,,4/22/2019,,N,N,Y,N,N,Y,N,N,N,N
PR1915631,CLOSED,8/12/2019,Data Breach,Investigation,Pershing LLC (7-26-2019),12/1/2018,1,,6/27/2019,,N,N,N,Y,N,Y,Y,N,N,N
PR1915624,CLOSED,8/12/2019,Data Breach,Investigation,Nodor International Limited (trading as Red Dragon,,1,,,,N,N,Y,Y,Y,N,N,N,N,Y
PR1915489,CLOSED,8/9/2019,Data Breach,Investigation,"Impact Partnership, LLC (7-25-2019)",6/1/2019,5,,6/19/2019,,N,N,Y,Y,N,Y,N,N,N,N
