ID,Entity Involved,Date Involved
407,Prince William County Public Schools,5/11/2018
408,Deephaven Mortgage,5/11/2018
409,DigiPen Institute of Technology,5/11/2018
410,McMahan Thomson & Associates,5/11/2018
411,Malley's Chocolates,5/11/2018
412,Alaska Airlines (Orbitz),5/11/2018
413,Equias Alliance,5/11/2018
414,National Recreation and Park Association,5/8/2018
415,Missouri Athletic Club,5/8/2018
416,National Restaurant Association,5/7/2018
417,Rail Europe North America (RENA),5/7/2018
418,The Children's Mercy Hospital,5/7/2018
419,Rx Valet LLC,5/7/2018
420,Virginia Maritime Association,5/7/2018
421,Bauer Media Group,5/7/2018
422,Bennett Thrasher LLP,5/7/2018
423,SunTrust Banks,5/7/2018
424,Hudson's Bay Company,5/4/2018
425,SA Stone Wealth Management,5/4/2018
426,Eye Care Surgery Center (Tiger Vision),5/4/2018
427,Blattner Energy,5/3/2018
428,Julian Sur CPA,5/3/2018
429,Capital Digestive Care,5/2/2018
430,RiverMend Health,5/2/2018
431,WithumSmith+Brown,5/2/2018
432,TMI Property Management,5/2/2018
433,Atrium Hospitality,5/2/2018
434,CPT Group,5/2/2018
435,CNU of Utah d/b/a CashNetUSA,4/30/2018
436,Trust Company of the South,4/30/2018
437,Capital Farm Credit,4/30/2018
438,Carolina Digestive Health Associates,4/30/2018
439,St Marys Home for Disabled Children,4/30/2018
440,Charles Schwab,4/30/2018
441,Alabama Ag Credit,4/30/2018
442,Mississippi Land Bank,4/30/2018
443,Signature Systems Group,4/30/2018
444,American Society of Anesthesiologists,4/30/2018
445,Cetera Advisors (April),4/30/2018
446,United Shore Financial Services,4/24/2018
447,UniCarriers Americas,4/24/2018
448,LI Tax and Planning,4/24/2018
449,Friends of Falls Church,4/24/2018
450,Amzak PCG,4/24/2018
451,MCR Investors,4/24/2018
452,Strategic Analysis,4/24/2018
453,Intuit (April 26),4/24/2018
454,W.W. Grainger [24]7.ai,4/24/2018
455,American Esoteric Laboratories,4/23/2018
456,B.T.C.E. d/b/a HomeBrewIt.com,4/23/2018
457,Southwest Airlines (Orbitz),4/23/2018
458,Telestream LLC,4/20/2018
459,Premier Fixtures,4/20/2018
460,Hepburn and Sons LLC,4/20/2018
461,Best Buy [24]7.ai,4/20/2018
462,World Travel Holdings,4/17/2018
463,Temp-Tations Home d/b/a Tara at Home,4/17/2018
464,MedWatch,4/17/2018
465,Buxbaum Daue,4/17/2018
466,Heartland Benefit Plan Administration,4/17/2018
467,Allconnect,4/17/2018
468,Whitmer & Company CPAs,4/16/2018
469,Athena Consulting,4/16/2018
470,Selective (Dun & Bradstreet),4/16/2018
471,Inogen,4/16/2018
472,Delta Air Lines [24] 7.ai,4/13/2018
473,Victoria Independent School District,4/13/2018
474,Mise En Place Restaurant Services,4/13/2018
475,PF@-Com Inc,4/13/2018
476,Iditarod Trail Committee,4/13/2018
477,American Home Title,4/11/2018
478,Keurig Green Mountain,4/10/2018
479,Town of Culpeper,4/10/2018
480,John Y Trent & Associates,4/10/2018
481,Bearing Distributors,4/10/2018
482,Archbright,4/10/2018
483,Hampton Roads Shipping Association,4/9/2018
484,Blue Beacon International,4/9/2018
485,Institute for Supply Management,4/9/2018
486,JC Penney,4/6/2018
487,Arraya,4/6/2018
488,Fred Usinger Inc.,4/6/2018
489,Intuit (April),4/6/2018
490,The Kroger Co. (Dun & Bradstreet),4/4/2018
491,Milligan Chiropractic Group d/b/a Del Mar Chiropractic Sports,4/4/2018
492,Sprint Corporation,4/4/2018
493,Cross Road Health Ministries,4/4/2018
494,TranDotCom Solutions,4/4/2018
495,Lincoln Financial,4/4/2018
496,K. Hovnanian American Mortgage,4/4/2018
497,US GreenFiber,4/4/2018
498,Alabama Ballet,4/4/2018
499,Meadors Adams & Lee,4/4/2018
500,Thermo Fisher Scientific,4/4/2018
501,King & Associates CPA,4/3/2018
502,Boys & Girls Club of Wake County,4/3/2018
503,Bigfoot Gun Belts,4/3/2018
504,Shutterfly,4/3/2018
505,Mendes & Haney LLP,4/3/2018
506,Tidewater Mortgage Services,4/3/2018
507,Leadership Platform Acquistion a/k/a Envision,4/3/2018
508,William & Mary,4/3/2018
509,Southwest Airlines,3/30/2018
510,Teal Becker & Chiaramonte CPAs,3/30/2018
511,Wreath Management,3/30/2018
512,LTP (Len the Plumber),3/30/2018
513,NWAM d/b/a Northwest Asset Mgmt dba RIA Innovations,3/28/2018
514,The Retirement Advantage (Applied Plan Administrators),3/28/2018
515,Mintie,3/28/2018
516,The Hanover Insurance Company,3/28/2018
517,Manduka,3/27/2018
518,Marion B Iles CPA,3/27/2018
519,MS Thornton CPA,3/27/2018
520,Funding Circle (Dun & Bradstreet),3/27/2018
521,Pro World,3/27/2018
522,GY Agemni LLC,3/27/2018
523,Ross Langan & McKendree LLP,3/27/2018
524,Bronson Nutritionals LLC,3/27/2018
525,Presti & Naegele,3/26/2018
526,NFP Property & Casualty Services,3/26/2018
527,Chalavoutis & Associates,3/26/2018
528,The Austin Diagnostic Clinic,3/26/2018
529,Clinical Pathology Laboratories Southeast,3/23/2018
530,Hurst & Langlinais Ltd.,3/23/2018
531,Nampa School District,3/22/2018
532,Serene Sedation (Rockville Eye Surgery/Palisades Surgery),3/22/2018
533,Orbitz,3/22/2018
534,The Travel Corporation,3/22/2018
535,Darden (ADP),3/22/2018
536,The Fireman Hospitality Group,3/20/2018
537,Southpoint Financial Services,3/20/2018
538,Quanta Technology,3/20/2018
539,Island Outdoor,3/20/2018
540,University of Alaska System,3/20/2018
541,Clarfeld Financial Advisors (Charles Schwab),3/20/2018
542,Academy Mortgage Corporation,3/19/2018
543,Intuit (March 14),3/19/2018
544,Rotary International,3/19/2018
545,Neil DiLorenzo CPA,3/19/2018
546,NC Financial Solutions,3/19/2018
547,Triage Consulting Group,3/19/2018
548,Port of Longview,3/14/2018
549,Atwood & Moore,3/14/2018
550,Mount Kellett Capital Management (Appleby),3/14/2018
551,MJ Freeway Business Solutions (Harborside),3/13/2018
552,Personal Care Products,3/13/2018
553,Sims Group USA,3/13/2018
554,Draper and Kramer,3/13/2018
555,ISS Solutions,3/13/2018
556,Homestead Funding,3/12/2018
557,Anchor Fund,3/12/2018
558,Mercy Health Love County Hospital and Clinic,3/12/2018
559,Principal,3/12/2018
560,Preferred Hotels (Sabre/SynXis),3/12/2018
561,CHROME Federal Credit Union,3/12/2018
562,Interstate Plastics,3/12/2018
563,Chopra Enterprises,3/8/2018
564,Fairchild Maddox & Leonidas Ltd,3/8/2018
565,M&E Tax and Financial Services,3/8/2018
566,Beachbody,3/7/2018
567,Remington Hotels,3/7/2018
568,California State University,3/7/2018
569,Swenson Saurer Gerber Anderson & Co.,3/7/2018
570,Parkway Corporation,3/6/2018
571,ABC Bus Companies,3/6/2018
572,Innovate HR,3/6/2018
573,Avitecture,3/6/2018
574,Intuit (March 5),3/6/2018
575,Lydia Security d/b/a COPS Monitoring,3/5/2018
576,McGowan & McGowan PC & McGowan Abstract,3/5/2018
577,Mueller & Co. CPA,3/5/2018
578,ALCOVA Mortgage,3/5/2018
579,California College of the Arts,3/5/2018
580,Goochland Powhatan Community Services,3/5/2018
581,SDI Inc.,3/5/2018
582,Intuit (March),3/5/2018
583,GreyHealth Group,3/5/2018
584,ASI Construction,3/2/2018
585,Bed Bath & Beyond (February),3/2/2018
586,Standard Insurance Company,3/2/2018
587,Cary E. Williams CPA,3/2/2018
588,Centris Federal Credit Union,3/2/2018
589,Metro Wire Rope Corporation,3/2/2018
590,Salient CRGT,3/1/2018
591,North 40 Outfitters,3/1/2018
592,Lingerfelt Commonwealth,3/1/2018
593,ASCD,2/28/2018
594,Winston Williams Creech Evans & Company LLP,2/28/2018
595,FastHealth,2/28/2018
596,MoneyGram,2/27/2018
597,University of Wisconsin-Superior Alumni,2/27/2018
598,Cedarville University,2/27/2018
599,Massachusetts Mutual (February),2/27/2018
600,Cruzstar LLC,2/27/2018
601,Los Angeles Philharmonic,2/26/2018
602,ACTIVE Network,2/26/2018
603,Bed Bath & Beyond,2/26/2018
604,Summit Inspection Services,2/26/2018
605,Santa Cruz Biotechnology,2/26/2018
606,Intuit (TurboTax) February,2/26/2018
607,Dun & Bradstreet,2/26/2018
608,Virginia Workers' Compensation Commission,2/26/2018
609,Rockville Eye Surgery Center d/b/a Palisades Surgery,2/22/2018
610,Transamerica,2/21/2018
611,Thomas Edison State University,2/21/2018
612,Riverside Logistics Services,2/21/2018
613,Engle Martin & Associates,2/21/2018
614,Flexible Benefit Service,2/21/2018
615,LendKey Technologies,2/21/2018
616,George Corley Wallace State Community College,2/21/2018
617,Medical Science & Computing,2/20/2018
618,Perry & Associates CPAs,2/20/2018
619,Coastal Cape Fear Eye Associates,2/20/2018
620,OneMain Financial,2/16/2018
621,Trout Ebersole & Groff LLP,2/16/2018
622,PAR Electrical Contractors,2/16/2018
623,Central Islip Union Free School District,2/16/2018
624,Novozymes US,2/16/2018
625,Fontainebleau Miami Beach,2/16/2018
626,Inspire Home Loans,2/14/2018
627,Moog Inc.,2/14/2018
628,Eastern Shore Rural Health,2/14/2018
629,Intuit (TurboTax),2/12/2018
630,1st Mariner Bank,2/12/2018
631,Charles Komar & Sons (BedheadPJs.com),2/12/2018
632,Valley of the Sun YMCA,2/12/2018
633,Investment Professionals,2/12/2018
634,TrueNet Communications,2/12/2018
635,County of Albemarle,2/12/2018
636,Carter Bank and Trust,2/12/2018
637,Kinetics Systems,2/8/2018
638,City of Batavia,2/8/2018
639,Ventiv Technology,2/6/2018
640,Make-Up Designory,2/6/2018
641,MidCap Financial Services,2/6/2018
642,Caliber Collision Centers,2/6/2018
643,Visit Baltimore Inc.,2/2/2018
644,Duquesne University,2/2/2018
645,Hobart and William Smith Colleges,2/1/2018
646,Broadview Mortgage,2/1/2018
647,RBC (Travelocity),1/31/2018
648,Member First Mortgage,1/31/2018
649,Saginaw Valley State University,1/31/2018
650,Goldleaf Partners,1/30/2018
651,Pentair Aquatic Eco Systems,1/30/2018
652,VSA Partners,1/30/2018
653,National Registry of Emergency Medical Technicians,1/30/2018
654,Earnest Operations,1/26/2018
655,Jeffrey Born CPA,1/26/2018
656,The Salvation Army of Augusta,1/25/2018
657,Westminster Ingleside King Farm Presbyterian Retire,1/25/2018
658,National Stores,1/24/2018
659,Employer Leasing Company,1/23/2018
660,Sabre (Rosewood Hotel),1/23/2018
661,La Mesa-Spring Valley School District (San Diego Cty Off of Ed),1/23/2018
662,Cajon Valley Union School District (San Diego Cty Off of Ed),1/23/2018
663,Coca Cola,1/22/2018
664,Robert L. Borelli CPA,1/22/2018
665,HSBC Mortgage,1/22/2018
666,American Golf Corporation,1/22/2018
667,Tennessee Valley Title Insurance,1/19/2018
668,Guaranteed Rate,1/19/2018
669,Fidelity (January),1/19/2018
670,Alton Lane,1/19/2018
671,Jason's Deli,1/19/2018
672,Anchorage School District,1/19/2018
673,Pension Fund of the Christian Church,1/19/2018
674,Hallmark Home Mortgage,1/16/2018
675,Broward College,1/16/2018
676,talentReef,1/16/2018
677,Rea.deeming d/b/a beautyblender,1/10/2018
678,Multnomah Athletic  Club,1/10/2018
679,DJI Technology,1/10/2018
680,Northeast Arc,1/10/2018
681,Sabre (Inn on Biltmore Estate/Village Hotel on Biltmore),1/10/2018
682,J. G. Edelen Co.,1/9/2018
683,CyrusOne,1/9/2018
684,Cetera Advisors,1/9/2018
685,Massachusetts Mutual,1/5/2018
686,James P. Rinaldi CPA,1/5/2018
687,Keystone Insurers,1/5/2018
688,STP Nuclear Operating,1/5/2018
689,Forever 21,12/29/2017
690,Board of Pensions of Presbyterian Church,12/28/2017
691,TIO Networks (Paypal),12/28/2017
692,Salem & Green (Mi-Med Supply),12/27/2017
693,Michael Saunders & Company,12/27/2017
694,Wawa,12/27/2017
695,Connecticut Players Foundation,12/27/2017
696,Veyna & Forschino,12/27/2017
697,Compassion Care Hospice Las Vegas,12/27/2017
698,The Valerie Fund,12/27/2017
