Company,Date,Type,Description,NJCCIC Recommendation
Millions of Stolen Accounts From Multiple Websites for Sale on the Dark Web,2/19/2019,Data Breach,"Millions of online accounts from sixteen hacked websites are now up for sale on the Dark Web. Some US-based websites include Animoto, Artsy, and Armor Games, and Whitepages. Most data consists of names, email addresses, and hashed passwords, and many of the websites have notified their users of the breach. It is important for affected users to change their passwords, use strong and unique passwords for every account, and enable multi-factor authentication where available to protect against credential stuffing attacks. More information on these breaches can be found on The Register’s blog post.   ",
VFEmail,2/19/2019,Data Breach,"Hackers breached the servers of email provider VFEmail[.]net. On February 11, the perpetrators wiped all data from the company’s US servers, destroying all US customer data, including all inbox content. Staff are working to recover users’ emails; however, it appears all US customer data is unrecoverable. VFEmail users no longer have spam email filtering in place and are advised to exercise caution with any emails they receive. More information and updates on the situation can be found via the company’s website and official twitter account.",
Houzz,2/13/2019,Data Breach,"The online home renovation and design platform, Houzz, suffered a data breach in December 2018. In a security update, Houzz details the data impacted and requests users reset their passwords as a precaution. The data that may have been exposed includes certain publicly visible information from Houzz users’ profiles if set to publicly available, certain internal identifiers for internal use, and certain internal account information that could include users’ email address, user ID, prior Houzz usernames, one-way encrypted passwords salted, IP address, city and zip code as determined by IP address, current Houzz username, and users’ public Facebook ID if the user logs into Houzz via Facebook. Houzz is working with a forensic firm and law enforcement regarding the breach.",
Oklahoma Department of Securities,1/28/2019,Data Breach,"A server containing about three terabytes of sensitive government data, including information regarding FBI investigations, was left exposed by the Oklahoma Department of Securities (ODS). The database was found by cybersecurity firm UpGuard using an open source search engine on December 7, 2018. ODS was notified and removed the exposed server from public access the same day. The database had been publicly accessible since at least November 30, 2018. The records contained information dating back to 1986 and from as recently as 2016, and included personal data, system credentials, and email inbox backups. The ODS released a statement confirming the breach, indicating it occurred during the installation of a firewall, and will notify those whose information was revealed. For more information on the breach, please review the UpGuard post here.  
",
Online Casino Groups,1/28/2019,Data Breach,"Over 108 million casino bets were leaked online in yet another data incident, affecting customers of websites like kahunacasino[.]com, azur-casino[.]com, easybet[.]com, and viproomcasino[.]net. User data was stored in an exposed, passwordless ElasticSearch server discovered by Justin Paine of Cloudflare. Real names, home addresses, phone numbers, email addresses, birthdates, usernames, account balances, IP addresses, browser type, last login information, played games, partial credit information, and operating system details were all revealed in the leak. All this information could be used in future phishing attempts, and other social engineering schemes, against online casino customers. Security experts are still waiting for a response from affected sites; however, the exposed server has since gone offline and is now inaccessible. It is uncertain how long the data was available online or if anyone accessed it. For more information on the data leak, review the ZDNet blog post.",
MEGA Cloud Storage Service,1/28/2019,Data Breach,"A collection of email addresses and plain text passwords from multiple sources were exposed on the MEGA cloud storage service. There is the potential misuse of the plain text passwords in which credential stuffing attacks may take place. According to OWASP, credential stuffing is the automated injection of breached username/password pairs in order to fraudulently gain access to user accounts.  These potential attacks reinforce the importance of utilizing unique/strong passwords, updating passwords, and avoiding password reuse across multiple accounts.","The NJCCIC advises users to periodically change passwords; use strong, unique passwords for each account; and enable multi-factor authentication when possible. For more information, please review Troy Hunt’s blog post here. "
OXO,1/15/2019,Data Breach,"Kitchen and houseware manufacturer, OXO International, disclosed that customer contact and payment information from their e-commerce site may have been accessed multiple times over a two year period. OXO discovered their servers were compromised from June 9, 2017 - November 28, 2017, June 8, 2018 - June 9, 2018, and July 20, 2018 - October 16, 2018, but believe that attempts to steal data may have been unsuccessful. OXO has since fixed the vulnerabilities present in their servers, and sent out notification emails to affected customers containing a member ID for a year of free credit-monitoring services from Kroll. Bleeping Computer attributes at least one of the attacks to MageCart: several hacker groups who inject malicious scripts onto legitimate webpages in order to steal payment information.",
Update: Marriott,1/15/2019,Data Breach,"On January 3, Marriott International provided an update on the breach originally disclosed on November 30. During the four-year intrusion, threat actors stole data on approximately 383 million customers, down from the original estimate of 500 million. In addition, of the 25.5 million passport numbers accessed, 5.25 were stored in clear text, allowing threat actors to more easily steal customers’ identities. Customers can contact Marriott to determine if their passport number was included in the unencrypted set. Marriott previously stated they would compensate customers for passport replacements if they could prove fraud had occurred. About 8.6 million encrypted payment cards were also exposed; however, only 354,000 were unexpired as of September 2018. Customers can take advantage of free web monitoring services offered by Marriott by visiting https://info.starwoodhotels.com/.",
Town of Salem,1/8/2019,Data Breach,"Personal details of 7.6 million users of BlankMediaGames’ browser-based game “Town of Salem” were exposed after its servers were hacked. The exfiltrated data includes usernames, email addresses, passwords in various hashing formats, IP addresses, game and forum activity, and purchased premium game features. No payment details were revealed. The data was sent to DeHashed, a commercial data breach indexing site and shared with the similar Have I Been Pwned site. Town of Salem users are advised to visit either website to determine if their information was exposed. All users are encouraged to change their account passwords as well as passwords for any other account that shares the same credentials. BlackMediaGames published a forum post addressing the issue here.",
Caribou Coffee,1/2/2019,Data Breach,"Caribou Coffee recently suffered a data breach exposing customer payment information taken from 265 US stores during a three-month period. An unauthorized party had access to point-of-sale systems between August 28-December 3, 2018, revealing customer names, payment card numbers, expiration dates, and security codes. Payments made through its rewards program were unaffected. Impacted customers are advised to monitor financial accounts for suspicious activity, notify their card issuers immediately if they notice unauthorized charges made to their accounts, and take advantage of any free credit monitoring services offered by Caribou Coffee.",
Facebook API,12/26/2018,Data Breach,"Facebook announced that a flaw in its application programming interface (API) may have allowed photos from 6.8 million accounts to be accessed by unauthorized third-parties. While these applications received user permissions to access Facebook photos, they are ordinarily restricted to content published on the user’s Timeline; however, from September 13 through September 25, this permission extended to other sections of the user’s profile, such as Marketplace, Facebook Stories, and photos the user uploaded but never published. Facebook estimates that 1,500 apps from 876 developers could have accessed the image content during this time. Potentially impacted users will be notified via Facebook.",
Quora,12/11/2018,Data Breach,"Quora, a community question and answer website, suffered a data breach that exposed information on 100 million users. Threat actors accessed account information such as name, email address, and encrypted passwords; public content such as questions, answers, and comments; and non-public content such as direct messages. Quora has engaged digital forensic and security experts to investigate and will notifying all impacted users. The full security update can be found here.",
Marriott,12/11/2018,Data Breach,"Marriott announced  a data security incident that impacted up to 500 million guests who made a reservation at a Starwood property during the last four years. According to the company’s notification, the Starwood guest reservation database has been accessed by unauthorized actors since 2014. Compromised information includes customer names, and potentially their corresponding physical and email addresses. Passport number, Starwood Preferred Guest (SPG) account information, date of birth, gender, reservation details, and communication preferences may have also been exposed for approximately 327 million of the total guests affected. Marriott was alerted to the issue on September 8th of this year and began notifying affected customers via email on November 30th.",The NJCCIC recommends those who stayed at a Starwood property during the last four years closely monitor their accounts and report fraudulent activity as soon as possible. We also recommend enrolling in any free credit monitoring programs offered by Marriott.
US Postal Service,12/4/2018,Data Breach,"A security researcher discovered a flaw in the US Postal Service (USPS) website, usps[.]com, which allowed any logged in user to access the information of over 60 million other user accounts by conducting a simple query. The exposure stemmed from an application programming interface (API) used to support USPS’s Informed Visibility service, a program that provides real-time tracking of mail. Potentially accessed information includes email address, username, user ID, account number, address, and phone number. USPS fixed the issue on November 20th of this year.",
Dunkin',12/4/2018,Data Breach,"Dunkin’ announced that a third-party obtained access to some DD Perks accounts using usernames and passwords disclosed in data breaches at other companies, known as a credential stuffing attack. If accountholders used the same credentials for their DD Perks account that were exposed in a previous breach, the threat actors were able to gain access to their account, revealing customers’ first and last names, addresses, and account numbers. Dunkin’ forced a password reset to all potentially affected accountholders. It is important to immediately change passwords that have been disclosed in a breach, as well as passwords for any other accounts that share the same credentials. It is highly recommended to avoid reusing passwords across multiple accounts and enable multi-factor authentication where available to prevent credential stuffing attacks.",
Kars4Kids,11/20/2018,Data Breach,"On November 3, Bob Diachenko, Director of Cyber Risk Research at Hacken, discovered a publicly accessible MongoDB that contained the personal information of approximately 21,612 Kars4Kids donors and customers. Exposed information included email addresses, as well as credentials that could be used to access additional data such as donation receipts, home addresses, phone numbers, and vacation vouchers; super administrator login and password details were also accessible. According to a representative from the company, the database has since been secured and affected individuals have been notified.",
HSBC,11/13/2018,Data Breach,"HSBC bank has suffered a data breach, allowing threat actors to gain access to some customers’ information including account numbers, balances, addresses, and transaction history. Unauthorized actors accessed user accounts from October 4, 2018 to October 14, 2018, likely through credential stuffing attacks. HSBC suspended impacted accounts after detecting the activity and will contact users via email or phone to assist them in accessing their accounts and changing their online banking credentials. The breach reportedly affects about 1 percent of US HSBC accounts. HSBC is offering one year of credit monitoring and identity theft protection services.",
Cathay Pacific Airways,10/30/2018,Data Breach,"Cathay Pacific Airways announced that some of their customer data was accessed by an unauthorized party, although there is currently no evidence to suggest that this information has been misused. The accessed data includes passenger name, nationality, date of birth, phone number, email, address, passport and identity card number, frequent flyer member number, customer service remarks, and historical travel information; passwords were not compromised. According to the company’s statement , some expired credit card numbers and those without CVV numbers were also exposed. Official notifications related to this incident will be sent from an address containing the format infosecurity[@]cathaypacific[.]com.","The NJCCIC recommends impacted Cathay Pacific Airways customers closely monitor their credit profiles and financial accounts and immediately report any suspicious activity. Additionally, if individuals are concerned their information may have been exposed in this incident they can file a request with Cathay Pacific here."
Pentagon,10/24/2018,Data Breach,"The Pentagon disclosed a breach of Defense Department travel records that compromised the personal information and credit card data of US military and civilian personnel. Pentagon spokesman Lieutenant Colonel Joseph Buccino stated that the breach initiated from a commercial vendor that provided service to the Defense Department. The size and scope of the cyber incident is currently unknown but is believed to affect as many as 30,000 individuals. The Defense Department will make notifications to the affected personnel.","The NJCCIC recommends those impacted monitor their financial accounts and credit profile, report unauthorized activity immediately, and take advantage of any fraud protection services offered."
Twitch,8/28/2018,Data Breach,"Twitch, a live streaming video platform, recently issued a warning to users that a vulnerability in Twitch Messages revealed some of the user’s messages in other user’s archives. In some cases, the messages exposed contained sensitive information. The bug has since been fixed.",The NJCCIC recommends users visit Twitch's website  to determine if Twitch has revealed any of their messages in another user’s archive.
Sitter,8/28/2018,Data Breach,"On August 14, independent security researcher Bob Diachenko discovered that Sitter, a popular app for connecting babysitters with parents, accidently exposed the personal information of over 93,000 users. The exposure stemmed from an unsecured MongoDB database that was left open to the internet. This database was publicly accessible and included encrypted passwords for Sitter accounts, partial payment card numbers, home addresses, phone numbers, users’ address book contacts, and the number of children per family. The exposed database was taken offline the same day the company was notified.","Last year, the NJCCIC released several alerts warning members about cyber extortion campaigns that were actively targeting vulnerable MongoDB servers. We recommend that administrators of MongoDB servers review our previous NJCCIC Cyber Alert, audit their security settings, and implement the mitigation strategies provided as soon as possible. We also recommend that users of the Sitter app monitor their personal and financial accounts and report any fraudulent activity as soon as possible. "
Animoto,8/28/2018,Data Breach,"Animoto, a cloud-based video maker service for social media sites, announced a data breach exposing its users' names, dates of birth, and email addresses. In a security announcement, Animoto stated that geolocations of users were also exposed. Animoto CEO Brad Jefferson told TechCrunch that they are unaware how many users it has impacted, but all 22 million users will be notified. ",The NJCCIC recommends Animoto users be on alert for phishing campaigns related to the breach and monitor credit profiles for unauthorized activity.
Jersey Mike's Subs,8/14/2018,Data Breach,"Jersey Mike’s Subs recently emailed their customers asking them to reset their account passwords. Per the notification, it is suspected that customer email addresses and/or passwords may have been obtained by an unauthorized party by using the same login credentials previously exposed in a separate breach. ",The NJCCIC recommends customers immediately change the password for their Jersey Mike’s Subs account and any other accounts that share the same credentials.
Recruitmilitary.com,8/14/2018,Data Breach,"According to cyberwarnews, a user by the name of “booloop” stated that an anonymous user gave them 850,729 US military officers’ email addresses with full names and telephone numbers. Information from 2002 to 2017 was included in this data set.",The NJCCIC recommends individuals with Recruitmilitary.com accounts be on alert for increased social engineering campaigns as a result of the breach.
TCM Bank,8/14/2018,Data Breach,"Security researcher Brian Krebs reported that a website misconfiguration at TCM Bank exposed the names, addresses, dates of birth, and Social Security numbers of thousands of people who applied for payment cards between March 2017 and July 2018. TCM said the exposed information was taken from a third-party managed website used by customers to apply for payment cards. ",The NJCCIC recommends affected customers monitor their credit profiles and report any suspicious activity.
Salesforce,8/14/2018,Data Breach,"Salesforce announced that during a Marketing Cloud release between June 4 and July 7 of this year, a code change may have caused “a small subset of REST API calls to improperly retrieve or write data from one customer’s account to another.” The issue, discovered on July 18, was resolved the same day and affected customers were notified. ",The NJCCIC advises Salesforce Marketing Cloud customers to follow the Salesforce recommendations by carefully monitoring and reviewing their data to ensure nothing has been modified.
Macy's & Bloomingdale's,7/17/2018,Data Breach,"Macy’s reported that between April 26 and June 12, 2018, an unauthorized third party gained access to valid usernames and passwords for online accounts of some Macys[.]com and Bloomingdales[.]com customers. Information accessed through the customer profiles included names, addresses, phone numbers, email addresses, month and day of birth, and payment card information; CVV numbers and social security numbers were not exposed. According to a Macy’s spokesperson, only one-half percent of logged in customers were affected. Following the incident, Macy’s locked access to accounts associated with suspicious activity, required users to reset their passwords, and notified the major credit card companies of the breach. ","The NJCCIC recommends affected customers to monitor financial accounts for suspicious activity, notify their card issuers immediately if they notice unauthorized charges made to their accounts, and take advantage of the free credit monitoring services offered by Macy’s."
Timehop,7/17/2018,Data Breach,"The mobile app Timehop, which displays users' social media posts from the same day in previous years, announced that it suffered a data breach in December 2017, affecting its entire user base of over 21 million users. The threat actor gained access to the company’s cloud infrastructure, which did not have multi-factor authentication enabled, and stole data on Timehop users, including usernames, emails, phone numbers, and access keys. Access keys link the users' Timehop accounts to other social media accounts to pull older posts and images. The keys have since been de-authorized and can no longer be used. Timehop is working with law enforcement and a cyber incident response firm.",
Fitness App Polar Flow,7/17/2018,Data Breach,"The popular fitness app ""Polar Flow"" has accidentally exposed the location of millions of users, including personnel working for intelligence services and at military bases. By simply modifying the browser's web address or abusing the API, an individual could find the names of users who track, or who have tracked, their fitness with Polar Flow, going back to 2014. Additionally, abusing the app's API revealed information on over 64,000 users whose accounts were set to private, many of whom used the app at sensitive locations around the world including the NSA, White House, MI6, and nuclear storage facilities. Since the release of this information, Polar has temporarily suspended the Explore API.",
Ticketfly,6/12/2018,Data Breach,"The popular ticket distribution service Ticketfly was taken offline last week after a hacker defaced its homepage and stole customers’ personal data. The hacker threatened to release the data online if a 1 Bitcoin ransom was not received. Ticketfly did not pay the ransom and the hacker subsequently posted online the details of over than 26 million users, including email addresses with corresponding home and mailing addresses and phone numbers, according to researcher Troy Hunt. The company confirmed it is working with third-party forensic and cybersecurity experts.","The NJCCIC recommends all users of Ticketfly review the Bleeping Computers article and visit Ticketfly’s update page for more information. Additionally, users are advised change their passwords for Ticketfly accounts and any other account using the same password as soon as possible."
PumpUp,6/12/2018,Data Breach,"Security researcher Oliver Hough discovered that a popular fitness app company, PumpUp, left a backend server exposed to the internet without a password, allowing unauthorized access to over six million users’ private and sensitive data. The exposed server, hosted on Amazon’s cloud, contained users’ email addresses, personal information entered into the app, full resolution profile photos, IP addresses, session tokens, and, in some cases, unencrypted credit card data including card numbers, expiration dates, and card verification values.","The NJCCIC recommends PumpUp app users review the ZDNet report and change their passwords for all accounts associated with the app immediately. Additionally, we recommend administrators of Amazon cloud services review our previous NJCCIC Cyber Alert on the risks associated with misconfigured databases, audit their security settings, and implement the mitigation strategies provided as soon as possible."
Coca-Cola,6/5/2018,Data Breach,"On September 1, 2017, law enforcement officials notified Coca-Cola that a former employee of the company was found to be in possession of an external hard drive containing personal information of approximately 8,000 Coca-Cola employees. Coca-Cola is in the process of notifying those impacted by the incident and will offer one year of free identity monitoring services to affected employees.",The NJCCIC recommends Coca-Cola employees monitor their financial accounts for suspicious activity and report any unauthorized charges immediately. We also recommend impacted individuals take advantage of the free monitoring services offered.
TeenSafe,5/29/2018,Data Breach,"A UK-based security researcher found two servers used by the popular mobile app “TeenSafe” unsecured and publicly accessible without a password. The app, used by parents to monitor their children’s phone activity, stored thousands of accounts on the Amazon cloud servers that contained parents’ email addresses, the child’s Apple ID email address, the child’s device name, the device’s unique identifier, and the plaintext passwords for the child’s Apple ID. The company was notified by the researcher, and both servers were taken offline. TeenSafe is in the process of alerting customers who may have been impacted by the breach.","The NJCCIC recommends parents who use TeenSafe review the ZDNet report. Additionally, users should change their passwords for all accounts associated with the app."
Chili's,5/18/2018,Data Breach,"On May 12, Brinker International announced some Chili’s restaurants were impacted by a data breach incident that occurred from March-April 2018. Payment details, including card numbers and cardholder names, were compromised at undisclosed Chili’s locations as a result of malware installed on their payment systems. Brinker International will provide credit monitoring and fraud resolution services to affected customers. There are 24 Chili’s locations in New Jersey. ",The NJCCIC recommends patrons of Chili’s restaurants during the impacted timeframe review the Brinker International News Release and monitor their financial accounts for unauthorized activity and immediately report any fraudulent charges to their financial institutions. Members are encouraged to place fraud alerts on their credit file with the three national credit reporting agencies.
Drupe Android Application Exposed Some Users' Pictures and Audio Messages,5/11/2018,Data Breach,"Drupe, an Android application designed to enable communication via phone calls, text messages, and through integrations with social media chat applications such as Skype and WhatsApp, left some of their users’ pictures and audio messages publicly accessible via unsecured Amazon Web Services (AWS) S3 buckets. According to a post published by the Drupe Team on May 7, the flaw only affected those who used the Drupe Walkie Talkie feature to send messages or the Drupe special messaging infrastructure to send images. These features are reportedly utilized by approximately three percent of Drupe users.","The NJCCIC recommends administrators of AWS S3 buckets and other cloud databases review our previous NJCCIC Cyber Alert on the risks associated with misconfigured S3 buckets, audit their security settings, and implement the mitigation strategies provided as soon as possible."
LocalBlox,4/20/2018,Data Breach,"LocalBlox, a company that collects data from public web profiles, left details of over 48 million users publicly accessible via an unsecured Amazon Web Services (AWS) S3 bucket. On February 28, an UpGuard researcher discovered the S3 bucket containing a 1.2 TB file of what appeared to be a backup of the LocalBlox database; UpGuard notified LocalBlox who secured the server that same day. The file contained publicly accessible data collected from Facebook, LinkedIn, Twitter, and Zillow, and included names, physical addresses, dates of birth, LinkedIn job history, Twitter handles, and some IP and email addresses. While the information contained in the S3 bucket is public information, it highlights the continued risk associated with misconfigured and unsecured AWS S3 buckets. ","The NJCCIC recommends administrators of AWS S3 buckets and other cloud databases review our previous NJCCIC Cyber Alert on the risks associated with misconfigured S3 buckets, audit their security settings, and implement the mitigation strategies provided as soon as possible. "
TaskRabbit,4/20/2018,Data Breach,"On Monday, April 16, a user of the online freelance marketplace TaskRabbit reported via her Twitter account that she had identified a phishing attack targeting TaskRabbit users along with a website that appeared to reveal TaskRabbit’s private GitHub account, daily transaction volumes, and key employee information. After disclosing these findings to the company, the TaskRabbit service was taken offline while an investigation into the incident took place. On April 17, TaskRabbit posted an account security update on its website to update its users on the status of the investigation.",The NJCCIC recommends all TaskRabbit account holders who use the same login credentials for other online accounts proactively change those credentials and enable two-factor authentication (2FA) on any account that offers it to prevent additional account compromise.
Best Buy,4/13/2018,Data Breach,"Best Buy announced that a small number of customers who made online purchases between September 27 and October 12, 2017 may have had their payment information exposed. According to Best Buy’s statement, the data breach resulted from a cyber intrusion of [24]7.ai, a third-party vendor used to provide chat services for Best Buy’s customers via telephone or computer. Best Buy will offer free credit monitoring services to impacted customers who are interested and will notify affected individuals directly. ",The NJCCIC recommends all Best Buy customers monitor their financial accounts for suspicious activity and report any unauthorized charges immediately. We also recommend impacted customers take advantage of the free credit monitoring services offered.
Under Armour/MyFitnessPal,4/5/2018,Data Breach,"Under Armour announced that, in February 2018, an unauthorized party obtained access to data associated with MyFitnessPal user accounts. Information exposed in the breach includes usernames, email addresses, and hashed passwords.","The NJCCIC recommends that MyFitnessPal users immediately change the passwords to their accounts and be on alert for phishing campaigns associated with, and resulting from, this breach."
Saks Fifth Avenue and Lord & Taylor,4/5/2018,Data Breach,"Saks Fifth Avenue and Lord & Taylor department stores released a statement regarding a data breach that resulted in the theft of customer payment card data. According to Gemini Advisory, a cybersecurity firm that specializes in tracking stolen financial data, the compromise likely occurred beginning May 2017 and the majority of stolen payment card information was obtained from the companies’ New York and New Jersey locations. Saks Fifth Avenue and Lord & Taylor will offer impacted customers free credit and web monitoring services, as well as free identity protection services. ","The NJCCIC recommends affected customers take advantage of the free credit and web monitoring services, as well as the identity protection services offered, monitor their financial accounts for suspicious activity, and notify their card issuers immediately if they notice unauthorized charges made to their accounts."
Panera Bread,4/5/2018,Data Breach,"On April 2, security researcher Brian Krebs reported that, for at least eight months, Panerabread[.]com had been leaking millions of customer records that included names, email addresses, home addresses, dates of birth, customer loyalty card numbers, and the last four digits of their payment card numbers. In August 2017, another security researcher, Dylan Houlihan, had reportedly notified the company about the data exposure but the company did not address the issue until April 2, 2018. Cybersecurity firm Hold Security suggests that the number of exposed records likely exceeds 37 million and that the data leak may also impact Panera’s commercial division. ","The NJCCIC recommends all Panera Bread customers monitor their financial accounts and loyalty accounts for suspicious activity and report any unauthorized charges immediately. Additionally, we recommend Panera Bread customers be on alert for phishing campaigns associated with, and resulting from, this data leak."
CareFirst,4/5/2018,Data Breach,"CareFirst BlueCross BlueShield reported that, on March 12, 2018, an employee within the company took action on a phishing email and, as a result, may have exposed the personal information of 6,800 of the insurer’s members. The employee’s account was used to send spam emails to recipients who are not associated with CareFirst. The unauthorized access of the employee’s email account could have potentially exposed CareFirst member names, identification numbers, and dates of birth. Eight members’ Social Security numbers may have also been exposed. CareFirst is offering two years of free credit monitoring and identity theft protection services to affected members.",The NJCCIC recommends affected members take advantage of the free credit monitoring and identity theft protection services offered.
