BUSINESS NAME,NOTIFICATION DOCUMENTS,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
Pioneer Railcorp,https://media.dojmt.gov/wp-content/uploads/General-Notice-106.pdf,12/2/2019,12/2/2019,6/9/2020,1
Pacific Press Publishing Association,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-184.pdf,6/1/2019,10/31/2019,6/9/2020,34
Ottawa Kent Insurance Agency,https://media.dojmt.gov/wp-content/uploads/Consumer-100.pdf,11/4/2019,11/4/2019,6/5/2020,2
BHHS Legacy Foundation,https://media.dojmt.gov/wp-content/uploads/General-Notice-105.pdf,5/8/2020,5/8/2020,6/5/2020,3
Pen Factory,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-183.pdf,9/1/2019,4/15/2020,6/5/2020,50
St. Michael's College,https://media.dojmt.gov/wp-content/uploads/Consumer-98.pdf,11/13/2019,12/3/2019,6/4/2020,1
Kankakee Valley School Corporation,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-182.pdf,3/19/2020,3/19/2020,6/4/2020,2
Interstates,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-181.pdf,2/18/2020,2/18/2020,6/4/2020,2
Grande Ronde Hospital,https://media.dojmt.gov/wp-content/uploads/Consumer-97.pdf,2/19/2020,2/19/2020,6/3/2020,4
Bombas LLC,https://media.dojmt.gov/wp-content/uploads/General-Notice-103.pdf,11/11/2016,2/16/2017,6/3/2020,289
DAK Americas,https://media.dojmt.gov/wp-content/uploads/Consumer-99.pdf,12/16/2019,3/16/2020,6/2/2020,43987
McKinney & Company,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-180.pdf,4/1/2020,4/30/2020,6/2/2020,4
"VanOrdern, Lund & Cannon, PLLC",https://media.dojmt.gov/wp-content/uploads/Consumer-113.pdf,3/31/2020,3/31/2020,6/1/2020,5
Hawkes Hastings & Aaron,https://media.dojmt.gov/wp-content/uploads/Consumer-96.pdf,3/23/2020,3/23/2020,6/1/2020,1
"Rudnik Surety, Inc.",https://media.dojmt.gov/wp-content/uploads/General-Notice-102.pdf,2/4/2020,3/18/2020,6/1/2020,1
Paul Quinn College,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-179.pdf,8/16/2019,8/16/2019,6/1/2020,3
"Rogue & Co., LLC",https://media.dojmt.gov/wp-content/uploads/Consumer-95.pdf,3/6/2020,3/16/2020,5/29/2020,7
Amtrak,https://media.dojmt.gov/wp-content/uploads/Consumer-94.pdf,4/16/2020,4/17/2020,5/29/2020,22
"INTEGRIS Baptist Medical Center, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-178.pdf,10/17/2019,10/17/2019,5/29/2020,3
Pacific Life Insurance Company,https://media.dojmt.gov/wp-content/uploads/General-Notice-87.pdf,5/7/2020,5/12/2020,5/29/2020,1
"Dogeared, Inc.",https://media.dojmt.gov/wp-content/uploads/General-Notice-88.pdf,11/19/2019,12/30/2020,5/28/2020,4
"Yount, Hyde & Barbour, P.C.",https://media.dojmt.gov/wp-content/uploads/Consumer-93.pdf,10/15/2019,1/23/2020,5/27/2020,2
Florida Engineers Management Corporation,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-177.pdf,2/11/2020,4/1/2020,5/27/2020,1
Mabrey Bank,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-176.pdf,1/30/2020,2/10/2020,5/27/2020,8
Therapia Staffing,https://media.dojmt.gov/wp-content/uploads/General-Notice-90.pdf,1/1/2020,2/14/2020,5/27/2020,1
"Car Wash Partners, Inc.",https://media.dojmt.gov/wp-content/uploads/General-Notice-89.pdf,10/30/2019,1/14/2020,5/27/2020,3
Pennsylvania Bar Association,https://media.dojmt.gov/wp-content/uploads/Consumer-92.pdf,4/7/2020,4/21/2020,5/26/2020,1
"Quest Education, LLC",https://media.dojmt.gov/wp-content/uploads/Consumer-91.pdf,4/17/2020,4/17/2020,5/26/2020,2
Compass Health,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-175.pdf,2/18/2020,2/19/2020,5/26/2020,6
Duben & Associates,https://media.dojmt.gov/wp-content/uploads/General-Notice-91.pdf,2/11/2020,2/11/2020,5/26/2020,8
Sceptre Hospitality Resources,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-174.pdf,1/22/2020,1/29/2020,5/22/2020,5
"Universal Insurance Programs, LLC.",https://media.dojmt.gov/wp-content/uploads/General-Notice-92.pdf,7/17/2019,8/1/2019,5/22/2020,2
"Gustafson & Company, LLC.",https://media.dojmt.gov/wp-content/uploads/General-Notice-93.pdf,4/10/2020,4/10/2020,5/21/2020,3
Allegheny Intermediate Unit,https://media.dojmt.gov/wp-content/uploads/Consumer-90.pdf,10/28/2019,1/27/2019,5/20/2020,14
Great Lakes Wholesale Group,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-173.pdf,7/8/2019,9/22/2019,5/20/2020,2
University of Utah,https://media.dojmt.gov/wp-content/uploads/General-Notice-94.pdf,2/3/2020,2/3/2020,5/19/2020,10
Woodlawn Dental Center,https://media.dojmt.gov/wp-content/uploads/Consumer-89.pdf,3/19/2020,3/19/2020,5/18/2020,1
Norton LifeLock,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-172.pdf,4/28/2020,4/28/2020,5/18/2020,1
Prime Communications,https://media.dojmt.gov/wp-content/uploads/General-Notice-95.pdf,12/11/2019,12/11/2019,5/18/2020,1
"Mat-Su Surgical Associates, APC",https://media.dojmt.gov/wp-content/uploads/Consumer-88.pdf,3/16/2020,3/16/2020,5/15/2020,15
PCL Constructors Inc.,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-171.pdf,2/18/2020,2/19/2020,5/14/2020,7
Reedman Toll Auto World,https://media.dojmt.gov/wp-content/uploads/Consumer-87.pdf,3/8/2010,3/18/2020,5/13/2020,1
Mille Lacs Health Systems,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-167.pdf,8/26/2019,1/7/2020,5/11/2020,
Magellan Health Inc.,https://media.dojmt.gov/wp-content/uploads/General-Notice-96.pdf,4/6/2020,4/12/2020,5/11/2020,823
Arkansas Teacher Retirement System,https://media.dojmt.gov/wp-content/uploads/Consumer-86.pdf,2/4/2020,2/4/2020,5/8/2020,6
District Medical Group,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-170.pdf,2/4/2020,2/10/2020,5/8/2020,4
"Carestream Health, Inc.",https://media.dojmt.gov/wp-content/uploads/General-Notice-97.pdf,5/1/2020,5/1/2020,5/8/2020,1
Moorestown Visiting Nurse Association,https://media.dojmt.gov/wp-content/uploads/Consumer-85.pdf,3/19/2020,3/19/2020,5/7/2020,2
Wells Fargo,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-169.pdf,4/16/2020,4/16/2020,5/7/2020,1
Atria Wealth Solutions,https://media.dojmt.gov/wp-content/uploads/General-Notice-86.pdf,12/3/2019,12/3/2019,5/7/2020,6
Icahn Automotive Group LLC,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-168.pdf,3/13/2020,4/4/2020,5/6/2020,8
Doctors Community Medical Center,https://media.dojmt.gov/wp-content/uploads/General-Notice-85.pdf,11/6/2019,1/30/2020,5/6/2020,
Impact Mobile Home Communities,https://media.dojmt.gov/wp-content/uploads/General-Notice-84.pdf,10/3/2018,7/31/2019,5/5/2020,14
Orchard Medical Consulting,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-166.pdf,1/30/2020,1/30/2020,5/5/2020,2
Management and Network Services,https://media.dojmt.gov/wp-content/uploads/Consumer-83.pdf,4/1/2019,7/31/2019,5/4/2020,1
"Environmental Data Resources, LLC",https://media.dojmt.gov/wp-content/uploads/Consumer-81.pdf,8/8/2019,11/21/2019,5/4/2020,10
"Informatics, Inc.",https://media.dojmt.gov/wp-content/uploads/General-Notice-83.pdf,1/31/2020,4/8/2020,5/4/2020,1
"APISource, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-165.pdf,12/9/2019,4/3/2020,5/4/2020,4
"McKissock Investment Holdings, LLC",https://media.dojmt.gov/wp-content/uploads/Consumer-80.pdf,11/16/2019,3/4/2020,5/1/2020,2
"Shoup Manufacturing Company, Inc.",,2/24/2020,2/24/2020,5/1/2020,1
The City of Fort Lauderdale,https://media.dojmt.gov/wp-content/uploads/General-Notice-82.pdf,2/19/2020,2/19/2020,5/1/2020,2
"Armstrong Oil & Gas, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-164.pdf,12/11/2019,12/11/2019,5/1/2020,1
Tufts University,https://media.dojmt.gov/wp-content/uploads/Consumer-82.pdf,5/1/2019,3/23/2020,4/30/2020,1
"MBS Textbook Exchange, LLC",https://media.dojmt.gov/wp-content/uploads/General-Notice-81.pdf,2/18/2020,2/21/2020,4/30/2020,6
Sisters of the Presentation of the Blessed Virgin Mary,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-163.pdf,3/1/2020,3/1/2020,4/30/2020,4
Capital Brands,https://media.dojmt.gov/wp-content/uploads/General-Notice-80.pdf,2/19/2020,3/17/2020,4/29/2020,8
Principal Financial Group,https://media.dojmt.gov/wp-content/uploads/Consumer-84.pdf,11/23/2019,1/6/2020,4/28/2020,86
Meridian Health Services Corp.,https://media.dojmt.gov/wp-content/uploads/General-Notice-79.pdf,2/27/2020,2/27/2020,4/27/2020,7
"Ray Insurance Agency, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-162.pdf,10/16/2019,11/4/2019,4/27/2020,3
Daniel Bendetowicz MD PA,https://media.dojmt.gov/wp-content/uploads/Consumer-78.pdf,3/25/2020,3/25/2020,4/24/2020,2
Spencer Municipal Hospital,https://media.dojmt.gov/wp-content/uploads/Consumer-77.pdf,2/18/2020,2/18/2020,4/24/2020,1
FRB Federal Credit Union,https://media.dojmt.gov/wp-content/uploads/doc.pdf,10/27/2019,1/9/2020,4/24/2020,5
UW Health,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-160.pdf,2/28/2020,2/28/2020,4/23/2020,1
Luxe Energy LLC,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-159.pdf,10/19/2018,1/6/2020,4/21/2020,3
"Baylor Evnen, LLP",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-158.pdf,4/3/2020,4/3/2020,4/20/2020,1
"KandyPens, Inc.",https://media.dojmt.gov/wp-content/uploads/kpbreach.pdf,3/7/2019,2/13/2020,4/20/2020,142
Silicon Valley Community Foundation,https://media.dojmt.gov/wp-content/uploads/General-Notice-62.pdf,8/23/2019,8/23/2019,4/20/2020,1
"Volusion, LLC",https://media.dojmt.gov/wp-content/uploads/General-Notice-61.pdf,9/7/2019,10/8/2019,4/20/2020,1944
Southwest Airlines Pilots' Association,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-157.pdf,1/25/2020,1/25/2020,4/17/2020,2
Ambry Genetics Corporation,https://media.dojmt.gov/wp-content/uploads/doc-15.pdf,1/22/2020,1/24/2020,4/17/2020,608
Squar Milner LLP,https://media.dojmt.gov/wp-content/uploads/smilbreach.pdf,3/25/2020,3/25/2020,4/17/2020,6
Beaumont Health,https://media.dojmt.gov/wp-content/uploads/General-Notice-58.pdf,5/23/2019,6/3/2019,4/17/2020,2
Lincoln Financial Advisors,https://media.dojmt.gov/wp-content/uploads/Consumer-79.pdf,3/19/2020,3/19/2020,4/16/2020,4
"PrimoHoagies Franchising, Inc. - Data Breach",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-156.pdf,7/15/2019,2/18/2020,4/16/2020,9
"Fareway Stores, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-155.pdf,2/18/2020,2/18/2020,4/16/2020,9
Northern Idaho Advanced Care Hospital,https://media.dojmt.gov/wp-content/uploads/doc-17.pdf,2/3/2020,2/8/2020,4/15/2020,12
Tellepsen,https://media.dojmt.gov/wp-content/uploads/General-Notice-63.pdf,2/19/2020,2/19/2020,4/15/2020,1
Advanced Care Hospital of Southern New Mexico,https://media.dojmt.gov/wp-content/uploads/General-Notice-60.pdf,2/3/2020,2/8/2020,4/15/2020,1
Advanced Care Hospital of Montana,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-154.pdf,2/3/2020,2/8/2020,4/15/2020,22
"MP Environmental Services, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-153.pdf,2/18/2020,2/18/2020,4/15/2020,37
Lakeland Community College - Data Breach,https://media.dojmt.gov/wp-content/uploads/General-Notice-64.pdf,1/13/2020,1/13/2020,4/13/2020,5
Murdoch's Ranch & Home Supply,https://media.dojmt.gov/wp-content/uploads/doc-18.pdf,10/29/2019,10/29/2019,4/13/2020,45
"Jim Geddings, CPA LLC",https://media.dojmt.gov/wp-content/uploads/General-Notice-65.pdf,3/17/2020,3/17/2020,4/10/2020,5
TigerChef,https://media.dojmt.gov/wp-content/uploads/doc-20-1.pdf,7/17/2019,9/10/2019,4/10/2020,1
The Wolff Company,https://media.dojmt.gov/wp-content/uploads/doc-19.pdf,8/15/2019,10/31/2019,4/10/2020,4
"U.S. Xpress Enterprises, Inc.",https://media.dojmt.gov/wp-content/uploads/General-Notice-54.pdf,9/1/2019,10/18/2019,4/10/2020,6
Bimba LLC,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-152.pdf,12/24/2019,3/11/2020,4/9/2020,5
Stockdale Radiology,https://media.dojmt.gov/wp-content/uploads/doc-21.pdf,1/17/2020,1/17/2020,4/6/2020,1
"NS Leasing, LLC",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-151.pdf,10/16/2019,10/30/2019,4/6/2020,43
Ameriprise Financial,https://media.dojmt.gov/wp-content/uploads/doc-22.pdf,3/18/2020,3/18/2020,4/2/2020,1
"Wahl Law Firm, PLLC",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-150.pdf,12/4/2019,12/4/2019,4/2/2020,470
The Northshore Utility District,https://media.dojmt.gov/wp-content/uploads/General-Notice-66.pdf,2/12/2020,2/12/2020,4/1/2020,1
"Plano Synergy Holdings, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-149.pdf,12/28/2019,1/7/2020,4/1/2020,1
National Institute for Automotive Service Excellence,https://media.dojmt.gov/wp-content/uploads/General-Notice-67.pdf,12/18/2019,2/3/2020,3/31/2020,34
Freedom Financial Network,https://media.dojmt.gov/wp-content/uploads/doc-23-1.pdf,12/1/2019,12/31/2019,3/31/2020,3
W.L. Contractors,https://media.dojmt.gov/wp-content/uploads/General-Notice-78.pdf,2/29/2020,3/3/2020,3/30/2020,3
Affordacare Urgent Care Clinics,https://media.dojmt.gov/wp-content/uploads/doc-24.pdf,2/1/2020,2/1/2020,3/30/2020,15
Jamaica National Group Limited and Jamaica National Bank,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-148.pdf,3/13/2020,3/14/2020,3/30/2020,3
Blue Cross Blue Shield Association,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-147.pdf,2/4/2020,2/5/2020,3/30/2020,5
YMCA of Columbia-Willamette,https://media.dojmt.gov/wp-content/uploads/General-Notice-77.pdf,12/19/2019,12/27/2019,3/27/2020,1
"Nutramax Laboratories, Inc.",https://media.dojmt.gov/wp-content/uploads/doc-26.pdf,12/12/2019,1/13/2020,3/27/2020,1
"Nature's Way Brands, LLC",https://media.dojmt.gov/wp-content/uploads/doc-25.pdf,1/20/2020,1/20/2020,3/27/2020,1
Bristol Bay Native Corporation,https://media.dojmt.gov/wp-content/uploads/General-Notice-76.pdf,8/7/2019,8/24/2019,3/26/2020,6
Great Plains State Bank,https://media.dojmt.gov/wp-content/uploads/General-Notice-72.pdf,8/28/2018,12/31/2019,3/25/2020,43915
"Total Quality Logistics, LLC",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-146.pdf,10/1/2019,10/31/2019,3/25/2020,25
Legacy Mutual Mortgage,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-145.pdf,5/24/2019,9/16/2019,3/24/2020,3
"Enerco Group, Inc.",https://media.dojmt.gov/wp-content/uploads/General-Notice-55.pdf,10/31/2019,12/26/2019,3/23/2020,27
"Renew Wellness Center, PLLC",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-144.pdf,1/23/2020,1/23/2020,3/23/2020,726
General Electric Company,https://media.dojmt.gov/wp-content/uploads/General-Notice-73.pdf,2/3/2020,2/14/2020,3/20/2020,11
Matrix Absence Management,https://media.dojmt.gov/wp-content/uploads/doc-29.pdf,3/6/2020,3/13/2020,3/20/2020,1
Zerbee,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-143.pdf,10/22/2019,1/7/2020,3/20/2020,13
"Lincoln County, South Dakota",https://media.dojmt.gov/wp-content/uploads/doc-30.pdf,9/3/2019,9/3/2019,3/19/2020,1
Hajoca Corporation,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-141.pdf,12/2/2019,2/15/2020,3/18/2020,13
Lifesprk LLC,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-140.pdf,11/5/2019,11/7/2019,3/17/2020,1
"Tandem Diabetes Care, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-139.pdf,1/17/2020,1/17/2020,3/17/2020,815
The Nature Conservancy,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-138.pdf,2/19/2020,2/19/2020,3/17/2020,1
TRP Sumner PLLC,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-137.pdf,10/2/2019,10/2/2019,3/17/2020,1
"Avalon Health Care Management, Inc.",https://media.dojmt.gov/wp-content/uploads/doc-31.pdf,7/9/2019,7/9/2019,3/16/2020,14
Applications Software Technology LLC,https://media.dojmt.gov/wp-content/uploads/doc-27.pdf,3/9/2020,3/9/2020,3/16/2020,1
ExecuPharm Inc.,https://media.dojmt.gov/wp-content/uploads/doc-16.pdf,3/13/2020,3/13/2020,3/16/2020,1
