Business/Organization Name,Entity Type,Date Submitted,Breach Date,Breach Type,Individuals Affected,NC Residents Affected
Delaware Life,FINANCIAL SERVICES/INSURANCE,8/31/2018,8/16/2018,PHISHING,,1
"Bankers Insurance Group, Inc.",FINANCIAL SERVICES/INSURANCE,8/30/2018,6/30/2018,"HACKERS/ UNAUTHORIZED, ACCESS",,30
Humana,HEALTHCARE,8/27/2018,8/17/2018,HACKERS/ UNAUTHORIZED,,11
Netrition.com,GENERAL BUSINESS,10/15/2018,9/15/2018,HACKERS/ UNAUTHORIZED,,17
Fidelity Investments,FINANCIAL SERVICES/INSURANCE,9/17/2018,9/10/2018,RELEASE/ DISPLAY OF INFO,1,1
"Evalueserve, Inc.",GENERAL BUSINESS,8/23/2018,7/19/2018,HACKERS/ UNAUTHORIZED,131,50
"NextGen Healthcare, Inc.",HEALTHCARE,11/14/2018,10/16/2018,RELEASE/ DISPLAY OF INFO,1971,9
Hats.com,GENERAL BUSINESS,11/14/2018,9/23/2018,HACKERS/ UNAUTHORIZED,1268,25
UNC Rockingham Health Care,HEALTHCARE,11/14/2018,10/21/2018,RELEASE/ DISPLAY OF INFO,1,1
"The Partners Ellis-Edison- Beaudry-Barrett & Chubb, Inc. d/b/a The Partners Insurance Agency",FINANCIAL SERVICES/ INSURANCE,11/14/2018,8/15/2018,HACKERS/ UNAUTHORIZED ACCESS,143,2
"HealthEquity, Inc.",FINANCIAL SERVICES/INSURANCE,11/15/2018,10/5/2018,"HACKERS/ UNAUTHORIZED, ACCESS",189957,4187
Newegg Inc.,GENERAL BUSINESS,11/15/2018,10/23/2018,HACKERS/ UNAUTHORIZED,202231,5120
"Rainforest Alliance Holding, Inc.",RELIGIOUS/NONPROFIT,11/15/2018,11/1/2018,PHISHING,24,2
"KC's Improvement & Construction Co., Inc.",GENERAL BUSINESS,11/8/2018,10/10/2018,"HACKERS/ UNAUTHORIZED, ACCESS",44,44
Health Authority for the City of Huntsville,HEALTHCARE,11/8/2018,10/8/2018,"HACKERS/ UNAUTHORIZED, ACCESS",18156,37
"Airgas, Inc.; Analog Devices, Inc.; Bimbo Bakeries; CA Incorporated",GENERAL BUSINESS,11/9/2018,9/18/2018,DATA THEFT BY EMPLOYEE OR CONTRACTOR,106,6
Simeon S. Patestas,FINANCIAL SERVICES/INSURANCE,11/9/2018,9/17/2018,"HACKERS/ UNAUTHORIZED, ACCESS",353,3
Arthritis & Osteoporosis Consultants of the Carolinas,HEALTHCARE,11/9/2018,9/10/2018,RELEASE/ DISPLAY OF INFO,3930,3557
T.O. Plastics,GENERAL BUSINESS,11/9/2018,9/26/2018,HACKERS/ UNAUTHORIZED,18,4
Our Piece of the Pie,RELIGIOUS/NONPROFIT,11/9/2018,9/6/2018,HACKERS/ UNAUTHORIZED,1836,2
Jennifer Miller Ltd.,GENERAL BUSINESS,11/9/2018,6/6/2018,HACKERS/ UNAUTHORIZED,1050,22
Andrew F Shulman,FINANCIAL SERVICES/INSURANCE,11/9/2018,9/18/2018,LOST IN TRANSIT,534,2
CHRISTOPHER MICHAEL DANIELS,FINANCIAL SERVICES/INSURANCE,11/9/2018,9/18/2018,LOST IN TRANSIT,534,2
"American Tire Distributors, Inc.",GENERAL BUSINESS,11/9/2018,10/17/2018,RELEASE/ DISPLAY OF INFO,1,1
Entrust Energy,GENERAL BUSINESS,11/12/2018,9/20/2018,PHISHING,4782,19
The City of Bakersfield,GOVERNMENT,11/12/2018,10/10/2018,HACKERS/ UNAUTHORIZED,2180,1
"Title Nine Sports, Inc.",GENERAL BUSINESS,11/12/2018,10/25/2018,HACKERS/ UNAUTHORIZED,96472,2868
"B.T.C.E., Inc. d/b/a HomeBrewIt.com",GENERAL BUSINESS,11/12/2018,10/1/2018,"HACKERS/ UNAUTHORIZED, ACCESS",818,26
Cumberland County Hospital System,HEALTHCARE,11/12/2018,9/12/2018,RELEASE/ DISPLAY OF INFO,1,1
First United Methodist Church of Waco,RELIGIOUS/NONPROFIT,11/13/2018,6/30/2018,"HACKERS/ UNAUTHORIZED, ACCESS",160,1
StataCorp LLC,GENERAL BUSINESS,11/13/2018,9/18/2018,HACKERS/ UNAUTHORIZED,1680,28
Pharmacy Times Office of Continuing Professional Education,GENERAL BUSINESS,11/13/2018,9/17/2018,RELEASE/ DISPLAY OF INFO,128211,1527
"Dr. James Etzkorn, MD",HEALTHCARE,11/13/2018,9/11/2018,HACKERS/ UNAUTHORIZED,6842,1
"Stein Mart, Inc.",GENERAL BUSINESS,11/14/2018,10/25/2018,HACKERS/ UNAUTHORIZED,108322,5912
"Unified Trust Company, N.A.",FINANCIAL SERVICES/INSURANCE,11/7/2018,2/13/2018,"HACKERS/ UNAUTHORIZED, ACCESS",43000,637
"Julep Beauty, Inc.",GENERAL BUSINESS,11/7/2018,10/16/2018,HACKERS/ UNAUTHORIZED,1150,21
Snider Fleet Solutions,GENERAL BUSINESS,11/7/2018,4/1/2018,PHISHING,2566,114
"El Paso - Los Angeles Limousine Express, Inc.",GENERAL BUSINESS,11/6/2018,9/18/2018,RELEASE/ DISPLAY OF INFO,68647,28
OXO,GENERAL BUSINESS,11/6/2018,10/1/2018,HACKERS/ UNAUTHORIZED,3242,73
"Roadrunner Transportation Systems, Inc.",GENERAL BUSINESS,11/5/2018,8/24/2018,PHISHING,23,4
Anderson Bagley & Mayo Insurance Agency Inc.,FINANCIAL SERVICES/INSURANCE,11/5/2018,5/3/2018,"HACKERS/ UNAUTHORIZED, ACCESS",268,2
"Nordstrom, Inc.",GENERAL BUSINESS,11/5/2018,10/9/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",107106,1137
"Five Guys Holdings, Inc. and its subsidiaries.",GENERAL BUSINESS,11/2/2018,8/6/2018,PHISHING,19191,347
Sirchie Acquisition Company,GENERAL BUSINESS,11/2/2018,10/9/2018,HACKERS/ UNAUTHORIZED,95,5
Inova Health System,HEALTHCARE,11/2/2018,11/2/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",12304,108
Hemenway & Barnes LLP and Hemenway Trust Company,GENERAL BUSINESS,11/2/2018,9/1/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2116,16
Hall Structured Finance,FINANCIAL SERVICES/INSURANCE,11/2/2018,9/12/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",122,1
"Transamerica, including Transamerica Life Insurance Co.and Transamerica Retirement Solutions, LLC",FINANCIAL SERVICES/ INSURANCE,11/2/2018,8/23/2018,RELEASE/ DISPLAY OF INFO,10636,125
Village People< LLC,FINANCIAL SERVICES/INSURANCE,10/31/2018,8/14/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1550,1
"Whole Foods Market Group, Inc. (WFM)",GENERAL BUSINESS,10/31/2018,10/2/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",644,11
Association of American Medical Colleges,RELIGIOUS/NONPROFIT,10/31/2018,7/13/2018,PHISHING,8,1
G. Abrams & R. Cohen XVII PC d/b/a East Charlotte Dental,HEALTHCARE,11/1/2018,9/7/2018,RELEASE/ DISPLAY OF INFO,60,59
44North,GENERAL BUSINESS,11/1/2018,5/9/2018,PHISHING,242,1
Givaudan Flavors Corporation and Givaudan Fragrances Corporation,GENERAL BUSINESS,11/2/2018,9/28/2018,RELEASE/ DISPLAY OF INFO,4200,11
"HSBC Bank USA, National Association",FINANCIAL SERVICES/INSURANCE,11/2/2018,10/4/2018,"HACKERS/ UNAUTHORIZED, ACCESS",6733,100
"Project Orbis International, Inc.",RELIGIOUS/NONPROFIT,11/2/2018,9/12/2018,HACKERS/ UNAUTHORIZED,30,2
"ImpactAssets, Inc.",RELIGIOUS/NONPROFIT,11/2/2018,8/29/2018,PHISHING,1216,20
"Martin Financial Group, LLC",FINANCIAL SERVICES/INSURANCE,10/30/2018,9/26/2018,PHISHING,165,62
Biesse America Inc.,GENERAL BUSINESS,10/30/2018,10/2/2018,PHISHING,1,0
"LJCooper Capital Management, LLC d/b/a LJCooper Wealth Advisors",FINANCIAL SERVICES/ INSURANCE,10/30/2018,9/18/2018,HACKERS/ UNAUTHORIZED ACCESS,1202,2
International Society of Explosives Engineers,RELIGIOUS/NONPROFIT,10/30/2018,8/16/2018,"HACKERS/ UNAUTHORIZED, ACCESS",133,5
"Toyota Industries Commercial Finance, Inc.",GENERAL BUSINESS,10/29/2018,8/15/2018,PHISHING,55,1
Department of Commerce- Division of Employment,GOVERNMENT,10/29/2018,9/24/2018,RELEASE/ DISPLAY OF INFO,1,1
Primerica,FINANCIAL SERVICES/INSURANCE,10/26/2018,10/12/2018,LOST IN TRANSIT,1,1
"Campbellsville University, Inc. (""Campbellsville University"")",EDUCATIONAL,10/26/2018,10/8/2018,PHISHING,2,2
"Hairbow Center, LLC",GENERAL BUSINESS,10/26/2018,9/26/2018,HACKERS/ UNAUTHORIZED,125,2
"Mortgage Capital Trading, Inc.",FINANCIAL SERVICES/INSURANCE,10/26/2018,10/18/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",94,1
"Star Title Partners of Palm Harbor, LLC",GENERAL BUSINESS,10/26/2018,6/4/2018,"HACKERS/ UNAUTHORIZED, ACCESS",2059,35
Lyric Opera of Chicago,RELIGIOUS/NONPROFIT,10/26/2018,9/26/2018,RELEASE/ DISPLAY OF INFO,302,2
Forethought Life Insurance Company,FINANCIAL SERVICES/INSURANCE,10/26/2018,10/11/2018,RELEASE/ DISPLAY OF INFO,16,1
"TravisMathew, LLC",GENERAL BUSINESS,10/25/2018,9/24/2018,HACKERS/ UNAUTHORIZED,5754,93
"STL International, Inc. d/b/a Teeter",GENERAL BUSINESS,10/25/2018,9/13/2018,"HACKERS/ UNAUTHORIZED, ACCESS",12561,409
"Cendera Funding, Inc.",FINANCIAL SERVICES/INSURANCE,10/25/2018,9/29/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",5328,9
"GS1 US, Inc.",GENERAL BUSINESS,10/25/2018,10/1/2018,HACKERS/ UNAUTHORIZED,78907,1787
Bankers Life,FINANCIAL SERVICES/INSURANCE,10/25/2018,8/7/2018,PHISHING,799563,71456
"Net32, Inc.",GENERAL BUSINESS,10/25/2018,9/25/2018,HACKERS/ UNAUTHORIZED,10000,275
Cathay Pacific Airways Limited,GENERAL BUSINESS,10/25/2018,5/7/2018,HACKERS/ UNAUTHORIZED,9400000,3
Wayne UNC Health Care f/k/a Wayne Memorial Hospital,HEALTHCARE,10/24/2018,8/28/2018,"HACKERS/ UNAUTHORIZED, ACCESS",57,56
"TransUnion, LLC",FINANCIAL SERVICES/INSURANCE,10/24/2018,6/14/2018,"HACKERS/ UNAUTHORIZED, ACCESS",7492,53
"Uber Technologies, Inc.",GENERAL BUSINESS,10/24/2018,10/2/2018,HACKERS/ UNAUTHORIZED,197,3
Catawba Valley Medical Center,HEALTHCARE,10/23/2018,8/24/2018,PHISHING,11846,10530
"Challenger Sports, Inc.",GENERAL BUSINESS,10/22/2018,9/12/2018,HACKERS/ UNAUTHORIZED,11123,208
"Guardant Health, Inc.",HEALTHCARE,10/22/2018,9/13/2018,HACKERS/ UNAUTHORIZED,242,5
The Travel Leaders Group,GENERAL BUSINESS,10/22/2018,7/25/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",2479,5
"Strategic Risk Solutions, Inc.",FINANCIAL SERVICES/INSURANCE,10/22/2018,5/14/2018,"HACKERS/ UNAUTHORIZED, ACCESS",237,2
Day Kimball Healthcare,HEALTHCARE,10/22/2018,9/28/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",698,1
"Domani Wealth, LLC",FINANCIAL SERVICES/INSURANCE,10/22/2018,7/12/2018,"HACKERS/ UNAUTHORIZED, ACCESS",444,2
"Scrapbook.com, LLC",GENERAL BUSINESS,10/19/2018,9/26/2018,HACKERS/ UNAUTHORIZED,728,19
"Warehouse Home Furnishings Distributors, Inc.",GENERAL BUSINESS,10/19/2018,9/11/2018,"DATA THEFT BY EMPLOYEE OR, CONTRACTOR",3,3
Renaissance Philanthropic Solutions Group,FINANCIAL SERVICES/INSURANCE,10/18/2018,6/13/2018,"HACKERS/ UNAUTHORIZED, ACCESS",33663,1086
"Quad Assoc, LLC",GENERAL BUSINESS,10/18/2018,5/31/2018,PHISHING,3855,40
"Tallahassee Memorial Healthcare, Inc.",HEALTHCARE,10/17/2018,9/26/2018,"HACKERS/ UNAUTHORIZED, ACCESS",5988,15
PathGroup,HEALTHCARE,10/17/2018,8/31/2018,LOST IN TRANSIT,2,2
NC Association of REALTORS,RELIGIOUS/NONPROFIT,10/16/2018,9/25/2018,LOST IN TRANSIT,12,12
Hitachi Vantara Corporation,GENERAL BUSINESS,10/16/2018,10/3/2018,HACKERS/ UNAUTHORIZED,190,3
Catawba Valley Medical Center,HEALTHCARE,10/12/2018,8/13/2018,PHISHING,82,80
"Goody Tickets, owner of TIckets- Online.com",GENERAL BUSINESS,10/12/2018,9/26/2018,"HACKERS/ UNAUTHORIZED, ACCESS",259,5
Aflac,FINANCIAL SERVICES/INSURANCE,10/12/2018,9/19/2018,RELEASE/ DISPLAY OF INFO,2,1
"Group Dynamic, Inc.",HEALTHCARE,10/12/2018,9/17/2018,HACKERS/ UNAUTHORIZED,1428,8
The Prudential Insurance Company of America,FINANCIAL SERVICES/INSURANCE,10/12/2018,9/21/2018,RELEASE/ DISPLAY OF INFO,1637,12
"David G. Simon, D.M.D., P.A. d/b/a Simon Orthodontics",HEALTHCARE,10/13/2018,7/3/2018,"HACKERS/ UNAUTHORIZED, ACCESS",15129,8
"Prime Mortgage Lending, Inc.",FINANCIAL SERVICES/INSURANCE,10/14/2018,8/14/2018,PHISHING,513,2
Shein,GENERAL BUSINESS,10/11/2018,8/22/2018,HACKERS/ UNAUTHORIZED,6420000,10000
Envision Healthcare,HEALTHCARE,10/10/2018,8/2/2018,PHISHING,21757,205
"Buehler's Fresh Foods, LLC",GENERAL BUSINESS,10/10/2018,9/6/2018,HACKERS/ UNAUTHORIZED,2040,11
Margaret R. Pardee Memorial Hospital,HEALTHCARE,10/9/2018,9/10/2018,RELEASE/ DISPLAY OF INFO,2,2
TransUnion LLC,GENERAL BUSINESS,10/9/2018,6/14/2018,HACKERS/ UNAUTHORIZED,242,11
California State University East Bay,EDUCATIONAL,10/5/2018,9/17/2018,"HACKERS/ UNAUTHORIZED, ACCESS",9941,6
"PAC Racing Springs South, LLC",GENERAL BUSINESS,10/5/2018,9/4/2018,PHISHING,24,24
"Five Below, Inc.",GENERAL BUSINESS,10/5/2018,9/10/2018,HACKERS/ UNAUTHORIZED,3234,92
Florida Farm Bureau Casualty Insurance Company,FINANCIAL SERVICES/INSURANCE,10/5/2018,7/23/2018,PHISHING,4000,2
"Northwest Surgical Specialists, P.C. d/b/a Rebound Orthopedics & Neurosurgery",HEALTHCARE,10/5/2018,8/8/2018,HACKERS/ UNAUTHORIZED ACCESS,2245,2
The J.M. Smucker Company,GENERAL BUSINESS,10/5/2018,9/10/2018,HACKERS/ UNAUTHORIZED,286,1
Clayton Properties Group II d/b/a Oakwood Homes,GENERAL BUSINESS,10/5/2018,7/2/2018,"HACKERS/ UNAUTHORIZED, ACCESS",616,1
"Alacura Medical Transportation Management, LLC",HEALTHCARE,10/5/2018,8/8/2018,PHISHING,197,1
Cancer Treatment Centers of America,HEALTHCARE,10/5/2018,9/27/2018,"HACKERS/ UNAUTHORIZED, ACCESS",14,1
Centene Corporation,GENERAL BUSINESS,10/5/2018,8/29/2018,RELEASE/ DISPLAY OF INFO,327,8
Kobelco Construction Machinery USA Inc,GENERAL BUSINESS,10/8/2018,10/1/2018,PHISHING,223,6
"McGlinchey Stafford, PLLC",GENERAL BUSINESS,10/8/2018,9/7/2018,PHISHING,468,2
JW and Shell LLC,GENERAL BUSINESS,10/8/2018,9/7/2018,RELEASE/ DISPLAY OF INFO,200,50
Broad Street Capital Advisors,FINANCIAL SERVICES/INSURANCE,10/4/2018,8/16/2018,PHISHING,38,1
"LeafFilter North, LLC",GENERAL BUSINESS,10/4/2018,8/29/2018,PHISHING,2310,519
The Northwestern Mutual Life Insurance Company,FINANCIAL SERVICES/INSURANCE,10/4/2018,9/24/2018,PHISHING,2604,54
Independent Office Products & Furniture Dealers Association,RELIGIOUS/NONPROFIT,10/4/2018,8/31/2018,RELEASE/ DISPLAY OF INFO,65,8
"Professional Publications, Inc. (PPI)",EDUCATIONAL,10/3/2018,9/19/2018,"HACKERS/ UNAUTHORIZED, ACCESS",5188,142
Shellpoint Mortgage Servicing,FINANCIAL SERVICES/INSURANCE,10/3/2018,9/27/2018,PHISHING,157,1
"CarMax Auto Superstores, Inc.",GENERAL BUSINESS,10/3/2018,9/21/2018,RELEASE/ DISPLAY OF INFO,1,1
"Shoe Station, Inc.",GENERAL BUSINESS,10/3/2018,8/28/2018,HACKERS/ UNAUTHORIZED,216,7
Another Planet Entertainment,GENERAL BUSINESS,10/3/2018,4/9/2018,HACKERS/ UNAUTHORIZED,3142,14
Chew & Company,FINANCIAL SERVICES/INSURANCE,10/2/2018,6/21/2018,"HACKERS/ UNAUTHORIZED, ACCESS",180,1
The Trust Company of Tennessee,FINANCIAL SERVICES/INSURANCE,10/2/2018,8/6/2018,"HACKERS/ UNAUTHORIZED, ACCESS",55,2
Hajoca Corporation,GENERAL BUSINESS,10/2/2018,9/21/2018,PHISHING,134,8
"Mission Health, Inc.",HEALTHCARE,10/1/2018,8/28/2018,RELEASE/ DISPLAY OF INFO,2,2
"Professional Golf Ball Services, Ltd",GENERAL BUSINESS,9/28/2018,6/2/2016,"HACKERS/ UNAUTHORIZED, ACCESS",2126,76
Quest Nutrition,GENERAL BUSINESS,9/28/2018,7/25/2018,HACKERS/ UNAUTHORIZED,1552,9
"McKenna & Sachs, LLC",FINANCIAL SERVICES/INSURANCE,9/28/2018,6/22/2018,PHISHING,459,1
Aflac,FINANCIAL SERVICES/INSURANCE,9/28/2018,8/2/2018,"HACKERS/ UNAUTHORIZED, ACCESS",7366,303
"Toyota Industries North America, Inc. (""TINA"")",GENERAL BUSINESS,9/28/2018,8/30/2018,PHISHING,19320,54
"IES Communications, Inc.",GENERAL BUSINESS,9/27/2018,8/28/2018,PHISHING,169,1
Erlanger Murphy Medical,HEALTHCARE,9/28/2018,9/20/2018,RELEASE/ DISPLAY OF INFO,1,1
Talen Energy,GENERAL BUSINESS,9/28/2018,8/30/2018,HACKERS/ UNAUTHORIZED,23,1
"AEI Fund Management, Inc.",GENERAL BUSINESS,9/28/2018,8/6/2018,PHISHING,833,26
AllyHealth,HEALTHCARE,9/26/2018,9/14/2018,RELEASE/ DISPLAY OF INFO,1,1
Principal Life Insurance Company,FINANCIAL SERVICES/INSURANCE,9/26/2018,9/17/2018,RELEASE/ DISPLAY OF INFO,83,4
ManpowerGroup,GENERAL BUSINESS,9/25/2018,7/30/2018,HACKERS/ UNAUTHORIZED,119,2
"Forside Financial Group, LLC",FINANCIAL SERVICES/INSURANCE,9/25/2018,7/17/2018,"HACKERS/ UNAUTHORIZED, ACCESS",41,1
Recreational Equipment Inc. (REI),GENERAL BUSINESS,9/25/2018,8/21/2018,RELEASE/ DISPLAY OF INFO,46,1
"Tauck, Inc.",GENERAL BUSINESS,9/25/2018,8/13/2018,HACKERS/ UNAUTHORIZED,630,8
GPM Health and Life Insurance Company,FINANCIAL SERVICES/INSURANCE,9/25/2018,9/7/2018,RELEASE/ DISPLAY OF INFO,1,1
"ESI North America, Inc.",GENERAL BUSINESS,9/24/2018,5/14/2018,PHISHING,698,3
Georgia Heirs Property Law Center,RELIGIOUS/NONPROFIT,9/24/2018,8/20/2018,"HACKERS/ UNAUTHORIZED, ACCESS",184,3
Mutual of Omaha Insurance Company,FINANCIAL SERVICES/INSURANCE,9/25/2018,9/7/2018,RELEASE/ DISPLAY OF INFO,12,1
United World Life Insurance Company,FINANCIAL SERVICES/INSURANCE,9/25/2018,9/7/2018,RELEASE/ DISPLAY OF INFO,12,2
New Hanover Regional Medical Center,HEALTHCARE,9/24/2018,9/4/2018,RELEASE/ DISPLAY OF INFO,1,1
"ACTS Retirement-Life Communities, Inc.",GENERAL BUSINESS,9/24/2018,9/11/2018,PHISHING,2,2
Protravel International LLC,GENERAL BUSINESS,9/21/2018,8/22/2018,PHISHING,261,2
"Lutz & Company, P.C.",FINANCIAL SERVICES/INSURANCE,9/21/2018,8/30/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",1414,8
Plant Therapy,GENERAL BUSINESS,9/21/2018,7/20/2018,HACKERS/ UNAUTHORIZED,2043,124
OneMain Financial,FINANCIAL SERVICES/INSURANCE,9/21/2018,9/11/2018,LOST IN TRANSIT,1,1
YRC Worldwide Inc.,GENERAL BUSINESS,9/21/2018,8/15/2018,PHISHING,19635,835
"Horseware Products, Ltd.",GENERAL BUSINESS,9/21/2018,9/15/2018,RELEASE/ DISPLAY OF INFO,3,0
Georgia Banking Company,FINANCIAL SERVICES/INSURANCE,9/20/2018,8/22/2018,"HACKERS/ UNAUTHORIZED, ACCESS",8,4
Air Canada,GENERAL BUSINESS,9/20/2018,8/22/2018,HACKERS/ UNAUTHORIZED,20000,11
COUNTRY Financial,FINANCIAL SERVICES/INSURANCE,9/20/2018,6/18/2018,PHISHING,283,1
The Affiliated Group,GENERAL BUSINESS,9/19/2018,3/28/2018,HACKERS/ UNAUTHORIZED,6201,115
"REDICO Management, Inc. on behalf of its affiliate American House",GENERAL BUSINESS,9/19/2018,9/11/2018,PHISHING,3582,1
Tech Rabbit LLC,GENERAL BUSINESS,9/19/2018,8/8/2018,HACKERS/ UNAUTHORIZED,54637,1601
"Mission Health, Inc.",HEALTHCARE,9/19/2018,7/29/2018,RELEASE/ DISPLAY OF INFO,1,1
The Prudential Insurance Company of America,FINANCIAL SERVICES/INSURANCE,9/19/2018,7/23/2018,RELEASE/ DISPLAY OF INFO,1,1
"Med-A-Vision, Inc.",FINANCIAL SERVICES/INSURANCE,9/19/2018,9/4/2018,"HACKERS/ UNAUTHORIZED, ACCESS",1057,2
Performance Food Group,GENERAL BUSINESS,9/18/2018,8/20/2018,HACKERS/ UNAUTHORIZED,9142,143
"Insmed, Inc.",GENERAL BUSINESS,9/18/2018,7/16/2018,HACKERS/ UNAUTHORIZED,522,5
"Bimbo Bakeries USA, Inc.",GENERAL BUSINESS,9/18/2018,9/6/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",27,13
"Irwin S. Alpern, P.C.",FINANCIAL SERVICES/INSURANCE,9/18/2018,7/5/2018,"HACKERS/ UNAUTHORIZED, ACCESS",130,4
The Tri-County Bank,FINANCIAL SERVICES/INSURANCE,9/18/2018,8/1/2018,PHISHING,1326,1
Comfort Inn Petersburg,GENERAL BUSINESS,9/17/2018,7/24/2018,HACKERS/ UNAUTHORIZED,14,7
"Black Knight, Inc. (Attn: Chief Compliance Officer)",GENERAL BUSINESS,9/17/2018,9/13/2018,RELEASE/ DISPLAY OF INFO,1,1
"Wendy D. Theall, CPA",GENERAL BUSINESS,9/17/2018,8/21/2018,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",22,2
"Ebbs, Roberts, Head & Daw,",GENERAL BUSINESS,9/17/2018,7/27/2018,PHISHING,4200,10
Matrix Service Company,GENERAL BUSINESS,9/14/2018,8/21/2018,PHISHING,321,1
