ID,Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
110,CBREInc,6/26/2020,5/18/2020,17,972
111,CentierBank,,,,
112,CentralFilesInc,,,,
113,CentralKansasOrthopedicGroup,1/27/2020,11/11/2019,5,"17,214"
114,CentralResearchInc,2/18/2020,10/12/2019,1,"1,560"
115,CenturyAluminumKentuckyGP,3/12/2020,8/15/2018,13,120
116,ChurchoftheBrethrenBenefitTrustInc,3/25/2020,2/5/2020,1,2
117,CincinnatiParksFoundation,5/20/2020,3/21/2020,11,"1,796"
118,CincinnatiStateTechnicalandCommunityCollege,5/5/2020,10/1/2019,65,"2,706"
119,CityofAthensOhio,8/12/2020,12/19/2019,72,"15,339"
120,CityofFortLauderdale,5/1/2020,2/19/2020,8,"9,271"
121,CityofJeffersonville,2/25/2020,1/23/2020,764,782
122,ClairesStoresInc,7/8/2020,4/7/2020,"1,257","60,842"
123,UrologyofIndiana,,,,
124,CliftonLarsonAllenLLP,3/6/2020,2/14/2020,2,263
125,ClinicalTechnologyInc,2/14/2020,9/11/2019,8,18
126,CNUOnlineHoldingsLLCDBACashnetUSA,6/2/2020,5/21/2020,1,88
127,CNYWorksInc,6/24/2020,12/21/2019,51,"55,459"
128,CoastalStatesBank,7/24/2020,2/2/2020,1,"11,424"
129,CodalInc,6/16/2020,1/24/2020,46,"2,570"
130,CodeMetro,6/19/2020,4/20/2020,15,"10,548"
131,CollaberaInc,7/10/2020,5/24/2020,360,"72,594"
132,CollegeofDuPage?DataEntry,3/13/2020,1/29/2020,4,
133,ColumbiaCollegeChicago,7/15/2020,5/30/2020,21,"1,541"
134,CombeIncorporated,8/26/2020,3/2/2020,95,"6,504"
135,CombinedInsuranceAgencies,7/2/2020,2/19/2020,454,"4,825"
136,ComiskeyCompanyPC,8/3/2020,10/26/2019,4,"2,376"
137,CommunicationsPowerIndustriesLLC,4/20/2020,1/18/2020,1,958
138,CommunityDevelopmentBank,6/22/2020,2/7/2020,2,"8,679"
139,CommunityHealthNetworkInc,7/31/2020,9/4/2019,8,8
140,CommunityHealthNetworkInc,5/14/2020,1/4/2019,5,5
141,CommunitySolutionsInc,6/15/2020,11/11/2019,1,902
142,CompassHealthIncdbaCompassHealthNetwork,5/26/2020,2/19/2020,15,"10,538"
143,ConcentrixCVGCustomerManagementGroup,,,,
144,ConcordeInvestmentServices,6/12/2020,9/17/2019,"1,330","21,842"
145,Conduent,6/9/2020,5/22/2020,20,969
146,ConsolidatedElectricalDistributorsInc,7/14/2020,8/11/2019,1,131
147,ContainerGraphicsCorporation,2/24/2020,7/19/2019,2,155
148,ContinentalGroupInc,2/12/2020,1/8/2020,61,61
149,ConwayHospitalIncdbaConwayMedicalCenter,12/5/2019,10/4/2019,30,"34,828"
150,CookMorehart,6/4/2020,4/7/2020,5,"7,060"
151,CookeCountyTexas,8/11/2020,7/4/2020,5,"5,017"
152,CoreVestAmericanFinanceLenderLLC,7/23/2020,4/1/2020,11,200
153,CottonseedLLC,2/7/2020,9/16/2019,2,817
154,CozenOConnor,5/6/2020,3/30/2020,3,25
155,Crowe,,,,
156,CrownCovenantPublications,1/17/2020,9/6/2019,10,141
157,CrystalsStairsInc,8/26/2020,5/20/2020,3,"47,925"
158,CSWWIncDBANorth40Outfitters,7/10/2020,11/27/2019,6,609
159,CUCollectionsLLC,6/18/2020,2/6/2020,1,"2,211"
160,CygnusHomeServiceLLCdbaSchwansHomeService,2/28/2020,1/28/2020,160,"4,127"
161,DAmoreTatmanGroupLLC,5/15/2020,1/28/2020,36,"2,726"
162,DAKAmericasLLC,6/8/2020,12/16/2019,103,"3,203"
163,DanielBendetowiczMDPA,4/24/2020,3/25/2020,9,"3,314"
164,DecronPropertiesCorporation,1/14/2020,4/28/2019,1,695
165,DentWizardInternational?DataBreacj,8/10/2020,1/22/2020,114,
166,DeptofChildServices,8/6/2020,7/16/2020,4,4
167,DiamondResortsHoldingsLLC,3/12/2020,12/9/2019,2,46
168,DigitalInsuranceLLCdbaOneDigitalHealthandBenefits,3/27/2020,1/9/2020,19,"22,894"
169,DigitalManagementLLC,6/10/2020,3/6/2020,405,"6,072"
170,DiscoverFinancialServices,7/28/2020,6/30/2020,45,"1,862"
171,DiscoverFinancialServices,1/13/2020,4/24/2019,1,5
172,DivalSafetyEquipmentInc,8/20/2020,7/28/2020,12,
173,DixonFoodsGroupInc,5/29/2020,2/19/2020,5,"13,647"
174,DLLFinanceLLC,6/24/2020,4/30/2020,1,146
175,DogearedInc,5/28/2020,1/19/2019,37,"2,131"
176,DougAtkinsCFCIncEagleFinancialDesigns,5/15/2020,2/26/2020,309,333
177,DouglasProducts,8/12/2020,3/26/2020,9,515
178,DoyleWealthManagementInc,3/6/2020,6/8/2019,8,"2,494"
179,DoylestownHealth,8/4/2020,2/19/2020,1,"5,210"
180,DrAnnHaleDDSakaHuttonHaleDDS,7/8/2020,5/24/2020,2,8394
181,DrevsandHancz,,,,
182,DynasplintSystemsInc,8/7/2020,4/29/2020,"1,345","102,800"
183,DynavaxTechnologyCorporation,4/9/2020,2/28/2020,3,139
184,EagleCommunityCreditUnion,6/23/2020,2/24/2020,26,"30,672"
185,EastHouseCorporation,2/17/2020,7/8/2019,2,"1,487"
186,EasternVirginiaMedicalSchool,2/24/2020,,7,"3,184"
187,EbyBrownCompanyLLC,3/9/2020,7/11/2018,770,"7,220"
188,EDPRenewablesNorthAmericanLLC,6/30/2020,4/13/2020,778,4995
189,EDUStaffLLC,6/18/2020,2/12/2020,70,"19,283"
190,EliteEmergencyPhysiciansInc,5/29/2020,5/29/2020,,
191,ElkRidgeDentistry?DataEntry,3/2/2020,1/19/2020,3,"2,793"
192,ElkhartCountyTitleIVDProgram,4/28/2020,4/13/2020,1,1
193,ElkinsRehabilitationCareCenter,7/30/2020,2/4/2019,2,"3,127"
194,elmprovementLLC,3/11/2020,12/14/2019,117,"5,945"
195,EmanateHealth,7/29/2020,2/19/2020,3,"7,457"
196,EMCNationalLifeCompany,3/4/2020,12/8/2019,229,"10,874"
197,EmpireGolfManagementLLC,7/31/2020,2/4/2020,1,"3,983"
198,EndeavorEnergyResourcesLP,2/20/2020,1/14/2020,5,"11,014"
199,EnercoGroupInc,3/30/2020,10/31/2019,62,"2,238"
200,EnergyOneFederalCreditUnion,12/31/2019,9/19/2019,2,486
201,ENGIENorthAmericaInc,2/18/2020,1/31/2020,1,374
202,EnprotechCorporation,7/7/2020,1/24/2020,159,"2,276"
203,EnSiteUSA,1/14/2020,9/10/2019,4,423
204,EnstructureLLC,6/10/2020,1/7/2020,1,1171
205,EntercomCommunicaitonsCorp,7/24/2020,9/18/2019,2,"2,753"
206,EnvironmentalDataResourcesLLC,5/4/2020,8/8/2019,39,"1,795"
207,Equitable,3/11/2020,3/3/2020,1,77
208,ErnestHealth,1/24/2020,7/1/2019,597,634
209,EshelAminovPartnersLLP,7/8/2020,3/10/2019,12,"19,946"
210,EskenaziHealth,5/7/2020,4/22/2020,1,1
211,EversanaLifeSciencesServicesLLC,3/9/2020,4/1/2019,68,"6,255"
212,EverythingKitchensLLC,7/8/2020,5/28/2020,1,45
213,EvolucionInnovationsInc,12/31/2019,11/8/2019,322,"46,602"
214,ExamOne,8/14/2020,5/24/2020,1,1
215,ExamOne,2/11/2020,1/7/2020,1,1
216,ExamOne,2/26/2020,1/28/2020,1,1
217,ExamOne,4/3/2020,3/11/2020,1,1
218,ExecuPharmInc,4/17/2020,3/6/2020,33,"2,825"
219,ExemplisLLC,4/2/2020,10/29/2019,6,226
220,FMBankTrustCompany,7/24/2020,4/26/2020,2,780
221,FWOffenhauserandCo,5/21/2020,10/4/2019,2,2336
222,FabFitFunInc,5/25/2020,5/2/2020,17,664
223,FaegreDrinkerBiddleReathLLP,,,,
224,FamilyandSocialServicesAdministration,3/27/2020,3/13/2020,1,1
225,FamilyandSocialServicesAdministration,4/23/2020,4/17/2020,1,1
226,FamilyandSocialServicesAdministration,7/10/2020,7/8/2020,1,1
227,FamilyandSocialServicesAdministration,5/12/2020,4/30/2020,1,1
228,FamilyandSocialServicesAdministration,5/19/2020,4/15/2020,2,2
229,FarewayStoresInc,4/16/2020,2/18/2020,20,"36,081"
230,FaySchool,8/6/2020,2/7/2020,1,402
231,FederalHomeLoanMortgageCorporation,7/7/2020,,428,"26,287"
232,FederatedGroupInc,2/20/2020,1/7/2020,2,108
233,FedStarCreditUnion,6/15/2020,2/26/2020,7,"2,105"
234,FergusonEnterprise,,,,
235,FerrisMarketingInc,7/31/2020,11/1/2019,221,"11,442"
236,FidelityBrokerageServicesLLC,5/21/2020,3/12/2020,1,3
237,FifthAvenueHousing,,,,
238,FiltersFastLLC,8/14/2020,7/19/2020,"7,050","323,000"
239,FirstFederalBankTrust,3/13/2020,7/10/2019,6,"8,450"
240,FirstHeartlandCapital,2/18/2020,9/11/2019,2,198
241,FiservFulfillmentServicesInc,,,,
242,FloridaOrthopaedicInstitute,6/22/2020,4/6/2020,777,"645,000"
243,FortDearbornCompany,7/2/2020,10/14/2019,1,186
244,FranciscanAllianceInc,8/5/2020,7/6/2020,5,6
245,FranciscanAllianceInc,1/29/2020,7/5/2016,40,102
246,FranciscanAllianceInc,4/22/2020,1/7/2020,22,25
247,FranciscanAllianceInc,1/17/2020,12/20/2019,1,1
248,FranciscanHealthCrownPoint,4/10/2020,3/12/2020,3,3
249,"Franciscan Health Foundation, Inc and Franciscan Alliance, Inc",,2/7/2020,,
250,FranciscanPhysicianNetwork,4/10/2020,3/17/2020,1,1
251,FranciscanPhysicianNetwork,1/6/2020,2/6/2019,2,2
252,FranciscanPhysicianNetwork,1/2/2020,10/21/2019,1,1
253,FranciscanPhysicianNetwork,,,,
254,FranciscanPhysicianNetwork,7/13/2020,5/19/2020,1,1
255,FrantyCompanyPC,5/19/2020,,1,"1,215"
256,FrederickWHowarthIIIdbaTBGWestInsuranceServices,7/20/2020,3/27/2020,143,"72,819"
257,FreedomFinancialNetworkLLC,3/31/2020,12/26/2016,10,783
258,FreemanSpicerFinanceCorporation,,,,
259,FrickServicesInc,2/4/2020,1/10/2020,279,279
260,FrobeniusConawayCompanyPC,2/20/2020,9/23/2019,8,980
261,FrontRushLLC,7/27/2020,1/18/2016,139,"61,607"
262,FullHouseResortsInc,8/27/2020,3/25/2020,"1,209","5,049"
263,FusionManagementServicesLLC,4/17/2020,3/13/2020,23,"10,902"
264,GAINCapitalGroupLLC,6/22/2020,4/14/2020,221,"18,201"
265,GardnerWhiteFurnitureCompanyInc,2/24/2020,2/5/2020,1,841
266,GeneralDynamicsInformationTechnology,3/9/2020,1/17/2020,3,330
267,GeneralElectricCompany,3/13/2020,2/3/2020,311,"10,275"
268,GenesisProductsInc,8/19/2020,7/16/2020,"3,539","4,432"
269,GenisysControlsLLC,3/26/2020,10/8/2019,5,652
270,Genworth,5/14/2020,4/1/2020,8,"2,135"
271,Gibson GeneralHospital,4/2/2020,2/18/2020,244,286
272,GlassShuffettLTD,4/7/2020,3/16/2020,3,"1,158"
273,GlobalExcelManagementInc,1/27/2020,7/2/2019,1,256
274,GoalStructuredSolutionsInc,2/14/2020,12/23/2019,1,12
275,GonzalezCPA,6/11/2020,,2,"1,192"
276,GoodSamaritanHospitalInc,6/1/2020,10/22/2019,80,"11,891"
277,GordonFeinblattLLC,2/11/2020,7/25/2019,1,"4,451"
278,GoshenEmergencyPhysicians,,,,
279,GovernmentBrandsLLC?DataBrands,5/27/2020,8/21/2019,2,"1,668"
280,GrahamAllenPartner,,,,
281,GrandRapidsPublicMuseum,8/17/2020,2/7/2020,1,57
282,GrandVacationServicesLLC,,,,
283,GrapeHoldingNV,3/17/2020,3/5/2020,64,"6,885"
284,GreaterWashingtonEducationalTelecommunicationsAssociationInc,3/12/2020,3/20/2019,2,287
285,GreenleafTrust,7/10/2020,7/9/2020,79,"1,222"
286,Grindr,,,,
287,GroupOInc,2/11/2020,1/30/2020,13,"1,113"
288,GuardianAssetManagment,8/18/2020,1/1/2020,32,"2,170"
289,GuidepostsAChurchCorporation,7/31/2020,,8,234
290,GullettHoldingsInc,2/26/2020,12/23/2019,1,453
291,GuntherMeleLimited,3/31/2020,7/26/2019,1,147
292,GurleyLeepAutomotiveManagementCorporation,4/1/2020,4/24/2019,"4,639","7,962"
293,GWBLLCdbaGrandWestern,7/30/2020,2/25/2020,22,"1,575"
294,HRBlockLLC,2/21/2020,1/23/2020,1,18
295,HTLPermaUSALTD,5/19/2020,9/25/2019,25,153
296,HahnFinancialGroupInc,2/26/2020,1/13/2020,36,"5,237"
297,HamptonInnSuitesKansasCityDowntownCrossroads,2/10/2020,1/5/2020,1,19
298,HannaAnderssonLLC,1/15/2020,9/16/2019,"2,928",
299,"Respondent, Unknown",,,,
300,HarrisburgMedicalCenterInc,6/2/2020,2/19/2020,18,"1,944"
301,HealthandHospitalCorporationofMarionCountyDBANorthWoodsVillage,3/18/2020,2/27/2020,1,1
302,HealthCareServiceCorporation,2/20/2020,8/16/2019,1,6
303,HealthcareFiscalManagementInc,6/26/2020,4/12/2020,43,"130,573"
304,HealthFirstBluegrass,8/21/2020,,1,
305,HearingSpeechCenter,,,,
306,HeiferProjectInternational,8/21/2020,5/14/2020,"7,127","474,532"
307,HelloDoggieInc,5/22/2020,3/23/2020,6,"1,523"
308,HenriottGroup,6/3/2020,12/11/2019,2.641,"3,191"
309,HepacoLLC,5/8/2020,8/8/2019,50,"2,766"
310,Herbaria,7/31/2020,6/11/2020,7,550
311,HeritageBuildingSystems,7/24/2020,11/13/2019,1,31
312,HeritageInsuranceServiceInc,1/17/2020,5/24/2019,146,"1,527"
313,HeritageUniversity,8/7/2020,5/14/2020,4,"8,978"
314,HobermanLesser,2/10/2020,1/30/2020,7,97
315,HomeComfortExperts,,,,
316,HomelandMortgageCompany,6/8/2020,2/18/2020,1,"5,424"
317,HomelandTitleLLC,7/17/2020,7/29/2019,28,"5,991"
318,HorvathTowersIIILLC,,,,
319,HowardHowardAttorneysPLLC,6/30/2020,2/1/2020,5,329
320,HRBTaxGroupInc,6/18/2020,2/16/2020,3,132
321,HublerAutomotiveGroup,10/30/2019,10/30/2019,1,1
322,HUDFederalCreditUnion,8/20/2020,12/6/2019,12,"5,671"
323,HupyAbrahamSC,8/28/2020,6/6/2020,8,"3,332"
324,HydroChemLLCdbaHydroChemPSC,2/19/2020,12/30/2019,2,557
325,IcahnAutomotiveGroupLLC,5/6/2020,3/13/2020,"1,086","56,521"
326,IdahoCentralCreditUnion,2/7/2020,7/29/2019,1,"17,438"
327,iHeartMediaEntertainmentInc,3/16/2020,,1,24
328,IIStanleyCoInc,5/16/2020,3/24/2020,3,"3,285"
329,IllinoisIndustrialToolsdbaGreatLakesWholesaleGroupIITJKM,5/15/2020,7/8/2019,9,338
330,ImpactMobileHomeCommunities,5/5/2020,10/3/2018,402,"15,067"
331,IncredibleTechnologiesInc,5/8/2020,4/14/2020,17,313
332,IndianaBMV,7/7/2020,7/7/2020,1,1
333,IndianaBMV,5/28/2020,5/28/2020,1,1
334,IndianaBureauofMotorVehicles,1/3/2020,12/16/2019,1,1
335,IndianaBMV,,,2,2
336,IndianaDepartmentofEnvironmentalManagement,5/18/2020,9/6/2007,1,1
337,IndianaDepartmentofEnvironmentalManagement,4/3/2020,9/4/2007,1,1
338,IndianaDepartmentofEnvironmentalManagement,2/19/2020,1/30/2020,1,1
339,IndianaDepartmentofEnvironmentalManagement,1/13/2020,4/9/2018,1,1
340,IndianaDepartmentofWorkforceDevelopment,1/17/2020,1/14/2020,1,1
341,IndianaDepartmentofWorkforceDevelopment,,7/14/2019,,429+
342,IndianaDepartmentofAdministration,1/10/2020,12/20/2019,1,1
343,IndianaDepartmentofWorkforceDevelopment,2/14/2020,1/29/2020,28,28
344,IndianaDepartmentofWorkforceDevelopment,1/29/2020,1/23/2020,1,1
345,IndianaDepartmentofWorkforceDevelopment,1/10/2020,12/20/2019,0,1
346,IndianaDepartmentofWorkforceDevelopment,4/3/2020,3/19/2020,65,65
347,IndianaProfessionalManagementGroup,6/26/2020,1/27/2020,19,19
348,IndianaSchoolfortheBlindandVisuallyImpaired,6/12/2020,6/8/2020,,57
349,IndianaUniversityFoundationInc,8/3/2020,2/7/2020,49,103
350,IndianaUniversityHealthInc,3/9/2020,2/26/2020,1,1
351,IndianaUniversityHealthInc,7/27/2020,7/7/2020,1,1
352,IndianaWesleyanUniversity,4/13/2020,11/24/2019,14,28
353,IndianapolisMetropolitanPoliceDepartment?DataBreadh,4/16/2020,1/1/2000,"20,102","20,215"
354,IndianapolisNeighborhoodHousingPartnership,8/11/2020,2/1/2020,321,339
355,IndianapolisNeighborhoodHousingPartnership,2/25/2020,2/17/2020,1,1
356,InfinityMortgageHoldingsLLC,5/20/2020,4/2/2019,1,"1,369"
357,InformaticsInc,5/4/2020,1/31/2020,3,"3,081"
358,InseroCoCPAsLLP,1/20/2020,7/16/2019,3,"1,231"
359,InspireBrandsInc,5/29/2020,11/26/2019,5,5
360,InsuranceRecoveryGroup,2/18/2020,10/17/2019,1,"1,610"
361,IntegratedBillingSolutionsInc,,,,
362,IntegrativeNutritionLLCdbaInstituteforIntegrativeNutrition,7/22/2020,3/3/2020,113,"11,745"
363,InternationalMedicalGroupInc,,,,
364,InternetTruckstopGroupLLC,5/27/2020,3/19/2020,1,109
365,Interstates,6/4/2020,2/18/2020,27,"2,338"
366,IntuitInc,3/27/2020,3/1/2020,2,2
367,IntuitInc,4/10/2020,3/11/2020,5,5
368,IntuitInc,2/21/2020,9/20/2019,10,10
369,IntuitInc,1/22/2020,1/4/2020,1,1
370,IntuitInc,5/6/2020,2/24/2019,3,3
371,IntuitInc,4/3/2020,2/2/2020,4,4
372,JDEnglandManagementInc,1/17/2020,8/31/2019,65,"10,754"
373,JamaicaNationalBank,3/20/2020,3/14/2020,37,
374,JEOConsultingGroupInc,3/30/2020,11/1/2019,1,47
375,JosephJGormleyCPA,6/22/2020,4/8/2020,2,"1,591"
376,KabbageInc,2/13/2020,1/13/2020,2,90
377,KandyPensInc,4/20/2020,3/7/2019,554,"39,457"
378,KankakeeValleySchoolCorporation,6/4/2020,,812,852
379,KayneAndersonCapitalAdvisorsLP,1/13/2020,11/26/2019,1,412
380,KBAdministratorsInc,6/11/2020,3/6/2020,3,"1,096"
381,KentuckianaDentalGroup,7/8/2020,,29,
382,KentuckianaRegionalPlanningandDevelopmentAgency,6/5/2020,1/29/2020,50,"3,663"
383,KentuckyEmployersMutualInsurance,2/13/2020,1/28/2020,7,197
384,KentuckyRetirementSystems,4/21/2020,4/17/2020,9,"1,049"
385,KettererCompany,6/23/2020,2/7/2020,138,"4,531"
386,KeyRing,,,,
387,KeyBankNationalAssociation,,,,
388,KidneyCareofMichianaLLC,,,,
389,Kids2Inc,3/11/2020,8/25/2019,2,499
390,KidsFirstSportsCenter,4/27/2020,4/1/2020,,300
391,KlineKeppleandKoryakPC,8/13/2020,10/26/2019,362,"13,290"
392,KohlChildrensMuseumofGreaterChicago,8/17/2020,5/20/2020,1,464
393,KrotoIncdbaiCanvas,6/26/2020,5/10/2020,110,"7,939"
394,KustomUSInc,6/24/2020,1/7/2020,6,811
395,LabtestPortalcomLLC,12/30/2019,8/17/2019,2,23
396,LaCrosseFootwearInc,2/7/2020,8/1/2019,5,406
397,LaDueCurranKuehnLLC,,,,
398,LafourcheParishHospitalServiceDistrictNO1dbaLadyoftheSeaGeneralHospital,7/17/2020,6/16/2020,2,"2,780"
399,LakeCityBank,,,,
400,LakeCityBank?DataBank,7/31/2020,4/6/2020,262,266
401,LakelandCommunityCollege,4/3/2020,1/13/2020,21,"12,135"
402,LakewoodChurch,5/19/2020,1/21/2020,2,"7,520"
403,LambLittleCo,6/26/2020,11/20/2019,12,135
404,LancasterArcherySupplyInc,2/21/2020,12/9/2019,157,"6,691"
405,LandrysInc,12/31/2019,1/18/2019,,
406,LandrysInc,,,,
407,LawyersTitleMiddlePeninsulaNorthernNeckAgencyInc,6/25/2020,9/12/2019,2,574
408,LeDuffAmericaInc,6/18/2020,8/28/2019,22,"37,191"
409,LegacyMutualMortgage?DataPrivacy,3/24/2020,5/24/2019,17,"17,252"
410,LegalincCorporateServicesInc,12/31/2019,10/25/2017,42,3486
411,LifesprkLLC,4/30/2020,11/5/2019,2,"13,000"
412,LincolnCountySouthDakota,3/19/2020,9/3/2019,2,"1,375"
413,LincolnFinancialAdvisors,4/15/2020,3/19/2020,5,"4,076"
414,LincolnSavingsBank,4/17/2020,10/3/2019,16,"7,319"
415,LindnerLearningCenterInc,8/28/2020,,93,96
416,ListIndustries,5/29/2020,4/12/2020,27,"1,544"
417,LittleStarCenterIncdbaLittleStarABATherapy,7/23/2020,4/21/2020,3,
418,LloydEKentCPA?DataBrach,3/31/2020,3/1/2020,3,564
