Company ,Address,Company Contact Information,Attorney                   (If Represented),Date of Breach,Date of Notification,Breach Start,Breach End,Date of Discovery,Type of Information,Number of Maine Residents Affected
"Avis Budget Portugal, Sovial - Sociedade de Viatruas de Aluguer, Lda., R. Prof. Fernando da Fonseca","Edificio Visconde De Alvalade, 6  piso, Lisboa, Portugal 01600-616",None,"Callie L. Pioli, Esq., Dentons US, LLP; 212-398-5298; callie.pioli@dentons.com",4/4/18-9/26/18,10/25/2018,4/4/2018,9/26/2018,,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
"GSI US, Inc., 1009 Lenox Drive, Suite 202, Lawrenceville, NJ 08648",,None,"Donna Wilson, Manatt, Phelps & Phillips LLP, 310-312-4144; dlwilson@manatt.com",7/7/17-10/2/18 (discovered 10/2/18),10/24/2018,7/7/2017,10/2/2018,10/2/2018,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",331
"Tengointernet, Inc.","3300 North Interstate Highway 35, Suite 600, Austin, TX 78705","Eric Stumberg, President, 612-413-8706; estumberg@tengointernet.com",N/A,In or prior to April 2018 (discovered 9/23/18),10/25/2018,4/1/2018,,9/23/2018,"Name, username and password","1,697"
Aptos Inc,,"Gary Wachtel, Discover, 224-405-2286",N/A,18-Sep,10/24/2018,9/1/2018,,,Old Discover Card information may have been compromised,512
British Airways,,"Gary Wachtel, Discover, 224-405-2286",N/A,18-Sep,10/24/2018,9/1/2018,,,Old Discover Card information may have been compromised,1
City Lights Collectibles,,"Gary Wachtel, Discover, 224-405-2286",N/A,18-Sep,10/24/2018,9/1/2018,,,Old Discover Card information may have been compromised,1
Dutch Gardens,,"Gary Wachtel, Discover, 224-405-2286",N/A,18-Sep,10/24/2018,9/1/2018,,,Old Discover Card information may have been compromised,3
Marian Helpers Corporation,,"Gary Wachtel, Discover, 224-405-2286",N/A,18-Sep,10/24/2018,9/1/2018,,,Old Discover Card information may have been compromised,10
Reliable Respiratory,"1504 Boston Providence Highway, #11a, Norwood, MA  02062","Michael Falkson, 781-801-9006; michael@focalzone.com",N/A,6/28/18-7/2/18 (discovered 7/3/18),10/24/2018,6/28/2018,7/2/2018,7/3/2018,"Name, birthdate, diagnosis, treatment information, medication, prescription information, billing and claims information, and health insurance number and information",29
ShopStyle Inc.,"800 Concar Drive, Suite 175, San Mateo, CA 94402","Mia Chiu, 650-532-1612; mchiu@ebates.com",N/A,4/16/18-4/27/18 (discovered 7/5/18),10/24/2018,4/16/2018,4/27/2018,7/5/2018,Email addresses/usernames and hashed passwords,47
Tio Networks (re: Alliance Data & Florida Power & Light Company),"2211 N 1st Street, San Jose, CA 95131","John Kunze, President, 415-777-4800",N/A,Supplement to Feb 2 notice,10/23/2018,,,,See 12/22/17 and 2/2/18 notices,Additional 3 residents
TransUnion LLC,"555 W Adams Street, Chicago, IL 60661","Andrew Rutkowski, 312-985-2119; andrew.rutkowski@transunion.com",N/A,2/22/17-8/27/18 (discovered 6/14/18),10/23/2018,2/22/2017,8/27/2018,6/14/2018,Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number,396
"Village People, LLC","2206 21st Avenue South, Nashville, TN 37212",None,"M. Scott Koller, Baker & Hostetler LLP, 310-979-8427; mskoller@bakerlaw.com",8/14/2018,10/23/2018,8/14/2018,,,"Name or other identifier in combination with SSN, Driver's license number or non-driver identification card number",2
Dr. Amy Woodruff,,None,"Amanda Harvey, WilsonElser, 214.698.8038; Amanda.Harvey@wilsonelser.com",Discovered 8/8/18,10/22/2018,,,8/8/2018,"Possibly Name, SSN, health insurance information, dates of birth could have been impacted",2
Shein,,None,"Paul Ferillo, GreenbergTraurig, 212-801-6598; ferrillop@gtlaw.com", June 2018 - Aug 2018   (Discovered 8/22/18) ,10/17/2018,6/1/2018,8/1/2018,8/22/2018,Email addresses and encrypted password creditionals,Not specified
"Renaissance Pilanthropic Solutions Group (""RenPSG"")","8910 Purdue Road, Suite 500, Indianapolis, IN  46268",None,"James Prendergast, Mullen Coughlin LLC, 1275 Drummers Lane, Suite 302, Wayne, PA 19087",Supplement to 10/18/18 Notice,10/22/2018,,,,See 10/18/18 notice,See 10/18/18 notice
"Challenger Sports, Inc.","8263 Flint Street, Lenexa, KS  66214",None,"Craig Hoffman, Partner, Baker Hostetler LLP, 312 Walnut Street, Cinncinnati, OH 45202; 513-929-3491; cahoffman@bakerlaw.com",8/26/18-8/29/18 (discovered 9/12/18),10/22/2018,8/26/2018,8/29/2018,9/12/2018,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",463
Scrapbook.com LLC,"1495 E. Baseline Road, Suite 102, Gilbert, Arizona, 85233",None,"M. Scott Koller, Baker & Hostetler LLP, 310-979-8427; mskoller@bakerlaw.com",9/14/18-9/17/18 (discovered 9/26/18),10/19/2018,9/14/2018,9/17/2018,9/26/2018,"Name or other personal identifier in combination with  financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",4
"Renaissance Pilanthropic Solutions Group (""RenPSG"")","8910 Purdue Road, Suite 500, Indianapolis, IN  46268","Sean Reddington, Chief Information Officer, 317-756-9665; reddingtons@reninc.com",N/A,6/5/28-6/13/18 (discovered 6/13/18-9/27/18),10/18/2018,6/5/2018,6/13/2018,6/13/18-9/27/18,"Name or other personal identifier in combination with SSN, driver's license number or n on-driver identification card number and financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",126
Tallahassee Memorial Healthcare Inc.,"1300 Miccosukee Road, Tallahassee, FL 32308",None,"Lynn Sessions, Baker & Hostetler, 713-646-1352; lsessions@bakerlaw.com",18-May,10/17/2018,5/1/2018,,,Name or other personal identifier in combination with SSN,1
"Liquidity Services, Inc.","6931 Arlington, Road, Suite 200, Bethesda, MD 20814",None,"Sue Friedberg,  FriedbergBuchanan Ingersoll & Rooney, PC, 412-562-8800; sue.friedberg@bipc.com",4/1/18 (discovered 9/4/18),10/12/2018,4/1/2018,,9/4/2018,"Name or other identifier in combination with SSN, Driver's license number or non-driver identification card number",1
Goody Tickets,,None,"Melissa Ventrone, Clark Hill, 312-360-2506; mventrone@clarkhill.com",9/15/18 - 9/17/18,10/11/2018,9/15/2018,9/17/2018,,"Name, addres, payment card numbers and security codes",1
Commerce Bank,"320 Eagle Crest Drive, Ste. E, Evansville, Indiana 47715",None,"Patrick Haggerty, Baker & Hostetler LLP, 513-929-3412; phaggerty@bakerlaw.com",7/28/18-8.2.18 (discovered 8/31/18),10/10/2018,7/28/2018,8/2/2018,8/31/2018,Name or other personal identifier in combination with SSN,2
Envision Healthcare Corporation,"1A Burton Hills Blvd, Nashville, TN 37215",None,"Lynn Sessions, Baker & Hostetler, 713-646-1352; lsessions@bakerlaw.com",7/2018 (discovered 8/2/18),10/10/2018,7/1/2018,,8/2/2018,"Name or other personal identifier in combination with SSN, driver's license number or non-driver identification card number",53
"Cigna, B6LPA","900 Cottage Grove Road, Bloomfield, CT 06002",Matthew Fitzsimmons (860) 226-1692; Matthew.Fitzsimmons@Cigna.com.,N/A,Beginning 9/5/18,10/9/2018,9/5/2018,,,"Name, names of dependents, contact information, claim and deductible  info and/or other info regarding member's medical history.  SSN's were not accessed or viewd.",10
"RRTS (Roadrunner Transportation Systems, Inc.)","1431 Opus Place, Suite 530, Downers Grove, IL 60515",None,"James Prendergast, Mullen Coughlin LLC, 1275 Drummers Lane, Suite 302, Wayne, PA 19087",Supplement to 9/10/18 breach notice,10/9/2018,,,,See September 10th Notice,56 additional Maine consumers
"Five Below, Inc.","701 Market Street, Suite 200, Philadelphia, PA 19106",None,"Anthony Valach, Baker & Hostetler, LLP, 215-564-2588; avalach@bakerlaw.com",8/14/18-8/28/18 & 9/18/18-9/19/18 ,10/5/2018,8/14/2018,"8/28/18, 9/19/18",,"Name or other personal identifier in combination with SSN, driver's license number or n on-driver identification card number and financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",17
Health Fitness Inc. on behalf of its clients (Amedysis and MACTEC),"400 Field Drive, Lake Forest, IL 60045",None,"Christopher J. Dilenno, Mullen Coughlin, LLC, 1275 Drummers Lane, Suite 302, Wayne, PA 19087; 267-930-4775; cdilenno@mullen.law",1/20/19 (discovered 8/29/18),10/5/2018,1/20/2019,,8/29/2018,Name or other personal identifier in combination with SSN,16
"North American Risk Services, Inc.","PO Box 166002, Altamonte Springs, FL 32716-6002 ","Jon Palmquist, Director of Compliance/General Counsel; jpalmquist@narisk.com",N/A,2/7/18-3/27/18 (discovered 6/27/18)  SUPPLEMENT TO 9/4 NOTICE,10/5/2018,2/7/2018,3/27/2018,6/27/2018,"Name or other personal identifier in combination with SSN, driver's license number or n on-driver identification card number and financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",4
California State University East Bay,"25800 Carlos Bee Boulevard SA 4401, Hayward, CA  94542",None,"M. Scott Koller, Baker & Hostetler LLP, 310-979-8427; mskoller@bakerlaw.com",3/27/18-9/2/18 (discovered 9/17/18),10/5/2018,3/27/2018,9/2/2018,9/17/2018,Name or other personal identifier in combination with SSN ,3
"LeafFilter North, LLC","1595 Georgetown Road, Hudson, OH 44236",None,"David Kitchen, Baker & Hostetler LLP; 216-861-7060; dkitchen@bakerlaw.com",4/1/18-8/21/18,10/4/2018,4/1/2018,8/21/2018,,"Name or other personal identifier in combination with SSN and financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",3
"Shoe Station, Inc.","720 Executive Park Drive, Mobile, AL 36606","Brent Barkin, CEO, 251-476-7414",N/A,7/14/18-7/16/18 (discovered 8/28/18),10/3/2018,7/14/2018,7/16/2018,8/28/2018,"Name or other personal identifier in combination with financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
"Professional Publications, Inc.","1250 Fifth Avenue, Belmont, CA 94002","Christopher Butler, 608-779-5599 Ext 2826; christopher.butler@kaplan.com",N/A,3/9/17-4/5/17 (Discovered 9/19/18),10/3/2018,3/9/2017,4/5/2017,9/19/2018,"Name or other personal identifier in combination with financial account or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
Lion Equity Partners,,None,"James Giszczak, McDonald Hopkins PLC, 39533 Woodward Ave, Suite 318, Bloomfield Hills, MI 48304; 248-220-1354; jgiszczak@mcdonaldhopkins.com",4/2/18 - 5/11/18,10/2/2018,4/2/2018,5/11/2018,,"Name, SSN and possibly one or more of the following: driver's license number, state ID number and credit or debit card information.",1
J Crew,"224 Liberty St, 17th Fl, New York, NY 10281",None,"Amelia M. Gerlicher, Esq., PerkinsCoie, 1201 Third Avenue, Suite 4900, Seattle, WA 98101-3099, 206-359-3445; AGerlicher@perkinscoie.com",Unknown (discovered 9/12/18),10/2/2018,NA,,9/12/2018,"Name, shipping address, last 4 digits of payment card, email address and password, ",1
"Toyota Industries North America, Inc.","3030 Barker Drive, Columbus, IN  47201",None,"Linda Emery, Quarles & Brade LLP; 414-277-3038; linda.emery@quarles.com",8/15/2018,9/28/2018,8/15/2018,,,Name or other personal identifier in combination with SSN ,1
Another Planet Entertainment,"1815 4th Street, Suite C, Berkeley, CA 94710",None,"Elizabeth R. Dill, Lewis Brisbois Bisgaard & Smith; 215-977-4080; Elizabeth.dill@lewisbrisbois.com",4/9/2018 (discovered 7/17/18),10/3/2018,4/9/2018,,7/17/2018,Name or other personal identifier in combination with SSN,2
The Coca-Cola Bottling Co. of Northern New England,"1 Executive Park Drive, Bedford, NH 03110-6913",None,"David Kitchen, Baker & Hostetler LLP; 216-861-7060; dkitchen@bakerlaw.com",6/2/18-8/9/18 (discovered 8/24/18),9/28/2018,6/2/2018,8/9/2018,8/24/2018,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combination with security code, access code password or PIN for the account",28
"AEI Fund Management, Inc.","1300 Wells Fargo Place, 30 East Seventh Street, St. Paul, MN 55101",None,"Sten Hoidal, Fredrikson & Byron, PA; 612-492-7334; shoidal@fredlaw.com",7/5/18 (discovered 8/6/28),9/28/2018,7/5/2018,,8/6/2028,Name or other personal identifier in combination with SSN,4
Wintrust Financial Corporation,"9700 W. Higgins Road, Rosemont, IL 60018",None,"Colleen T. Brown, Partner, SidleyAustin LLP; 202-736-8000; ctbrown@sidley.com",8/22/2018,9/28/2018,8/22/2018,,,Name and financial account numbers,7
"Chegg, Inc.","3990 Freedom Circle, Santa Clara, CA  95054",None,"Jim DeGraw, Ropes & Gray LLP, 415-315-6343; James.DeGraw@ropesgray.com","On or around April 29, 2018",9/26/2018,4/29/2018,,,"Name, email address, shipping address, Chegg username, and hashed Chegg password","75,000"
Protravel International LLC,"515 Madison Avenue, 10 Floor, New York, NY",None,"Harry Valetk, Baker McKenzie, 212-626-4285; harry.valetk@bakermckenzie.com",10/25/17-4/25/18 (discovered 8/22/18),9/24/2018,10/25/2017,4/25/2018,8/22/2018,"Name or other personal identifier in combination with driver's license number or non-driver identification card number and financial account number or credit or debit card number, in combination with security code, access code password or PIN for the account",2
Plant Therapy,"Twin Falls, Idaho",None,"David Sherman, Lewis Brisbois, 550 E. Swedesford Road, Suite 270, Wayne, PA 19087",7/17/18 to 7/20/18,9/21/2018,7/17/2018,,,"Name, payment card information (card #, exp date and security code) as well aswebsite username and password.",15
The Affiliated Group,"7381 Airport View Drive SW, Rochester, MN 55902","Chris Meier, 972-862-4232; cmeier@thecmigroup.com",N/A,11/1/2017 (discovered 3/28u/18),9/19/2018,11/1/2017,,3/28/2018,Name or other personal identifier in combination with SSN,19
"Performance Food Group, Inc.",,None,"Nathan Kottkamp, MaGuire Woods, LLP, 804-775-1092; nkottkamp@mcquirewoods.com",Discovered 8/20/18,9/18/2018,,,8/20/2018,"Unsure, but may have been name, address, SSN and driver's license no.",3
YRC Worldwide Inc.,"10990 Roe Ave, Overland, Park, KS 66211",None,"Wakaba Tessier, Husch Blackwell LLP, 816-983-8289; wakaba.tessier@huschblackwell.com",7/24/2018,9/21/2018,7/24/2018,,,Name or other personal identifier in combination with SSN,27
"Tauck, Inc.","10 Westport Road, Wilton, CT 06897",None,"Scott Lashway, Holland & Knight LLP, 617-305-2119; scott.lashway@hklaw.com",2/1/18 (discovered 8/13/18),9/19/2018,2/1/2018,,8/13/2018,Name or other personal identifier in combination with SSN,1
Tech Rabbit LLC,"601 Lehigh Ave, Union, NJ 07083",None,"Scot Ganow, Taft, Stettinius & Hollister, LLP, 937-641-2041; sganow@taftlaw.com",2/22/17-5/22/18 (discovered 8/8/18),9/19/2018,2/22/2017,5/22/2018,8/8/2018,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with security code, access code password or PIN for the account",139
Arby's ,,"Gary Wachtel, Discover, 224-405-2286",N/A,18-Aug,9/17/2018,8/1/2018,,,Discover Card account information,3
Automated Pet Care Products,,"Gary Wachtel, Discover, 224-405-2286",N/A,18-Aug,9/17/2018,8/1/2018,,,Discover Card account information,3
Braintree PSP,,"Gary Wachtel, Discover, 224-405-2286",N/A,18-Aug,9/17/2018,8/1/2018,,,Discover Card account information,1
Rainbow Resource Center,,"Gary Wachtel, Discover, 224-405-2286",N/A,18-Aug,9/17/2018,8/1/2018,,,Discover Card account information,22
"Garvey Schubert Barer, P.C.","1191 Second Avenue, Suite 1800, Seattle, WA 98101-2939","Lucinda Fernald, General Counsel, 206-816-1323; lfernaldo@gsblaw.com",N/A,10/21/17 (discovered 8/6/18),9/14/2018,10/21/2017,,8/6/2018,Name or other personal identifier in combination with SSN,1
Air Canada,"ZIP 1276, 730 boul, Cote Vertu West, Dorval, QC H4S 1Y9","Stephanie Rich, 514-422-6960; stephanie.rich@aircanada.ca",N/A,8/22/2018,9/14/2018,8/22/2018,,,"Name or other personal identifier in combination with financial account (Aeroplan frequent flyer acct #) number or credit or debit card number, in combination with the security code, access code, password, or PIN  ",2
Peaceful Valley Farm Supply,"125 Clydesdale Ct, Grass Valley, CA 95945","Josh Duncan, VP, 530-272-4769x127; josh@groworganic.com",N/A,2/9-8/22/18,9/11/2018,2/9/2018,8/22/2018,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN  ",106
"Roadrunner Transportation Systems, Inc.","1431 Opus Place, Suite 530; Downers Grove, IL 60515","Robert Milane, 414-486-8448; bmilane@rrts.com",N/A,18-Apr,9/10/2018,4/1/2018,,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN ",97
"Nardella & Taylor, LLP",,None,"Gregory Bautista, Wilson Elser Moskowitz Edelman  Dicker, LLP; 914-872-7839; Gregory.Bautista@wilsonelser.com","Discovered August 1, 2018",9/7/2018,,,8/1/2018,"Name, address, SSN and/or financial account information",35
"Stein Mart, Inc.","1200 Riverplace Blvd., Jacksonville, Florida 32207",None,"Craig Hoffman, Partner, Baker Hostetler LLP, 312 Walnut Street, Cinncinnati, OH 45202; 513-929-3491; cahoffman@bakerlaw.com",5/19/18 -  7/9 /18 (discovered 8/6/18),9/7/2018,5/19/2018,7/9/2018,8/6/2018,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",1
Title Nine,"6201 Doyle Street, Emeryville, California, 94608",None,"Craig Hoffman, Partner, Baker Hostetler LLP, 312 Walnut Street, Cinncinnati, OH 45202; 513-929-3491; cahoffman@bakerlaw.com",5/19/18 - 7/9/18 (discovered 8/6/18),9/7/2018,5/19/2018,7/9/2018,8/6/2018,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",8
Sanibel Captiva Trust Company,"2460 Palm Ridge Road, Sanibel, FL 33957",None,"Elizabeth Johnson, Wyrick Robbins Yates & Ponton LLP",7/30/2018,9/6/2018,7/30/2018,,,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver identification card number, and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",5
ECS Tuning,"1000 Seville Road, Wadsworth, OH  44281",None,"Amelia M. Gerlicher, Esq., PerkinsCoie, 1201 Third Avenue, Suite 4900, Seattle, WA 98101-3099, 206-359-3445; AGerlicher@perkinscoie.com",s,9/6/2018,,,,s,4
"Kyocera Document Solutions New England, Inc.","One Jewel Drive, Wilmington, MA 018878","Gerry Mahoney, President, 781-404-5307; Gerry.mahoney@kda-ne.com",N/A,8/30/2018,9/4/2018,8/30/2018,,,Name or other personal identifier in combination with SSN,31
"North American Risk Services, Inc.","PO Box 166002, Altamonte Springs, FL 32716-6002","Jon Palmquist, Director of Compliance/General Counsel; jpalmquist@narisk.com",N/A,2/7/18 - 3/27/18 (discovered 6/27/18),9/4/2018,2/7/2018,3/27/2018,6/27/2018,Name or other personal identifier in combination with SSN,1
"Movement Mortgage, LLC","8024 Calvin Hall Road, Indian Land, SC 29707","CJ Walsh, Assoc General Counsel, 980-263-2944; cj.walsh@movement.com",N/A,10/9/17-3/29/18 (discovered 8/1/18),8/31/2018,10/9/2017,3/29/2018,8/1/2018,"Name or other personal identifier in combination with SSN, Driver's license number or non-driver ID number and financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",7
Bombas LLC,"37 E 18th St. 4th Floor, New York, NY 10003","David Heath, 646-760-8112; dave@bombas.com",N/A,9/27/14 - 2/25/15,8/31/2018,9/27/2014,2/25/2015,,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account",175
"Richard Owen Nursery, Inc.","P.O. Box 2999, Bloomington, IL 61702",None,"David J. Shannon, Marshall Dennehey Warner Coleman & Groggin P.C., 215-575-2615; DJShannon@mdwcg.com",9/29/17 (discovered Aug 2018),8/30/2018,9/29/2017,,8/1/2018,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account",113
"Garretson Resolution Group, Inc.","6281 Tri-Ridge Boulevard, Suite 300, Cincinnati, Ohio 45140",None,"Eric Packel, Baker & Hostetler LLP, 215-564-3031; epackel@bakerlaw.com",4/4/2018 - 5/4/18 (discovered 7/9/18),8/30/2018,4/4/2018,5/4/2018,7/9/2018,Name or other personal identifier in combination with SSN,8
Surefire,,"Cynthia Nezik, 714-545-9444 ext 1172, cnezik@surefire.com",N/A,"May 28, 2018 (approx) to July 22, 2018",8/29/2018,5/28/2018,,,Credit card information,9
Sierra Nevada Brewing Co.,,None,"Michael Morgan, McDermott Will & Emery, 310-551-9366; 2049 Century Park East, Suite 3800, Los Angeles, California 90067-3218",Discovered 8/7/18,8/29/2018,,,8/7/2018,"Name, address, email address, credit card account number, credit card exp date, credit card CVV2 number, and Sierra Nevada account username and password",4
LILLEbaby,"700 12th Street, Suite 220, Golden, CO 80401",None,"Alyssa Watzman, Lewis Brisbois Bisgaard & Smith LLP; 720-292-2052; alyssa.watzman@lewisbrisbois.com",6/1/2016 (discovered 6/15/18),8/29/2018,6/1/2016,,6/15/2018,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account",173
NorthStar Anesthesia,"6225 State Highway 161, #200, Irving, TX 75038","Sandra Geary, Compliance Officer, 214-687-0021; Sandra.Geary@NorthStarAnesthesia.com",N/A,4/3/2018 (discovered 5/23-24/18) ,8/28/2018,4/3/2018,,5/23-24/18,Name,1
Orrstown Bank,"77 East King Street, Shippensburg, PA 17257",None,"Edward McNicholas, Sidley Austin LLP, 1501 K. Street, N.W., Washington, DC 20005",10/2/2017 (discovered 7/25/18),8/28/2018,10/2/2017,,7/25/2018,"Name or other personal identifier in combination with SSN and financial account number or credit or debit card number, in combinoation with the security code, access code, password, or PIN for the account",18
Humana Inc,"500 W Main Street, Louisville, KY 40202","Stacey Glennon, 502-580-1190; sglennon@humana.com",N/A,8/17/2018,8/27/2018,8/17/2018,,,"Medical, dental and vision claims including provider name, dates of service, charge and paid amounts; spending account information such as health saving aaccount spending & balance info, wellness info including biometric screeding information",2
Ameriprise Financial Inc.,"707 2nd Ave S, Minneapolis, MN 55474","Kathleen Dedenbach, VP-Chief Counsel; 248-205-5817; kathleen.a.dedenbach@ampf.com",N/A,Unknown (Discovered 7/24/18),8/27/2018,NA,,7/24/2018,Name or other personal identifier in combination with SSN,1
Maine Savings Federal Credit Union,"P.O. Box 347, Hampden, ME 04444","John Reed, President & CEO, 207-862-6500",N/A,Informed of breach on 8/6/18,8/27/2018,,,8/6/2018,"Name, SSs and Employer ID numbers",65
"Dorian Business Systems, LLC",,"Charlie Piper, CEO, Charms Office Assistant, cpiper@connexeo.com; 952-955-4822; 9201 East Bloominton Freeway, Suite RR, Bloomington, MN 55420.",N/A,Discovered on 7/31/18,8/28/2018,,,7/31/2018,"Name, phone number, email address, and Charms username and password for 7 Maine residents",7
REEB Millwork Corporation,"1000 Maloney Circle, Bethlehem, PA 18015",None,"Richard J. Bortnick, Sr. Counsel, Traub Lieberman Straus & Shrewsberry LLP, 732-985-1000; rbortnick@tlsslaw.com",6/8/2018,8/23/2018,6/8/2018,,,Name or other personal identifier in combination with SSN and Driver's license number or non-driver ID card number,14
Health Management Concepts Inc.,"181 Commodore Drive, Jupiter, FL 33477",None,"Aaron Lancaster, Baker & Hostetler, LLP, 202-861-1501; alancaster@bakerlaw.com",7/19/2018,8/22/2018,7/19/2018,,,Name or other personal identifier in combination with SSN,25
Cheddars Scratch Kitchen (Cheddar's),,None,"Jemes Denvil, Hogal Lovells US LLP, 202-637-5521; w.james.denvil@hoganlovells.com",11/3/17-1/2/18,8/22/2018,11/3/2017,1/2/2018,,Payment card numbers ,Unknown
Munro & Company,"3770 Malvern Road, Hot Springs, AR  71901",None,"M. Scott Koller, Baker & Hostetler LLP, 310-979-8427; mskoller@bakerlaw.com",7/21/18-8/8/18,8/21/2018,7/21/2018,8/8/2018,,"Name, payment card number, exp date & security code",2
Eastern Maine Community College   (Notice of Possible Breach),"354 Hogan Road, Bangor, ME","Amy Homans, General Counsel, Maine Community College System, 207-767-0116; ahomans@mccs.me.edu",N/A,6/25/18 (discovered 8/6/18),8/17/2018,6/25/2018,,8/6/2018,Name or other personal identifier in combination with SSN,"40,590"
Animoto Inc.,"333 Kearny Street, 6th Floor, San Francisco, CA 94108",None,"Edward Finn, Mullen Coughlin LLC, 267-930-4776; efinn@mullen.law",7/10/2018,8/16/2018,7/10/2018,,,"Name, username (email address), hashed and salted passwords, geolocation, gender, and birthdate","8,642"
Tommie Copper Mount Kisco,,None,"Gary Wachtel, Discover, 224-405-2286; garywachtel@discover.com",7/1/2018,8/15/2018,7/1/2018,,,Discover Card account information,10
