Company Name,clean_name,Company Type,D-U-N-S@ Number,Manufacturing Indicator,Subsidiary Status,Year of Founding,Location Type,Physical State,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1)
"GENWORTH FINANCIAL, INC.",Genworth Financial Inc,Public,14-236-0416,Manufacturer,Non-Subsidiary,2003,Headquarters,VIRGINIA,524113,Direct Life Insurance Carriers,"524113, 524126","""Direct Life Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers ""","6311, 6351","""Life insurance"", ""Surety insurance""",63110000,Life insurance,"$8,096,000,000 ","3,500",550,"$8,430,000,000 "
"CITIZENS FINANCIAL GROUP, INC.",Citizens Financial Group Inc,Public,13-175-8724,Manufacturer,Non-Subsidiary,1984,Headquarters,RHODE ISLAND,522110,Commercial Banking,522110,"""Commercial Banking """,6022,"""State commercial banks""",60220000,State commercial banks,"$8,066,000,000 ","17,600",8,"$7,354,000,000 "
ALLSTATE INSURANCE COMPANY,Allstate Insurance Co,Private,00-693-5886,Manufacturer,Subsidiary,1931,Headquarters,ILLINOIS,524210,Insurance Agencies and Brokerages,,,,,64110000,"Insurance agents, brokers, and service","$7,737,789,811 ","25,000","4,000","$8,607,998,513 "
INTUIT INC.,Intuit Inc,Public,11-329-0969,Manufacturer,Non-Subsidiary,1983,Headquarters,CALIFORNIA,511210,Software Publishers,511210,"""Software Publishers""",7372,"""Prepackaged software""",73720000,Prepackaged software,"$6,784,000,000 ","9,400",70,"$5,964,000,000 "
LPL FINANCIAL HOLDINGS INC.,LPL Financial Holdings Inc,Public,78-882-3016,Manufacturer,Non-Subsidiary,1989,Headquarters,MASSACHUSETTS,523120,Securities Brokerage,"523120, 523930, 523991","""Securities Brokerage "", ""Investment Advice "", ""Trust, Fiduciary, and Custody Activities ""","6091, 6211, 6282","""Nondeposit trust facilities"", ""Security brokers and dealers"", ""Investment advice""",62110102,"Brokers, security","$5,624,856,000 ","4,229",4,"$5,188,400,000 "
"CHIPOTLE MEXICAN GRILL, INC.",Chipotle Mexican Grill Inc,Public,80-605-8632,Manufacturer,Non-Subsidiary,1993,Headquarters,CALIFORNIA,722511,Full-Service Restaurants,"722410, 722511","""Drinking Places (Alcoholic Beverages) "", ""Full-Service Restaurants ""","5812, 5813","""Eating places"", ""Drinking places""",58120112,Mexican restaurant,"$5,586,369,000 ","73,000",100,"$4,864,985,000 "
"AGILENT TECHNOLOGIES, INC.",Agilant Technologies Inc,Public,08-496-3177,Non Manufacturer,Non-Subsidiary,1999,Headquarters,CALIFORNIA,334515,Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals,"334515, 334516, 511210","""Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals "", ""Analytical Laboratory Instrument Manufacturing "", ""Software Publishers""","3825, 3826, 7372","""Instruments to measure electricity"", ""Analytical instruments"", ""Prepackaged software""",38250000,Instruments to measure electricity,"$5,163,000,000 ","14,800",224,"$4,914,000,000 "
GLOBAL PAYMENTS INC.,,Public,00-504-7290,Manufacturer,Non-Subsidiary,1967,Headquarters,GEORGIA,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",522320,"""Financial Transactions Processing, Reserve, and Clearinghouse Activities """,7389,"""Business services, nec""",73890903,Credit card service,"$4,911,892,000 ","11,000",133,"$3,366,366,000 "
"CA, INC.",CA Inc,Public,08-039-9256,Manufacturer,Subsidiary,1974,Headquarters,NEW YORK,511210,Software Publishers,"511210, 541611","""Software Publishers"", ""Administrative Management and General Management Consulting Services ""","7372, 8742","""Prepackaged software"", ""Management consulting services""",73729902,Business oriented computer software,"$4,235,000,000 ","11,300","1,500","$4,235,000,000 "
"FOREVER 21, INC.",Forever 21 Inc,Private,04-243-7293,Manufacturer,Non-Subsidiary,2002,Headquarters,CALIFORNIA,448210,Shoe Stores,"448120, 448150, 448210","""Women's Clothing Stores "", ""Clothing Accessories Stores "", ""Shoe Stores ""","5621, 5632, 5661","""Women's clothing stores"", ""Women's accessory & specialty stores"", ""Shoe stores""",56619906,Women's shoes,"$4,199,143,802 ","30,000",272,"$4,629,140,072 "
"HANNAFORD BROS. CO., LLC",Hannaford Bros Co,Private,00-694-9556,Manufacturer,Subsidiary,1902,Headquarters,MAINE,445110,Supermarkets and Other Grocery (except Convenience) Stores,"445110, 446110","""Supermarkets and Other Grocery (except Convenience) Stores "", ""Pharmacies and Drug Stores ""","5411, 5912","""Grocery stores"", ""Drug stores and proprietary stores""",54110101,"Supermarkets, chain","$3,645,000,000 ","25,000","1,262","$5,000,000,000 "
"BJ'S WHOLESALE CLUB, INC.",BJ's Wholesale Club Inc,Public,15-908-2692,Manufacturer,Subsidiary,1996,Headquarters,MASSACHUSETTS,452311,Warehouse Clubs and Supercenters,,,,,53999906,Warehouse club stores,"$3,435,670,411 ","24,800",700,"$4,880,984,158 "
"H&R BLOCK, INC.",H&R Block,Public,04-395-1235,Manufacturer,Non-Subsidiary,1955,Headquarters,MISSOURI,541213,Tax Preparation Services,"533110, 541213","""Lessors of Nonfinancial Intangible Assets (except Copyrighted Works)"", ""Tax Preparation Services ""","6794, 7291","""Patent owners and lessors"", ""Tax return preparation services""",72910000,Tax return preparation services,"$3,094,881,000 ","93,400",300,"$3,159,931,000 "
CAPITAL ONE BANK,Capital One Bank,Private,14-776-2764,Manufacturer,Subsidiary,1994,Headquarters,VIRGINIA,522110,Commercial Banking,,,,,60210000,National commercial banks,"$2,753,904,255 ","13,180",100,"$4,239,782,761 "
"EXPRESS SCRIPTS, INC.",Express Scripts Inc,Private,17-349-0459,Manufacturer,Subsidiary,1986,Headquarters,MISSOURI,454110,Electronic Shopping and Mail-Order Houses,,,,,59619924,"Pharmaceuticals, mail order","$2,678,349,907 ","13,120","1,200","$2,676,451,432 "
LEXISNEXIS RISK ASSETS INC.,LexisNexis Risk & Information Analytics Group / Seisint Inc.,Private,15-293-0061,Manufacturer,Subsidiary,1997,Headquarters,DELAWARE,524298,All Other Insurance Related Activities,,,,,64110103,"Information bureaus, insurance","$2,466,834,641 ","5,000",700,"$2,752,212,217 "
JACKSON NATIONAL LIFE INSURANCE CO INC,Jackson National Life Insurance Co,Private,00-886-7897,Manufacturer,Subsidiary,1961,Headquarters,MICHIGAN,524113,Direct Life Insurance Carriers,"523120, 523930, 524113, 524298","""Securities Brokerage "", ""Investment Advice "", ""Direct Life Insurance Carriers "", ""All Other Insurance Related Activities ""","6211, 6282, 6311, 6411","""Security brokers and dealers"", ""Investment advice"", ""Life insurance"", ""Insurance agents, brokers, & service""",63119906,Life insurance carriers,"$2,453,522,658 ","3,500","1,500",$0 
"BRIGHAM AND WOMEN'S HEALTH CARE, INC.",Brigham & Woman's Hospital,Private,61-161-1922,Manufacturer,Subsidiary,1986,Headquarters,MASSACHUSETTS,622110,General Medical and Surgical Hospitals,622110,"""General Medical and Surgical Hospitals """,8062,"""General medical & surgical hospitals""",80620000,General medical and surgical hospitals,"$2,405,832,640 ","10,000",350,"$2,276,468,302 "
GERDAU AMERISTEEL CORP.,Gerdau Ameristeel Corp,Public,78-425-3564,Non Manufacturer,Subsidiary,1956,Headquarters,FLORIDA,331110,Iron and Steel Mills and Ferroalloy Manufacturing,,,,,33120000,Blast furnaces and steel mills,"$1,950,197,552 ","7,850",560,"$1,796,481,101 "
GE AVIATION SYSTEMS LLC,GE Aviation Systems,Private,10-720-6559,Non Manufacturer,Subsidiary,1987,Headquarters,OHIO,334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing",334511,"""Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing """,3812,"""Search and navigation equipment""",38120201,"Aircraft control systems, electronic","$1,838,612,932 ","3,573",8,"$1,585,019,114 "
BAYLOR HEALTH CARE SYSTEM,Baylor Health Care Systems,Private,10-260-9997,Manufacturer,Subsidiary,1903,Headquarters,TEXAS,622110,General Medical and Surgical Hospitals,,,,,80620000,General medical and surgical hospitals,"$1,680,004,513 ","20,000",50,"$56,127,165 "
"ALASKA AIRLINES, INC",Alaska Airlines Inc,Private,00-794-2493,Manufacturer,Subsidiary,1937,Headquarters,WASHINGTON,481111,Scheduled Passenger Air Transportation,,,,,45129902,"Air passenger carrier, scheduled","$1,497,151,951 ","10,454",300,"$2,092,292,708 "
BOSTON MEDICAL CENTER CORPORATION,Boston Medical Center,Private,00-549-2160,Manufacturer,Subsidiary,1996,Headquarters,MASSACHUSETTS,621111,Offices of Physicians (except Mental Health Specialists),621111,"""Offices of Physicians (except Mental Health Specialists) """,8011,"""Offices & clinics of medical doctors""",80110000,Offices and clinics of medical doctors,"$1,481,442,000 ","4,200",36,"$1,481,442,000 "
"ICF INTERNATIONAL, INC.",,Public,13-900-1544,Manufacturer,Non-Subsidiary,1969,Headquarters,VIRGINIA,541611,Administrative Management and General Management Consulting Services,"541611, 541618","""Administrative Management and General Management Consulting Services "", ""Other Management Consulting Services ""","8742, 8748","""Management consulting services"", ""Business consulting, nec""",87429902,Business management consultant,"$1,478,525,000 ","5,500","1,019","$1,337,973,000 "
FEDERATED MUTUAL INSURANCE COMPANY,Federated Mutual Insurance Co,Public,00-696-2872,Manufacturer,Non-Subsidiary,1904,Headquarters,MINNESOTA,524126,Direct Property and Casualty Insurance Carriers,"524113, 524126, 525190","""Direct Life Insurance Carriers "", ""Direct Property and Casualty Insurance Carriers "", ""Other Insurance Funds ""","6311, 6321, 6331","""Life insurance"", ""Accident and health insurance"", ""Fire, marine, and casualty insurance""",63310202,"Fire, marine, and casualty insurance: mutual","$1,250,985,036 ","2,270",146,"$1,250,985,036 "
"COLE NATIONAL GROUP, INC.",Cole National Group Inc,Public,84-799-3359,Manufacturer,Non-Subsidiary,0,Single Location,OHIO,446130,Optical Goods Stores,,,,,59950000,Optical goods stores,"$1,201,773,000 ","12,799",40,"$1,201,773,000 "
INFINEON TECHNOLOGIES AMERICAS CORP.,Image Group The,Public,04-167-4912,Non Manufacturer,Subsidiary,1979,Headquarters,CALIFORNIA,334413,Semiconductor and Related Device Manufacturing,,,,,36740200,"Integrated circuits, semiconductor networks, etc.","$1,113,124,093 ","3,500",900,"$1,107,975,247 "
"LENDINGTREE, INC.",Lender Business Process Service,Public,82-818-4429,Manufacturer,Non-Subsidiary,2008,Headquarters,NORTH CAROLINA,522310,Mortgage and Nonmortgage Loan Brokers,"522310, 531210","""Mortgage and Nonmortgage Loan Brokers "", ""Offices of Real Estate Agents and Brokers""","6163, 6531","""Loan brokers"", ""Real estate agents and managers""",61630000,Loan brokers,"$1,106,603,000 ",909,38,"$764,865,000 "
"FALLON COMMUNITY HEALTH PLAN, INC.",Fallon Community Health Plan Inc,Private,10-900-2873,Manufacturer,Non-Subsidiary,1975,Headquarters,MASSACHUSETTS,524114,Direct Health and Medical Insurance Carriers,524114,"""Direct Health and Medical Insurance Carriers """,6324,"""Hospital and medical service plans""",63249903,"Health Maintenance Organization (HMO), insurance only","$1,095,830,174 ",750,750,"$1,095,830,174 "
"MARINER HEALTH CARE, INC.",Mariner Health Care Inc,Private,06-725-7501,Manufacturer,Subsidiary,1977,Headquarters,GEORGIA,623110,Nursing Care Facilities (Skilled Nursing Facilities),,,,,80519902,Extended care facility,"$1,040,378,867 ","35,000",250,"$1,070,958,328 "
HOUGHTON MIFFLIN HARCOURT PUBLISHING COMPANY,Houghton Mifflin Harcourt Publishing Co,Public,00-101-5924,Non Manufacturer,Subsidiary,1908,Headquarters,MASSACHUSETTS,511130,Book Publishers,,,,,27310104,"Textbooks: publishing only, not printed on site","$1,019,827,600 ","3,300",970,"$969,772,467 "
HURON CONSULTING GROUP INC.,Huron Consulting Group,Public,14-897-0184,Manufacturer,Non-Subsidiary,2002,Headquarters,ILLINOIS,541611,Administrative Management and General Management Consulting Services,"541611, 611710","""Administrative Management and General Management Consulting Services "", ""Educational Support Services""","8742, 8748","""Management consulting services"", ""Business consulting, nec""",87420404,Hospital and health services consultant,"$965,474,000 ","3,083",97,"$877,999,000 "
"FINANCIAL INDUSTRY REGULATORY AUTHORITY, INC.",Financial Industry Regulatory Authority,Private,06-200-9279,Manufacturer,Non-Subsidiary,1938,Headquarters,DISTRICT OF COLUMBIA,813910,Business Associations,813910,"""Business Associations """,8611,"""Business associations""",86110300,Regulatory associations,"$900,700,000 ","3,400",350,"$900,700,000 "
DITECH FINANCIAL LLC,Direct Marketing Services Inc,Private,13-989-4690,Manufacturer,Subsidiary,1994,Headquarters,PENNSYLVANIA,522390,Other Activities Related to Credit Intermediation,,,,,61629902,Loan correspondents,"$831,260,000 ","3,800",800,"$831,260,000 "
HOWARD UNIVERSITY (INC),Howard University,Private,05-628-2296,Manufacturer,Non-Subsidiary,1867,Headquarters,DISTRICT OF COLUMBIA,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210102,University,"$792,671,000 ","5,600","2,677","$792,671,000 "
LOYOLA UNIVERSITY OF CHICAGO INC,Lorillard Tobacco Company,Private,07-436-8911,Manufacturer,Non-Subsidiary,1870,Headquarters,ILLINOIS,611310,"Colleges, Universities, and Professional Schools",611310,"""Colleges, Universities, and Professional Schools """,8221,"""Colleges and universities""",82210102,University,"$614,155,000 ","10,500","1,100","$594,785,000 "
ELLIOT HEALTH SYSTEM,Elliot Health System,Private,13-185-2394,Manufacturer,Subsidiary,1999,Headquarters,NEW HAMPSHIRE,622110,General Medical and Surgical Hospitals,,,,,80620000,General medical and surgical hospitals,"$592,400,786 ","3,400",51,"$556,967,176 "
"COUNTRYWIDE HOME LOANS, INC.",Countrywide Home Loans,Private,06-206-5099,Manufacturer,Subsidiary,1969,Headquarters,CALIFORNIA,522292,Real Estate Credit,,,,,61629903,Mortgage bankers,"$579,706,276 ","9,700",700,"$579,706,276 "
"FRANKLIN TEMPLETON INVESTOR SERVICES, LLC",Franklin Templeton Investor Services LLC,Private,19-469-3503,Manufacturer,Subsidiary,1981,Headquarters,CALIFORNIA,523999,Miscellaneous Financial Investment Activities,,,,,62110109,"Traders, security","$576,740,103 ","2,500","1,200","$608,961,077 "
INVESTORS BANK & TRUST COMPANY,Investor Bank & Trust,Private,04-941-2190,Manufacturer,Non-Subsidiary,0,Single Location,MASSACHUSETTS,522110,Commercial Banking,,,,,60229901,"State trust companies accepting deposits, commercial","$560,449,000 ","1,400","1,400","$560,449,000 "
BLUE CROSS & BLUE SHIELD OF GEORGIA/COLUMBUS INC,Blue Cross Blue Shield of Georgia,Private,06-756-0557,Manufacturer,Non-Subsidiary,0,Single Location,GEORGIA,524114,Direct Health and Medical Insurance Carriers,,,,,63240000,Hospital and medical service plans,"$509,380,663 ","1,300",556,$0 
"GMAC MORTGAGE, LLC",GMAC Mortgage LLC,Private,04-396-7496,Manufacturer,Subsidiary,1968,Headquarters,PENNSYLVANIA,522292,Real Estate Credit,,,,,61629903,Mortgage bankers,"$437,268,432 ","7,500","1,000","$397,516,756 "
"24 HOUR FITNESS USA, INC.",24 Hour Fitness USA Inc,Private,11-509-0839,Manufacturer,Subsidiary,1983,Headquarters,CALIFORNIA,713940,Fitness and Recreational Sports Centers,,,,,79910102,Health club,"$389,368,205 ","7,148",183,"$506,839,876 "
D.A. DAVIDSON & CO.,D.A. Davidson & Co,Private,05-592-3668,Manufacturer,Subsidiary,1935,Headquarters,MONTANA,523120,Securities Brokerage,,,,,62110204,"Investment firm, general brokerage","$372,077,870 ",863,200,"$370,785,984 "
