Year,State,Bill,Status,Description,URL
2019,Massachusetts,SB 180,Status: Pending,Relates to the security of personal financial information.,
2019,Maryland,HB 1127,Status: Failed-adjourned,"Establishes and strengthens consumer protections in certain areas of financial transactions, including mobile home purchases, security breaches, vehicle purchases, money transmission and other areas, applies certain existing financial consumer protections to new forms of financial transactions, establishes that a mobile home retailer has a duty of good faith and fair dealing, prohibits a mobile home retailer from steering a consumer borrower to products that offer less favorable terms.",
2019,Maryland,HB 1154,"Status: Enacted, Chap. 294","Alters the applicability of certain security breach investigation requirements to certain businesses, alters the applicability of certain security breach notification requirements to a certain owner or licensee of computerized data.",
2019,Maryland,SB 30,"Status: Enacted, Chap. 103","Relates to insurance, relates to breach of security of a computer system, relates to notification requirement.",
2019,Maryland,SB 693,"Status: Enacted, Chap.295","Alters the applicability of certain security breach investigation requirements to certain businesses, alters the applicability of certain security breach notification requirements to a certain owner or licensee of computerized data, prohibits a certain business from charging a certain owner or licensee of computerized data a fee for providing information that the owner or licensee needs to provide a certain notification.",
2019,Maryland,SB 786,Status: Failed,"Establishes and strengthens consumer protections in certain areas of financial transactions, including mobile home purchases, security breaches, vehicle purchases, money transmission and other areas, applies certain existing financial consumer protections to new forms of financial transactions, establishes that a mobile home retailer has a duty of good faith and fair dealing, prohibits a mobile home retailer from steering a consumer borrower to products that offer less favorable terms.",
2019,Michigan,HB 4187,Status: Pending,Enacts data breach notification act.,
2019,Minnesota,HB 54,Status: Pending-carryover,"Relates to government data practices, expands the requirement for notification of security breaches.",
2019,Minnesota,HB 1376,Status: Pending-carryover,"Relates to data practices, modifies notification procedure related to an unauthorized acquisition of government data.",
2019,Minnesota,HB 1377,Status: Pending-carryover,"Relates to data practices, modifies the definition of a data security breach.",
2019,Minnesota,HB 1683,Status: Pending-carryover,"Relates to utilities, provides access rights to energy usage data maintained by utilities.",
2019,Minnesota,HB 1821,Status: Pending-carryover,"Relates to education, creates the Student Data Privacy Act, provides penalties.",
2019,Minnesota,S.B. 248,Status: Pending-carryover,"Relates to government data practices, expands the requirement for notification of security breaches.",
2019,Minnesota,SB 2054,Status: Pending-carryover,"Relates to utilities, provides access rights to energy usage data maintained by utilities.",
2019,Minnesota,SB 2062,Status: Pending-carryover,"Relates to data practices, modifies notification procedure related to an unauthorized acquisition of government data.",
2019,Minnesota,SB 2063,Status: Pending-carryover,"Relates to data practices, modifies the definition of a data security breach.",
2019,Minnesota,SB 2291,Status: Pending-carryover,"Relates to education, creates the Student Data Privacy Act, provides penalties.",
2019,Missouri,HB 35,Status: Failed-adjourned,Changes the laws regarding the safekeeping of personal information.,
2019,Missouri,HB 329,Status: Failed-adjourned,Changes the laws regarding the safekeeping of personal information.,
2019,Missouri,HB 592,Status: Failed-adjourned,Creates new provisions related to student data privacy.,
2019,Missouri,SB 401,Status: Failed-adjourned,Relates to student data privacy.,
2019,New Jersey,AB 1360 ,Status: Pending,Requires certain notifications and free credit reports for customers following a breach of security of personal information within a business or public entity.,
2019,New Jersey,AB 2427 ,Status: Pending,Prohibits consumer reporting agencies from charging certain fees and including certain provisions in contracts with consumers.,
2019,New Jersey,AB 3043 ,Status: Pending,Requires consumer reporting agencies to increase the protection of consumers' personal information.,
2019,New Jersey,AB 3245 ,Status: Pending,"Requires disclosure of breach of security of online account, provides that in the case of a breach of security involving a user name or password, in combination with any password or security question and answer that would permit access to an online account, and no other personal information the business or public entity may provide the notification in electronic or other form that directs the customer whose personal information has been breached to promptly change any password and security question.",
2019,New Jersey,AB 3541 ,Status: Pending,Revises requirements for disclosure of a breach of security of certain computerized records containing personal information.,
2019,New Jersey,AB 4975 ,Status: Pending,Requires disclosure of a breach of security of geolocation data.,
2019,New Jersey,SB 52 ,"Status: Enacted, Chap. 95",Requires disclosure of a breach of security of an online account.,
2019,New Jersey,SB 1524 ,Status: Pending,Revises requirements for disclosure of a breach of security of certain computerized records containing personal information.,
2019,New Jersey,SB 1850 ,Status: Pending,Requires consumer reporting agencies to increase the protection of consumers' personal information.,
2019,New Jersey,SB 2042 ,Status: Pending,"Prohibits retail sales establishment from storing certain magnetic-stripe data, requires reimbursement for costs incurred by financial institution due to a breach of security.",
2019,New York,AB 465,Status: Pending,"Enacts the Personal Information Protection Act, establishes a personal information bill of rights requiring parties having custody of residents personal identifying information to ensure the security thereof, provides for the approval of programs to secure personal identifying information by the office of information security, requires the notification of the division of state police and the subjects of information upon the breach of such information, etc.",
2019,New York,AB 1387,Status: Pending,"Amends the General Business Law, relates to imposing a five-day time limit during which to disclose a breach in the security of a system.",
2019,New York,AB 2213,Status: Pending,"Relates to financial technology products and services, establishes a regulatory sandbox program.",
2019,New York,AB 2374,Status: Pending,"Amends the General Business Law, relates to requiring a consumer credit reporting agency to offer identity theft prevention and mitigation services in the case of a breach of the security of such agency's system.",
2019,New York,AB 5635,Status: Pending,"Relates to notification of a security breach, includes credit and debit cards, increases civil penalties.",
2019,New York,SB 40,Status: Pending,Relates to automatic license plate readers.,
2019,New York,SB 133,Status: Failed,"Relates to notification of a security breach, includes credit and debit cards, increases civil penalties.",
2019,New York,SB 135,Status: Pending,"Amends the General Business Law, relates to the timeliness of disclosure of a breach of the security of a system that contains private information, removes language that a fee be paid when a freeze is lifted, requires a security freeze be lifted within one business day of a request.",
2019,New York,SB 1749,Status: Pending,"Relates to creating a private right of action for the breach of a consumer's identifying information such as their Social Security number, driver's license number, bank account number, credit or debit card number, personal identification number, automated or electronic signature, unique biometric data, account passwords or other information that can be used to access an individual's financial accounts or to obtain goods and services.",
2019,New York,SB 2540,Status: Pending,"Amends the General Business Law, provides that a business must provide notification of a data breach within 15 days of such breach, includes the department of financial services to the list of entities that must be notified of a data breach that affects any New York resident.",
2019,New York,SB 2704,Status: Pending,"Amends the General Business Law, prohibits consumer credit reporting agencies from charging a fee to a consumer requesting the placement of a security freeze.",
2019,New York,SB 2821,Status: Pending,"Amends the Tax Law, relates to a business tax credit for purchase of data breach insurance.",
2019,New York,SB 3582,Status: Pending,"Amends the General Business Law, relates to requiring a consumer credit reporting agency to offer identity theft prevention and mitigation services in the case of a breach of the security of such agency's system.",
2019,New York,SB 5721,Status: Pending,Requires certain businesses to offer identity theft prevention and mitigation services in the case of a security breach; exempts businesses under financial hardship.,
2019,Oklahoma,SB 288,Status: Pending-carryover,"Relates to the Security Breach Notification Act, relate to duty to disclose breach and enforcement, requires disclosure of security breach to attorney general, grants exclusive authority to enforce certain violation to Attorney General, imposes certain monetary civil penalties, increases certain civil penalty, updates statutory reference, provides an effective date.",
2019,Oregon,SB 684,"Status: Enacted, Chap. 180",Relates to actions with respect to a breach of security that involves personal information.,
2019,Pennsylvania,HB 245,Status: Pending,"Amends the act of Dec. 22, 2005, known as the Breach of Personal Information Notification Act, provides for definitions, provides for privacy agreements, provides for notification of breach, provides for disposal of materials containing personal information.",
2019,Pennsylvania,HB 270,Status: Pending,"Amends the Credit Reporting Agency Act, provides for definitions, for security freezes, and for fees, provides for credit monitoring services, prohibits the waiver of rights and for a protected person's security freeze.",
2019,Pennsylvania,HB 662,Status: Pending,"Amends the act, known as the Breach of Personal Information Notification Act, provides for notification of breach.",
2019,Pennsylvania,SB 308,Status: Pending,"Amends the act, known as the Breach of Personal Information Notification Act, provides for definitions and for notification of breach, provides for contents and nature of notice and for storage policies.",
2019,Texas,HB 3000,Status: Failed-adjourned,Relates to student data security in public schools.,
2019,Texas,SB 1423,Status: Failed-adjourned,"Relates to the fee for placing, temporarily lifting, or removing a security freeze on a consumer file.",
2019,Utah,SB 193,"Status: Enacted, Chap. 348","Amends provisions enforced by the attorney general, modifies the applicability of the Protection of Personal Information Act, amends the penalty for a violation of the Protection of Personal Information Act or the Consumer Credit Protection Act, establishes a statute of limitations for an enforcement action under the Protection of Personal Information Act or the Consumer Credit Protection Act.",
2019,Vermont,SB 110,Status: Pending-carryover,Relates to data privacy and consumer protection.,
2019,Washington,HB 1071,"Status: Enacted, Chap. 241",Revises provisions relating to the protection of personal information and breach of security thereto.,
2019,Washington,SB 5064,"Status: Pending, cayyrover",Protects personal information.,
2018,Alaska,S.B. 93,Status: Failed--adjourned,Relates to security freezes on the credit reports or records of incapacitated persons and certain minors.,
2018,Alabama,H.B. 410,Status: Failed--adjourned,"Relates to consumer protection, requires certain entities to provide notice to certain persons upon a breach of security that results in the unauthorized acquisition of sensitive personally identifying information.",
2018,Alabama,S.B. 318,"Status: Enacted, Act No. 2018-396",http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0012674.PDF,http://arc-sos.state.al.us/PAC/SOSACPDF.001/A0012674.PDF
2018,Arizona,H.B. 2154,"Status: Enacted, Chap. 177","Relates to personal information, relates to data security breaches.",
2018,California,S.B. 1121,"Status: Enacted, Chap. 266","Provides that any consumer whose nonencrypted or nonredacted personal information is subject to a breach due to the business's violation of the duty to implement and maintain reasonable security procedures and practices may institute a civil action, as specified.",
2018,Colorado,H.B. 1128,"Status: Enacted, Chap. 266",Concerns strengthening protections for consumer data privacy.,
2018,Connecticut,S.B. 472,"Status: Enacted, Chap. 18-90","Concerns fees for security freezes on credit reports, notification of a consumer’s decision to place or remove a security freeze on a credit report and the duration of certain identity theft prevention services required after a data breach; prohibits credit rating agencies from charging a fee to consumers to place or remove a security freeze from the consumer’s account; requires credit rating agencies to notify other credit rating agencies of a consumer’s request.",
2018,Georgia,H.B. 82,Status: Failed--adjourned,"Relates to notification required upon breach of security regarding personal information, to provide that information brokers and data collectors shall provide notice when personal information maintained on individuals by such information broker or data collector is released to unauthorized persons, whether such release is intentional, inadvertent, or accidental, provides for related matters, provides an effective date, repeals conflicting laws.",
2018,Georgia,H.B. 499,Status: Failed--adjourned,"Enacts the Personal Data Security Act, improves systems and procedures for providing and regulating notifications of data breaches affecting residents, revises legislative findings and declarations, modifies definitions, modifies when notices of certain security breaches are required and to provide for the contents of such notices, requires certain entities to maintain certain data security procedures, requires that certain notices of a data breach be sent to certain officials.",
2018,Georgia,H.R. 1613,Status: Failed--adjourned,Urges the federal government to address the issue of data security breaches and enact a uniform national data breach law.,
2018,Hawaii,H.B. 2342,"Status: Enacted, Chap. 22","Eliminates the fee charged by a consumer reporting agency to place, lift, or remove a security freeze requested by a consumer, protected consumer, or a protected consumer's representative; allows a consumer to request a security freeze at any time.",
2018,Hawaii,S.B. 2259,Status: Failed--adjourned,"Requires state consumers, who are required to receive a Summary of Rights under the federal Fair Credit Reporting Act, to also receive a notice of their rights under state law to obtain a security freeze on their credit reports.",
2018,Hawaii,S.B. 2769,Status: Failed--adjourned,"Eliminates the fee charged by a consumer reporting agency to place, lift, or remove a security freeze requested by a consumer, protected consumer, or a protected consumer's representative, allows a consumer to request a security freeze at any time.",
2018,Iowa,H.B. 48,Status: Failed--adjourned,"Relates to student data collection by the department of education, school districts, and accredited nonpublic schools.",
2018,Iowa,H.B. 2137,Status: Failed--adjourned,"Relates to student data collection by the Department of Education, school districts, and accredited nonpublic schools.",
2018,Iowa,H.B. 2423,Status: Failed--adjourned,"Relates to consumer protection, modifies provisions applicable to consumer security freezes and personal information security breach protection.",
2018,Iowa,H.S.B. 526,Status: Failed--adjourned,Modifies certain provisions relating to personal information security breach protection.,
2018,Iowa,H.S.B. 622,Status: Failed--adjourned,"Relates to consumer protection, modifies provisions applicable to consumer security freezes and personal information security breach protection.",
2018,Iowa,S.B. 2177,"Status: Enacted, Chap. 1091",Relates to consumer protection; modifies provisions applicable to consumer security freezes and personal information security breach protection.,
2018,Illinois,H.B. 332,Status: Failed--adjourned,"Amends the School Code to add provisions concerning student data privacy, amends the School Student Records Act, makes changes to the definition provisions, sets forth provisions allowing disclosure of student records to researchers at an accredited post-secondary educational institution or an organization conducting research if specified requirements are met, amends the Children's Privacy Protection and Parental Empowerment Act to change the definition of child to mean a person under the age of eighteen.",
2018,Illinois,H.B. 3872,Status: Failed--adjourned.,"Amends the Consumer Fraud and Deceptive Business Practices Act, provides that in addition to a freeze on a minor's consumer report, a freeze may be placed on the minor's credit file, establishes the procedures for obtaining a freeze on a minor's or protected consumer's credit file, defines terms.",
2018,Illinois,H.B. 4095,"Status: Enacted, Chap. 589","Amends the Consumer Fraud and Deceptive Business Practices Act; provides that a consumer reporting agency may not impose a charge on a consumer for placing a freeze, removing a freeze, or temporarily lifting a freeze.",
2018,Illinois,S.B. 2018,Status: Failed--adjourned,"Creates the Student Data Privacy Act, on and after Oct. 1, 2017, requires the school board of a school district to enter into a written contract with a contractor any time the school board shares or provides access to student information, student records, or student-generated content with that contractor, among other provisions, sets forth provisions concerning contract requirements, contractor and operator requirements and prohibitions, security breach procedures, and the establishment of a task force.",
2018,Illinois,S.B. 2230,Status: Failed--adjourned,"Amends the Consumer Fraud and Deceptive Business Practices Act, provides that a consumer reporting agency may not impose a charge on a consumer for placing a freeze, removing a freeze, or temporarily lifting a freeze, makes corresponding changes.",
2018,Illinois,S.B. 3007,Status: Failed--adjourned,"Amends the Personal Information Protection Act, provides that a data collector required to report breaches to more than 100 residents as a result of a single breach must also report to the Attorney General, provides that the Attorney General shall report annually to the General Assembly specified information concerning breaches of data security by Feb. 1 of each year.",
2018,Illinois,S.B. 3201,Status: Failed--adjourned,"Amends the School Student Records Act, provides that upon the discovery of a breach of security that results in the unauthorized release, disclosure, or acquisition of student information contained in a school student record, a school shall, no later than 48 hours after discovery, notify the parent of the student whose record is involved in the breach of security.",
2018,Illinois,H.B. 4174,Status: Failed--adjourned,"Amends the Personal Information Protection Act, requires any data collector that owns or licenses personal information concerning a resident and any State Agency that collects personal information concerning an resident to notify the resident of any security breach of the system data within 48 hours of discovery of the breach.",
2018,Illinois,H.B. 4367,Status: Failed--adjourned,"Amends the Personal Information Protection Act, provides that a private entity data collector that owns or licenses personal information concerning a resident must notify the resident of any security breach of the system data within 14 days after discovery of the breach.",
2018,Kansas,H.B. 2359,Status: Failed--adjourned,Creates the Kansas information technology enterprise agency.,
2018,Kentucky,H.B. 46,"Status: Enacted, Act 41.",Allows for security freezes to be requested by methods established by the consumer reporting agency; allows consumers to request a replacement personal identification number or password in the same manner as the original security freeze request; removes the expiration of a credit freeze after seven years; includes gender-neutral language.,
2018,Kentucky,H.B. 188,Status: Failed--adjourned,"Includes additional definitions, provides for a free security freeze in the event a protected person has been notified of a security breach pursuant to the Act or has been notified of a free security freeze, and to make technical corrections, requires consumer reporting agencies to encrypt electronic data contained in consumer Files and consumer reports, allows for security freezes to be requested by methods established by the consumer reporting agency.",
2018,Kentucky,S.B. 33,Status: Failed--adjourned,"Revises provisions relating to the security of personal information, provides for a free security freeze in the event a protected person has been notified of a security breach, requires consumer reporting agencies to encrypt electronic data contained in consumer files and consumer reports, allows for security freezes to be requested by methods established by the consumer reporting agency.",
2018,Louisiana,S.B. 361,"Status: Enacted, Chap. 480",Database Security Breach Notification Law: provides for the protection of personal information; requires certain security procedures and practices; provides for notification requirements; relates to violations; provides definitions.,
2018,Maryland,H.B. 848,"Status: Enacted, Chap. 480","Alters a certain prohibition on a consumer bringing a certain action or proceeding against a consumer reporting agency; alters the manner in which a consumer may place, temporarily lift, or remove a security freeze on the consumer's report; requires a consumer reporting agency to develop certain procedures involving the use of certain secure connections to receive and process certain requests to place or remove a security freeze.",
2018,Maryland,H.B. 1285,Status: Failed,"Prohibits a consumer reporting agency from charging a fee for the placement, temporary lift, or removal of a security freeze requested by a consumer or a certain consumer representative within 90 days after a certain data breach; alters the contents of a certain notice that must be included with a summary of rights provided to a consumer; requires a consumer reporting agency that keeps a file on a consumer to maintain a toll-free customer call center.",
2018,Maryland,H.B. 1584,Status: Failed--adjourned,Alters the applicability of certain security breach investigation and notification requirements to certain businesses; prohibits a certain business from charging a certain owner or licensee of computerized data a fee for providing information that the owner or licensee needs to provide a certain notification; prohibits a certain owner or licensee from using certain information for certain purposes.,
2018,Massachusetts,H.B. 134,Status: Failed--adjourned,Relates to removing fees for security freezes and disclosures of consumer credit reports.,
2018,Massachusetts,H.B. 2814,Status: Failed--adjourned,Relates to amending certain statutes pertaining to data security breaches and calling for an investigation by a special commission on cybersecurity to assess the various threats across the Commonwealth.,
2018,Massachusetts,H.B. 4806,"Status: Enacted, Chap. 444",Revises provisions relatiing to consumer protections from security breaches.,
2018,Massachusetts,S.B. 95,Status: Failed--adjourned,Protects biometric information under the security breach law.,
2018,Massachusetts,S.B. 130,Status: Failed--adjourned,Removes fees for security freezes and disclosures of consumer credit reports.,
2018,Massachusetts,S.B. 149,Status: Failed--adjourned,Relates to the security of personal financial information.,
2018,Massachusetts,H.B. 4094,Status: Failed--adjourned,Provides for free credit freeze for active duty military personnel.,
2018,Massachusetts,H.B. 5055,Status: Failed--adjourned,Prohibits assessment of fees for security freeze in connection with a security breach of a database maintained by a consumer reporting agency.,
2018,Massachusetts,H.B. 5094,"Status: Enacted, Chap. 76",Provides for free security freeze for consumers.,
2018,Massachusetts,H.B. 4910,Status: Failed--adjourned,Provides for a database security breach policy for state agencies.,
2018,Massachusetts,H.B. 4983,Status: Failed--adjourned,"Revises notice of security breach requirements, requires public access.",
2018,Massachusetts,S.B. 536,Status: Failed--adjourned,"Requires state agencies to have policies in place to respond to database security breaches, requires state agencies to assist residents affected by a breach to restore their credit, authorizes state agencies to pay expenses in restoring credit, subject to available funds.",
2018,Massachusetts,S.B. 633,Status: Failed--adjourned,Makes changes to the Identity Theft Protection Act to require encryption of certain computerized data and provides remedies for depository institutions for security breaches.,
2018,Michigan,H.B. 4910,Status: Failed--adjourned,Provides for a database security breach policy for state agencies. ,
2018,Michigan,H.B. 4983,Status: Failed--adjourned,Revises notice of security breach requirements; requires public access.,
2018,Michigan,H.B. 5055,Status: Failed--adjourned,Pohibits assessment of fees for security freeze in connection with a security breach of a database maintained by a consumer reporting agency.,
2018,Michigan,H.B. 5094,"Status: Enacted, Chap. 76",Amends an act to require certain consumer reporting agencies to place security freezes for consumers under certain circumstances; provides for the removal of those security freezes; authorize and limit fees.,
2018,Michigan,H.B. 6405,Status: Failed--adjourned,Requires certain entities to provide notice to certain persons in the event of a breach of security that results in the unauthorized acquisition of sensitive personally identifying information; to provide for the powers and duties of certain state governmental officers and entities; and to prescribe penalties and provide remedies.,
2018,Michigan,H.B. 6491,"Status: Enacted, Chap. 690","Enacts the Insurance Data Security Model law; establishes the exclusive standards, for this state, applicable to licensees for data security, the investigation of a cybersecurity event, and notification to the director. ",
2018,Michigan,S.B. 536,Status: Failed--adjourned,"Requires state agencies to have policies in place to respond to database security breaches; requires state agencies to assist residents affected by a breach to restore their credit; authorizes state agencies to pay expenses in restoring credit, subject to available funds.",
2018,Michigan,S.B. 633,Status: Failed--adjourned,Makes changes to the Identity Theft Protection Act to require encryption of certain computerized data and provides remedies for depository institutions for security breaches.,
2018,Minnesota,H.B. 1507,Status: Failed--adjourned,"Relates to education, creates the Student Data Privacy Act, provides penalties.",
2018,Minnesota,H.B. 3480,Status: Failed--adjourned,Relates to consumer protection; revises consumer report regulations; provides regulation alternative dispute resolutions and credit monitoring services.,
2018,Minnesota,H.B. 4277,Status: Failed--adjourned,"Alters a certain prohibition on a consumer bringing a certain action or proceeding against a consumer reporting agency; alters the manner in which a consumer may place, temporarily lift, or remove a security freeze on the consumer's report; requires a consumer reporting agency to develop certain procedures involving the use of certain secure connections to receive and process certain requests to place or remove a security freeze.",
2018,Minnesota,S.B. 1811,Status: Failed--adjourned,"Relates to security freezes, authorizes security freezes for protected persons, provides exceptions.",
2018,Minnesota,S.B. 1961,Status: Failed--adjourned,"Relates to education, creates the Student Data Privacy Act, provides penalties.",
2018,Minnesota,S.B. 3881,Status: Failed--adjourned,Relates to consumer protection; regulates security freezes on consumer credit reports; modifies fees.,
2018,Missouri,H.B. 1606,Status: Enacted,"Requires school districts to send written notification of a breach of data of student personal information to parents or guardians, the department of elementary and secondary education and the state auditor.",
2018,Missouri,H.B. 2399,Status: Failed--adjourned.,Creates new provisions of law related to student data privacy. ,
2018,Missouri,S.B. 582,Status: Failed--adjourned. ,Relates to personal information data of students.,
2018,Nebraska,L 757,Status: Enacted,"Revises provisions of the Credit Report Protection Act and the Financial Data Protection and Consumer Notification of Data Security Breach Act, provides for substantially similar types of a security product that provides the same level of protection to a consumer's credit report as that provided under the Credit Report Protection Act, prohibits an agency using a similar type of security product from charging a fee to a consumer, requires maintenance of reasonable security procedures and practices.",https://nebraskalegislature.gov/bills/view_bill.php?DocumentID=33987
2018,New Hampshire,H.B. 1612,"Status: Enacted, Chap. 2018-209","Requires each local education agency to: I. Create and make publicly available an index of data elements containing definitions of certain individual student personally-identifiable data Fields, II, develops a data security plan, III, makes publicly available students' and parents' rights under the Family Educational Rights and Privacy Act, IV, requires school districts that use digital badges to obtain the written consent of a student's parent or legal guardian.",
2018,New Hampshire,H.B. 1677,Status: Failed,"Allows persons notified of a security breach to exercise the rights of victims of identity theft under the credit freeze Laws, 18-2592 03/04.",
2018,New Hampshire,S.B. 303,"Status: Enacted, Chap. 209",Eliminates fees for credit freezes and allows persons notified of a security breach to exercise the rights of victims of identity theft under the credit freeze laws.,
2018,New Jersey,A.B. 1360,Status: Pending,Requires certain notifications and free credit reports for customers following breach of security of personal information within business or public entity.,
2018,New Jersey,A.B. 2427,Status: Pending,Prohibits consumer reporting agencies from charging certain fees and including certain provisions in contracts with consumers.,
2018,New Jersey,A.B. 3043,Status: Pending,Requires consumer reporting agencies to increase protection of consumers' personal information.,
2018,New Jersey,A.B. 3245,Status: Pending,Requires disclosure of breach of security of online account.,
2018,New Jersey,A.B. 3541,Status: Pending,Revises requirements for disclosure of a breach of security of certain computerized records containing personal information.,
2018,New Jersey,S.B. 52,Status: Pending,Requires disclosure of breach of security of online account.,
2018,New Jersey,S.B. 1524,Status: Pending,Revises requirements for disclosure of a breach of security of certain computerized records containing personal information.,
2018,New Jersey,S.B. 1850,Status: Pending,Requires consumer reporting agencies to increase protection of consumers' personal information.,
2018,New Jersey,S.B. 2042,Status: Pending,Prohibits retail sales establishment from storing certain magnetic-stripe data; requires reimbursement for costs incurred by financial institution due to breach of security.,
2018,New Mexico,S.M. 12,Status: Adopted,"Requests the attorney general to analyze the general compliance with the notification requirements of the data breach notification act stemming from the 2017 Equifax data breach and the methods used by some states to eliminate charges to individual consumers seeking to place a freeze, or lock, on their credit reports, requests a report.",
2018,New York,A.B. 180,Status: Failed--adjourned,"Amends the General Business Law, relates to imposing a five-day time limit during which to disclose a breach in the security of a system.",
2018,New York,A.B. 7167,Status: Failed--adjourned,"Relates to notification of a security breach, includes credit and debit card, increases civil penalties.",
2018,New York,A.B. 7232,Status: Failed--adjourned,"Amends the General Business Law, relates to the timeliness of disclosure of a breach of the security of a system which contains private information.",
2018,New York,A.B. 7781,Status: Failed--adjourned,"Amends the Tax Law, relates to a business tax credit for the purchase of data breach insurance.",
2018,New York,A.B. 8672,Status: Failed--adjourned,"Amends the General Business Law, relates to fee assessments for security freezes following consumer credit reporting agency data breaches, no fee shall be assessed within five years of a data breach occurring, affected consumer credit reporting agencies shall reimburse individuals for such fees assessed by other consumer credit reporting agencies within the same five year period.",
2018,New York,A.B. 8695,Status: Failed--adjourned,"Amends the General Business Law, prohibits fees for security freezes by consumer credit reporting agencies in the case of a breach of information, prohibits fees for subsequent removal or temporary lift of a security freeze, requires a consumer credit reporting agency which has suffered a breach to provide free identity theft protection services.",
2018,New York,A.B. 8756,Status: Failed--adjourned,"Relates to notification of a security breach, includes credit and debit cards, increases civil penalties.",
2018,New York,A.B. 8782,Status: Failed--adjourned,"Amends the General Business Law, provides that if the person or business providing the notification was the source of the breach, an offer to provide appropriate identity theft prevention and mitigation services, shall be provided at no cost to the affected person for not less than 12 months, along with all information necessary to take advantage of the offer to any person whose information was or may have been breached if the breach exposed or may have exposed personal information.",
2018,New York,A.B. 8884,Status: Failed--adjourned,"Relates to notifications of a security breach, includes credit and debit cards, increases civil penalties, requires the Office of Information Technology Services to develop, update, and provide regular training to all state entities relating to best practices for the prevention of a breach of the security of the system.",
2018,New York,A.B. 9780,Status: Failed--adjourned,Enacts the Personal Information Protection Act; establishes a personal information bill of rights requiring parties having custody of residents' personal identifying information to ensure the security thereof; provides for the approval of programs to secure personal identifying information by the office of information security; requires the notification of the division of state police and the subjects of information upon the breach of such information.,
2018,New York,S.B. 1104,Status: Failed--adjourned,"Amends the General Business Law, relates to the timeliness of disclosure of a breach of the security of a system which contains private information.",
2018,New York,S.B. 4615,Status: Failed--adjourned,"Amends the Tax Law, relates to a business tax credit for purchase of data breach insurance, states, a taxpayer that is a business or owner of a business shall be allowed a credit against the tax imposed by this article equal to twenty-five percent of the premium paid during the taxable year for qualified data breach insurance.",
