"","org_name","address.x","street_address.x","city.x","state.x","zip_code.x","contact_info","attorney","breach_dates","reported_date","date_of_breach","breach_end","discover_date","info_type","affected_residents","date_formatted","DUNS.No","clean_name","address.y","street_address.y","city.y","state.y","zip_code.y","�..Company.Name","Company.Type","Import.Export","Fax.No","Global.Duns.No","Global.Name","Immediate.Parent.Duns.No","Immediate.Parent.Name","Latitude","Line.of.Business","Longtitude","Manufacturing.Indicator","Marketing.Prescreen.Score","Marketing.Prescreen.Ranking","Minority.Owned.Indicator","Owns.Rents","Phone.No","Subsidiary.Status","Web.Address..URL.","Year.of.Founding","Auditors","Trade.Style","Employer.ID.Number..EIN.","Domestic.Parent.Duns.No","Domestic.Parent.Name","Former.Name","Location.Type","Mailing.Address","Mailing.City","Mailing.Country.Region","Mailing.County","Mailing.State","Mailing.Zipcode","Physical.Address","Physical.City","Physical.Country.Region","Physical.County","Physical.State","Physical.Zipcode","Primary.NAICS.Code","Primary.NAICS.Description","Secondary.NAICS.Code","Secondary.NAICS.Description","Secondary.SIC.Code","Secondary.SIC.Description","Primary.SIC.Code","Primary.SIC.Description","Sales","Employee.All.Sites","Employee.this.Site","Sales..Year.1.","Employees.Total..Year.1.","Facility.Size","DUNS_2","orgtype_financialservices"
"11","39DOLLARGLASSES.COM (paper)",NA,NA,NA,NA,NA,"None","Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286","16-Sep","04/17/2017","9/1/2016",NA,NA,"Discover card account information","29","2017/04","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","3balls.com",NA,NA,NA,NA,NA,"Stephen Scianna, VP/Principal, 319 Manley Street, Suite 1, West Bridgewater, MA 02379; Ph: 508-580-8770","N/A","9/19/12 - 5/11/13","05/31/2013","9/19/2012","5/11/2013",NA,"names, addresses, phone numbers, credit card nos., credit card exp dates and security codes.","34","2013/05","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","7-Eleven, Inc.","3200 Hackberry Road, Irving, TX 75063","3200 Hackberry Road","Irving","TX","75063","None","Mathew Cin, Perkins Coie LLP, mcin@perkinscoie.com; 214-965-7718","6/13/2016","08/09/2016","6/13/2016",NA,NA,"Name or other personal identifier in combination with SSN","25","2016/08","","#N/A","3200 Hackberry Road, Irving, TX 75063","3200 Hackberry Road","Irving","TX","75063",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","80sTees.com",NA,NA,NA,NA,NA,"None","Discover Financial Services, Simon Halfin, 2500 Lake Cook Road, Riverwoods, IL 60015; Ph: 224-405-0933","?","08/23/2013",NA,NA,NA,"Discover Card Account information may have been compromised","10","2013/08","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","80sTees.com, Inc.",NA,NA,NA,NA,NA,"Waldoboro, Maine","Matthew Meade, Buchanan Ingersoll, Rooney, PC, One Oxford Centre, 301 Grant Street, 20th Floor, Pitsburgh, PA 15219-1410; Ph: 412-562-8800","Malware was installed on website server in early June of 2012","04/03/2013","Early June of 2012",NA,NA,"names, addresses, email addresses, phone numbers and credit card info","12","2013/04","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","80sTees.com, Inc. UPDATE",NA,NA,NA,NA,NA,"Kevin Stecko, President, 230 Westec Drive, Mt. Pleasant, PA 15666, Ph:724-696-5121","Matthew H. Meade, Esq., Buchanan Ingersol & Rooney, PC, One Oxford Centre, 301 Grant Street, 20th Floor, Pittsburgh, PA 15219; Tel: 412-562-5271","June 2012 to April 30, 2013","02/03/2014","6/1/2012","4/30/2013",NA,"names, addresses, email addreses, phone numbers and credit card information","248","2014/02","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","A-One Touch Registers",NA,NA,NA,NA,NA,"None","Gary Wachtel, Director and Senior Counsel, Discover Financial Services, 224-405-2286","16-May","06/14/2016","5/1/2016",NA,NA,"Discover card account information may have been compromised.","11","2016/06","","Aone Touch Inc","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","A&M LLC",NA,NA,NA,NA,NA,"None","Gary Wachtel, Discover, 224-405-2286; garywachtel@discover.com","17-Apr","05/16/2017","4/1/2017",NA,NA,"Old Credit Card Info breached","1","2017/05","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","A1 J. Schneider Company","140 N. 4th Street, Louisville, KY 40202","140 N. 4th Street","Louisville","KY","40202","None","Erich Falke, Baker & Hostetler LLP, 215-564-6529; efalke@bakerlaw.com","12/21/16-4/11/17","07/26/2017","12/21/2016","4/11/2017",NA,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password or PIN for the account","4","2017/07","","#N/A","140 N. 4th Street, Louisville, KY 40202","140 N. 4th Street","Louisville","KY","40202",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","AB Acquisition LLC",NA,NA,NA,NA,NA,"None","Benita Kahn, Vorys, Sater, Seymour & Pease, LLP, 52 Eat Gay Street, P.O. Box 1008, Columbus, Ohio 43216","7/17/2014","08/15/2014","7/17/2014",NA,NA,"Credit and Debit Card payment information","? Not Sure at this time","2014/08","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","AB Acquisition LLC, parent company of New Albertson's Inc.  (21 stores under the Shaw's banner in Maine)",NA,NA,NA,NA,NA,"None","Benita Kahn, Vorys, Sater, Seymour and Pease, LLP; 52 East Gay Street, P.O. Box 1008; Columbus, Ohio 43216-1008; 614-464-6400; bakahn@vorys.com","8/27/14 through 9/21/14","09/29/2014","8/27/2014","9/21/2014",NA,"name, account numbers, expiration date, and other numerical information","?","2014/09","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","ABB, Inc.","305 Gregson Drive, Cary, NC 27511","305 Gregson Drive","Cary","NC","27511","None","Theodore Claypoole, Womble Carlyle Sandridge & Rice LLP, 404-879-2410; tclaypoole@wcsr.com","8/25/2017","09/11/2017","8/25/2017",NA,NA,"Name or other personal identifier in combination with SSN","31","2017/09","80-822-9041","#N/A","305 Gregson Drive, Cary, NC 27511","305 Gregson Drive","Cary","NC","27511","ABB INC.","Private","Both",NA,"48-065-7126","ABB LTD","00-822-0134","ABB HOLDINGS INC.",35.732332,"ENGINEERING SERVICES, NSK",-78.805602,"Non Manufacturer","Low","5 - Least Likely to pay","No","Rent","(919) 856-2360","Subsidiary","WWW.ABB.COM",1980,"","",363100018,"00-822-0134","ABB LTD",NA,"Headquarters","P.O. BOX 90502","RALEIGH","USA","WAKE","NORTH CAROLINA",276750502,"305 GREGSON DR","CARY","USA","WAKE","NORTH CAROLINA",275116496,541330,"Engineering Services","333611, 335311, 335313, 335314, 423610, 541330","""Turbine and Turbine Generator Set Units Manufacturing "", ""Power, Distribution, and Specialty Transformer Manufacturing "", ""Switchgear and Switchboard Apparatus Manufacturing "", ""Relay and Industrial Control Manufacturing "", ""Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers "", ""Engineering Services""","3511, 3612, 3613, 3625, 5063, 8711","""Turbines and turbine generator sets"", ""Transformers, except electronic"", ""Switchgear and switchboard apparatus"", ""Relays and industrial controls"", ""Electrical apparatus and equipment"", ""Engineering services""",87110000,"Engineering services","$6,477,659,061","18,000","200","$6,417,193,203","18,000","10,000","54","FALSE"
"23","Abbott Nutrition","3300 Stelzer Road, Columbus, OH 43219","3300 Stelzer Road","Columbus","OH","43219","None","Benjamin Powell, Wilmer Cutler Pickering Hale and Dorr, LLP; 202-663-6770; benjamin.powell@wilmerhale.com","(Discovered 2/6/17)","02/23/2017",NA,NA,"2/6/2017","Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with security code, access code, password, or PIN for the account","242","2017/02","","#N/A","3300 Stelzer Road, Columbus, OH 43219","3300 Stelzer Road","Columbus","OH","43219",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","ABC Carpet & Home",NA,NA,NA,NA,NA,"None","Melissa K. Ventrone, Thompson Coburn LLP, 55 East Monroe Street, 37th Floor, Chicago, IL 60603; 312-580-2219; MVentrone@ThompsonCoburn.com","1/2/17-8/9/17","10/09/2017","1/2/2017","8/9/2017",NA,"Name, address, phone number, email address, credit card or debit card numbers, exp dates and security numbers","9","2017/10","10-214-7006","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Abel Womack, Inc.","1 International Way, Lawrence, MA 01843","1 International Way","Lawrence","MA","1843","Tony D'Arezzo, IT Manager, 978-398-0668; adarezzo@abelwomack.com","N/A","3/1/2016","03/07/2016","3/1/2016",NA,NA,"Name or other personal identifier in combination with financial account number or credit or debit card number, in combination with the security code, access code, password, or PIN for the account","2","2016/03","","#N/A","1 International Way, Lawrence, MA 01843","1 International Way","Lawrence","MA","01843",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","ABM Industries Incorporated","One Liberty Plaza, 7th Floor, New York, NY 10006","One Liberty Plaza, 7th Floor","New York","NY","10006","Ean Kryska, Assist General Counsel, 312-759-4664; ean.kryska@abm.com","N/A","Discovered 8/1/17","11/14/2017",NA,NA,"8/1/2017","Name or other personal identifier in combination with SSN","1","2017/11","00-691-1622","ABM Industries Inc","One Liberty Plaza, 7th Floor, New York, NY 10006","One Liberty Plaza, 7th Floor","New York","NY","10006","ABM INDUSTRIES INCORPORATED","Public","",NA,"00-691-1622","ABM INDUSTRIES INCORPORATED","00-691-1622","ABM INDUSTRIES INCORPORATED",40.7097,"ELECTRICAL WORK, NSK",-74.0102,"Manufacturer","Low","5 - Least Likely to pay","No","Rent","(212) 297-0200","Non-Subsidiary","WWW.ABM.COM",1909,"KPMG LLP","ABM",941369354,"00-691-1622","ABM INDUSTRIES INCORPORATED",NA,"Headquarters","","","","","",NA,"1 LIBERTY PLZ FL 7","NEW YORK","USA","NEW YORK","NEW YORK",100061417,238210,"Electrical Contractors and Other Wiring Installation Contractors","238210, 541330, 561612, 812930","""Electrical Contractors and Other Wiring Installation Contractors"", ""Engineering Services"", ""Security Guards and Patrol Services "", ""Parking Lots and Garages ""","1731, 7381, 7521, 8711","""Electrical work"", ""Detective & armored car services"", ""Automobile parking"", ""Engineering services""",17319903,"General electrical contractor","$6,498,600,000","140,000","151","$6,498,600,000","140,000","44,000","23","FALSE"
"27","ABM Industries Incorporated","One Liberty Plaza, 7th Floor, New York, NY 10006","One Liberty Plaza, 7th Floor","New York","NY","10006","Ean Kryska, Asst General Counsel, 312-759-4664; Ean.Kryska@abm.com","N/A","Supplement to 11/14/17 Notice","03/13/2018",NA,NA,NA,"Name or other personal identifier in combination with SSN, Driver's license number state ID numbers, medical information and health insurance numbers","Additional 4 Maine residents","2018/03","00-691-1622","ABM Industries Inc","One Liberty Plaza, 7th Floor, New York, NY 10006","One Liberty Plaza, 7th Floor","New York","NY","10006","ABM INDUSTRIES INCORPORATED","Public","",NA,"00-691-1622","ABM INDUSTRIES INCORPORATED","00-691-1622","ABM INDUSTRIES INCORPORATED",40.7097,"ELECTRICAL WORK, NSK",-74.0102,"Manufacturer","Low","5 - Least Likely to pay","No","Rent","(212) 297-0200","Non-Subsidiary","WWW.ABM.COM",1909,"KPMG LLP","ABM",941369354,"00-691-1622","ABM INDUSTRIES INCORPORATED",NA,"Headquarters","","","","","",NA,"1 LIBERTY PLZ FL 7","NEW YORK","USA","NEW YORK","NEW YORK",100061417,238210,"Electrical Contractors and Other Wiring Installation Contractors","238210, 541330, 561612, 812930","""Electrical Contractors and Other Wiring Installation Contractors"", ""Engineering Services"", ""Security Guards and Patrol Services "", ""Parking Lots and Garages ""","1731, 7381, 7521, 8711","""Electrical work"", ""Detective & armored car services"", ""Automobile parking"", ""Engineering services""",17319903,"General electrical contractor","$6,498,600,000","140,000","151","$6,498,600,000","140,000","44,000","23","FALSE"
"28","ABM Mechanical, Inc. ","33 Dowd Road, Unit 1, Bangor, ME  04401","33 Dowd Road, Unit 1","Bangor","ME","4401","None","David Cole, Freeman Mathis & Gary, 100 Galleria Parkway, Suite 1600; Atlanta GA 30339; 770-818-1287: dcole@fmglaw.com","5/9/18 - 6/11/18","07/25/2018","5/9/2018","6/11/2018",NA,"Name or other personal identifier in combination with SSN and Driver's license number or non-driver identification card number","137","2018/07","94-641-8316","ABM Mechanical Inc","33 Dowd Road, Unit 1, Bangor, ME  04401","33 Dowd Road, Unit 1","Bangor","ME","04401","ABM MECHANICAL, INC.","Private","",NA,"","","","",44.781457,"PLUMBING, HEATING, AIR-CONDITIONING, NSK",-68.823532,"Manufacturer","Low","5 - Least Likely to pay","No","","(207) 992-9250","Non-Subsidiary","WWW.ABMMECHANICAL.COM",1995,"","HONEYWELL AUTHORIZED DEALER",NA,"","",NA,"Single Location","","","","","",NA,"33 DOWD RD UNIT 1","BANGOR","USA","PENOBSCOT","MAINE",44016733,238220,"Plumbing, Heating, and Air-Conditioning Contractors","","","","",17110401,"Mechanical contractor","$15,201,746","50","50","$14,161,389","50","0","23","FALSE"
"29","AbsoluteCredit, LLC","175 Exchange Street, Bangor, ME 04401","175 Exchange Street","Bangor","ME","4401","Cheryl Parisi, President; Cheryl.Parisi@AbsoluteCreditLLC.com; 800-680-5000","N/A","11/19/2014 (Discovered on 2/26/15)","03/04/2015","11/19/2014",NA,"2/26/2015","Name or other personal identifier in combination with Financial Account no. or credit or debit card number, in combination with the security code, access code, password or PIN for the account. (Insinder wrongdoing by an employee - now terminated) credit card information","42","2015/03","","#N/A","175 Exchange Street, Bangor, ME 04401","175 Exchange Street","Bangor","ME","04401",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Academy of Art University","79 New Montgomery Street, San Francisco, CA 94105","79 New Montgomery Street","San Francisco","CA","94105","Chris Visslialli,  Vice President of Human Resources; 415-618-6525; Cvisslailli@academyart.edu","N/A","3/04/16 (discovered 4/05/16)","04/12/2016","3/4/2016",NA,"4/5/2016","Name or other personal identifier in combination with SSN.","2","2016/04","","#N/A","79 New Montgomery Street, San Francisco, CA 94105","79 New Montgomery Street","San Francisco","CA","94105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ACADEMY OF MODEL AERONAUT (paper)",NA,NA,NA,NA,NA,"None","Gary Wachtel, Director & Sr. Counsel, Discover, 224-405-2286","16-Sep","04/17/2017","9/1/2016",NA,NA,"Discover card account information","20","2017/04","","#N/A","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
