Company Name,Company Type,D-U-N-S@ Number,Import/Export,Fax No,Global Duns No,Global Name,Immediate Parent Duns No,Immediate Parent Name,Latitude,Line of Business,Longtitude,Manufacturing Indicator,Marketing Prescreen Score,Marketing Prescreen Ranking,Minority Owned Indicator,Owns/Rents,Phone No,Subsidiary Status,Web Address (URL),Year of Founding,Auditors,Trade Style,Employer ID Number (EIN),Domestic Parent Duns No,Domestic Parent Name,Former Name,Location Type,Mailing Address,Mailing City,Mailing Country/Region,Mailing County,Mailing State,Mailing Zipcode,Physical Address,Physical City,Physical Country/Region,Physical County,Physical State,Physical Zipcode,Primary NAICS Code,Primary NAICS Description,Secondary NAICS Code,Secondary NAICS Description,Secondary SIC Code,Secondary SIC Description,Primary SIC Code,Primary SIC Description,Sales,Employee All Sites,Employee this Site,Sales (Year 1),Employees Total (Year 1),Facility Size
"PETSMART, INC.",Public,17-380-8684,Both,,01-716-8557,ARGOS HOLDINGS INC.,01-716-8557,ARGOS HOLDINGS INC.,33.662769,"MISCELLANEOUS RETAIL STORES, NEC, NSK",-112.117143,Manufacturer,Low,4 - Less likely to pay,No,Rent,(623) 580-6100,Subsidiary,WWW.PETSMART.COM,1986,Deloitte & Touche LLP,PETSMART,943024325,01-716-8557,ARGOS HOLDINGS INC.,,Headquarters,,,,,,,19601 N 27TH AVE,PHOENIX,USA,MARICOPA,ARIZONA,850274010,453910,Pet and Pet Supplies Stores,"115210, 453910, 541940","""Support Activities for Animal Production"", ""Pet and Pet Supplies Stores "", ""Veterinary Services ""","0742, 0752, 5999","""Veterinary services, specialties"", ""Animal specialty services"", ""Miscellaneous retail stores, nec""",59991103,Pet supplies,"$8,891,759,396","53,200",240,"$7,240,063,586","53,200","365,000"
"FIDELITY NATIONAL FINANCIAL, INC.",Public,60-452-5241,,,60-452-5241,"FIDELITY NATIONAL FINANCIAL, INC.",60-452-5241,"FIDELITY NATIONAL FINANCIAL, INC.",30.318593,TITLE INSURANCE,-81.675481,Manufacturer,Low,3 - Neutral,No,Owns,(904) 854-8100,Non-Subsidiary,WWW.FNF.COM,1847,KPMG LLP,FNF,161725106,60-452-5241,"FIDELITY NATIONAL FINANCIAL, INC.",,Headquarters,,,,,,,601 RIVERSIDE AVE FL 4,JACKSONVILLE,USA,DUVAL,FLORIDA,322042957,524127,Direct Title Insurance Carriers,"524126, 524127, 531210","""Direct Property and Casualty Insurance Carriers "", ""Direct Title Insurance Carriers "", ""Offices of Real Estate Agents and Brokers""","6331, 6361, 6531","""Fire, marine, and casualty insurance"", ""Title insurance"", ""Real estate agents and managers""",63610000,Title insurance,"$8,469,000,000","23,436",587,"$8,469,000,000","23,436",0
STATE OF MAINE,Private,05-797-9312,,,05-797-9312,STATE OF MAINE,05-797-9312,STATE OF MAINE,44.3062,"EXECUTIVE OFFICES, NSK",-69.7811,Manufacturer,Low,2 - Likely to pay,No,Owns,(207) 287-3531,Non-Subsidiary,WWW.MAINE.GOV,1820,,GOVERNOR'S OFFICE,016000001,05-797-9312,STATE OF MAINE,,Headquarters,,,,,,,1 STATE HOUSE STA,AUGUSTA,USA,KENNEBEC,MAINE,043330001,921110,Executive Offices,,,,,91110203,Governors' office,"$8,155,575,000","12,000",20,$0,"12,000","80,000"
"CITIZENS FINANCIAL GROUP, INC.",Public,13-175-8724,,,13-175-8724,"CITIZENS FINANCIAL GROUP, INC.",13-175-8724,"CITIZENS FINANCIAL GROUP, INC.",41.8277,STATE COMMERCIAL BANKS,-71.411161,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(401) 456-7000,Non-Subsidiary,WWW.CITIZENSBANK.COM,1984,Deloitte & Touche LLP,CITIZENS BANK,050487400,13-175-8724,"CITIZENS FINANCIAL GROUP, INC.",,Headquarters,,,,,,,1 CITIZENS PLZ STE 1 # 1,PROVIDENCE,USA,PROVIDENCE,RHODE ISLAND,029031345,522110,Commercial Banking,522110,"""Commercial Banking """,6022,"""State commercial banks""",60220000,State commercial banks,"$8,066,000,000","18,000",8,"$8,066,000,000","17,600",0
"FIFTH THIRD BANK, NATIONAL ASSOCIATION",Private,08-159-0853,Importer,,00-699-9403,FIFTH THIRD BANCORP,00-699-9403,FIFTH THIRD BANCORP,39.101109,STATE COMMERCIAL BANKS,-84.512089,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(513) 579-5203,Subsidiary,WWW.53.COM,1858,,FIFTH THIRD BANK,310854433,00-699-9403,FIFTH THIRD BANCORP,,Headquarters,,,,,,,38 FOUNTAIN SQUARE PLZ,CINCINNATI,USA,HAMILTON,OHIO,452023191,522110,Commercial Banking,,,,,60229901,"State trust companies accepting deposits, commercial","$7,955,931,000","17,437","1,800","$7,955,931,000","17,437",0
"PERFORMANCE FOOD GROUP, INC.",Public,01-743-1466,Both,,07-952-5714,PERFORMANCE FOOD GROUP COMPANY,07-952-5714,PERFORMANCE FOOD GROUP COMPANY,37.604075,"GROCERIES AND RELATED PRODUCTS, NEC, NSK",-77.644499,Manufacturer,Low,N/A,No,Rent,(804) 484-7700,Subsidiary,WWW.PFGC.COM,1972,,VISTAR,840629503,07-952-5714,PERFORMANCE FOOD GROUP COMPANY,,Headquarters,,,,,,,12500 WEST CREEK PKWY,RICHMOND,USA,HENRICO,VIRGINIA,232381110,424490,Other Grocery and Related Products Merchant Wholesalers,,,,,51490801,"Canned goods: fruit, vegetables, seafood, meats, etc.","$7,799,613,341","5,000",194,"$12,364,474,699","11,000",0
INTUIT INC.,Public,11-329-0969,,,11-329-0969,INTUIT INC.,11-329-0969,INTUIT INC.,37.430685,PREPACKAGED SOFTWARE,-122.09795,Manufacturer,Low,1 - Most likely to pay,No,,(650) 944-6000,Non-Subsidiary,WWW.INTUIT.COM,1983,Ernst & Young LLP,INTUIT,770462534,11-329-0969,INTUIT INC.,,Headquarters,P.O. BOX 7850,MOUNTAIN VIEW,USA,SANTA CLARA,CALIFORNIA,940397850,2700 COAST AVE,MOUNTAIN VIEW,USA,SANTA CLARA,CALIFORNIA,940431140,511210,Software Publishers,511210,"""Software Publishers""",7372,"""Prepackaged software""",73720000,Prepackaged software,"$7,679,000,000","9,400",70,"$6,784,000,000","9,400","712,000"
"AMERICAN EXPRESS TRAVEL RELATED SERVICES COMPANY, INC.",Private,07-784-8968,Importer,,00-697-9900,AMERICAN EXPRESS COMPANY,00-697-9900,AMERICAN EXPRESS COMPANY,40.713843,"TRAVEL AGENCIES, NSK",-74.014127,Manufacturer,Low,4 - Less likely to pay,No,Rent,(212) 640-2000,Subsidiary,WWW.AMERICANEXPRESS.COM,1982,,AMERICAN EXPRESS,133133497,00-697-9900,AMERICAN EXPRESS COMPANY,,Headquarters,,,,,,,200 VESEY ST,NEW YORK,USA,NEW YORK,NEW YORK,102851000,561510,Travel Agencies,,,,,47240000,Travel agencies,"$6,924,175,848","54,000",273,"$9,478,726,801","54,000","500,000"
ABM INDUSTRIES INCORPORATED,Public,00-691-1622,,,00-691-1622,ABM INDUSTRIES INCORPORATED,00-691-1622,ABM INDUSTRIES INCORPORATED,40.7097,"ELECTRICAL WORK, NSK",-74.0102,Manufacturer,Low,5 - Least Likely to pay,No,Rent,(212) 297-0200,Non-Subsidiary,WWW.ABM.COM,1909,KPMG LLP,ABM,941369354,00-691-1622,ABM INDUSTRIES INCORPORATED,,Headquarters,,,,,,,1 LIBERTY PLZ FL 7,NEW YORK,USA,NEW YORK,NEW YORK,100061417,238210,Electrical Contractors and Other Wiring Installation Contractors,"238210, 541330, 561612, 812930","""Electrical Contractors and Other Wiring Installation Contractors"", ""Engineering Services"", ""Security Guards and Patrol Services "", ""Parking Lots and Garages ""","1731, 7381, 7521, 8711","""Electrical work"", ""Detective & armored car services"", ""Automobile parking"", ""Engineering services""",17319903,General electrical contractor,"$6,498,600,000","140,000",151,"$6,498,600,000","140,000","44,000"
ABB INC.,Private,80-822-9041,Both,,48-065-7126,ABB LTD,00-822-0134,ABB HOLDINGS INC.,35.732332,"ENGINEERING SERVICES, NSK",-78.805602,Non Manufacturer,Low,5 - Least Likely to pay,No,Rent,(919) 856-2360,Subsidiary,WWW.ABB.COM,1980,,,363100018,00-822-0134,ABB LTD,,Headquarters,P.O. BOX 90502,RALEIGH,USA,WAKE,NORTH CAROLINA,276750502,305 GREGSON DR,CARY,USA,WAKE,NORTH CAROLINA,275116496,541330,Engineering Services,"333611, 335311, 335313, 335314, 423610, 541330","""Turbine and Turbine Generator Set Units Manufacturing "", ""Power, Distribution, and Specialty Transformer Manufacturing "", ""Switchgear and Switchboard Apparatus Manufacturing "", ""Relay and Industrial Control Manufacturing "", ""Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers "", ""Engineering Services""","3511, 3612, 3613, 3625, 5063, 8711","""Turbines and turbine generator sets"", ""Transformers, except electronic"", ""Switchgear and switchboard apparatus"", ""Relays and industrial controls"", ""Electrical apparatus and equipment"", ""Engineering services""",87110000,Engineering services,"$6,477,659,061","18,000",200,"$6,417,193,203","18,000","10,000"
NAVY FEDERAL CREDIT UNION,Private,06-926-9975,Exporter,,06-926-9975,NAVY FEDERAL CREDIT UNION,06-926-9975,NAVY FEDERAL CREDIT UNION,38.903926,FEDERAL CREDIT UNIONS,-77.246039,Manufacturer,Low,5 - Least Likely to pay,No,Owns,(703) 255-8000,Non-Subsidiary,WWW.NAVYFEDERAL.ORG,1933,PricewaterhouseCoopers LLP,,530116705,06-926-9975,NAVY FEDERAL CREDIT UNION,,Headquarters,P.O. BOX 23650,MERRIFIELD,USA,FAIRFAX,VIRGINIA,221192365,820 FOLLIN LN SE,VIENNA,USA,FAIRFAX,VIRGINIA,221804907,522130,Credit Unions,522130,"""Credit Unions """,6061,"""Federal credit unions""",60610000,Federal credit unions,"$6,222,943,097","6,037","3,198","$6,222,943,097","6,037","902,000"
"UNDER ARMOUR, INC.",Public,11-157-8985,Both,,11-157-8985,"UNDER ARMOUR, INC.",11-157-8985,"UNDER ARMOUR, INC.",39.274141,"MENS AND BOYS CLOTHING, NEC, NSK",-76.590814,Non Manufacturer,Low,5 - Least Likely to pay,No,,(410) 454-6428,Non-Subsidiary,WWW.UNDERARMOUR.COM,1996,PricewaterhouseCoopers LLP,UNDER ARMOUR,521990078,11-157-8985,"UNDER ARMOUR, INC.",,Headquarters,,,,,,,1020 HULL ST FL 3,BALTIMORE,USA,BALTIMORE CITY,MARYLAND,212305356,315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing,"315220, 315240, 315990, 316210","""Men’s and Boys’ Cut and Sew Apparel Manufacturing "", ""Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing "", ""Apparel Accessories and Other Apparel Manufacturing "", ""Footwear Manufacturing ""","2329, 2339, 2353, 3021","""Men's and boys' clothing, nec"", ""Women's and misses' outerwear, nec"", ""Hats, caps, and millinery"", ""Rubber and plastics footwear""",23290100,Men's and boys' sportswear and athletic clothing,"$5,267,132,000","16,400",277,"$5,267,132,000","16,400",0
YRC WORLDWIDE INC.,Public,10-710-1248,,,10-710-1248,YRC WORLDWIDE INC.,10-710-1248,YRC WORLDWIDE INC.,38.929842,"TRUCKING, EXCEPT LOCAL",-94.639746,Manufacturer,Low,2 - Likely to pay,No,Rent,(913) 696-6100,Non-Subsidiary,WWW.YRCW.COM,1924,KPMG LLP,YRC WORLDWIDE,480948788,10-710-1248,YRC WORLDWIDE INC.,,Headquarters,,,,,,,10990 ROE AVE,OVERLAND PARK,USA,JOHNSON,KANSAS,662111213,484121,"General Freight Trucking, Long-Distance, Truckload",484121,"""General Freight Trucking, Long-Distance, Truckload """,4213,"""Trucking, except local""",42130000,"Trucking, except local","$4,871,200,000","29,000",525,"$4,871,200,000","31,400",0
"HASBRO, INC.",Public,00-120-0443,Importer,,00-120-0443,"HASBRO, INC.",00-120-0443,"HASBRO, INC.",41.883637,DOLLS AND STUFFED TOYS,-71.354125,Non Manufacturer,Low,5 - Least Likely to pay,No,Owns,(401) 431-8697,Non-Subsidiary,WWW.SHOP.HASBRO.COM,1923,KPMG LLP,HASBRO,050155090,00-120-0443,"HASBRO, INC.",,Headquarters,P.O. BOX 1059,PAWTUCKET,USA,PROVIDENCE,RHODE ISLAND,028621059,1027 NEWPORT AVE,PAWTUCKET,USA,PROVIDENCE,RHODE ISLAND,028612500,339930,"Doll, Toy, and Game Manufacturing","326299, 339930","""All Other Rubber Product Manufacturing "", ""Doll, Toy, and Game Manufacturing""","3069, 3942, 3944","""Fabricated rubber products, nec"", ""Dolls and stuffed toys"", ""Games, toys, and children's vehicles""",39429901,"Stuffed toys, including animals","$4,720,227,000","5,600","2,800","$4,720,227,000","5,400","343,000"
YALE UNIVERSITY,Private,04-320-7562,Importer,,04-320-7562,YALE UNIVERSITY,04-320-7562,YALE UNIVERSITY,41.310922,"COLLEGES AND UNIVERSITIES, NSK",-72.926473,Non Manufacturer,Medium,5 - Least Likely to pay,No,Owns,(203) 432-2550,Non-Subsidiary,WWW.YALE.EDU,1701,PricewaterhouseCoopers LLP,,060646973,04-320-7562,YALE UNIVERSITY,,Headquarters,,,,,,,105 WALL ST,NEW HAVEN,USA,NEW HAVEN,CONNECTICUT,065118917,611310,"Colleges, Universities, and Professional Schools","511120, 511130, 511199, 611310","""Periodical Publishers "", ""Book Publishers "", ""All Other Publishers "", ""Colleges, Universities, and Professional Schools ""","2721, 2731, 2741, 8221","""Periodicals"", ""Book publishing"", ""Miscellaneous publishing"", ""Colleges and universities""",82210102,University,"$4,246,930,000","11,000",50,"$4,105,358,000","11,000",0
