"incident_id2";"hack";"cleaned_names";"year";"date_of_breach";"breach_end";"discover_date";"reported_date";"total_affected";"SSN_breach";"drivers_license";"credit_debit";"city";"state";"org_type";"credit_monitoring";"breach_type";"letter_url";"California";"Connecticut";"Delaware";"Hawaii";"Indiana";"Iowa";"Maine";"Maryland";"Massachusetts";"Montana";"New_Hampshire";"New_Jersey";"North_Carolina";"N_Dakota";"Oregon";"Rhode_Island";"South_Carolina";"Vermont";"Virginia";"Washington";"Wisconsin";"State";"Clearinghouse";"HHS"
"11";"01268";"3, 2, 3";"Atique Orthodontics";"2016";"";"";"2016-03-30";"2016-04-15";"1505, 1506";"1";"";"1";"";", Oregon, OR";"MED";"1";"HACKERS/ UNAUTHORIZED, Electronic, Hacking/IT Incident, HACK";"";"";"";"";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"1";"1";"1"
"12";"01382";"1, 2";"Aventura Hospital and Medical Center";"2014";"";"";"";"2014-09-11, 2014-08-26, 2014-09-08";"948, , 82601";"1";"";"";"";"FL, Florida, ";"MED";"";"DISC, PHYS, Theft, Electronic, Theft, Unauthorized Access/Disclosure";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"2";"4";"4"
"13";"01383";"1, 1, 2, 3";"Aventura Hospital and Medical Center";"2015";"";"";"";"2015-02-27, 2015-01-20";", 686";"1";"";"";", Aventura";"FL, , Florida";"MED";"1";"DISC, improper access by hospital employee, Electronic, HACK, Unauthorized Access/Disclosure";"http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2015/itu-251183.pdf";"";"";"";"";"";"";"";"1";"1";"";"";"";"";"";"";"";"";"";"1";"";"";"2";"4";"2"
"14";"01605";"3, 2, 3";"Barry University";"2013, 2014";"2013-05-14";"";"2013-05-14";"2013-12-31, 2014-01-10, 2013-12-27";"9017, 4333";"1";"Yes";"";"Portland, ";"Florida, Oregon, , FL";"MED, EDU";"1";"Hacking/IT Incident, HACK, HACKERS/ UNAUTHORIZED, Electronic";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"1";"";"";"1";"2";"1"
"15";"01630";"1, 2";"Bay Area Pain Medical Associates";"2014";"2014-05-19";"";"";"2014-07-16";"2780, ";"";"";"";", Sausalito";"California, CA, ";"MED";"";"Theft, PHYS, , STAT";"https://www.oag.ca.gov/system/files/BayArea_proof_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"1"
"16";"01719";"3, 2, 3";"Beacon Health System";"2015";"2013-11-19, 2013-11-01";"2015-01-26, 2015-05-01, 2015-01-31";"2015-03-25";"2015-05-22, 2015-05-29";"307000, 306789";"1";"";"0";"";"IN, IN, , Indiana";"MED";"1, 0";"HACK, cyber attack targeting payroll info, Electronic, HACKERS/ UNAUTHORIZED, Hacking/IT Incident";"https://www.oag.ca.gov/system/files/Standard%20Letter%20Template%20with%20Notation%20%283%29_0.pdf, http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2015/itu-256102(2).pdf, http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2015/itu-256102.pdf";"1";"2";"";"";"";"";"";"2";"1";"";"";"";"1";"";"";"";"1";"";"1";"";"";"2";"2";"2"
"17";"01721";"1, 3";"Beacon Health System";"2017";"";"";"2017-03-30";"2017-05-26";"1239";"";"";"";"";"Indiana, , IN";"MED";"";"Unauthorized Access/Disclosure, HACKERS/ UNAUTHORIZED, DISC";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"2";"2";"2"
"18";"01770";"3, 2";"Behavioral Health Center";"2017";"2017-03-14";"";"";"2017-04-21, 2017-04-19";"4229, ";"1";"";"";"";"Maine, ME, ";"MED";"";"Hacking/IT Incident, HACK, ";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"19";"01851";"2, 1";"Berkeley Endocrine Clinic";"2016";"2016-04-22";"";"";"2016-05-23, 2016-05-24";", 1370";"";"";"";"";", California, CA";"MED";"";", Unauthorized Access/Disclosure, DISC";"https://www.oag.ca.gov/system/files/Berkeley%20Endocrine%20Notice_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"20";"02041";"2, 1";"Bloodworks Northwest";"2019";"";"2019-03-13";"";"2019-05-08";", 1893";"";"";"";"";", WA, Washington";"MED";"";", PHYS, Loss";"https://media.dojmt.gov/wp-content/uploads/CON-Bloodworks-Regulator-Notice-MT-REVISED.pdf";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"21";"02091";"2, 1";"Blue Cross Blue Shield of Michigan";"2015";"";"";"";"2015-03-23, 2015-03-17";", 3903";"";"";"";"";", MI, Michigan";"MED";"";", PHYS, Theft";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5";"5";"5"
"22";"02110";"3, 1, 2, 3";"Blue Shield of California";"2016";"2015-09-15, 2015-09-01";"2015-12-17";"2015-12-07";"2016-01-14";"20764";"1";"";"";"Los Angeles, ";"California, CA, ";"MED";"1";"HACK, Unauthorized Access/Disclosure, DISC, PHISHING, Electronic";"https://www.oag.ca.gov/system/files/Member%20Adult_0.pdf";"1";"";"";"";"1";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"9";"18";"9"
"23";"02231";"1";"Boston Health Care for the Homeless Program";"2018";"";"";"";"2018-09-07, 2018-10-10";"861, ";"1";"Yes";"";"";"MA, Massachusetts, ";"MED";"1";"DISC, Unauthorized Access/Disclosure, Paper";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"2";"2";"2"
"24";"02390";"1";"BriovaRx";"2013";"";"";"2013-08-22";"2013-11-08, 2013-10-15, 2013-10-14";"1067";"";"";"";"Chicago, ";"Illinois, , IL";"MED";"";"UNKN, DATA THEFT BY EMPLOYEE OR, CONTRACTOR, Unauthorized Access/Disclosure, DISC";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"1";"2";"1"
"25";"02470";"3";"Bryan Myers, MD PC, Ashley DeWitt, DO PC, Michael Nobles, MD PC";"2016, 2017";"";"";"2016-11-02";"2016-12-30, 2017-02-14";"13150";"";"";"";"";"Tennessee, , TN";"MED";"";"Hacking/IT Incident, HACKERS/ UNAUTHORIZED ACCESS, HACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"1";"1";"1"
"26";"02513";"1, 2";"Burrell Behavioral Health";"2016";"";"2016-07-07";"";"2016-09-02, 2016-09-06";", 7748";"";"";"";"";"MO, , Missouri";"MED";"";"DISC, , Unauthorized Access/Disclosure";"https://media.dojmt.gov/wp-content/uploads/Burrell-Behavioral-Health.pdf";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"27";"02619";"1, 2";"California Pacific Medical Center";"2015";"2013-10-15";"2014-10-15";"";"2015-01-23";"845, ";"";"";"";", San Francisco";"CA, California, ";"MED";"";"DISC, INSD, Unauthorized Access/Disclosure, ";"https://www.oag.ca.gov/system/files/CPMC%20PI%20Press%20Release_1%2023%2015_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"1"
"28";"02632";"1, 2";"CalOptima";"2016";"2016-08-17";"";"";"2016-10-14, 2016-08-22";"1000, ";"";"";"";"Orange, ";"California, CA, ";"MED";"";"PORT, Unauthorized Access/Disclosure, DISC, ";"https://www.oag.ca.gov/system/files/CalOptima%20Security%20Incident%20Notification%20Letter%20-%20Minor%20SSN_0.pdf-- https://www.oag.ca.gov/system/files/CalOptima%20Security%20Incident%20Notification%20Letter%20-%20Minor_0.pdf-- https://www.oag.ca.gov/system/files/CalOptima%20Security%20Incident%20Notification%20Letter%20-%20SSN_0.pdf-- https://www.oag.ca.gov/system/files/CalOptima%20Security%20Incident%20Notification%20Letter_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"1"
"29";"02638";"1, 1, 2";"Cambridge Dental Consulting Group";"2018";"2018-03-13";"";"2018-03-13";"2018-05-09, 2018-05-07";"3840, 3800, 3758";"1";"Yes";"";"";"NV, , Nevada";"MED";"1";"DISC, info inadvertently accessible to the internet, RELEASE/ DISPLAY OF INFO, Electronic, Unauthorized Access/Disclosure";"http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2018/itu-298167.pdf";"";"";"";"";"1";"";"";"1";"1";"";"";"";"1";"";"";"";"";"";"1";"";"";"4";"4";"4"
"30";"02646";"2, 3, 3";"Cambridge Health Alliance";"2018";"";"";"2018-01-31";"2018-03-28";"2527, 2280";"1";"";"";"";", MA, Massachusetts";"MED";"1";"Electronic, HACKERS/ UNAUTHORIZED, HACK, Hacking/IT Incident";"https://www.doj.nh.gov/consumer/security-breaches/documents/cambridge-health-20180328.pdf";"";"";"";"";"1";"";"";"";"1";"";"1";"";"1";"";"";"";"";"";"";"";"";"2";"2";"2"
"31";"02857";"1, 2";"Carolina Center for Development and Rehabilitation";"2010";"";"";"2010-06-26";"2010-07-13, 2010-07-30";", 1590";"";"";"";"Charlotte, ";"North Carolina, , NC";"MED";"";"PHYS, RELEASE/ DISPLAY OF INFO, Theft";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"1";"2";"1"
"32";"02893";"3, 2";"CaroMont Medical Group";"2013";"";"";"2013-08-08";"2013-10-04";"1310, 2";"";"";"";"";"North Carolina, , NC";"MED";"";"Hacking/IT Incident, RELEASE/ DISPLAY OF INFO, HACK";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"3";"3";"3"
"33";"02898";"3, 2, 3";"Carpenters Benefit Funds of Philadelphia";"2018";"2018-04-23";"2018-05-03";"2018-07-18";"2018-08-31, 2018-09-10";"20015";"1";"";"0";"";"Pennsylvania, PA";"MED";"1";"Hacking/IT Incident, Electronic, PHISHING, HACK";"https://media.dojmt.gov/wp-content/uploads/Breach-Notification-Details-6.pdf, https://www.doj.nh.gov/consumer/security-breaches/documents/carpenters-benefit-funds-20180913.pdf";"";"1";"";"";"";"";"";"";"1";"1";"1";"";"1";"";"";"";"";"";"";"";"";"5";"5";"5"
"34";"02935";"3, 3, 2";"Catawba Valley Medical Center";"2018";"2018-07-01";"2018-08-31";"2018-08-13, 2018-08-24";"2018-10-12";"20000, 82, 11846";"1";"";"0";"";"North Carolina, NC, ";"MED";"1, 0";"Hacking/IT Incident, HACK, PHISHING, Electronic";"https://www.doj.nh.gov/consumer/security-breaches/documents/cvmc-20181024.pdf, https://media.dojmt.gov/wp-content/uploads/Catawba-Valley-Medical-Center-CVMC.pdf";"";"1";"";"";"";"";"";"";"1";"1";"1";"";"2";"";"";"";"";"";"";"";"";"2";"2";"2"
"35";"02991";"1, 2, 1";"Cedars-Sinai Health System";"2014";"2014-06-23";"";"2014-06-26";"2014-09-10, 2014-08-22";"33136";"";"";"";"";"California, , CA";"MED";"";"Theft, STOLEN LAPTOPS, COMPUTERS, & EQUIP, PHYS";"https://www.oag.ca.gov/system/files/CSHS%20Press%20Release_0.pdf, https://www.oag.ca.gov/system/files/Cedars%20Notice%20Letter_0.pdf";"2";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"1";"1";"1"
"36";"03033";"2, 1, 1";"Central City Concern";"2014";"2010-03-23";"2013-05-24";"2014-04-03";"2014-04-25, 2014-07-16, 2014-04-03, 2014-05-19";"17532, 17914";"1";"";"0";"Portland, ";", Oregon, OR, Maryland";"NGO, MED";"1";"DATA THEFT BY EMPLOYEE OR, CONTRACTOR, DISC, INSD, Unauthorized Access/Disclosure";"https://www.doj.nh.gov/consumer/security-breaches/documents/central-city-concern-20140425.pdf";"";"1";"";"";"1";"";"1";"";"";"";"1";"";"1";"";"";"";"";"";"1";"";"";"3";"12";"3"
"37";"03188";"3";"Chase Brexton Health Care";"2017";"";"";"";"2017-10-03, 2017-10-06";"16562, ";"1";"";"";"";"Maryland, , MD";"MED";"";"Hacking/IT Incident, phishing, HACK";"http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2017/itu-292444.pdf";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"38";"03244";"2, 1, 1";"Children's Heart Center";"2015";"";"";"2015-02-03";"2015-04-03";"8791";"1, ";"";"";"";", NV, Nevada";"MED";"";"DATA THEFT BY EMPLOYEE OR, CONTRACTOR, unauthorized access, DISC, Unauthorized Access/Disclosure";"http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2015/itu-253673.pdf";"";"1";"";"";"1";"";"";"1";"";"";"";"";"1";"";"";"";"";"";"";"";"";"2";"2";"2"
"39";"03269";"1, 3";"Chilton Medical Center";"2017";"";"";"";"2017-12-15, 2017-12-21";"4600, ";"";"";"";"";"New Jersey, , NJ";"MED";"";"Theft, Data Breach, PHYS";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"40";"03310";"1, 2";"CHRISTUS St. John Hospital";"2012";"";"";"2012-09-27";"2012-11-16, 2012-11-24";"5748";"0";"";"0";", Houston";"TX, Texas";"MED";"1";"PHYS, RELEASE/ DISPLAY OF INFO, Loss, PORT";"https://www.doj.nh.gov/consumer/security-breaches/documents/christus-st-john-20121116.pdf";"";"1";"";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";"2";"4";"2"
"41";"03484";"3, 2";"City of Hope";"2017";"2017-05-31";"2017-06-03";"";"2017-08-03";"3400, ";"";"";"";"";"CA, California, ";"MED";"";"HACK, Hacking/IT Incident, ";"https://www.oag.ca.gov/system/files/Patient%20Notification%20Letter_2.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"42";"03570";"3, 1, 2, 1";"Clay County Hospital";"2014";"2014-11-02";"";"2014-11-02";"2014-12-12";"12621";"1";"";"";"";"Maryland, IL, Illinois, ";"MED";"1";"HACK, DISC, Unauthorized Access/Disclosure, Electronic, DATA THEFT BY EMPLOYEE OR, CONTRACTOR";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"1";"2";"1"
"43";"03662";"2, 1";"Codman Square Health Center";"2016";"";"";"";"2016-10-11, 2016-09-12";", 3840";"1";"";"";"";", Massachusetts, MA";"MED";"1";"Electronic, Unauthorized Access/Disclosure, DISC";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"44";"03753";"3, 2, 3";"Colorado Eye Center";"2019";"";"2019-03-07";"";"2019-07-15, 2019-06-28";", 4478";"";"";"";"";"CO, , Colorado";"MED";"";"HACK, ransomware, Hacking/IT Incident";"https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-16.pdf, http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-315499.pdf";"";"";"";"";"";"";"";"1";"";"1";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"45";"03941";"3, 2, 3";"Community Health Plan of Washington";"2016, 2017";"2016-01-16, 2016-11-07";"2016-11-07";"2016-11-07";"2016-12-21, 2017-01-03";"1375, 381504, 354304";"1";"";"0";"";"WA, Washington";"MED";"1";"HACK, Hacking/IT Incident, Electronic, unauthorized access, HACKERS/ UNAUTHORIZED, ACCESS";"https://agportal-s3bucket.s3.amazonaws.com/uploadedfiles/Another/Supporting_Law_Enforcement/CommunityHealthPlanWA.2016-12-22.pdf, http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-277156 (1).pdf, http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-277156 (2).pdf, http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2016/itu-277156 (3).pdf, https://media.dojmt.gov/wp-content/uploads/Community-Health-Plan-of-Washington.pdf, https://www.doj.nh.gov/consumer/security-breaches/documents/community-health-plan-20170103.pdf";"";"1";"";"";"1";"";"1";"3";"1";"1";"1";"";"1";"";"";"";"";"";"1";"1";"";"4";"8";"8"
"46";"03951";"3, 2, 3";"Community Link Inc";"2017";"2017-05-31";"2017-05-03";"2017-05-03";"2017-06-30";"5509, 5524";"1";"";"";"";"WI, , Wisconsin";"MED";"";"HACK, HACKERS/ UNAUTHORIZED, Hacking/IT Incident";"https://media.dojmt.gov/wp-content/uploads/Community-Link.pdf";"";"";"";"";"";"";"";"";"";"1";"";"";"1";"";"";"";"";"";"";"";"1";"2";"2";"2"
"47";"03952";"2, 3";"Community Memorial Health System";"2017";"2017-06-22";"";"";"2017-09-05";", 959";"";"";"";"";", California, CA";"MED";"";", Hacking/IT Incident, HACK";"https://www.oag.ca.gov/system/files/CMHS%20Breach%20Notice%20to%20CA%20AG_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"48";"03956";"1";"Community Mercy Health Partners";"2016";"";"";"";"2016-01-25, 2016-01-28";"113528, ";"1";"Yes";"";"";"Ohio, OH, ";"MED";"1";"Improper Disposal, PHYS, Paper";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"49";"04089";"2, 1";"Contra Costa Health Plan";"2018";"2014-12-01";"2018-05-22";"";"2018-12-13";", 862";"";"";"";"";", California, CA";"MED";"";", Unauthorized Access/Disclosure, DISC";"https://www.oag.ca.gov/system/files/CCHP%20CA%20AG%20Breach_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"50";"04144";"1";"Coordinated Health";"2014";"";"";"2014-02-21";"2014-11-06, 2014-10-31";"13901, 13907";"";"";"";"";", Pennsylvania, PA";"MED";"";"STOLEN LAPTOPS, COMPUTERS, & EQUIP, Theft, PHYS";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"1";"1";"1"
"51";"04251";"2, 1";"County of Los Angeles";"2015";"";"";"";"2015-04-29";", 880";"";"";"";"";", CA, California";"MED";"";", PHYS, Theft";"https://www.oag.ca.gov/system/files/cms1_227482_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2";"2";"2"
"52";"04557";"2, 1, 1";"Day Kimball Healthcare";"2018";"2018-06-07";"2018-09-03";"2018-09-28";"2018-10-22";"698";"0";"Yes";"0";"";", CT, Connecticut";"MED";"1, 0";"Electronic, DATA THEFT BY EMPLOYEE OR, CONTRACTOR, DISC, Unauthorized Access/Disclosure";"";"";"1";"";"";"";"";"";"";"1";"";"";"";"1";"";"";"";"";"";"";"";"";"2";"2";"2"
"53";"04670";"2, 3";"Delta Dental of Illinois";"2019";"2018-12-21";"2018-12-28";"";"2019-04-16, 2019-04-17";"5092, 4216";"1";"0";"0";"";"IL, IN, Illinois, IL";"MED";"1";"unauthorized access to email account, Electronic, Hacking/IT Incident, HACK";"http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-311721 (2).pdf, http://www.marylandattorneygeneral.gov/ID Theft Breach Notices/2019/itu-311721.pdf, https://media.dojmt.gov/wp-content/uploads/CON-DDIL-Individual-Member-Notice-Letter-1-Yr-Protection-FINAL.pdf, https://ago.vermont.gov/blog/2019/04/24/delta-dental-of-illinois-sbn-toconsumers/, https://www.doj.nh.gov/consumer/security-breaches/documents/delta-dental-of-illinois-20190506.pdf";"";"1";"";"";"1";"";"1";"2";"1";"1";"1";"";"";"";"";"";"";"1";"";"";"";"4";"4";"8"
"54";"04754";"2, 1";"Desert AIDS Project";"2012";"2012-04-12";"";"";"2012-04-20";", 4400";"";"";"";"";", CA, California";"MED";"";", PHYS, Theft";"https://www.oag.ca.gov/system/files/Final%20DAP%20Notice%20to%20Clients.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"1";"1"
"55";"04806";"1, 2";"Dignity Health";"2018";"";"2018-04-24";"";"2018-05-31, 2018-06-13";"55947, ";"";"";"";"";"CA, California, ";"MED";"";"DISC, Unauthorized Access/Disclosure, ";"https://media.dojmt.gov/wp-content/uploads/Dignity-Health.pdf";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"";"2";"2";"2"
"56";"05036";"2, 1";"Duke University Health System";"2012";"";"";"2012-01-25";"2012-05-16, 2012-03-23, 2012-05-18";", 591, 1370";"";"";"";"";", NC, North Carolina";"MED";"";"RELEASE/ DISPLAY OF INFO, DISC, Unauthorized Access/Disclosure";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"2";"4";"4"
"57";"05136";"1, 2";"East Bay Perinatal Medical Associates";"2015";"2015-06-01";"";"";"2015-07-29";"1494, ";"";"";"";", Oakland";"California, , CA";"MED";"";"Unauthorized Access/Disclosure, , DISC, INSD";"https://www.oag.ca.gov/system/files/East%20Bay%20Perinatal%20Medical%20Associates%20Ad%20r6fin_0.pdf";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"1"
"58";"05350";"2, 1";"Elliot Health System";"2014";"";"";"";"2014-05-20, 2014-05-21";", 1208";"";"";"";"";", NH, New Hampshire";"MED";"";", PHYS, Theft";"https://www.doj.nh.gov/consumer/security-breaches/documents/elliot-health-system-20140520.pdf";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";"";"";"";"";"2";"2";"2"
"59";"05629";"2, 1";"Eureka Internal Medicine";"2014";"2013-09-25";"2013-10-09";"";"2014-03-04";", 3534";"";"";"";", Eureka";", CA, California";"MED";"";", PHYS, Improper Disposal";"https://www.oag.ca.gov/system/files/PDF%20version%20of%20proposed%20breach%20notification%20for%20client%20approval%20%2800778853%29_0.PDF";"1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"1";"2";"1"
