"","incident_id","hack","clean_name","year","date_of_breach","breach_end","discover_date","reported_date","total_affected","SSN_breach","drivers_license","credit_debit","credit_monitoring","breach_type","state","letter_url","California","Connecticut","Delaware","Hawaii","Indiana","Iowa","Maine","Maryland","Massachusetts","Montana","New_Hampshire","New_Jersey","N_Dakota","North_Carolina","Oregon","Rhode_Island","South_Carolina","Vermont","Virginia","Washington","Wisconsin","firstdate"
"2416",2416,"1","Boeing Co","2006","","","2006-12-04","2006-12-12","382000","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-12"
"3693",3693,"2","Cigna Corp","2006","","","2006-07-15","2006-07-24","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-07-24"
"3722",3722,"2","Circuit City / Chase","2006","","","2006-07-10","2006-09-27","2600000","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-09-27"
"4423",4423,"1","Concentra","2006","","","2006-10-26","2006-11-30","15243","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-11-30"
"4533",4533,"3","Cooks Illustrated","2006","","","2006-01-31","2006-01-31","","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-01-31"
"4825",4825,"1","Cumberland County Hospital System Inc","2006","","","2006-06-08","2006-06-16","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-06-16"
"5206",5206,"1","Dept Veterans Affairs","2006","","","2006-05-03","2006-05-22","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-05-22"
"5606",5606,"3","Durham County Public Schools","2006","","","2006-12-19","2006-12-19","35000","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-19"
"6046",6046,"2","Empire Equity","2006","","","2006-11-06","2006-11-06","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-11-06"
"6172",6172,"3","Equifax Inc","2006","","","2006-05-01","2006-05-01","","","","","","HACKERS/ UNAUTHORIZED, ACCESS","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,"2006-05-01"
"6173",6173,"3, 1","Equifax Inc","2006","","","2006-05-01, 2006-05-30","2006-07-01, 2006-07-03","2493","","","","","HACKERS/ UNAUTHORIZED, ACCESS, STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"2006-07-01"
"6235",6235,"1","Ernst & Young LLP","2006","","","2006-01-01","2006-02-10","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-02-10"
"6620",6620,"1","Fidelity Investments","2006","","","2006-03-15","2006-03-21","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-03-21"
"6797",6797,"1","Fish & Richardson","2006","","","2006-06-12","2006-07-06","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-07-06"
"7218",7218,"1","GE","2006","","","2006-09-05","2006-09-22","50427","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-09-22"
"7456",7456,"1","Goldman Sachs & Co LLC","2006","","","2006-02-08","2006-02-08","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-02-08"
"7457",7457,"1","Goldman Sachs & Co LLC","2006","","","2006-06-28","2006-07-18","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-07-18"
"7745",7745,"1","Gymboree Corp","2006","","","2006-08-18","2006-12-15","30285","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-15"
"7985",7985,"1","Haywood Mortgage Associates Inc","2006","","","2006-09-07","2006-11-20","5000","","","","","DATA THEFT BY EMPLOYEE OR, CONTRACTOR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-11-20"
"8152",8152,"1","Hertz Global Holdings Inc","2006","","","2006-10-18","2006-10-27","","","","","","DATA THEFT BY EMPLOYEE OR, CONTRACTOR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-10-27"
"8246",8246,"1","Hoffmann-La Roche Inc","2006","","","2006-07-18","2006-08-14","26000","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-08-14"
"8279",8279,"2","Home Finance & Mortgage","2006","","","2006-11-24","2006-12-01","145","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-01"
"8363",8363,"1","Hotels.com","2006","","","2006-05-03","2006-06-05","280000","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-06-05"
"8480",8480,"2","Humana Inc","2006","","","2006-03-07","2006-06-09, 2006-06-21","","","","","","RELEASE/ DISPLAY OF INFO","","https://www.doj.nh.gov/consumer/security-breaches/documents/humana-20060621.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-06-09"
"8618",8618,"1","Impac","2006","","","2006-04-21","2006-06-02","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-06-02"
"8799",8799,"2","Ingersoll Rand","2006","","","","2006-11-10","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/ingersoll-rand-20061110.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2006-11-10"
"9281",9281,"2","Johnston County","2006","","","2006-11-24","2006-12-08","39000","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-08"
"9973",9973,"3","Life Is Good","2006","","","2006-08-17","2006-08-23","9250","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-08-23"
"10077",10077,"1","Link Staffing Services","2006","","","2006-09-27","2006-10-27","332000","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-10-27"
"10156",10156,"1","LookTours.com","2006","","","2006-09-28","2006-11-13","3e+05","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-11-13"
"11012",11012,"1","Medical Excess LLC","2006","","","2006-03-31","2006-06-21","979659","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-06-21"
"11130",11130,"1","Merrill Lynch","2006","","","2006-04-18","2006-05-10","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-05-10"
"11565",11565,"1","Mortgage Lenders Network USA","2006","","","2006-05-05","2006-05-24","","","","","","DATA THEFT BY EMPLOYEE OR, CONTRACTOR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-05-24"
"11614",11614,"2","Movie Gallery","2006","","","2006-09-23","2006-09-25","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-09-25"
"11803",11803,"1","National Financial Partners","2006","","","2006-08-17","2006-09-28","4327","","","","","DATA THEFT BY EMPLOYEE OR, CONTRACTOR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-09-28"
"11804",11804,"1","National Financial Partners","2006","","","2006-11-30","2006-12-29","1900","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-29"
"11883",11883,"1","Nationwide Agribusiness","2006","","","2006-09-05","2006-10-03","306","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-10-03"
"11885",11885,"3","Nationwide Financial Services Inc","2006","","","2006-06-01","2006-08-03","","","","","","PHISHING","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-08-03"
"11890",11890,"2, 1","Nationwide Insurance Co","2006","","","2006-09-18, 2006-08-21","2006-10-03","30, 1112","","","","","RELEASE/ DISPLAY OF INFO, DATA THEFT BY EMPLOYEE OR, CONTRACTOR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"2006-10-03"
"11907",11907,"1","Nationwide Retirement Solutions","2006","","","2006-05-01","2006-05-26","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-05-26"
"11961",11961,"1","NC Department of Health & Human Services","2006","","","2006-11-17","2006-12-29","20","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-29"
"12343",12343,"1","North Carolina Division of Motor Vehicles","2006","","","2006-09-08","2006-09-29","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-09-29"
"12961",12961,"1","PACCAR Financial","2006","","","2006-02-26","2006-06-01","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-06-01"
"13121",13121,"3","PayDay OK","2006","","","2006-02-19","2006-08-09","","","","","","HACKERS/ UNAUTHORIZED, ACCESS","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-08-09"
"13488",13488,"2","Pittsboro Ford","2006","","","2006-09-11","2006-10-03","24","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-10-03"
"13930",13930,"1","PSA Healthcare","2006","","","2006-07-15","2006-08-07","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-08-07"
"14698",14698,"3","Ross-Simons Inc","2006","","","2006-04-04","2006-04-04","","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-04-04"
"15225",15225,"1","Sears Holding Corp","2006","","","2006-09-28","2006-10-12","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-10-12"
"15268",15268,"3","Security Savings Bank","2006","","","2006-05-25","2006-06-01","","","","","","PHISHING","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-06-01"
"15325",15325,"1","Sentry Insurance a Mutual Insurance Co","2006","","","2006-06-22","2006-08-11","","","","","","DATA THEFT BY EMPLOYEE OR, CONTRACTOR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-08-11"
"16104",16104,"1","Starbucks Corp","2006","","","2006-11-03","2006-12-21","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-21"
"16187",16187,"1","State of Colorado","2006","","","2006-10-16","2006-11-17","1400000","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-11-17"
"16529",16529,"1","T-Mobile USA Inc","2006","","","2006-09-29","2006-11-29","45000","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-11-29"
"16824",16824,"1","The Carolina's First Mortgage Inc","2006","","","2006-09-14","2006-09-15","900","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-09-15"
"17237",17237,"1","Thomas Tax Services","2006","","","2006-04-01","2006-04-01","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-04-01"
"17517",17517,"2","Transamerica Corp","2006","","","2006-04-01","2006-07-13","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-07-13"
"18219",18219,"2","US Farm Service Agency","2006","","","2006-02-17","2006-03-07","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-03-07"
"18604",18604,"3","Visa/RBC Centura","2006","","","2006-02-24","2006-04-06","","","","","","HACKERS/ UNAUTHORIZED, ACCESS","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-04-06"
"18700",18700,"2","Wake County Public Schools","2006","","","2006-12-07","2006-12-21","","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-12-21"
"19009",19009,"1","Wells Fargo & Co","2006","","","2006-05-05","2006-05-05","","","","","","LOST IN TRANSIT","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-05-05"
"19010",19010,"1","Wells Fargo & Co","2006","","","2006-08-28, 2006-09-05","2006-08-28, 2006-09-05","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,"2006-08-28"
"19116",19116,"1","Weyerhaeuser Co","2006","","","2006-07-21","2006-08-10","1597","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-08-10"
"16",16,"1","210 Footwear Foundation","2007","","","","2007-12-18","","","","1","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-12-18"
"314",314,"1","ADC Telecommunications Inc","2007","","","2007-02-22","2007-02-23","2600","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-02-23"
"328",328,"1","Administaff","2007","","","2007-10-03","2007-10-15","159000","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-10-15"
"716",716,"1","Altria Group Inc","2007","","","2006-12-01","2007-01-11","16858","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-01-11"
"752",752,"2","American Academy of Pediatrics","2007","","","","2007-10-26","","1","","","1","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-10-26"
"1020",1020,"2","Ameritrade Security","2007","","","","2007-09-13","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/ameritrade-security-20070913.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-09-13"
"1309",1309,"3","Art.com","2007","","","2007-10-12","2007-12-12","10000","","","","","HACKERS/ UNAUTHORIZED","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-12-12"
"1413",1413,"1","AT&T","2007","","","2007-07-31","2007-08-20","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-08-20"
"1759",1759,"2","Bankers Benefits","2007","","","","2007-06-30","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/banker-benefits20070630.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-06-30"
"1920",1920,"2","BCBS of NC","2007","","","2007-07-31","2007-08-07","2940","","","","","RELEASE/ DISPLAY OF INFO","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-08-07"
"2102",2102,"1","Bertelsmann Inc","2007","","","2006-12-01","2007-02-03","15000","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-02-03"
"2103",2103,"2","Berteslmann Inc and Towers Perrin","2007","","","","2007-02-03","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/berteslmann-20080203.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-02-03"
"2118",2118,"1","Beth Israel Deaconess Health Care","2007","","","","2007-11-26","","1","","","","Paper","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-11-26"
"2207",2207,"2","Biolase","2007","","","","2007-06-19","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/biolase-20080619.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-06-19"
"2284",2284,"2","Blockbuster Video","2007","","","","2007-10-20","","","1","1","","Electronic","","",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-10-20"
"2370",2370,"2","Bluegreen Corporation","2007","","","","2007-09-17","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/bluegreen-20070917.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-09-17"
"2859",2859,"1","Cabarrus County","2007","","","2007-10-28","2007-11-09","","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-11-09"
"3251",3251,"2","Carus Publishing Co","2007","","","","2007-05-08","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/carus-publishing-20080508.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-05-08"
"3277",3277,"2","Caterpillar Inc","2007","","","","2007-04-27","","","","","","","","https://www.doj.nh.gov/consumer/security-breaches/documents/caterpillar-20080427.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-04-27"
"3337",3337,"1","Celanese","2007","","","2007-02-15","2007-11-20","6000","","","","","DATA THEFT BY EMPLOYEE OR, CONTRACTOR","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-11-20"
"3339",3339,"1","Celgene Corp","2007","","","2007-07-24","2007-08-15","1951","","","","","STOLEN LAPTOPS, COMPUTERS, & EQUIP","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-08-15"
