"","clean_name","X","incident_id","hack","year","date_of_breach","breach_end","discover_date","reported_date","total_affected","SSN_breach","drivers_license","credit_debit","credit_monitoring","breach_type","state","letter_url","California","Connecticut","Delaware","Hawaii","Indiana","Iowa","Maine","Maryland","Massachusetts","Montana","New_Hampshire","New_Jersey","N_Dakota","North_Carolina","Oregon","Rhode_Island","South_Carolina","Vermont","Virginia","Washington","Wisconsin","firstdate","�..Company.Name","Company.Type","D.U.N.S..Number","Manufacturing.Indicator","Subsidiary.Status","Year.of.Founding","Location.Type","Physical.State","Primary.NAICS.Code","Primary.NAICS.Description","Secondary.NAICS.Code","Secondary.NAICS.Description","Secondary.SIC.Code","Secondary.SIC.Description","Primary.SIC.Code","Primary.SIC.Description","Sales","Employee.All.Sites","Employee.this.Site","Sales..Year.1.","DUNS_2"
"17","1st Source Bank",14,14,"3, 2",2008,"",NA,"2008-05-12","2008-05-29, 2008-06-02","",1,NA,1,1,"HACKERS/ UNAUTHORIZED, ACCESS, Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-05-29","1ST SOURCE BANK","Private","06-157-4109","Manufacturer","Subsidiary",1922,"Headquarters","INDIANA",522110,"Commercial Banking","","","","",60229901,"State trust companies accepting deposits, commercial","$355,747,000 ","1,100","300","$307,936,000 ","52"
"18","210 Footwear Foundation",16,16,"1",2007,"",NA,"","2007-12-18","",NA,NA,1,NA,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2007-12-18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","24 Hour Fitness USA Inc",21,21,"1, 2",2008,"",NA,"","2008-07-11, 2008-07-17","",1,NA,NA,1,"Stolen Laptops, Computers & Equipment, Electronic",NA,"Not available",NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-07-11","24 HOUR FITNESS USA, INC.","Private","11-509-0839","Manufacturer","Subsidiary",1983,"Headquarters","CALIFORNIA",713940,"Fitness and Recreational Sports Centers","","","","",79910102,"Health club","$389,368,205 ","7,148","183","$506,839,876 ","71"
"20","3M",37,37,"2",2008,"",NA,"","2008-03-14","",1,NA,NA,1,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-03-14","3M COMPANY","Public","00-617-3082","Non Manufacturer","Non-Subsidiary",1902,"Headquarters","MINNESOTA",327910,"Abrasive Product Manufacturing","322220, 325520, 325612, 327910, 339112, 339113","""Paper Bag and Coated and Treated Paper Manufacturing"", ""Adhesive Manufacturing"", ""Polish and Other Sanitation Good Manufacturing "", ""Abrasive Product Manufacturing"", ""Surgical and Medical Instrument Manufacturing "", ""Surgical Appliance and Supplies Manufacturing ""","2672, 2842, 2891, 3291, 3841, 3842","""Paper coated and laminated, nec"", ""Polishes and sanitation goods"", ""Adhesives and sealants"", ""Abrasive products"", ""Surgical and medical instruments"", ""Surgical appliances and supplies""",32910000,"Abrasive products","$32,136,000,000 ","96,163","10,000","$32,765,000,000 ","32"
"21","4pm Raftlatac Inc",48,48,"1",2008,"",NA,"2008-07-10","2008-07-11","",NA,NA,NA,NA,"LOST IN TRANSIT",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-07-11","ACCESS TCA, INC.","Private","14-476-3844","Manufacturer","Non-Subsidiary",1985,"Headquarters","MASSACHUSETTS",561920,"Convention and Trade Show Organizers","","","","",73890309,"Trade show arrangement","$24,097,481 ","161","120","$26,774,979 ","56"
"22","AARP",90,90,"2",2009,"",NA,"","2009-06-05","",1,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-06-05","AARP","Private","06-677-8077","Manufacturer","Non-Subsidiary",1958,"Headquarters","DISTRICT OF COLUMBIA",813319,"Other Social Advocacy Organizations","813319","""Other Social Advocacy Organizations ""","8399","""Social services, nec""",83999901,"Advocacy group","$1,643,841,000 ","1,800","1,000","$1,643,841,000 ","81"
"23","Abbott Medical Optics Inc",104,104,"2, 1",2010,"",NA,"2009-12-29","2010-02-01","",NA,NA,NA,NA,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/abbott-medical-20100201.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-02-01","ABBOTT MEDICAL OPTICS INC.","Private","03-110-4598","Manufacturer","Non-Subsidiary",2010,"Single Location","TENNESSEE",621999,"All Other Miscellaneous Ambulatory Health Care Services","","","","",80990000,"Health and allied services, nec","$220,000 ","5","5","$220,000 ","62"
"24","Access TCA Inc",215,215,"1",2009,"",NA,"","2009-06-12","",1,NA,NA,NA,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-06-12","ACCESS TCA, INC.","Private","14-476-3844","Manufacturer","Non-Subsidiary",1985,"Headquarters","MASSACHUSETTS",561920,"Convention and Trade Show Organizers","","","","",73890309,"Trade show arrangement","$24,097,481 ","161","120","$26,774,979 ","56"
"25","ADC Telecommunications Inc",314,314,"1",2007,"",NA,"2007-02-22","2007-02-23","2600",NA,NA,NA,NA,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-02-23","ADC TELECOMMUNICATIONS, INC","Private","80-977-0167","Non Manufacturer","Non-Subsidiary",0,"Branch","MINNESOTA",334210,"Telephone Apparatus Manufacturing","","","","",36610100,"Telephones and telephone apparatus","$27,200,000","0","315","$0","33"
"26","Administaff",328,328,"1",2007,"",NA,"2007-10-03","2007-10-15","159000",NA,NA,NA,NA,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2007-10-15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Administrative Systems Inc",329,329,"2, 1",2008,"",NA,"2007-12-31","2008-02-05, 2008-02-21","",1,NA,NA,NA,"Electronic, STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-02-05","ADMINISTRATIVE SYSTEMS, INC.","Private","07-379-0107","Manufacturer","Non-Subsidiary",1972,"Single Location","CALIFORNIA",561499,"All Other Business Support Services","","","","",73890100,"Personal service agents, brokers, and bureaus","$11,834,475 ","75","75","$11,834,475 ","56"
"28","Adobe Systems Inc",330,330,"2",2009,"",NA,"","2009-05-11","",1,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2009-05-11","ADOBE INC.","Public","10-209-6559","Manufacturer","Non-Subsidiary",1982,"Headquarters","CALIFORNIA",511210,"Software Publishers","511210","""Software Publishers""","7372","""Prepackaged software""",73729901,"Application computer software","$11,171,297,000 ","22,634","600","$9,030,008,000 ","51"
"29","ADP Inc",334,334,"2",2006,"",NA,"2005-11-30","2006-06-30","",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-06-30","AUTOMATIC DATA PROCESSING, INC.","Public","00-191-5172","Manufacturer","Non-Subsidiary",1949,"Headquarters","NEW JERSEY",518210,"Data Processing, Hosting, and Related Services","518210","""Data Processing, Hosting, and Related Services""","7374","""Data processing and preparation""",73749902,"Data processing service","$14,175,200,000","57,000","1,500","$13,325,800,000","51"
"30","Advance Pierre Foods",355,355,"2",2010,"",NA,"","2010-10-06","",NA,NA,NA,NA,"",NA,"https://www.doj.nh.gov/consumer/security-breaches/documents/advancepierre-20111006.pdf",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-10-06","ADVANCE PIERRE FOODS","Private","05-217-6723","Manufacturer","Non-Subsidiary",2014,"Single Location","ARKANSAS",999990,"","","","","",99992222,"Duns Support Record, nonclassifiable establishment","$101,518 ","3","3","$101,518 ","99"
"31","Advanced Home Care Inc",370,370,"2",2010,"",NA,"2010-02-08","2010-03-16","",NA,NA,NA,NA,"RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2010-03-16","ADVANCED HOME CARE INC.","Private","60-316-1209","Manufacturer","Non-Subsidiary",0,"Single Location","NORTH CAROLINA",621610,"Home Health Care Services","","","","",80820000,"Home health care services","$180,652,446 ","1,700","630","$176,881,755 ","62"
"32","Aetna Inc",426,426,"1",2006,"",NA,"2006-04-14","2006-05-01","",NA,NA,NA,NA,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-05-01","AETNA INC.","Public","94-515-5190","Manufacturer","Subsidiary",1853,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524113, 524114, 525110, 621491","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Pension Funds "", ""HMO Medical Centers ""","6321, 6324, 6371, 8011","""Accident and health insurance"", ""Hospital and medical service plans"", ""Pension, health, and welfare funds"", ""Offices & clinics of medical doctors""",63249903,"Health Maintenance Organization (HMO), insurance only","$60,535,000,000","48,290","7,800","$60,700,000,000","52"
"33","Aetna Inc",426,426,"1",2006,"",NA,"2006-04-14","2006-05-01","",NA,NA,NA,NA,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2006-05-01","AETNA INC.","Public","94-515-5190","Manufacturer","Subsidiary",1853,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524113, 524114, 525110, 621491","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Pension Funds "", ""HMO Medical Centers ""","6321, 6324, 6371, 8011","""Accident and health insurance"", ""Hospital and medical service plans"", ""Pension, health, and welfare funds"", ""Offices & clinics of medical doctors""",63249903,"Health Maintenance Organization (HMO), insurance only","$60,535,000,000 ","48,290","7,800","$60,700,000,000 ","52"
"34","Aetna Inc",428,428,"3",2009,"",NA,"2009-05-04","2009-05-22","",NA,NA,NA,NA,"HACKERS/ UNAUTHORIZED, ACCESS",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-05-22","AETNA INC.","Public","94-515-5190","Manufacturer","Subsidiary",1853,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524113, 524114, 525110, 621491","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Pension Funds "", ""HMO Medical Centers ""","6321, 6324, 6371, 8011","""Accident and health insurance"", ""Hospital and medical service plans"", ""Pension, health, and welfare funds"", ""Offices & clinics of medical doctors""",63249903,"Health Maintenance Organization (HMO), insurance only","$60,535,000,000","48,290","7,800","$60,700,000,000","52"
"35","Aetna Inc",428,428,"3",2009,"",NA,"2009-05-04","2009-05-22","",NA,NA,NA,NA,"HACKERS/ UNAUTHORIZED, ACCESS",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2009-05-22","AETNA INC.","Public","94-515-5190","Manufacturer","Subsidiary",1853,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524113, 524114, 525110, 621491","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Pension Funds "", ""HMO Medical Centers ""","6321, 6324, 6371, 8011","""Accident and health insurance"", ""Hospital and medical service plans"", ""Pension, health, and welfare funds"", ""Offices & clinics of medical doctors""",63249903,"Health Maintenance Organization (HMO), insurance only","$60,535,000,000 ","48,290","7,800","$60,700,000,000 ","52"
"36","Aetna Inc",429,429,"1",2010,"",NA,"","2010-06-22","",1,NA,NA,1,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-06-22","AETNA INC.","Public","94-515-5190","Manufacturer","Subsidiary",1853,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524113, 524114, 525110, 621491","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Pension Funds "", ""HMO Medical Centers ""","6321, 6324, 6371, 8011","""Accident and health insurance"", ""Hospital and medical service plans"", ""Pension, health, and welfare funds"", ""Offices & clinics of medical doctors""",63249903,"Health Maintenance Organization (HMO), insurance only","$60,535,000,000","48,290","7,800","$60,700,000,000","52"
"37","Aetna Inc",429,429,"1",2010,"",NA,"","2010-06-22","",1,NA,NA,1,"Paper",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010-06-22","AETNA INC.","Public","94-515-5190","Manufacturer","Subsidiary",1853,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524113, 524114, 525110, 621491","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Pension Funds "", ""HMO Medical Centers ""","6321, 6324, 6371, 8011","""Accident and health insurance"", ""Hospital and medical service plans"", ""Pension, health, and welfare funds"", ""Offices & clinics of medical doctors""",63249903,"Health Maintenance Organization (HMO), insurance only","$60,535,000,000 ","48,290","7,800","$60,700,000,000 ","52"
"38","Aetna Inc",427,427,"1, 2",2008,"",NA,"2008-08-04","2008-09-02, 2008-09-16","",1,NA,NA,1,"Paper, RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-09-02","AETNA INC.","Public","94-515-5190","Manufacturer","Subsidiary",1853,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524113, 524114, 525110, 621491","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Pension Funds "", ""HMO Medical Centers ""","6321, 6324, 6371, 8011","""Accident and health insurance"", ""Hospital and medical service plans"", ""Pension, health, and welfare funds"", ""Offices & clinics of medical doctors""",63249903,"Health Maintenance Organization (HMO), insurance only","$60,535,000,000","48,290","7,800","$60,700,000,000","52"
"39","Aetna Inc",427,427,"1, 2",2008,"",NA,"2008-08-04","2008-09-02, 2008-09-16","",1,NA,NA,1,"Paper, RELEASE/ DISPLAY OF INFO",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-09-02","AETNA INC.","Public","94-515-5190","Manufacturer","Subsidiary",1853,"Headquarters","CONNECTICUT",524114,"Direct Health and Medical Insurance Carriers","524113, 524114, 525110, 621491","""Direct Life Insurance Carriers "", ""Direct Health and Medical Insurance Carriers "", ""Pension Funds "", ""HMO Medical Centers ""","6321, 6324, 6371, 8011","""Accident and health insurance"", ""Hospital and medical service plans"", ""Pension, health, and welfare funds"", ""Offices & clinics of medical doctors""",63249903,"Health Maintenance Organization (HMO), insurance only","$60,535,000,000 ","48,290","7,800","$60,700,000,000 ","52"
"40","Affiliated Mortgage",457,457,"1",2008,"",NA,"2008-07-14","2008-08-05","",NA,NA,NA,NA,"STOLEN LAPTOPS, COMPUTERS, & EQUIP",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,"2008-08-05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Affiliated Mortgage D/B/A YSU
Lending",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AFFILIATED MORTGAGE, L.L.C.","Private","01-751-9500","Manufacturer","Non-Subsidiary",0,"Single Location","NORTH CAROLINA",522390,"Other Activities Related to Credit Intermediation","","","","",61620000,"Mortgage bankers and loan correspondents","$200,000,000 ","14","6","$200,000,000 ","52"
"42","Agilant Technologies Inc",496,496,"2",2008,"",NA,"","2008-04-04","",NA,NA,NA,NA,"Electronic",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2008-04-04","AGILENT TECHNOLOGIES, INC.","Public","08-496-3177","Non Manufacturer","Non-Subsidiary",1999,"Headquarters","CALIFORNIA",334515,"Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals","334515, 334516, 511210","""Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals "", ""Analytical Laboratory Instrument Manufacturing "", ""Software Publishers""","3825, 3826, 7372","""Instruments to measure electricity"", ""Analytical instruments"", ""Prepackaged software""",38250000,"Instruments to measure electricity","$5,163,000,000 ","14,800","224","$4,914,000,000 ","33"
