Clean Name,Company ,Address,Street Address,Cities,State,Zip Code,DUNS No
TIO Networks USA Inc,Tio Networks (re: Alliance Data & Florida Power & Light Company),"2211 N 1st Street, San Jose, CA 95131",2211 N 1st Street,San Jose,CA,95131,07-758-1187
TransUnion LLC,TransUnion LLC,"555 W Adams Street, Chicago, IL 60661",555 W Adams Street,Chicago,IL,60661,08-090-6800
Village People LLC,"Village People, LLC","2206 21st Avenue South, Nashville, TN 37212",2206 21st Avenue South,Nashville,TN,37212,00-354-5191
Dr Amy Woodruff,Dr. Amy Woodruff,,,,,,02-289-8206
Zoetop Business Co Ltd,Shein,,,,,,
Renaissance Philanthropic Solutions Group,"Renaissance Pilanthropic Solutions Group (""RenPSG"")","8910 Purdue Road, Suite 500, Indianapolis, IN  46268","8910 Purdue Road, Suite 500",Indianapolis,IN,46268,06-606-7611
Challenger Sports Inc,"Challenger Sports, Inc.","8263 Flint Street, Lenexa, KS  66214",8263 Flint Street,Lenexa,KS,66214,01-715-3151
Scrapbook.com LLC,Scrapbook.com LLC,"1495 E. Baseline Road, Suite 102, Gilbert, Arizona, 85233","1495 E. Baseline Road, Suite 102",Gilbert,AZ,85233,09-240-8363
Tallahassee Memorial Healthcare Inc,Tallahassee Memorial Healthcare Inc.,"1300 Miccosukee Road, Tallahassee, FL 32308",1300 Miccosukee Road,Tallahassee,FL,32308,07-919-8594
Liquidity Services Inc,"Liquidity Services, Inc.","6931 Arlington, Road, Suite 200, Bethesda, MD 20814","6931 Arlington Road, Suite 200",Bethesda,MD,20814,93-335-1611
Goody Tickets,Goody Tickets,,,,,,06-884-7765
Commerce Bank,Commerce Bank,"320 Eagle Crest Drive, Ste. E, Evansville, Indiana 47715","320 Eagle Crest Drive, Ste. E",Evansville,IN,47715,62-737-4544
Envision Healthcare Corp,Envision Healthcare Corporation,"1A Burton Hills Blvd, Nashville, TN 37215",1A Burton Hills Blvd,Nashville,TN,37215,08-045-9317
Cigna Corp,"Cigna, B6LPA","900 Cottage Grove Road, Bloomfield, CT 06002",900 Cottage Grove Road,Bloomfield,CT,06002,02-905-3964
Roadrunner Transportation Systems Inc,"RRTS (Roadrunner Transportation Systems, Inc.)","1431 Opus Place, Suite 530, Downers Grove, IL 60515","1431 Opus Place, Suite 530",Downers Grove,IL,60515,11-411-4531
Five Below Inc,"Five Below, Inc.","701 Market Street, Suite 200, Philadelphia, PA 19106","701 Market Street, Suite 200",Philadelphia,PA,19106,09-544-6659
Health Fitness Inc,Health Fitness Inc. on behalf of its clients (Amedysis and MACTEC),"400 Field Drive, Lake Forest, IL 60045",400 Field Drive,Lake Forest,IL,60045,18-319-6138
North American Risk Services Inc,"North American Risk Services, Inc.","PO Box 166002, Altamonte Springs, FL 32716-6002 ",PO Box 166002,Altamonte Springs,FL,32716-6002,82-516-8235
California State University East Bay,California State University East Bay,"25800 Carlos Bee Boulevard SA 4401, Hayward, CA  94542",25800 Carlos Bee Boulevard SA 4401,Hayward,CA,94542,60-268-4552
LeafFilter North LLC,"LeafFilter North, LLC","1595 Georgetown Road, Hudson, OH 44236",1595 Georgetown Road,Hudson,OH,44236,79-196-9640
Shoe Station Inc,"Shoe Station, Inc.","720 Executive Park Drive, Mobile, AL 36606",720 Executive Park Drive,Mobile,AL,36606,11-854-3867
Professional Publications Inc,"Professional Publications, Inc.","1250 Fifth Avenue, Belmont, CA 94002",1250 Fifth Avenue,Belmont,CA,94002,09-308-5546
Lion Equity Partners,Lion Equity Partners,,,,,,96-200-3997
J Crew Inc,J Crew,"224 Liberty St, 17th Fl, New York, NY 10281","224 Liberty St, 17th Fl",New York,NY,10281,11-600-4417
Toyota Industries North America Inc,"Toyota Industries North America, Inc.","3030 Barker Drive, Columbus, IN  47201",3030 Barker Drive,Columbus,IN,47201,13-589-3746
Another Planet Entertainment,Another Planet Entertainment,"1815 4th Street, Suite C, Berkeley, CA 94710","1815 4th Street, Suite C",Berkeley,CA,94710,14-357-0526
Coca-Cola Co,The Coca-Cola Bottling Co. of Northern New England,"1 Executive Park Drive, Bedford, NH 03110-6913",1 Executive Park Drive,Bedford,NH,03110-6913,13-510-1004
AEI Fund Management Inc,"AEI Fund Management, Inc.","1300 Wells Fargo Place, 30 East Seventh Street, St. Paul, MN 55101","1300 Wells Fargo Place, 30 East Seventh Street",St. Paul,MN,55101,61-278-1054
Wintrust Financial Corp,Wintrust Financial Corporation,"9700 W. Higgins Road, Rosemont, IL 60018",9700 W. Higgins Road,Rosemont,IL,60018,96-052-0278
Chegg Inc,"Chegg, Inc.","3990 Freedom Circle, Santa Clara, CA  95054",3990 Freedom Circle,Santa Clara,CA,95054,79-178-0294
Protravel International LLC,Protravel International LLC,"515 Madison Avenue, 10 Floor, New York, NY","515 Madison Avenue, 10 Floor",New York,NY,,10-330-1636
Plant Therapy,Plant Therapy,"Twin Falls, Idaho",,Twin Falls,ID,,08-012-8261
The Affiliated Group,The Affiliated Group,"7381 Airport View Drive SW, Rochester, MN 55902",7381 Airport View Drive SW,Rochester,MN,55902,02-099-3268
Performance Food Group Inc,"Performance Food Group, Inc.",,,,,,01-743-1466
YRCWorldwide Inc,YRC Worldwide Inc.,"10990 Roe Ave, Overland, Park, KS 66211",10990 Roe Ave,Overland,KS,66211,10-710-1248
Tauck Inc,"Tauck, Inc.","10 Westport Road, Wilton, CT 06897",10 Westport Road,Wilton,CT,06897,04-768-1069
Tech Rabbit LLC,Tech Rabbit LLC,"601 Lehigh Ave, Union, NJ 07083",601 Lehigh Ave,Union,NJ,07083,07-969-1336
Arby's Restaurant Group Inc,Arby's ,,,,,,79-577-2743
Automated Pet Care Products Inc,Automated Pet Care Products,,,,,,19-272-8389
Braintree PSP,Braintree PSP,,,,,,07-980-9888
Rainbow Resource Center,Rainbow Resource Center,,,,,,78-797-0458
Garvey Schubert Barer PC,"Garvey Schubert Barer, P.C.","1191 Second Avenue, Suite 1800, Seattle, WA 98101-2939","1191 Second Avenue, Suite 1800",Seattle,WA,98101-2939,10-858-0415
Air Canada,Air Canada,"ZIP 1276, 730 boul, Cote Vertu West, Dorval, QC H4S 1Y9","730 boul, Cote Vertu West",Dorval,QC,,20-209-5022
Peaceful Valley Farm Supply Inc,Peaceful Valley Farm Supply,"125 Clydesdale Ct, Grass Valley, CA 95945",125 Clydesdale Ct,Grass Valley,CA,95945,09-589-0018
Roadrunner Transportation Systems Inc,"Roadrunner Transportation Systems, Inc.","1431 Opus Place, Suite 530; Downers Grove, IL 60515","1431 Opus Place, Suite 530",Downers Grove,IL,60515,11-411-4531
Nardella & Taylor LLP,"Nardella & Taylor, LLP",,,,,,19-581-4777
Stein Mart Inc,"Stein Mart, Inc.","1200 Riverplace Blvd., Jacksonville, Florida 32207",1200 Riverplace Blvd.,Jacksonville,FL,32207,00-704-1346
Title Nine Sports Inc,Title Nine,"6201 Doyle Street, Emeryville, California, 94608",6201 Doyle Street,Emeryville,CA,94608,96-075-3486
Sanibel Captiva Trust Company,Sanibel Captiva Trust Company,"2460 Palm Ridge Road, Sanibel, FL 33957",2460 Palm Ridge Road,Sanibel,FL,33957,19-360-6972
ECS Tuning Inc,ECS Tuning,"1000 Seville Road, Wadsworth, OH  44281",1000 Seville Road,Wadsworth,OH,44281,00-805-9820
Kyocera Document Solutions New England Inc,"Kyocera Document Solutions New England, Inc.","One Jewel Drive, Wilmington, MA 018878",One Jewel Drive,Wilmington,MA,18878,11-524-7751
North American Risk Services Inc,"North American Risk Services, Inc.","PO Box 166002, Altamonte Springs, FL 32716-6002",PO Box 166002,Altamonte Springs,FL,32716-6002,82-516-8235
Movement Mortgage LLC,"Movement Mortgage, LLC","8024 Calvin Hall Road, Indian Land, SC 29707",8024 Calvin Hall Road,Indian Land,SC,29707,80-862-6092
Bombas LLC,Bombas LLC,"37 E 18th St. 4th Floor, New York, NY 10003",37 E 18th St. 4th Floor,New York,NY,10003,05-557-9000
Richard Owen Nursery Inc,"Richard Owen Nursery, Inc.","P.O. Box 2999, Bloomington, IL 61702",P.O. Box 2999,Bloomington,IL,61702,94-420-6929
Garretson Resolution Group Inc,"Garretson Resolution Group, Inc.","6281 Tri-Ridge Boulevard, Suite 300, Cincinnati, Ohio 45140","6281 Tri-Ridge Boulevard, Suite 300",Cincinnati,OH,45140,07-914-5894
SureFire LLC,Surefire,,,,,,09-757-5849
Sierra Nevada Brewing Co,Sierra Nevada Brewing Co.,,,,,,03-827-8578
LILLEbaby LLC,LILLEbaby,"700 12th Street, Suite 220, Golden, CO 80401","700 12th Street, Suite 220",Golden,CO,80401,07-854-5572
NorthStar Anesthesia,NorthStar Anesthesia,"6225 State Highway 161, #200, Irving, TX 75038","6225 State Highway 161, #200",Irving,TX,75038,07-968-3385
Orrstown Bank,Orrstown Bank,"77 East King Street, Shippensburg, PA 17257",77 East King Street,Shippensburg,PA,17257,01-517-0038
Humana Inc,Humana Inc,"500 W Main Street, Louisville, KY 40202",500 W Main Street,Louisville,KY,40202,04-994-4143
Ameriprise Financial Inc,Ameriprise Financial Inc.,"707 2nd Ave S, Minneapolis, MN 55474",707 2nd Ave S,Minneapolis,MN,55474,00-696-1957
Maine Savings Federal Credit Union,Maine Savings Federal Credit Union,"P.O. Box 347, Hampden, ME 04444",P.O. Box 347,Hampden,ME,04444,60-571-0730
Dorian Business Systems LLC,"Dorian Business Systems, LLC",,,,,,11-720-3536
REEB Millwork Corp,REEB Millwork Corporation,"1000 Maloney Circle, Bethlehem, PA 18015",1000 Maloney Circle,Bethlehem,PA,18015,01-169-5533
Health Management Concepts Inc,Health Management Concepts Inc.,"181 Commodore Drive, Jupiter, FL 33477",181 Commodore Drive,Jupiter,FL,33477,19-706-2982
Cheddar's Casual Cafe Inc,Cheddars Scratch Kitchen (Cheddar's),,,,,,09-544-6670
Munro and Company Inc,Munro & Company,"3770 Malvern Road, Hot Springs, AR  71901",3770 Malvern Road,Hot Springs,AR,71901,06-213-9076
Eastern Maine Community College,Eastern Maine Community College   (Notice of Possible Breach),"354 Hogan Road, Bangor, ME",354 Hogan Road,Bangor,ME,,96-790-4058
Animoto Inc,Animoto Inc.,"333 Kearny Street, 6th Floor, San Francisco, CA 94108","333 Kearny Street, 6th Floor",San Francisco,CA,94108,79-183-0354
Tommie Copper Inc,Tommie Copper Mount Kisco,,,,,,08-117-6569
www.tommiecopper.com,wwwtommiecoppercomMt.Kisco,,,,,,08-117-6569
Thomas Chandler Thomas & Hinshaw LLP,Thomas Chandler Thomas & Hinshaw LLP,,,,,,02-733-9764
Concept Title Services Inc,"Concept Title Services, Inc.","2950 SW 27th Avenue, Suite 210, Miami, Florida 33133","2950 SW 27th Avenue, Suite 210",Miami,FL,33133,01-653-3367
Bank of America,Bank of America,,,,,,05-516-9452
Hasbro Inc,"Hasbro, Inc.","1027 Newport Ave, Pawtucket, RI 02861",1027 Newport Ave,Pawtucket,RI,02861,00-120-0443
Gridiron Inc,Gridiron Inc,"1567 Lisbon Street, Lewiston, Maine 04240",1567 Lisbon Street,Lewiston,ME,04240,62-394-4340
North Amercian Power & Gas LLC,"North Amercian Power & Gas, LLC","20 Glover Ave., Norwak, CT  06580",20 Glover Ave.,Norwak,CT,06580,83-246-1086
American Express Travel Related Services Co Inc,"American Express Travel Related Services, Company","General Counsel's Office, 200 Vesey Street, NY, NY 10285","General Counsel's Office, 200 Vesey Street",New York,NY,10285,07-784-8968
Manduka,Manduka,,,,,,61-295-5364
Plant Therapy,Plant Therapy,,,,,,08-012-8261
Bank of Hope,Bank of Hope,,,,,,60-884-7919
Loyola University of Chicago,Loyola University of Chicago,"820 N. Michigan Avenue, Chicago, IL 60611",820 N. Michigan Avenue,Chicago,IL,60611,07-436-8911
MedEvolve Inc,MedEvolve,"115 W 3rd Street, Little Rock, AR 72201",115 W 3rd Street,Little Rock,AR,72201,80-296-9063
Yale University,Yale,"(Office of the VP & General Counsel) PO Box 208255, New Haven, CT 06520-8255",(Office of the VP & General Counsel) PO Box 208255,New Haven,CT,06520-8255,04-320-7562
Concannon Miller & Co PC,Concannon Miller & Co. P.C.,"1525 Valley Center Parkway, Suite 300, Bethlehem, PA 18017","1525 Valley Center Parkway, Suite 300",Bethlehem,PA,18017,07-364-8545
ABM Mechanical Inc,"ABM Mechanical, Inc. ","33 Dowd Road, Unit 1, Bangor, ME  04401","33 Dowd Road, Unit 1",Bangor,ME,04401,94-641-8316
Automated Pet Care Products Inc,"Automated Pet Care Products, Inc.","2900 Auburn Court, Auburn Hills, MI 48326",2900 Auburn Court,Auburn Hills,MI,48326,19-272-8389
Eastern Maine Healthcare Systems,Eastern Maine Healthcare Systems (EMHS),"43 Whiting Hill Road, Brewer, ME 04412",43 Whiting Hill Road,Brewer,ME,04412,10-818-0597
TradeMotion LLC,Trade Motion,"7400 Wilshire Pl. Drive, Houston, TX 77040",7400 Wilshire Pl. Drive,Houston,TX,77040,
Dane Street LLC,"Dane Street, LLC, ",,,,,,83-317-2641
Optoma Technology Inc,"Optoma Technology, Inc.","47697 Westinghouse Drive, Suite 100, Fremont, CA 94538","47697 Westinghouse Drive, Suite 100",Fremont,CA,94538,92-613-2960
Town of Surry,Town of Surry,"P.O. Box 147, 741 North Bend Road, Surry, ME 04684","P.O. Box 147, 741 North Bend Road",Surry,ME,04684,07-337-6191
NorthStar Anesthesia,NorthStar Anesthesia,"6225 State Highway 161, #200, Irving, TX 75038","6225 State Highway 161, #200",Irving,TX,75038,07-968-3385
Comply Right Inc,"ComplyRight, Inc.",,,,,,13-233-8315
Boys Town National Research Hospital,Boys Town National Research Hospital,"14100 Crawford Street, Boys Town, NE 68010",14100 Crawford Street,Boys Town,NE,68010,11-753-7110
Helly Hansen AS,Helly Hansen AS,"Munkedamsveien 35, 6 fl, N-0250, 1653 Vika, N-120 Oslo","Munkedamsveien 35, 6 fl, N-0250, 1653",Oslo,Norway,,51-506-2438
Anastazia Beverly  Hills,Anastazia Beverly  Hills,,,,,,01-615-1064
Goplae San Francisco,Goplae San Francisco,,,,,,
Manduka,Mandukacom,,,,,,61-295-5364
Strawberry Hill Povitica Co,Strawberry Hill Povitica Co.,,,,,,18-904-7269
Vistaprint USD,Vistaprint USD,,,,,,
DSCI LLC,"DSCI, LLC dba TPx Communications","515 S. Flower Street, 45th Floor, los Angeles, CA 90071","515 S. Flower Street, 45th Floor",Los Angeles,CA,90071,08-063-9876
City of Bozeman MT,"The City of Bozeman, Montana","121 N. Rojuse Ave, Bozeman, MT 59715",121 N. Rojuse Ave,Bozeman,MT,59715,08-370-5293
EBSCO Sign Group Inc,"EBSCO Sign Group, LLC","5724 Highway 280 East, Birmingham, AL  35242",5724 Highway 280 East,Birmingham,AL,35242,00-339-6256
Fruitful Yield Inc,"The Fruitful Yield, Inc.","244 Knollwood Drive, Bloomingdale, IL 60108",244 Knollwood Drive,Bloomingdale,IL,60108,60-745-8101
Appian Way Energy Partnerrs LLC,"Appian Way Energy Partners, LLC","25 Mount Auburn St., Suite 400, Cambridge, MA 02138","25 Mount Auburn St., Suite 400",Cambridge,MA,02138,09-032-4429
Tommie Copper Inc,Tommie Copper Inc.,"74 South Moger Avenue, Mount Kisco, NY 10549",74 South Moger Avenue,Mount Kisco,NY,10549,03-115-4181
Ameriprise Financial Inc,"Ameriprise Financial, Inc.","707 2nd Ave S, Minneapolis, MN 55474",707 2nd Ave S,Minneapolis,MN,55474,00-696-1957
Malcom & Baker CPAs & Associates Inc,"Malcom &Baker, CPAs & Associates, Inc.",,,,,,00-598-5365
International Mission Board,"International Mission Board ""IMB""",,,,,,06-235-1499
Village of Wellington,Village of Wellington,"12300 Forest Hill Blvd, Wellington, FL 33414",12300 Forest Hill Blvd,Wellington,FL,33414,02-602-8332
SJ Gorowitz Accounting & Tax Services PC,"S.J. Gorowitz Accounting & Tax Services, P.C.",,,,,,86-885-8119
iRemedy Healthcare Companies Inc,The Iremedy Healthcare Companies Inc.,"2862 SE Monroe St, Stuart, FL 34994",2862 SE Monroe St,Stuart,FL,34994,19-629-7761
MSK Group PC,"MSK Group, P.C. ",,,,,,18-811-2390
The Information and Referral Federation of Los Angeles County Inc,The Information and Referral Federation of Los Angeles County dba,"211 LA County, 526 West Las Tunas Drive, San Gabriel, CA 92776","211 LA County, 526 West Las Tunas Drive",San Grabriel,CA,92776,02-318-7396
Macy'c Inc,Macy's,,,,,,00-698-7135
Rochester Institute of Technology,Rochester Institute of Technology,"13 Lomb Memorial Drive, Rochester, NY 14623",13 Lomb Memorial Drive,Rochester,NY,14623,00-222-3642
Coty Inc,"Coty, Inc. ",,,,,,95-866-2223
SGS North America Inc,"SGS North America, Inc.","201 Rout 17 North, Rutherford, NJ 070707",201 Rout 17 North,Rutherford,NJ,70707,05-360-0573
PlainsCapital Bank,PlainsCapital Bank,"2911 Turtle Creek Blvd, Dallas, TX 75219",2911 Turtle Creek Blvd,Dallas,TX,75219,00-793-4151
Northwest University,Northwest University,"5520 108th Ave., N.E., Kirkland, WA 98033",5520 108th Ave. N.E.,Kirkland,WA,98033,07-573-8443
Toyo Tire Holdings of Americas Inc,Toyo Tire Holdings of Americas Inc.,,,,,,15-674-9520
Dollar Shave Club Inc,Dollar Shave Club Inc.,"13335 Maxella Avenue, Marina del Rey, CA 90292",13335 Maxella Avenue,Marina del Rey,CA,90292,00-416-4494
Humana Inc,Humana Inc,"500 W Main Street, Louisville, KY 40202",500 W Main Street,Louisville,KY,40202,04-994-4143
Thomas Chandler Thomas & Hinshaw LLP,Thomas Chandler Thomas & Hinshaw LLP,,,,,,02-733-9764
"DiCicco, Gulman & Co LLP","DiCicco, Gulman & Company, LLP","150 Presidential Way, Suite 510, Woburn, MA 01801","150 Presidential Way, Suite 510",Woburn,MA,01801,94-208-3031
L'Occitane Inc,"L'Occitane, Inc., d/b/a L'Occitane en Provence (L'Occitane)","1430 Broadway, NY, NY 10018",1430 Broadway,New York,NY,10018,87-826-8200
Dakine Inc,Dakine Inc,,,,,,07-914-3112
Makeup Geek LLC,Makeup Geek,,,,,,96-270-1384
National Stores Inc,National Stores DBA Fallas,,,,,,02-720-5932
Sporty's Catalogs,Sporty's Catalogs,,,,,,
Titan Distributors,Titan Distributors,,,,,,06-194-2418
www.artnaturals.com,www.artnaturals.com,,,,,,
Manchester Capital Management LLC,Manchester Capital Management LLC,,,,,,87-265-1872
GreatBanc Trust Co,GreatBanc Trust Company,"801 Warrenville Road, Suite 500, Lisle, IL 60532","801 Warrenville Road, Suite 500",Lisle,IL,60532,80-846-4346
My Heritage Ltd,My Heritage Ltd,"3 Ariel Sharon Street, Or Yehuda, Israel 60250",3 Ariel Sharon Street,Or Yehuda,Israel,60250,
Med Associates Inc,"Med Associates, Inc.","13 British American Blvd, Latham, NY 12110",13 British American Blvd,Latham,NY,12110,36-226-3279
Educational Employees Supplementary Retirement System of Fairfax County,The Educational Employees Supplementary Retirement System of Fairfax County,"8001 Forbes Place, Suite 300, Springfield, VA 22151","8001 Forbes Place, Suite 300",Springfield,VA,22151,
Ithica College,Ithica College,"316 Peggy Ryan Williams Center, Ithaca, NY 14850",316 Peggy Ryan Williams Center,Ithaca,NY,14850,
HealthEquity Inc,"HealthEquity, Inc.",,,,,,79-350-6390
OFD Foods LLC,"OFD Foods, LLC",,,,,,00-941-6934
Guaranteed Rate Inc,"Guaranteed Rate, Inc.","3940 N. Ravenswood, Chicago, IL 60613",3940 N. Ravenswood,Chicago,IL,60613,83-966-6919
City of Goodyear AZ,The City of Goodyear Arizona,"190 N. Litchfield road, Goodyear, AZ 85338",190 N. Litchfield road,Goodyear,AZ,85338,
shopPOPdisplays Inc,"ShopPOPdisplays, Inc.",,,,,,08-126-6214
Marion County Bank,"Marion County Bank, 800 Main Street, Pella, IA 50219","800 Main Street, Pella, IA 50219",800 Main Street,Pella,IA,50219,08-794-1183
Corporation Service Co,Corporation Service Co.,"251 Little Falls Drive, Wilmington, DE 19808",251 Little Falls Drive,Wilmington,DE,19808,80-847-5805
Weichert Co,Weichert Co.,"Morris Plains, NJ",,Morris Plains,NJ,,06-497-9016
Highgate Hotel LP,Highgate Hotel L.P.,"545 E. John Carpenter Freeway, Suite 1400, Irving, TX 75062","545 E. John Carpenter Freeway, Suite 1400",Irving,TX,75062,08-005-1974
International Management Advisors Ltd,"International Management Advisors, Ltd","1360 East 9th Street, Suite 860, Cleveland, OH 44114","1360 East 9th Street, Suite 860",Cleveland,OH,44114,07-112-7153
Total Phase Inc,"Total Phase, Inc.","2350 Mission College Blvd, Suite 1100, Santa Clara, CA 95054","2350 Mission College Blvd, Suite 1100",Santa Clara,CA,95054,18-880-5365
Elmcroft Senior Living Inc,"Elmcroft Senior Living, Inc.","2807 Allen Street, #834, Dallas, TX 75204","2807 Allen Street, #834",Dallas,TX,75204,09-974-7682
Creative Bus Sales Inc,"Creative Bus Sales, Inc.","14740 Ramona Ave., Chino, CA 91710",14740 Ramona Ave.,Chino,CA,91710,03-874-3944
Securus Technologies Inc,Securus Technologies Inc.,,,,,,19-285-8954
Weil Akman Baylin & Coleman PA,"Weil, Akman, Baylin & Coleman, P.A.","201 W. Padonia Road, Suite 600, Timonium, MD 21093","201 W. Padonia Road, Suite 600",Timonium,MD,21093,
Systeme Software Inc,"Systeme Software, Inc.","177 Sandy Hill Road, Bovertown, PA 19512",177 Sandy Hill Road,Bovertown,PA,19512,
Aimbridge Hospitality Holdings LLC,"Aimbridge Hospitality Holdings, LLC","5851 Legacy Circle Drive, Suite 400, Plano, TX 75024","5851 Legacy Circle Drive, Suite 400",Plano,TX,75024,13-047-8618
Lutz & Carr CPA LLC,"Lutz & Carr, CPAs LLP",,,,,,07-773-4937
HRB Digital,HRB Digital,"1 H&R Block Way, Kansas City, MO 64105",1 H&R Block Way,Kansas City,MO,64105,02-498-4165
Bath Housing Authority,Bath Housing Authority,"80 Congress Avenue, Bath, ME 04530",80 Congress Avenue,Bath,ME,04530,09-772-9156
PLAE INC,PLAE INC,"220 Montgomery St., Suite 860, San Francisco, CA 94104","220 Montgomery St., Suite 860",San Francisco,CA,94104,04-741-2615
Walgreens Co,Walgreen Company,,,,,,00-896-5063
Stein Eriksen Lodge Hotel,Stein Eriksen Lodge Hotel,,,,,,06-731-6471
Temecula Motorsports Inc,"Temecula Motorsports, Inc.","26860 Jefferson Ave., Murrieta, CA 92562",26860 Jefferson Ave.,Murrieta,CA,92562,62-049-9467
Rail Europe SAS,Rail Europe SAS,"Les Collines de l'Arche, Immeuble Concorde B, 76 route de la Demi-Lune, Puteaux, France 92800","Les Collines de l'Arche, Immeuble Concorde B, 76 route de la Demi-Lune",Puteaux,France,,49-272-1782
Chattanooga Clothing Co,Chattanooga Clothing Company,"1500 Chestnut St., Suite D, Chattanooga, TN 37408","1500 Chestnut St., Suite D",Chattanooga,TN,37408,
St Mary's Health Inc,"St. Mary's Health, Inc., dba St. Vincent Evansville","3700 Washington Ave., Evansville, IN 47714",3700 Washington Ave.,Evansville,IN,47714,05-681-9501
Uno Alla Volta LLC Inc,"Uno Alla Volta, LLC","242 Branford Road, North Branford, CT 06471",242 Branford Road,North Branford,CT,06471,12-801-5448
PrintingCenterUSA.com,PrintingCenterUSA.com,"117 9th Street, N., Great Falls, MT 59401","117 9th Street, N.",Great Falls,MT,59401,84-117-7277
SEIU Local 32BJ,SEIULocal 32BJ,,,,,,07-712-7767
Member Business Services LLC,"Member Business Services, LLC dba Commercial Alliance","1607 E. Big Beaver, Suite 201, Troy, MI 48084","1607 E. Big Beaver, Suite 201",Troy,MI,48084,16-766-3579
Pendleton Square Trust Company,Pendleton Square Trust Company,"3803 Bedford Ave., Suite 105, Nashville, TN 37215","3803 Bedford Ave., Suite 105",Nashville,TN,37215,08-600-4922
Jarrett & Luitjens PLC,"Jarrett & Luitjens, PLC","1795 Williston Road, Suite 125, South Burlington, VT 05403","1795 Williston Road, Suite 125",South Burlington,VT,05403,92-833-7182
Luxury Retreats,Luxury Retreats,"5530 St. Patrick Street, Suite 2210, Montreal, Quebec, Canada H4E1A8","5530 St. Patrick Street, Suite 2210",Montreal,Canada,,20-370-2451
National Railroad Passenger Corp,National Railroad Passenger Corporation (Amtrak),"1 Massachusetts Avenue, N.W., Suitge 635, Washington, DC 20001","1 Massachusetts Avenue, N.W., Suite 635",Washington,DC,20001,11-738-8847
Employee Benefits Corp,Employee Benefits Corporation o/b/o InterVarsity Christian Fellowship/USA,"1350 Deming Way, Suite 300, Middleton, WI 53562","1350 Deming Way, Suite 300",Middleton,WI,53562,06-348-8522
Pinnacle Advisory Group Inc,Pinnacle Advisory Group Inc.,"6345 Woodside Court, Suite 100, Columbia, MD 21046","6345 Woodside Court, Suite 100",Columbia,MD,21046,86-789-7456
Stephen J Flood CPA PLLC,"Stephen J Flood CPA, PLLC","950 New Loudon Road #107, Latham, NY 12110",950 New Loudon Road #107,Latham,NY,12110,12-971-5678
Brinker International Inc,Brinker International,,,,,,83-167-8607
