Reported Date,Org Name,URL
2/28/2017,Ambassador Title Services,https://www.iowaattorneygeneral.gov/media/cms/Ambassador_Title_Services_76610C961A0BE.pdf
2/28/2017,DRI Title & Escrow,https://www.iowaattorneygeneral.gov/media/cms/DRI_Title__Escrow_13855F8C642DC.pdf
3/3/2017,West Music Company,https://www.iowaattorneygeneral.gov/media/cms/West_Music_Company_C205048B592F6.pdf
3/8/2017,prAna,https://www.iowaattorneygeneral.gov/media/cms/prAna_55E7F931188F7.pdf
3/13/2017,"Faller, Kincheloe & Co., PLC",https://www.iowaattorneygeneral.gov/media/cms/Faller_Kincheloe__Co_05C11BEF099C6.pdf
3/27/2017,"Easy Breathe, Inc.",https://www.iowaattorneygeneral.gov/media/cms/Easy_Breathe_Inc_B283412472222.pdf
3/31/2017,Lincoln Savings Bank,https://www.iowaattorneygeneral.gov/media/cms/Lincoln_Savings_Bank_094223C94114F.pdf
4/6/2017,Great Lakes Communication Corp.,https://www.iowaattorneygeneral.gov/media/cms/Great_Lakes_Communication_Corp_22419AF705F3D.pdf
4/12/2017,University of Iowa Community Credit Union,https://www.iowaattorneygeneral.gov/media/cms/University_of_Iowa_Community_Credit_6162079588BE7.pdf
4/14/2017,"Six Continents Hotels, Inc.",https://www.iowaattorneygeneral.gov/media/cms/Six_Continents_Hotels_Inc_58E9B2467DD2D.pdf
4/28/2017,"Gannett Company, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/Gannett_Company_Inc_9F9AE233E1850.pdf
5/11/2017,Brooks Brothers,https://www.iowaattorneygeneral.gov/media/cms/Brooks_Brothers_438E9040B8A13.pdf
5/15/2017,TALX Corporation,https://www.iowaattorneygeneral.gov/media/cms/TALX_Corporation_7083913FA4B8A.pdf
5/26/2017,Chipotle Mexican Grill Inc.Ê,https://www.iowaattorneygeneral.gov/media/cms/Chipotle_Mexican_Grill_Inc_4CC7CBE746D73.pdf
5/31/2017,BMO Harris Bank,https://www.iowaattorneygeneral.gov/media/cms/BMO_Harris_Bank_6E908DC3996A9.PDF
6/2/2017,Hennings Automotive,https://www.iowaattorneygeneral.gov/media/cms/Henniges_Automotive_BB7E97B9C0FAE.pdf
6/5/2017,"GameStop, Inc.",https://www.iowaattorneygeneral.gov/media/cms/GameStop_Inc_4AB946B76F136.pdf
6/9/2017,SMH Enterprises LLC,https://www.iowaattorneygeneral.gov/media/cms/SMH_Enterprises_LLC_93F0392DDA554.pdf
6/9/2017,Washington State University,https://www.iowaattorneygeneral.gov/media/cms/Washington_State_University_770A5E7DA41D6.pdf
6/20/2017,HillPhoenix,https://www.iowaattorneygeneral.gov/media/cms/HillPhoenix_1483E7465FA53.pdf
6/20/2017,"Kayser-Roth, Inc.",https://www.iowaattorneygeneral.gov/media/cms/KayserRoth_Inc_83AC701A84E69.PDF
6/21/2017,"Frank G. Becika, PLC",https://www.iowaattorneygeneral.gov/media/cms/Frank_G_1837A9F0F004F.pdf
6/23/2017,"Calibur Home Loans, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/Calibur_Home_Loans_7D1F8D52CDFAA.pdf
7/5/2017,Loews Hotels & Co.,https://www.iowaattorneygeneral.gov/media/cms/Loews_Hotels__Co_B68394CC18C52.pdf
7/18/2017,Keller Williams Realty Inc.,https://www.iowaattorneygeneral.gov/media/cms/Keller_Williams_Realty_Inc_5674CBEDD92A7.pdf
7/21/2017,Value Eyecare Networks Inc. dba 39dollarglasses.com,https://www.iowaattorneygeneral.gov/media/cms/Value_Eyecare_Network_Inc_E3A071810CCB4.pdf
7/24/2017,Avanti Markets Inc.Ê,https://www.iowaattorneygeneral.gov/media/cms/Avanti_Markets_Inc_2691269E75206.pdf
9/7/2017,Equifax Inc.Ê,https://www.iowaattorneygeneral.gov/media/cms/Equifax_data_breach_AA7E0598553F8.pdf
9/15/2017,"Bulletproof 360, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/Bulletproof_360_Inc_76CC196ECB887.pdf
9/18/2017,"W. W. Grainger, inc.",https://www.iowaattorneygeneral.gov/media/cms/W_4FCD83E1BF572.pdf
9/29/2017,"Cheddar's Casual Cafe, Inc.",https://www.iowaattorneygeneral.gov/media/cms/Cheddars_Casual_Cafe_Inc_854B1808F033D.pdf
10/3/2017,FlexShopper LLC,https://www.iowaattorneygeneral.gov/media/cms/FlexShopper_LLC_87C0E781FF7DF.pdf
10/5/2017,Sonic Corp,https://www.iowaattorneygeneral.gov/media/cms/Sonic_DriveIn_1EE6129342B45.pdf
10/6/2017,Catholic United Financial,https://www.iowaattorneygeneral.gov/media/cms/Catholic_United_Financial_C7B09748E175B.pdf
10/12/2017,Equifax Inc (update),https://www.iowaattorneygeneral.gov/media/cms/EquifaxUpdate101217_E131C88B05BFB.pdf
10/13/2017,Iowa Lottery,https://www.iowaattorneygeneral.gov/media/cms/Iowa_Lottery_2ACAFE29214CC.pdf
10/16/2017,Pizza Hut LLC,https://www.iowaattorneygeneral.gov/media/cms/Pizza_Hut_Corporate_CF37633C79A4F.pdf
10/23/2017,Iowa Department of Human Services,https://www.iowaattorneygeneral.gov/media/cms/Iowa_Dept_DCC96774E981C.pdf
11/3/2017,"Tween Brands, Inc.Ê",https://www.iowaattorneygeneral.gov/media/cms/Tween_Brands_Inc_A6BFD4165EF60.pdf
11/13/2017,"Gallagher NAC (""GNAC"")",https://www.iowaattorneygeneral.gov/media/cms/Gallagher_NAC_D9FC58BDAE112.pdf
11/21/2017,"Uber Technologies, Inc.",https://www.iowaattorneygeneral.gov/media/cms/Uber_Technologies_Inc_FD2221ADAFA7E.pdf
12/1/2017,"IH Mississippi Valley Credit Union (""IHMVCU"")",https://www.iowaattorneygeneral.gov/media/cms/IH_Mississippi_Valley_Credit_Union__551179F35D664.pdf
12/28/2017,"Forever 21, Inc.",https://www.iowaattorneygeneral.gov/media/cms/Forever_21_Inc_97DC6D638149C.pdf
3/4/2016,21st Century Oncology,https://www.iowaattorneygeneral.gov/media/cms/21st_Century_Oncology_E7FC6670722FE.pdf
9/19/2016,ACTIVEOutdoors,https://www.iowaattorneygeneral.gov/media/cms/ACTIVEOutdoors_7E1F4328919F2.pdf
3/15/2016,Advance Auto Parts,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Advance_Auto_Parts_7F7E42A9674E2.pdf
11/21/2016,"Atlantis, Paradise Island",https://www.iowaattorneygeneral.gov/media/cms/Atlantis_Paradise_Island_1121_3EF3DA2A00FAE.pdf
8/3/2016,Banner Health,https://www.iowaattorneygeneral.gov/media/cms/Banner_Health_164A51E6EC1F6.pdf
7/19/2016,"CiCi Enterprises, LP",https://www.iowaattorneygeneral.gov/media/cms/CiCi_Enterprises_LP_F44B52FDE0DF4.pdf
9/22/2015,Costco Photo Center,https://www.iowaattorneygeneral.gov/media/cms/Costco_Photo_Center_8D4C008A4E28E.pdf
4/18/2016,doTERRA,https://www.iowaattorneygeneral.gov/media/cms/doTERRA_9EFF8F7234507.pdf
8/18/2016,"Eddie Bauer, LLC",https://www.iowaattorneygeneral.gov/media/cms/Eddie_Bauer_LLC_D2B1E25622778.pdf
6/6/2016,"Empathia, Inc.",https://www.iowaattorneygeneral.gov/media/cms/Empathia_Inc_09F3539138074.pdf
8/28/2016,EqualizeRCM Systems,https://www.iowaattorneygeneral.gov/media/cms/EqualizeRCM_Systems_44C0499C4F704.pdf
2/5/2016,"Gyft, Inc.",https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Gyft_Inc_1D96022ACE68E.pdf
1/22/2016,HK Financial Services,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_HK_Financial_Services_A4FB7464BD89C.pdf
1/14/2016,Hyatt Hotels Corporation,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Hyatt_Hotels_Corporation_3C57C6038A754.pdf
1/1/2016,JB Autosports,https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_JB_Autosports_D321757573C3D.pdf
4/5/2016,Katherman Kitts & Co. LLP,https://www.iowaattorneygeneral.gov/media/cms/Katherman_Kitts__Co_2DDF81C369DA8.pdf
8/31/2016,Kimpton Hotels & Restaurants,https://www.iowaattorneygeneral.gov/media/cms/Kimpton_Hotels__Restaurants_66C5B75BA133B.pdf
2/29/2016,"Landry's, Inc.",https://www.iowaattorneygeneral.gov/media/cms/Landrys_Inc_BED01DF5E14E1.pdf
12/20/2016,Luther College,https://www.iowaattorneygeneral.gov/media/cms/Luther_College_BB96B482B4CCB.pdf
11/22/2016,Madison Square Garden Company (MSG),https://www.iowaattorneygeneral.gov/media/cms/Madison_Square_Garden_Company_MSG_A656862878901.pdf
3/25/2016,Mercy Iowa City,https://www.iowaattorneygeneral.gov/media/cms/Mercy_Iowa_City_AAAC2BC13CCA0.pdf
11/21/2016,Michigan State University,https://www.iowaattorneygeneral.gov/media/cms/Michigan_State_University_7C774A2AD60C4.pdf
9/21/2016,New Jersey Spine Center,https://www.iowaattorneygeneral.gov/media/cms/NJ_Spine_Center_708B3D2E09FB9.pdf
6/28/2016,Noodles & Company,https://www.iowaattorneygeneral.gov/media/cms/Noodles__Company_2416BB8D0C9CB.pdf
8/21/2015,"Olympia Hotel Management, LLC",https://www.iowaattorneygeneral.gov/media/cms/Olympia_Hotel_Management_LLC_B0CE39525DB01.pdf
7/7/2016,Omni Hotels & Resorts,https://www.iowaattorneygeneral.gov/media/cms/Omni_Hotels__Resorts_7495183F561CB.pdf
7/5/2016,"Quality Food Service, Inc. [Wendy's]",https://www.iowaattorneygeneral.gov/media/cms/Quality_Food_Service_Inc_C915FD2761484.pdf
4/11/2016,"Schwaab, Inc.",https://www.iowaattorneygeneral.gov/media/cms/Schwaab_Inc_6B764F1B33490.pdf
8/4/2016,Schwan's Home Service Inc. [Schwan's],https://www.iowaattorneygeneral.gov/media/cms/Schwans_Home_Service_Inc_B6B79D386509B.pdf
9/21/2015,Scottrade,https://www.iowaattorneygeneral.gov/media/cms/Scottrade_90C8A9AF476F0.pdf
2/5/2016,"Seim Johnson, LLP",https://www.iowaattorneygeneral.gov/media/cms/CPD_SOI_vs_Seim_Johnson_LLP_19E0257A7766D.pdf
5/24/2016,Stamford Podiatry Group,https://www.iowaattorneygeneral.gov/media/cms/Stamford_Podiatry_Group_9E8CF8437F4D7.pdf
10/12/2016,Vera Bradley,https://www.iowaattorneygeneral.gov/media/cms/Vera_Bradley_556087752A89A.pdf
12/20/2016,Western Union Financial Services,https://www.iowaattorneygeneral.gov/media/cms/Western_Union_Financial_Services_5146A7CE2A5B1.pdf

