BUSINESS NAME,NOTIFICATION DOCUMENTS,START OF BREACH,END OF BREACH,DATE REPORTED,MONTANANS AFFECTED
University of Alaska System,https://media.dojmt.gov/wp-content/uploads/University-of-Alsaka-System-Consumer-Letter.pdf,1/31/2018,2/15/2018,6/5/2019,36
Apple Mortgage,https://media.dojmt.gov/wp-content/uploads/Apple-Mortgage-Consumer.pdf,5/3/2019,5/6/2019,6/5/2019,2
Protective Insurance Corporation,https://media.dojmt.gov/wp-content/uploads/Protective-Insurance-Corporation-Consumer.pdf,9/17/2018,9/17/2018,1/30/2019,1
Florida Keys Community College,https://media.dojmt.gov/wp-content/uploads/Florida-Keys-Community-College-Consumer-Letter.pdf,5/5/2018,11/5/2018,2/27/2019,1
"Evergreen Alliance Golf Limited L.P., d/b/a Arcis Golf",https://media.dojmt.gov/wp-content/uploads/Evergreen-Alliance-Golf-Limited-L.P.-dba-Arcis-Golf-Consumer-Letter.pdf,8/15/2018,2/4/2019,3/1/2019,17
Ameriprise Financial,https://media.dojmt.gov/wp-content/uploads/Ameriprise-Financial-Consumer-Letter.pdf,8/7/2018,11/12/2018,2/27/2019,1
Intuit Inc,https://media.dojmt.gov/wp-content/uploads/Intuit-Inc-Consumer.pdf,1/23/2019,2/5/2019,2/26/2019,6
US Oncology Inc,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-16.pdf,6/7/2018,6/7/2018,5/9/2019,2
Western Technical College Bookstore) PrismRBS,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-15.pdf,4/13/2019,4/26/2019,5/21/2019,2
UnitedHealthcare,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-14.pdf,3/21/2019,3/28/2019,5/21/2019,5
Acrisure Heritage Insurance Agency (d.b.a) Filice Insurance Agency,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-12.pdf,3/5/2019,4/3/2019,5/31/2019,201
Acadia Montana,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-13.pdf,9/18/2018,11/15/2018,5/17/2019,3543
T3 Micro Inc.,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-12.pdf,7/13/2018,3/17/2019,5/20/2019,27
Aeroflow Inc.,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-11.pdf,9/7/2018,3/27/2019,5/17/2019,16
Aquionix Inc.,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-10.pdf,2/13/2019,4/18/2019,5/16/2019,2
"Heartland Food Products, LLC",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-11.pdf,11/19/2018,1/30/2019,1/11/2019,1
Florida Farm Bureau Casualty Insurance Company,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-10.pdf,6/15/2018,6/30/2018,10/5/2018,1
LPR Construction,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-9.pdf,1/16/2019,3/18/2019,5/31/2019,3
HP Restaurant Group,https://media.dojmt.gov/wp-content/uploads/CON-MT-Notice-of-Data-Event-Hyde-Park.pdf,4/5/2019,4/5/2019,5/24/2019,5
Goeble Fixture Company,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-9.pdf,4/22/2019,4/22/2019,5/14/2019,1
National Wildlife Federation,https://media.dojmt.gov/wp-content/uploads/CON-National-Wildlife-Federation-Notice-of-Data-Event-MT.pdf,1/3/2019,4/25/2019,5/24/2019,208
Huggins Insurance,https://media.dojmt.gov/wp-content/uploads/CON-Huggins-Consumer-Notification-Letter.pdf,1/16/2019,1/16/2019,5/24/2019,1
Redtail Technology Inc,https://media.dojmt.gov/wp-content/uploads/CON-MT-AG-1.pdf,3/4/2019,3/4/2019,5/23/2019,26
Georgia Institute of Technology,https://media.dojmt.gov/wp-content/uploads/Georgia-Tech_Notification-Letter.pdf,12/14/2018,3/22/2019,5/22/2019,494
MrLandlord.com,https://media.dojmt.gov/wp-content/uploads/CON-Breach-letter1.docx,5/27/2013,4/30/2019,5/22/2019,1
VNS Federal Services,https://media.dojmt.gov/wp-content/uploads/CON-Notice-to-Montana-Attorney-General-Office-of-Consumer-Protection.pdf,4/12/2019,4/12/2019,5/21/2019,1
The Rural Broadband Association (NTCA),https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-8.pdf,2/21/2019,2/26/2019,5/15/2019,6
Northwestern Health Sciences University,https://media.dojmt.gov/wp-content/uploads/CON-Pages-from-NWHSU-Notification-to-Montana-8111214x7AB84.pdf,10/16/2018,12/10/2018,5/21/2019,19
Hematology Oncology Associates PC,https://media.dojmt.gov/wp-content/uploads/CON-HOA-Notice-Letter.pdf,2/22/2019,2/28/2019,5/21/2019,6
"Maritime Association--ILA Pension, Retirement, Welfare & Vacation Funds",https://media.dojmt.gov/wp-content/uploads/Maritime-Association-Consumer-Letter.pdf,11/19/2018,11/19/2018,2/20/2019,3
Smooth-On and Reynolds Advanced Materials,https://media.dojmt.gov/wp-content/uploads/CON-INFO.pdf,2/24/2019,4/29/2019,5/21/2019,13
University of Washington Medical Center (UWMC),https://media.dojmt.gov/wp-content/uploads/UWMC-Consumer-Letter.pdf,12/4/2018,1/10/2019,2/20/2019,5717
Hourglass Cosmetics,https://media.dojmt.gov/wp-content/uploads/Hourglass-Consumer-Letter.pdf,7/3/2018,1/30/2019,2/15/2019,27
AZ Plastic Surgery Center,https://media.dojmt.gov/wp-content/uploads/Pages-from-Dr-Robert-Spies-MT-ConsumerNotification-Letter.pdf,12/10/2018,12/10/2018,2/8/2019,4
"Kele, Inc. (Control Consultants, Inc.)",https://media.dojmt.gov/wp-content/uploads/Kele-CCI-Consumer-Letter.pdf,3/23/2017,10/31/2018,1/23/2019,5
"EmCare, Inc",https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-33.pdf,2/19/2019,2/19/2019,5/3/2019,27
Cornerstone Bank,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-8.pdf,3/7/2019,3/7/2019,6/3/2019,1
Steward Health Care System,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-7.pdf,4/12/2019,4/12/2019,6/4/2019,1
Amsterdam Printing & Litho,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-6.pdf,2/1/2019,2/13/2019,5/14/2019,4
"Retrieval-Masters Creditors Bureau, Inc (d/b/a American Medical Collection Agency)",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-5.pdf,8/1/2018,5/30/2019,6/3/2019,7898
Washington Department of Health,https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-4.pdf,2/1/2018,2/28/2018,6/3/2019,2
Health Quest Medical Practice (HQMP),https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-96.pdf,1/1/2018,6/30/2018,1/10/2020,1
Massachusetts Mutual Life Insurance Company (MassMutual),https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-2.pdf,5/20/2019,5/20/2019,6/4/2019,1
"Akin Doherty Kein and Feuge, P.C. (ADKF)",https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-5.pdf,2/8/2019,2/14/2019,5/14/2019,3
"Carlson Building Maintenance, Inc.",https://media.dojmt.gov/wp-content/uploads/Breach-NotificationDetails-1.pdf,6/8/2018,11/2/2018,5/31/2019,1
HintonBurdick CPA & Advisors - Data Breach,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-4.pdf,2/5/2019,3/5/2019,5/10/2019,11
"Drury Hotels Company, LLC",https://media.dojmt.gov/wp-content/uploads/13-4427-Complaint.pdf,12/28/2017,6/2/2019,5/30/2019,17
"Mediant Communications, LLC",https://media.dojmt.gov/wp-content/uploads/Data-Breach-Sample-Letter-to-Consumer-1.pdf,5/1/2019,5/1/2019,5/31/2019,260
Oklahoma Department of Securities,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice.pdf,12/11/2018,4/15/2019,5/15/2019,474
American Medical Response,https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-2.pdf,9/24/2018,9/25/2018,5/9/2019,1
The Southeastern Council and Alcoholism on Drug Inc (SCADD),https://media.dojmt.gov/wp-content/uploads/Consumer-Notice-3.pdf,2/18/2019,4/2/2019,5/10/2019,2
General Board of Higher Education and Ministry,https://media.dojmt.gov/wp-content/uploads/Consumer-1-Notice.pdf,1/25/2019,2/13/2019,5/10/2019,3
Conde Nast,https://media.dojmt.gov/wp-content/uploads/CON-INetCac.pdf,4/14/2019,4/17/2019,5/9/2019,1
DMB Sports Clubs d/b/a The Village Health Clubs & Spas,https://media.dojmt.gov/wp-content/uploads/CON-DMB_MT-Notice.pdf,2/2/2019,3/5/2019,5/9/2019,1
Bloodworks Northwest,https://media.dojmt.gov/wp-content/uploads/CON-Bloodworks-Regulator-Notice-MT-REVISED.pdf,3/13/2019,3/13/2019,5/8/2019,29
H&R Block,https://media.dojmt.gov/wp-content/uploads/CON-Notification-Letter.pdf,3/1/2019,3/23/2019,5/8/2019,4
Simon Pearce Inc,https://media.dojmt.gov/wp-content/uploads/CON-Simon-Pearce-Notification-Template-c.pdf,3/28/2019,3/28/2019,5/7/2019,2
Augustana College,https://media.dojmt.gov/wp-content/uploads/CON-Augustana-Regulator-Notice-MT-FINAL.pdf,2/18/2019,2/18/2019,5/7/2019,2
Salt Life,https://media.dojmt.gov/wp-content/uploads/CON-Delta-Apparel-Consumer-Notice-Template.pdf,12/12/2018,3/12/2019,5/3/2019,10
Inmediata Health Group,https://media.dojmt.gov/wp-content/uploads/CON-Immediata.pdf,1/1/2019,1/31/2019,4/30/2019,983
Tacony Corporation,https://media.dojmt.gov/wp-content/uploads/CON-Tacony-Corporation-Notice-of-Data-Event-MT.pdf,6/7/2018,2/4/2019,4/30/2019,13
MMBB Financial Services,https://media.dojmt.gov/wp-content/uploads/CON-MMBB-Financial-Services-Notice-of-Data-Event-MT.pdf,10/11/2018,10/17/2018,4/30/2019,2
Citrix Systems,https://media.dojmt.gov/wp-content/uploads/CON-Pages-from-Citrix_US_Montana_Regulator_Notice.pdf,10/13/2018,3/8/2019,4/29/2019,10
National Seating & Mobility,https://media.dojmt.gov/wp-content/uploads/CON-Pages-from-NSM-Notice-to-Montana-AG.pdf,2/14/2019,3/12/2019,4/29/2019,1
Port of Seattle,https://media.dojmt.gov/wp-content/uploads/CON-Pages-from-2019-05-06-POS-MT-AG-update.pdf,8/6/2018,8/6/2018,4/26/2019,1
Lancaster Archery Supply,https://media.dojmt.gov/wp-content/uploads/CON-Lancaster-Archery-Regulator-Letter-MT.pdf,7/4/2018,4/3/2019,4/26/2019,454
Loungefly LLC,https://media.dojmt.gov/wp-content/uploads/CON-LFLY-MT-AG-Regulator-Notice.pdf,4/3/2019,4/3/2019,4/26/2019,2
Paradigm Life Insurance,https://media.dojmt.gov/wp-content/uploads/CON-Paradigm-Life-MT-AG-c.pdf,3/26/2019,3/26/2019,4/26/2019,3
American Electric Power,https://media.dojmt.gov/wp-content/uploads/CON-MONTANA.pdf,2/18/2019,2/18/2019,4/26/2019,2
Coates Field Service,https://media.dojmt.gov/wp-content/uploads/CON-MT-Regulator-Notice.pdf,2/18/2019,2/18/2019,4/25/2019,2
Hot Line Construction,https://media.dojmt.gov/wp-content/uploads/CON-Hot-Line-Notice-of-Data-Event-MT.pdf,10/25/2018,11/30/2018,4/24/2019,25
Bel-Born Management d/b/a Village Hat Shop,https://media.dojmt.gov/wp-content/uploads/CON-Bel-Born-copy-of-consumer-notification-redacted-12156166-v2.docx,2/13/2019,2/14/2019,4/24/2019,1
Colgate University,https://media.dojmt.gov/wp-content/uploads/CON-Colgate-Breach-Notification-Template-FINAL.pdf,1/19/2019,1/26/2019,4/11/2019,2
Doctors' Management Service,https://media.dojmt.gov/wp-content/uploads/CON-MT-Notice-of-Data-Security-Incident-for-DMS.pdf,4/1/2017,12/24/2018,4/22/2019,1
L&M Fleet Supply,https://media.dojmt.gov/wp-content/uploads/CON-L-M-Supply-MT-AG-Notice-with-enclosure-8052073x7AB84.pdf,12/5/2018,1/21/2019,4/23/2019,53
Mikhail Education Corporation,https://media.dojmt.gov/wp-content/uploads/CON-Data-Breach-Letter-Multistate-FINAL.docx,3/20/2019,3/26/2019,4/19/2019,1
Vitalize LLC,https://media.dojmt.gov/wp-content/uploads/CON-Employee-Notice.pdf,7/1/2018,4/12/2019,4/19/2019,11
Dr. Gary W. Peer,https://media.dojmt.gov/wp-content/uploads/CON-GWP-GEN-LTR.pdf,3/13/2019,3/14/2019,4/19/2019,1
Dr. T. Y. Steven Ip MD,https://media.dojmt.gov/wp-content/uploads/CON-Dr-Ip-Ad-SSN-1-Year-r4fin-c.pdf,2/20/2019,2/24/2019,4/18/2019,3
"RunSignUp, Inc.",https://media.dojmt.gov/wp-content/uploads/CON-RunSignup-Notice-of-Data-Event-MT.pdf,3/4/2019,3/4/2019,4/18/2019,2
Oregon Institute of Technology,https://media.dojmt.gov/wp-content/uploads/CON-MT-Notice-of-Data-Event-4.pdf,10/19/2018,10/23/2018,4/18/2019,4
Jocor Enterprises d/b/a Volcano eCigs,https://media.dojmt.gov/wp-content/uploads/CON-Regulatory-Letter-dated-April-16-2019-Helena-MT.pdf,2/13/2019,3/22/2019,4/16/2019,6
Delta Dental of Illinois,https://media.dojmt.gov/wp-content/uploads/CON-DDIL-Individual-Member-Notice-Letter-1-Yr-Protection-FINAL.pdf,12/21/2018,12/28/2018,4/16/2019,2
Centrelake Medical Group,https://media.dojmt.gov/wp-content/uploads/CON-Centrelake-Medical-Group-Notice-of-Data-Event-MT.pdf,1/9/2019,2/19/2019,4/16/2019,8
Color Street LLC,https://media.dojmt.gov/wp-content/uploads/CON-CS-Breach-Notification-DRAFT.pdf,2/4/2019,2/4/2019,4/16/2019,2
Southwest Idaho Advanced Care Hospital,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.15-MT-AG-Notice-SWIACH.pdf,10/1/2018,10/31/2018,4/15/2019,1
Northern Idaho Advanced Care Hospital,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.15-MT-AG-Notice-NCLTAH-1.pdf,10/1/2018,10/31/2018,4/15/2019,2
Northern Colorado Long Term Acute Hospital,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.15-MT-AG-Notice-NCLTAH.pdf,10/1/2018,10/31/2018,4/15/2019,1
Elkhorn Valley Rehabilitation Hospital,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.15-MT-AG-Notice-EVRH.pdf,10/1/2018,10/31/2018,4/15/2019,2
Advanced Care Hospital of Montana,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.15-MT-AG-Notice-ACHMT-1.pdf,10/1/2018,10/31/2018,4/15/2019,180
Ernest Health,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.15-MT-AG-Notice-Ernest.pdf,10/1/2018,10/31/2018,4/15/2019,2
Intuit Inc,https://media.dojmt.gov/wp-content/uploads/CON-LEGAL-40716856v1-MT-Notice-Packet-4-15-19.pdf,4/2/2019,4/2/2019,4/15/2019,1
Merrick Bank,https://media.dojmt.gov/wp-content/uploads/CON-Merrick-Bank-Consumer-Notification-Letter-FINAL.pdf,3/8/2019,3/15/2019,4/12/2019,2
Gaming Arts LLC,https://media.dojmt.gov/wp-content/uploads/CON-Gaming-Arts-Notice-of-Data-Event-MT.pdf,2/26/2019,2/26/2019,4/12/2019,1
Flywheel Exchange,https://media.dojmt.gov/wp-content/uploads/CON-Flywheel-Template-C1.pdf,4/5/2019,4/5/2019,4/12/2019,1
Imbio LLC,https://media.dojmt.gov/wp-content/uploads/CON-Imbio-Template-C1.pdf,4/5/2019,4/5/2019,4/12/2019,1
Invenshure,https://media.dojmt.gov/wp-content/uploads/CON-Inveshure-Template-C1.pdf,4/5/2019,4/5/2019,4/12/2019,2
The Hartford Financial Services Group,https://media.dojmt.gov/wp-content/uploads/CON-MT-AG-Notification-Ltr.pdf,2/7/2019,2/13/2019,4/12/2019,1
"Dakota County, Minnesota",https://media.dojmt.gov/wp-content/uploads/CON-Dakota-County-Montana-Regulatory-Notification-Letter.pdf,3/27/2019,3/27/2019,4/12/2019,1
Riverplace Counseling Center,https://media.dojmt.gov/wp-content/uploads/CON-AG-MT-Notification-Letter.pdf,1/20/2019,1/20/2019,4/11/2019,1
Acrisure Heritage Insurance Agency,https://media.dojmt.gov/wp-content/uploads/CON-Heritage-Benefits-Consumer-Notification-Letter.pdf,9/20/2018,9/20/2018,4/10/2019,2
Union Benefit Planners,https://media.dojmt.gov/wp-content/uploads/CON-CON.pdf,11/7/2018,11/7/2018,4/10/2019,2
Weslaco Regional Rehabilitation Hospital,https://media.dojmt.gov/wp-content/uploads/CON-2019.04.09-MT-AG-Notice-WRRH.pdf,10/1/2018,10/31/2018,4/8/2019,1
Canyon Bakehouse,https://media.dojmt.gov/wp-content/uploads/CON-Letter-to-MT-AG.pdf,2/12/2019,2/19/2019,4/9/2019,46
America Juice Co.,https://media.dojmt.gov/wp-content/uploads/CON-America-Juice-Sample-Consumer-Notification-Letter.pdf,11/1/2018,11/30/2018,4/8/2019,8
H&R Block,https://media.dojmt.gov/wp-content/uploads/CON-MT-AG.pdf,3/7/2019,3/7/2019,4/8/2019,1
Pie Five Pizza,https://media.dojmt.gov/wp-content/uploads/CON-Sample-Notice.pdf,9/6/2018,12/2/2018,4/5/2019,Unknown
Archbright,https://media.dojmt.gov/wp-content/uploads/CON-Archbright-Consumer-Notification-Letter.pdf,12/18/2018,2/20/2019,4/5/2019,4
