Letter URL,Name,Incident_Began,Incident_Discovered,Incident_Ended,Incident_Reported,Total_Affected,Residents_Affected,Credit_Monitoring,Name,SSN,DOB,Drivers License,Financial Acct,Credit/Debit
https://cca.hawaii.gov/ocp/files/2016/05/Spiraledge-Inc.-OCP-2017-0034.pdf,"Spiraledge Inc (SwimOutlet.com, YogaOutlet.com)",2-May-16,28-Nov-16,22-Nov-16,12-Jan-17,,27-Dec-04,N,,,,,,Y
https://cca.hawaii.gov/ocp/files/2016/09/OCP-2016-0445.pdf,ACTIVEOutdoors,,22-Aug-16,,20-Sep-16,,3984,N,Y,Y,Y,Y,N,N
http://cca.hawaii.gov/ocp/files/2016/05/OCP-2016-0247.pdf,doTERRA International LLC,Mar-16,,,,,17315,Y,Y,Y,Y,,,Y
http://cca.hawaii.gov/ocp/files/2016/03/OCP-2016-0145.pdf,Bailey's Inc,Dec-11,,,15-Mar-16,,1319,,N,N,N,N,N,Y
http://cca.hawaii.gov/ocp/files/2016/02/OCP-2016-0087.pdf,Gryft Inc,3-Oct-15,3-Dec-15,18-Dec-15,5-Feb-16,,,N,Y,N,,N,Y,N
http://cca.hawaii.gov/ocp/files/2016/02/OCP-2016-0044.pdf,"Matson Navigation Company Inc, Horizon Lines",,7-Dec-15,,23-Dec-15,,1150,,Y,Y,Y,,Y,N
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0692.pdf,Digital Theatre LLC,,9-Oct-15,,2-Nov-15,,1453,N,Y,N,N,N,N,Y
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0631.pdf,Scottrade Inc,2013,,2014,2-Oct-15,,32778,Y,Y,Y,,,N,N
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0605.pdf,Costco,,17-Jun-15,,28-Sep-15,,4436,,,,,,,Y
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0602.pdf,Yapstone dba VacationRent Payment,15-Jul-14,4-Aug-15,5-Aug-15,15-Sep-15,,3486,Y,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0543.pdf,Hawaii First FCU,,1-Jun-15,,1-Sep-15,5965,5708,,Y,Y,N,N,N,N
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0447.pdf,UCLA Health,September 2014,5-May-15,,,,5446,Y,Y,Y,Y,N,N,N
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0419.pdf,"Automotive Recovery Services Inc, dba Vehicle Donation Processing Center",July 2012,1-Jun-15,May 2015,15-Jul-15,,1163,Y,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0207.pdf,Premera Blue Cross,5-May-14,29-Jan-15,,19-Mar-15,,,Y,Y,Y,Y,N,Y,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0104.pdf,Oahu Publications Inc,April 2014,,,15-Feb-18,,3543,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2015-0082.pdf,Anthem,10-Dec-14,29-Jan-15,27-Jan-15,12-Feb-15,,,N,Y,Y,Y,,,N
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-1045.pdf,Tham Enterprise Inc,7-Nov-14,,,18-Dec-14,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0884.pdf,Viator,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0839.pdf,The Home Depot Inc,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0767.pdf,The Northern Trust Co,,,,,,1267,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0113.pdf,The Variable Annuity Life Insurance Co,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2014-0039.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0790.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0775.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0770.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0653.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2012-1358.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2012-0353.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2011-0599.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2011-0545.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2011-0153.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2010-0017.pdf,,,,,,,,,,,,,,
http://cca.hawaii.gov/ocp/files/2015/12/OCP-2009-1374.pdf,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
