Respondent,Notification Sent,Breach Occurred,IN Affected,Total Affected,Status/Disposition
CameronMemorialCommunityHospital-DataBreach,6/21/2018,6/5/2018,1,1,Closed
CameronMemorialCommunityHospital-DataBreach,7/25/2018,5/30/2018,1,1,Closed
CameronMemorialCommunityHospital-DataBreach,4/5/2018,3/18/2018,1,1,Closed
CameronMemorialCommunityHospital-DataBreach,10/30/2018,10/25/2018,1,1,Closed
CameronMemorialCommunityHospital-DataBreach,12/12/2018,11/19/2018,1,1,Closed
CameronMemorialCommunityHospital-DataBreach,12/12/2018,12/7/2018,1,,Closed
CameronMemorialCommunityHospital-DataBreach,8/17/2018,7/23/2018,1,1,Closed
CameronMemorialCommunityHospital-DataBreach,10/30/2018,10/22/2018,1,1,Closed
CameronMemorialCommunityHospital-DataBreach,7/25/2018,6/14/2018,1,1,Closed
CanyonBakehouseLLC-DataBreach,4/9/2019,3/29/2017,223,"11,976",Open
CapitalCityBankGroupInc-DataBreach,1/22/2019,1/2/2019,5,"11,011",Closed
CareNewEngland-DataBreach,11/16/2018,10/29/2018,1,1,Closed
CenterstoneInsuranceandFinancialServicesdbaBenefitMall-DataBreach,1/4/2019,6/1/2018,88,"117,332",Closed
CentrelakeMedicalGroupInc-DataBreach,4/16/2019,1/9/2019,25,"197,661",Open
CenturionLandTitleInc-DataBreach,4/2/2019,11/16/2018,1048,1246,Open
CenturySpringCorp-DataBreach,1/8/2019,7/13/2018,57,2263,Closed
CernerCorporation-DataBreach,,,,,Open
CharBroilLLC-DataBreach,2/12/2019,1/24/2019,1,8,Closed
ChernLawLLC-DataBreach,1/25/2019,7/27/2018,543,"13,003",Open
CherrydaleFundraising-DataBreach,3/15/2019,10/28/2018,117,"13,061",Open
ChildrensAutismCenterInc-DataBreach,12/10/2018,11/29/2018,173,173,Open
ChildrensHomeSocietyofNorthCarolinaInc-DataBreach,2/28/2019,1/28/2019,3,748,Closed
CincinnatiRedsLLC-DataBreach,11/19/2018,3/17/2017,41,1863,Closed
CincinnatusSavingsandLoanCo-DataBreach,2/1/2019,5/3/2018,12,100,Closed
CitizensEquityFirstCreditUnion-DataBreach,2/27/2019,11/15/2018,1,175,Closed
CityofDekalb-DataBreach,4/24/2019,11/30/2018,8,1091,Open
CIVCOMedicalInstrumentsCoInc-DataBreach,2/15/2019,1/23/2019,1,166,Closed
CJProductsInc-DataBreach,2/15/2019,8/30/2017,179,6731,Closed
CMGroupHoldingsIncdbaCreativeMemories-DataBreach,4/1/2019,1/31/2019,26,1251,Open
CoastalRidgeRealEstatePartners-DataBreach,3/20/2019,1/12/2019,66,1044,Open
CoatesFieldService-DataBreach,4/25/2019,12/9/2018,2,4475,Open
CocktailKingdomLLC-DataBreach,3/5/2019,1/16/2019,1,40,Open
ColgateUniversity-Databreach,4/11/2019,1/19/2019,1,674,Open
ColorStreetLLC-DataBreach,2/5/2019,2/4/2019,13,389,Open
ColumbiaForestProducts-DataBreach,3/29/2019,9/8/2018,2,2391,Open
CombeIncorporated-DataBreach,2/28/2019,1/15/2019,3,240,Closed
CommunityCollegeofAlleghenyCounty-DataBreach,4/5/2019,3/27/2019,5,"4,180",Closed
CommunityHealthNetwork-DataBreach,1/23/2019,1/8/2019,1,1,Closed
CommunityHealthNetwork-DataBreach,3/7/2019,2/1/2019,1,1,Closed
CommunityHealthNetwork-DataBreach,3/12/2019,3/3/2019,1,1,Closed
CommunityPhysicianNetwork-DataBreach,4/24/2019,10/17/2018,1,1,Open
CommunityPhysiciansofIndianaInc-DataBreach,3/11/2019,8/24/2018,5,5,Closed
Conduent-DataBreach,12/17/2018,12/17/2018,1,1,Closed
ContinentalResourcesInc-DataBreach,2/27/2019,2/1/2019,1,45,Closed
ControlConsultantsInc-DataBreach,2/8/2019,3/1/2017,15,539,Closed
CorCleaningLLC-DataBreach,12/12/2018,8/30/2018,1,659,Closed
CourtSquareCapitalPartners-DataBreach,2/27/2019,2/15/2017,1,103,Open
CovenantCareCalifornia-DataBreach,3/20/2019,1/22/2019,622,10831,Open
CraneCreditUnion-DataBreach,3/12/2019,2/1/2019,1265,1265,Closed
CranvickIncorporateddbaEdoneandGraham-DataBreach,12/15/2018,11/7/2018,1,418,Closed
CremationSocietyofPennsylvaniaInc-dataBreach,3/15/2019,2/12/2019,21,"24,168",Closed
CryeLeikeInc-DataBreach,2/1/2019,11/30/2018,1,1857,Open
CUSOFinancialServicesLP-DataBreach,1/3/2019,12/19/2018,4,4,Closed
CWCapitalAssetManagement-DataBreach,2/27/2019,8/16/2018,1,283,Closed
DavidEBenesonDPM-DataBreach,3/29/2019,,7,,Open
DawnFoodProductsInc-DataBreach,,,3,,Closed
DeaconessHospital-DataBreach,3/28/2019,3/23/2019,1,1,Closed
DeaconessHospital-DataBreach,,,,,Closed
DEFENDERSInc-DataBreach,1/31/2019,8/1/2018,1090,3382,Open
DeltaDentalofIllinois-DataBreach,4/16/2019,12/21/2018,154,5092,Open
DeltaDentalofWisconsin-DataBreach,1/14/2019,12/14/2018,4,416,Closed
DevereuxFoundation-DataBreach,2/22/2019,1/30/2019,1,752,Closed
DiGiovineHniloJordanJohnsonLtd-DataBreach,1/17/2019,4/23/2018,32,3173,Closed
DiPardoEremicandCoPC-DataBreach,2/25/2019,,2,1098,Open
DirectDistributorsInc-DataBreach,2/21/2019,1/1/2018,40,2437,Closed
DirectScripts-DataBreach,2/22/2019,1/30/2019,15,9319,Closed
DiscipleshipMinistries-DataBreach,3/8/2019,8/10/2018,4,89,Closed
DollarGeneralCorporation-DataBreach,1/21/2019,12/24/2018,1,33,Closed
DonBestCorporationaScientificGamesCorporation-DataBreach,2/6/2019,10/12/2018,870,"58,000",Closed
DrTavelFamilyEyeCare-DataBreach,,,,,Closed
DrBenLunchLLC-DataBreach,12/17/2018,9/8/2018,5,392,Closed
DrDeLucaDrMarcianoandAssociatesPC-DataBreach,1/25/2019,11/29/2018,2,"23,578",Closed
DrTYStevenIpMDFACS-DataBreach,4/18/2019,2/6/2019,2,6326,Open
DukeUniversity-DataBreach,4/9/2019,1/1/2013,4,1491,Open
EarlEnterprises-DataBreach,3/29/2019,5/23/2018,,,Open
eClinicalWorksLLP-DataBreach,,,,,Open
EdmondsonBetzlerandDamePLLC-DataBreach,3/28/2019,3/17/2018,4,579,Open
EisaiInc-DataBreach,3/27/2019,1/22/2019,1,110,Closed
ElectroSavingsCreditUnion-DataBreach,4/12/2019,1/31/2019,2,979,Open
ElevateStudiosInc-DataBreach,4/10/2019,3/29/2019,1,24,Closed
EmCareInc-DataBreach,,,4,,Open
EmersonHospital-DataBreach,3/8/2019,5/9/2018,1,"6,314",Closed
EnservioInc-DataBreach,1/9/2019,6/5/2018,3,490,Closed
EnvironmentalGraphicsLLCdbaMuralsYourWay-DataBreach,2/22/2019,1/16/2019,2,109,Closed
EpiscopalChildrensServicesInc-DataBreach,4/3/2019,2/6/2019,5,1632,Closed
EpiscopalHealthServices-DataBreach,4/18/2019,8/28/2018,1,"218,055",Open
ErnestHealth-DataBreach,4/15/2019,10/8/2018,9,7037,Open
EskenaziHealth-DataBreach,1/4/2019,,1,1,Closed
EurofinsNSCUSInc-DataBreach,10/12/2018,10/2/2018,1,64,Closed
EvergreenAllianceGolfLimitedLP-DataBreach,2/25/2019,8/15/2018,9,"14,888",Closed
ExamOne-DataBreach,,,,,Open
EyeBuyDirectInc-DataBreach,3/18/2019,2/24/2019,16,797,Closed
FamilyandSocialServicesAdministration-DataBreach,4/3/2019,3/29/2019,1,1,Closed
FamilyandSocialServicesAdministration-DataBreach,4/10/2019,4/2/2019,1,1,Closed
FarmBureauLifeInsuranceCompanyofMichigan-DataBreach,2/19/2019,12/19/2018,13,157,Open
FellowshipofCatholicUniversityStudents-DataBreach,3/29/2019,1/13/2019,45,1777,Open
FirstBankofAlabama-dataBreach,3/27/2019,9/6/2018,6,"8,700",Open
FirstCommerceBank-DataBreach,4/5/2019,5/13/2017,5,2988,Closed
FirstMerchantsBank-DataBreach,,,1,1,Closed
FirstSavingsBank-DataBreach,12/19/2018,10/16/2018,2,12,Closed
FirstLeaseInc-DataBreach,2/15/2019,9/6/2018,5,670,Closed
FiveBelowInc-DataBreach,2/14/2019,11/13/2018,1762,"56,102",Open
flexPATHStrategiesLLC-DataBreach,3/15/2019,12/7/2018,1379,"91,769",Open
FloridaInternationalUniversity-DataBreach,3/22/2019,3/12/2019,1,5754,Open
ForterraPipeandPrecastLLC-DataBreach,4/2/2019,1/17/2018,1,763,Open
FourSeasonsFinancialGroupInc-DataBreach,2/21/2019,11/7/2018,2,2350,Closed
FranciscanAllianceInc-DataBreach,1/8/2019,10/31/2018,4,4,Closed
FranciscanHealthMichiganCity-DataBreach,3/16/2018,1/19/2018,1,1,Closed
FranciscanPhysicianNetwork-DataBreach,3/26/2019,11/26/2018,1,2,Closed
FranciscanPhysicianNetwork-DataBreach,4/11/2019,2/18/2019,3,3,Open
FranciscanAllianceInc-DataBreach,2/22/2019,12/26/2018,3,3,Closed
GeneralDynamicsInformationTechnology-DataBreach,12/28/2018,10/31/2018,242,8239,Closed
GillespiePropertyManagementInc-DataBreach,3/21/2019,10/1/2018,7,917,Open
GoldenLionOperationsInc-DataBreach,1/30/2019,6/6/2018,66,3741,Closed
GraetersIceCream-DataBreach,1/15/2019,6/28/2018,217,"11,030",Closed
GrafandSonsInc-DataBreach,2/6/2019,1/19/2019,34,1243,Closed
GrayInc-DataBreach,8/29/2018,4/1/2018,2,579,Closed
HCarsonSmithIVPC-DataBreach,4/5/2019,10/2/2018,3,1465,Closed
HammerNutrition-DataBreach,12/14/2018,1/1/2018,570,"33,269",Closed
HanoverCollege-DataBreach,3/1/2019,6/30/2018,78,138,Open
HarlandClarkeCorp-DataBreach,3/12/2019,1/30/2019,6,230,Closed
HarrisAssociatesLP-DataBreach,4/5/2019,6/4/2018,2,82,Closed
HealthandSafetySciencesLLC-DataBreach,4/12/2019,11/13/2018,6,128,Closed
HealthandHospitalCorporationofMarionCountydbaBrownsburgMeadows-DataBreach,3/26/2019,3/3/2019,1,1,Closed
HealthandHospitalCorporationofMarionCounty-DataBreach,3/13/2019,2/20/2019,1,1,Closed
HealthRecoveryServicesInc-DataBreach,4/5/2019,11/14/2018,3,"20,485",Open
HeartlandFoodProductsLLC-DataBreach,1/10/2019,11/19/2018,2,59,Closed
HelenofTroyLP-DataBreach,2/4/2019,11/30/2018,2,203,Closed
HoosierStampingManufacturingCorporation-DataBreach,1/11/2019,7/3/2018,18,819,Closed
HopeCollege-DataBreach,4/24/2019,1/19/2019,1,10,Open
HotLineConstructionInc-DataBreach,4/24/2019,10/25/2018,9,2812,Open
Hourglass-DataBreach,2/15/2019,7/3/2018,139,"9,626",Closed
HPECapitalManagementIILLC-DataBreach,1/22/2019,4/1/2018,7,405,Closed
HuddleHouseInc-DataBreach,2/1/2019,8/1/2017,,,Open
IllinoisHealthandSciencedbaZevacorMolecular-DataBreach,4/23/2019,11/19/2018,41,68,Open
ImageINationTechnologiesInc-DataBreach,1/30/2019,11/1/2018,"13,231","430,139",Open
IndianaBureauofMotorVehicles-DataBreach,2/1/2019,1/30/2019,1,1,Closed
IndianaBureauofMotorVehicles-DataBreach,3/7/2019,2/22/2019,1,1,Closed
IndianaBureauofMotorVehicles-DataBreach,3/7/2019,2/28/2019,2,2,Closed
IndianaBureauofMotorVehicles-DataBreach,,11/27/2018,1,1,Closed
IndianaDepartmentofEnvironmentalManagement-DataBreach,,9/12/2007,1,1,Closed
IndianaDepartmentofInsurance-DataBreach,,,,,Closed
IndianaDepartmentofWorkforceDevelopment-DataBreach,3/4/2019,2/26/2019,2,2,Closed
IndianaDepartmentofWorkforceDevelopment-DataBreach,4/11/2019,4/8/2019,1,1,Closed
IndianaDepartmentofWorkforceDevelopment-DataBreach,1/11/2019,1/7/2019,1,1,Closed
IndianaSecretaryofState-DataBreach,3/15/2019,3/14/2019,1,1,Closed
IndianaStateUniversity-DataBreach,2/13/2019,10/16/2018,1047,1456,Open
IndianaUniversityHealthInc-DataBreach,12/17/2018,12/4/2018,1,1,Closed
IndianaUniversityHealthInc-DataBreach,2/7/2019,11/6/2018,10,10,Closed
IndianapolisPrivateIndustryCouncildbaEmployIndy-DataBreach,2/26/2019,2/9/2019,1,1,Closed
InternationalEZUpInc-DataBreach,1/11/2019,5/11/2018,126,6395,Open
InternationalVaporGroup-DataBreach,3/12/2019,1/18/2018,179,"7,656",Open
IntuitInc-DataBreach,12/12/2018,11/20/2018,3,3,Closed
IntuitInc-DataBreach,2/26/2019,1/29/2019,25,25,Closed
IntuitInc-DataBreach,3/12/2019,2/21/2019,6,6,Closed
IntuitInc-DataBreach,2/7/2019,1/11/2019,1,1,Closed
IntuitInc-DataBreach,4/16/2019,4/7/2019,15,15,Open
IntuitInc-DataBreach,3/26/2019,3/11/2019,7,7,Closed
iSalusHealthcare-DataBreach,,,,,Open
JamesPerseEnterprisesInc-DataBreach,3/13/2019,2/9/2019,1,684,Closed
JANDIncdbaWarbyParker-DataBreach,12/20/2018,9/25/2018,454,"197,986",Open
JeepCountryFederalCreditUnion-DataBreach,2/8/2019,1/28/2019,1,756,Closed
JensenEnterprisesIncdbaJensenPrecast-DataBreach,1/11/2019,8/23/2018,1,2600,Closed
JobscienceInc-DataBreach,4/4/2019,4/1/2018,1067,"1,750,302",Open
JocorEnterprisesLLCdbaVolcanoeCigs-DataBreach,4/16/2019,2/13/2019,31,1998,Open
JohnHancockFinancialNetwork-DataBreach,3/22/2019,8/15/2018,125,777,Open
KatzSapperandMiller-DataBreach,2/8/2019,11/11/2018,"5,766","9,666",Closed
KenraProfessional-DataBreach,4/3/2019,3/4/2019,418,969,Open
KentuckyYouthAdvocatesInc-DataBreach,,,,,Closed
KestraInvestmentServicesLLC-DataBreach,12/20/2018,11/1/2018,231,4972,Closed
KeyWestHotelsLLC-DataBreach,4/1/2019,2/7/2018,,"18,000",Open
LandMFleetSupplyInc-DataBreach,4/23/2019,12/5/2018,100,4952,Open
LafayetteRegionalRehabHospital-DataBreach,4/15/2019,10/8/2018,301,7037,Open
LancasterArcherySupplyInc-DataBreach,4/25/2019,7/4/2018,"1,056","53,345",Open
LCPTransportationLLC-DataBreach,,7/30/2018,,,Open
LifeEquityLLC-DataBreach,3/27/2019,11/13/2018,2,361,Open
LincolnFinancialGroup-DataBreach,2/21/2019,12/19/2018,7,1836,Closed
LincolnFinancialGroup-DataBreach,12/31/2018,12/11/2018,2,2,Closed
LittleRockCancerClinicPA-DataBreach,3/11/2019,1/10/2019,2,3078,Closed
LittleSistersofthePoor-DataBreach,,,,,Closed
LogansportMemorialHospital-DataBreach,3/14/2019,2/21/2019,99,3,Open
LPLafayetteLLC-DataBreach,1/10/2019,11/18/2018,1,1,Closed
LPLFinancialLLC-DataBreach,12/19/2018,11/26/2018,1,1,Closed
LPRConstruction-DataBreach,2/25/2019,3/1/2018,3,1463,Closed
LutheranLifeCommunities-DataBreach,1/28/2019,12/5/2018,731,4799,Closed
MadisonCountyCommunityHealthCenter-DataBreach,,,,,Open
ManningandAssociatesCertifiedPublicAccountantsLLC-DataBreach,2/22/2019,1/14/2019,37,1700,Closed
MarathonPetroleumCompanyLP-DataBreach,4/8/2019,11/28/2018,86,1287,Open
marchFIRST-DataBreach,12/27/2018,8/7/2018,75,"2,123",Closed
MaritimeAssociationILAPensionRetirementWelfareandVacationFunds-DataBreach,2/19/2019,11/19/2018,4,,Open
MarquetteManagement-DataBreach,2/7/2019,10/3/2018,71,1917,Closed
MarylandInstituteCollegeofArt-DataBreach,3/27/2019,9/28/2018,3,340,Closed
MassachusettsMutualLifeInsuranceCompany-DataBreach,3/27/2019,3/4/2019,1,1,Closed
MBFinancialBankNA-DataBreach,3/21/2019,6/21/2017,5,379,Open
MedicalInnovationsLLC-DataBreach,,,,,Closed
MercerGlobalAdvisorsInc-DataBreach,3/20/2019,12/6/2018,8,239,Open
MercyHealthCorporation-DataBreach,1/7/2019,5/8/2018,1,899,Closed
MerrickBankCorporation-DataBreach,4/12/2019,3/8/2019,68,2612,Open
MiddleTennesseeSchoolofAnesthesia-DataBreach,2/14/2019,1/1/2012,28,2400,Closed
MikhailEducationCorporation-DataBreach,4/12/2019,3/20/2019,2,2237,Open
UnknownRespondent,,,,,Closed
MooreCollegeofArtandDesign-DataBreach,2/5/2019,1/30/2019,2,677,Closed
MorganDistributionInc-DataBreach,2/19/2019,1/6/2019,14,17,Closed
MorningPointec/oDataFactsInc-DataBreach,1/18/2019,10/19/2018,1,52,Closed
MuskegonCarCreditInc-DataBreach,4/11/2019,2/1/2019,2,133,Closed
NationalCouncilofStateBoardsofNursing-DataBreach,2/20/2019,,1,1282,Closed
NationwideChildrensHospital-DataBreach,2/22/2019,12/24/2018,1,34,Closed
NCHCorporation-DataBreach,1/25/2019,1/1/2016,91,4171,Closed
NewBitVenturesLTD-DataBreach,2/20/2019,12/9/2018,"4,774","150,000",Open
North40Outfitters-DataBreach,2/14/2019,2/2/2018,255,"18,957",Closed
NorthLawrenceCommunitySchools-DataBreach,1/14/2019,11/1/2018,487,487,Closed
NorthernSuburbanSpecialEducationDistrict804-DataBreach,3/8/2019,1/30/2019,1,758,Closed
NovaSoutheasternUniversity-DataBreach,1/25/2019,9/1/2018,3,4681,Closed
NussliUSLLC-DataBreach,1/4/2019,12/4/2018,93,120,Closed
OfficeoftheIndianaAttorneyGeneral-DataBreach,2/26/2019,2/23/2019,2,2,Closed
OhioRuralElectricCooperativesIncBuckeyePowerInc-DataBreach,3/15/2019,2/14/2019,14,1227,Closed
OnCourseLearningCorporation-DataBreach,3/8/2019,6/11/2018,42,"5,600",Closed
OneMainFinancial-DataBreach,3/21/2019,7/21/2012,3,465,Open
ORNursesCredentialingDataFactsInc-DataBreach,1/18/2019,10/19/2018,1,95,Closed
OrionRealEstateServices-DataBreach,3/12/2019,2/19/2019,1,982,Closed
OrthoClinicalDiagnosticsInc-DataBreach,4/5/2019,3/8/2019,1,12,Closed
PalmettoHealth-DataBreach,3/29/2019,,2,,Open
PeggyBrowningFund-DataBreach,2/12/2019,12/19/2018,1,51,Closed
PharmacaIntegrativePharmacyInc-DataBreach,1/18/2019,7/19/2018,,"15,000",Closed
PhillipCapitalInc-DataBreach,2/21/2019,2/28/2018,83,"7,069",Closed
PieFivePizza-DataBreach,4/5/2019,9/6/2018,,,Closed
PiechSalesCompanyLLCdbaValuePetSuppliescom-DataBreach,12/17/2018,6/7/2018,208,"11,972",Closed
PowerPerformanceEnterprisesInc-DataBreach,4/23/2019,12/19/2018,3,55,Open
PriceIndustriesInc-DataBreach,3/19/2019,2/14/2019,11,"6,928",Open
PrimeLifeFibersInc-DataBreach,1/18/2019,11/6/2018,3,273,Closed
PrincipalLifeInsuranceCompany-SecurityBreach,3/19/2019,3/11/2019,9,98,Closed
PrintEZInc-DataBreach,2/15/2019,9/1/2016,Unk,Unk,Closed
PureHavenLLC-DataBreach,4/15/2019,2/7/2019,1,49,Closed
RasmussenCollegeInc-DataBreach,3/12/2019,10/1/2018,1,198,Closed
ReedsJewelersInc-DataBreach,2/26/2019,11/1/2018,1,23,Closed
RehabilitationHospitalofIndiana-DataBreach,,2/15/2019,24,24,Closed
ReliantRehabilitation-DataBreach,1/16/2019,9/13/2018,112,8608,Open
RennlineAutomotive-DataBreach,2/21/2019,5/28/2018,25,2540,Closed
ResidentialCareXILLCdbaAllisonvilleMeadowsAssistedLiving-DataBreach,4/12/2019,3/15/2019,1,1,Closed
ResMan-DataBreach,1/17/2019,2/8/2017,2,93,Open
RevolutionFoodsInc-DataBreach,4/26/2019,1/31/2019,1,157,Open
RevolutionPartsInc-DataBreach,1/23/2019,11/8/2018,36,2190,Closed
RGHoldCoLLC-DataBreach,2/15/2019,4/1/2018,2,624,Open
Rickers-DataBreach,4/25/2019,3/11/2019,,2070,Open
RightAtSchoolLLC-DataBreach,3/1/2019,2/18/2019,1,1946,Closed
RiverplaceCounselingCenterInc-DataBreach,4/11/2019,,2,,Open
RubberliteInc-DataBreach,3/14/2019,12/1/2018,1,16,Closed
RunSignUpInc-DataBreach,4/18/2019,3/4/2019,9,222,Open
RyderSystemInc-DataBreach,2/12/2019,1/15/2019,51,58,Closed
SanAntonioWineryInc-DataBreach,2/26/2019,11/13/2018,2,565,Closed
SecurityNationalMortgageCompany-DataBreach,2/15/2019,12/4/2018,69,310,Open
SensataTechnologies-DataBreach,1/31/2019,1/2/2019,6,2379,Closed
SheetMetalWorkersLocalUnionNo104-DataBreach,3/19/2019,2/5/2019,3,5047,Open
SigmaFinancialCorporation-DataBreach,,,1,,Open
SouthCentralBankInc-DataBreach,12/17/2018,10/18/2018,10,1573,Closed
SouthwestWisconsinTechnicalCollege-DataBreach,3/21/2019,1/19/2019,1,16,Closed
SpecialOlympicsKentucky-DataBreach,12/17/2018,4/17/2018,40,2567,Closed
SpectrumBusinessResources-DataBreach,3/20/2019,11/6/2018,4,326,Closed
StElizabethHealthcare-DataBreach,3/7/2019,2/5/2019,283,"9,727",Open
StairGalleriesandRestorationInc-DataBreach,3/11/2019,6/5/2018,1,450,Closed
StanadyneLLC-DataBreach,2/15/2019,9/22/2018,18,1142,Closed
StanwichMortgageLoanTrustACandD-DataBreach,2/12/2019,2/1/2018,"1,210","53,829",Open
StateFarmMutualAutomobileInsuranceCompany-DataBreach,4/5/2019,2/28/2019,2,2,Closed
StatePersonnelBenefitsDivision-DataBreach,4/17/2019,4/15/2019,2,2,Open
StrongRockChristianSchool-DataBreach,3/7/2019,8/24/2018,1,927,Closed
SunquestInformationSystemsInc-DataBreach,12/6/2018,11/6/2018,2,600,Closed
SuperiorDentalCare-DataBreach,3/25/2019,12/21/2018,778,"38,300",Open
SymantecCorporation-DataBreach,12/14/2018,3/8/2018,2,30,Closed
SymmetryMedicalDBATecometDataFactsInc-DataBreach,1/18/2019,10/19/2018,34,40,Closed
TecumsehAreaPartnershipInc-DataBreach,12/28/2018,11/19/2018,1985,2003,Open
TEMPTUInc-DataBreach,3/4/2019,11/1/2018,24,1268,Closed
TheArchdioceseofIndianapolis-DataBreach,3/11/2019,11/9/2018,2,2,Open
TheCityofTopeka-DataBreach,12/17/2018,10/31/2018,1,"10,000",Closed
TheClevelandClinicFoundation-DataBreach,12/14/2018,2/23/2018,2,104,Closed
TheGeilerCompany-DataBreach,1/10/2019,12/10/2018,13,158,Closed
TheGuardianLifeInsuranceCompanyofAmerica-DataBreach,4/10/2019,2/4/2019,1,1,Open
TheHartfordFinancialServicesGroupInc-DataBreach,,2/7/2019,1258,"43,000",Open
TheNorthwesternMutualLifeInsuranceCompany-DataBreach,1/17/2019,1/8/2019,2,2,Closed
ThePrudentialInsuranceCompanyofAmerica-DataBreach,3/18/2019,1/26/2019,1,1,Closed
ThePrudentialInsuranceCompanyofAmerica-DataBreach,11/27/2018,10/19/2018,4,113,Closed
TheRyanCompanies-DataBreach,3/28/2019,2/8/2019,3,1124,Open
TheSalvationArmy-DataBreach,3/18/2019,6/1/2015,1,133,Open
TheShubertOrganizationInc-DataBreach,4/12/2019,2/8/2019,1,2358,Open
TheToppsCompanyInc-DataBreach,2/22/2019,11/19/2018,122,"5,700",Closed
TheUnionLaborLifeInsuranceCompany-DataBreach,2/14/2019,1/14/2019,4,32,Closed
ThesyLLC-DataBreach,11/2/2018,12/6/2017,"8,946","226,000",Open
