Case Number,Breached Entity Name,Breach type,Hawaii Residents Impacted,Link to Letter,Date Notified
OCP-2013-0770,"J.P. Morgan Chase Bank, N.A.",Hackers/Unauthorized Access,"3,903",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0770.pdf,12/9/2013
OCP-2013-0653,Adobe Systems,Hackers/Unauthorized Access,"9,439",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2013-0653.pdf,10/9/2013
OCP-2012-1358,"State of South Carolina, Dept. of Revenue",Phishing,"2,394",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2012-1358.pdf,11/28/2012
OCP-2012-0353,"Trident University c/o Baker Hostetler, LLP",Hackers/Unauthorized Access,"1,423",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2012-0353.pdf,2/21/2012
OCP-2011-0599,ABM Industries Incorporated,"Stolen Laptops, Computers & Equipment","1,523",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2011-0599.pdf,4/19/2011
OCP-2011-0545,"Health Net, Inc",Lost in Transit,"1,175",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2011-0545.pdf,3/17/2011
OCP-2011-0153,Pentagon Federal Credit Union,Hackers/Unauthorized Access,"2,916",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2011-0153.pdf,1/3/2011
OCP-2010-0017,Lincoln Financial Advisors Corporation (LFA & LFS),Hackers/Unauthorized Access,"2,100",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2010-0017.pdf,1/5/2010
OCP-2009-1374,"Network Solutions, Inc",Hackers/Unauthorized Access,"2,350",http://cca.hawaii.gov/ocp/files/2015/12/OCP-2009-1374.pdf,8/5/2009
OCP-2008-1040,"Wyndham Hotels and Resorts, LLC",Hackers/Unauthorized Access,"1,000",Not available,10/14/2008
OCP-2008-0755,Punahou School,"Stolen Laptops, Computers & Equipment","2,067",Not available,6/27/2008
OCP-2008-0692,"24 Hour Fitness USA, Inc","Stolen Laptops, Computers & Equipment","1,506",Not available,7/11/2008
OCP-2008-660,National Western Life Insurance Company,Release/Display of Information,"1,011",Not available,6/26/2008
OCP-2008-0426,Lending Tree,Data Theft by Employee or Contractor,"8,368",Not available,4/18/2008
OCP-2008-0002,GE Money-Americas,Data Theft by Employee or Contractor,"1,181",Not available,12/27/2007
OCP-2007-1537,Gap Inc,"Stolen Laptops, Computers & Equipment","2,100",Not available,9/28/2009
OCP-2007-1357,TD Ameritrade,Hackers/Unauthorized Access,"33,157",Not available,9/14/2007
OCP-2007-1017,"Walt Disney Company, The dba Buena Vista Catalogue Company",Data Theft by Employee or Contractor,"2,457",Not available,7/13/2007
OCP-2007-0991,"Fidelity National Information Services, Inc dba FIS",Data Theft by Employee or Contractor,"6,000",Not available,7/4/2007
