Organization Name,Date(s) of Breach,End of Breach,Reported Date,Number of Potentially Affected Delaware Residents,Sample of Notice
Earl Enterprises,5/23/2018,3/18/2019,3/29/2019,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Earl-Enterprises-Website-and-Media-Notice.pdf
Pie Five Pizza,9/7/2018,12/2/2018,4/5/2019,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Pie-Five-Pizza-Sample-Notice.pdf
ShareThis Inc.,Jul-18,,2/28/2019,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/ShareThis-Consumer-Notice.pdf
Starr Insurance Holdings Inc.,4/24/2018,,5/24/2018,1,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/Starr-Insurance-Holdings-Sample-Notice.pdf
SEIU Local 32BJ,11/13/2017,11/14/2017,5/26/2018,1015,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/SEUI-Local-32BJ-Sample-Notice.pdf
MedEvolve,3/29/2018,5/4/2018,7/10/2018,10565,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/08/Medevolve-sample-letter.pdf
Hartford Life and Accident Ins. Co,Feb-19,,2/8/2019,1393,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Notice-to-Consumers-The-Hartford.pdf
Vitalize LLC d/b/a Bodybuilding.com,18-Jul,19-Mar,4/24/2019,17100,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/06/Vitalize-LLC-Customer-Notice.pdf
CNG Financial Corp,7/11/2018,7/16/2018,8/15/2018,2635,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/08/CNG-Financial-Corp-Sample-Notice.pdf
Transamerica,17-Mar,18-Jan,6/1/2018,3,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/Transamerica-Sample-Notice.pdf
Elmcroft Senior Living Inc.,5/10/2018,5/12/2018,6/8/2018,30,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/Elmcroft-Senior-Living-Sample-Notice.pdf
ATI Holdings LLC.,1/9/2018,1/12/2018,6/21/2018,4272,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/07/ATI-Holdings-LLC-Sample-Notice.pdf
,2/26/2018,3/15/2018,,,
TaskRabbit Inc.,4/11/2018,,5/14/2018,4747,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/TaskRabbit-Sample-Notice.pdf
Performance Food Group,Unknown,,9/19/2018,575,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/09/Performance-Food-Group-Notice.pdf
CPT Group Inc.,11/22/2017,12/8/2017,5/8/2018,690,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/CPT-Group-Sample-Notice.pdf
Delta Air Lines Inc.,9/26/2017,10/12/2017,4/11/2018,763,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/05/Delta-Airlines-Data-Breach-Sample-Consumer-Notice.pdf
Animoto Inc,7/10/2018,,8/16/2018,8842,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/08/Animoto-Inc.-Data-Breach-notice.pdf
Tech Rabbit LLC,2/22/2017,5/22/2018,9/21/2018,817,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/09/Tech-Rabbit-LLC-Sample-Notice-of-Security-Incident.pdf
CBS Interactive,1/1/2018,5/16/2018,5/25/2018,847,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/CBS-Interactive-Sample-Notice.pdf
ComplyRight Inc.,4/20/2018,5/22/2018,7/12/2018,888,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/08/ComplyRight-Sample-Notice.pdf
Brinker International,18-Mar,18-Apr,5/18/2018,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/05/Brinker-Chilis-Data-Breach-Notice.pdf
Cheddar’s Scratch Kitchen,11/3/2018,1/2/2018,8/22/2018,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/08/Cheddars-Notification.pdf
Hudson’s Bay Company,7/1/2017,3/31/2018,4/26/2018,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/05/Hudsons-Bay-Company-Data-Breach-Sample-Notice.pdf
Jand Inc d/b/a/Warby Parker,25-Sep,11/26/2018,12/20/2018,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2019/02/WarbyParker.pdf
MyHeritage Ltd.,10/26/2017,,6/15/2018,Unknown,https://attorneygeneral.delaware.gov/wp-content/uploads/sites/50/2018/06/MyHeritage-Sample-Notice.pdf
