Raw Data,Data Pulled
"Agenus, April 19, 2016 ",1/18/2019
"Agri Beef Co.May 11, 2017 ",1/18/2019
"AHW LLC, November 11, 2013 ",1/18/2019
"AHW LLC, May 22 2013 ",1/18/2019
"AirBorn, Inc., June 13 2014 ",1/18/2019
"AIM, Inc., April 2, 2016 ",1/18/2019
"Ambridge Hospitality Holdings, LLC, January 3, 2019 ",1/18/2019
"Aimbridge Hospitality Holdings, LLC, June 07, 2018 ",1/18/2019
"Air Canada, August 31, 2018 ",1/18/2019
"Airway Oxygen, Inc., June 02, 2017 ",1/18/2019
"Airway Oxygen, Inc., May 30, 2017 ",1/18/2019
"Akira, September 01, 2017 ",1/18/2019
"Akorn, Inc., June 04, 2015 ",1/18/2019
"Alaska Airlines, May 03, 2018 ",1/18/2019
"Alaska Communications Systems Holdings, Inc., February 24, 2014 ",1/18/2019
"Alere Home Monitoring, Inc., October 30, 2012 ",1/18/2019
"Alfa Specialty Insurance Corporation and Alfa Vision Insurance Corporation, July 10, 2015 ",1/18/2019
"Alin Machining Company Inc dba Power Plant Services, January 12, 2015 ",1/18/2019
"Alliance Workplace Solutions, LLC, October 24, 2014 ",1/18/2019
"AlliedBarton Security Services LLC, July 16, 2013 ",1/18/2019
"Allied Minds, LLC, February 24, 2017 ",1/18/2019
"Alpha Industries, Inc., October 26, 2017 ",1/18/2019
"Alpha Industries, Inc., October 02, 2017 ",1/18/2019
"Alpha Payroll Services, LLC, April 29, 2016 ",1/18/2019
"Alta Ski Lifts, Co., March 09, 2015 ",1/18/2019
"Alton Lane, January 10, 2018 ",1/18/2019
"Altrec, Inc., May 24, 2012 ",1/18/2019
"AM2 Enterprises, LLC, September 19, 2017 ",1/18/2019
"AMB Industries, April 14, 2011 ",1/18/2019
"Ambassador Title Service and Accurate Title Company, February 28, 2017 ",1/18/2019
"Amedisys, Inc., March 02, 2015 ",1/18/2019
"American Esoteric Laboratories (AEL), April 20, 2018 ",1/18/2019
"American Express Travel Related Services Company, Inc., March 22, 2018 ",1/18/2019
"American Friends Service Committee, August 21, 2017 ",1/18/2019
"American Institute of Aeronautics and Astronautics, August 20, 2018 ",1/18/2019
"American Pharmacists Association, July 09, 2012 ",1/18/2019
"American Residuals and Talent, Inc., December 02, 2014 ",1/18/2019
"American Stock Transfer & Trust Company, LLC, April 13, 2012 ",1/18/2019
"American Stock Transfer & Trust Company, LLC, February 14 2012 ",1/18/2019
"American Tire Disttributors Holdings, Inc., March 17, 2017 ",1/18/2019
"American Tool Supply, November 19, 2012 ",1/18/2019
"AmeriPride Services, Inc., February 26, 2016 ",1/18/2019
"Ameriprise Financial Services, Inc, December 18, 2018 ",1/18/2019
"Ameriprise Financial Services, Inc., July 13, 2017 ",1/18/2019
"Ameriprise Financial Services, Inc., April 06, 2017 ",1/18/2019
"Ameriprise Financial Services, Inc., March 14, 2017 ",1/18/2019
"Ameriprise Financial Services, Inc., December 21, 2016 ",1/18/2019
"Ameriprise Financial Services, Inc., June 13, 2016 ",1/18/2019
"Ameriprise Financial Services, Inc., November 25, 2015 ",1/18/2019
"Ameriprise Financial Services, Inc., February 06, 2015 ",1/18/2019
"Ameriprise Financial Services, Inc., November 13 2012 ",1/18/2019
"Ameriprise Financial Services, Inc., February 12, 2010 ",1/18/2019
"Ameritrade Security, September 13, 2007 ",1/18/2019
"Amplify Education, Inc., February 16, 2017 ",1/18/2019
"AMR Resorts, December 15, 2014 ",1/18/2019
"AmTote, February 06, 2017 ",1/18/2019
"Anchor Loans, December 09, 2016 ",1/18/2019
"Anderson, Bagley & Mayo Insurance Agency, Inc. (""AB&M""), November 09, 2018 ",1/18/2019
"Anderson & Murison, Inc., October 31, 2014 ",1/18/2019
"Anderson & Murison, Inc., August 07, 2014 ",1/18/2019
"Anderson & Vreeland, Inc., June 28, 2018 ",1/18/2019
"Andrews, CPA, LLC (Mark F.) August 24, 2017 ",1/18/2019
"Angliss & Colohan, PC, May 30, 2017 ",1/18/2019
"AnnieMac Home Mortgage, February 16, 2018 ",1/18/2019
"Another Planet Entertainment, October 03, 2018  ",1/18/2019
"Anthem Blue Cross and Blue Shield, February 18, 2015 ",1/18/2019
"Anthem Blue Cross and Blue Shield, March 14, 2013 ",1/18/2019
"Anthem, Inc., June 01, 2015 ",1/18/2019
"Anthem McDermott BlueCross BlueShield Medical Plan, March 125, 201 ",1/18/2019
"Anthem McDermott BlueCross, BlueShield Medical Plan, February 27, 2015 ",1/18/2019
"Anthem Blue Cross Blue Shield of MA, March 20, 2015 ",1/18/2019
"Appen Butler Hill, Inc., January 05. 2018 ",1/18/2019
"Apple America Group LLC, March 15, 2015 ",1/18/2019
"Apple, June 16, 2011 ",1/18/2019
"Apple Leisure Group, December 15, 2014 ",1/18/2019
"Applied Micro Circuits Corp., March 24, 2011 ",1/18/2019
"Applied Systems, Inc., March 07, 2016 ",1/18/2019
"Apria Healthcare, Inc., October 20, 2016 ",1/18/2019
"Apria Healthcare, Inc. September 27, 2012 ",1/18/2019
"Apria Healthcare, Inc., August 15, 2012 ",1/18/2019
"Aptos, August 24, 2017 ",1/18/2019
"Aptos, April 28, 2017 ",1/18/2019
"Aptos, April 04, 2017 ",1/18/2019
"Aptos, March 10, 2017 ",1/18/2019
"Aptos, March 08, 2017 ",1/18/2019
"Aptos, March 03, 2017 ",1/18/2019
"Aptos, February 25, 2017 ",1/18/2019
"Aqua-Aston Hospitality, LLC, July 06, 2017 ",1/18/2019
"Arabella Advisors, LLC, February 22, 2017 ",1/18/2019
"Argotec, August 12, 2013 ",1/18/2019
"ARIAD Pharmaceuticals, Inc., May 31, 2016 ",1/18/2019
"Arizona Central Credit Union (Experian), June 08, 2012 ",1/18/2019
"Arrow Electronics, Inc., March 03, 2010 ",1/18/2019
"Art of Tea, December 31, 20144 ",1/18/2019
"Asbury Communities, Inc., February 09, 2017 ",1/18/2019
"Ascena Retail Group, Inc., December 17, 2014 ",1/18/2019
"Ascensus, Inc., July 27, 2011 ",1/18/2019
"Ashland University, February 24, 2017 ",1/18/2019
"ASI Construction LLC, March 01, 2018 ",1/18/2019
"Assisted Living Concepts, March 28, 2014 ",1/18/2019
"Assisted Living Concepts, February 26, 2014 ",1/18/2019
"Astadia, Inc., February 06, 2017 ",1/18/2019
"Asure Software, April 07, 20166 ",1/18/2019
"Asurint, December 03, 2018 ",1/18/2019
"Athletic Clubs of America, Inc., January 31, 2017 ",1/18/2019
"Atlanta Falcons Football Club, LLC, October 21, 2016 ",1/18/2019
"Atlantic Automotive Corp. dba MileOne, Inc., June 10, 2014 ",1/18/2019
"Atlantic Cigar Company LLC, October 10, 2017 ",1/18/2019
"Atlantic Digestive Specialists, June 20, 2017 ",1/18/2019
"Atlantic Digestive Specialists, April 21, 2017 ",1/18/2019
"Atrium Health (formerly Carolinas HealthCare System), November 27, 2018  ",1/18/2019
"AT&T, May 19, 2017 ",1/18/2019
"AT&T, April 20, 2015 ",1/18/2019
"AT&T, October 01, 2014 ",1/18/2019
"AT&T, June 05, 2014 ",1/18/2019
"Atwood Distributing, LP, March 21, 2017 ",1/18/2019
"Auburn University, April 02, 2015 ",1/18/2019
"Auburn University, March 21, 2014 ",1/18/2019
"Auburn University, August 02, 2013 ",1/18/2019
"Augusta University, September 4, 2018 ",1/18/2019
"AU Medical Center, Inc., September 18, 2017 ",1/18/2019
"AU Medical Center, Inc./Augusta University, May 26, 2017 ",1/18/2019
"Austin Powder Company, April 07, 2015 ",1/18/2019
"Austin Rare Coins, Inc., July 20, 2012 ",1/18/2019
"Autoliv ASP, Inc., February 16, 2018 ",1/18/2019
"Automated Pet Care Products, Inc., July 25, 2018 ",1/18/2019
"Automatic Data Processing (ADP), June 04, 2013 ",1/18/2019
"Automotive Recovery Services, Inc., dba Vehicle Donation Processing Center, July 06, 2015 ",1/18/2019
"AutoNation, Inc., May 26 2014 ",1/18/2019
"Avanti Markets Inc., October 05, 2017 ",1/18/2019
"Avanti Markets Inc., August 30, 2017 ",1/18/2019
"Avanti Markets, Inc.,July 24, 2017 ",1/18/2019
"Avendra, LLC, March 23, 2016 ",1/18/2019
"Avention, May 09, 2016 ",1/18/2019
"Avia, October 14, 2011 ",1/18/2019
"A.W. Hastings & Co., LLC December 08, 2011 ",1/18/2019
"BAE Systems, June 04, 2015 ",1/18/2019
"Babson College, January 31, 2017 ",1/18/2019
"Babson College, July 17, 2013 ",1/18/2019
"Backcountry Edge, Inc., December 05, 2018 ",1/18/2019
"Bacon & Company CPAs, LLC, March 16, 2017 ",1/18/2019
"BaileysOnline.com, March 14, 2016 ",1/18/2019
"Bank of the West, December 05, 2017 ",1/18/2019
"Bank of the West, March 24, 2015 ",1/18/2019
"Bank of the West, February 05, 2014 ",1/18/2019
"Bank of Tokyo-Mitsubishi UFJ Ltd., The, September 11, 2013 ",1/18/2019
"Banker Benefits, June 30, 2007 ",1/18/2019
"Banner Health, August 03, 2016 ",1/18/2019
"Barbecue Renew, January 16, 2015 ",1/18/2019
"Bare Escentuals, November 01, 2010 ",1/18/2019
"Barnes & Noble Booksellers, Inc. October 24 2012 ",1/18/2019
"Bartell Hotels, September 12, 2014 ",1/18/2019
"Batteries.com, May 18, 2009 ",1/18/2019
"Baxter International, Inc., July 11, 2008 ",1/18/2019
"Bayard, Dr. Max B., September 11, 2015 ",1/18/2019
"Baylor Health Care Systems, November 03, 2008 ",1/18/2019
"Baylor College of Medicine, November 08, 2017 ",1/18/2019
"Baylor College of Medicine, November 30, 2016 ",1/18/2019
"Beachbody, LLC., March 01, 2018 ",1/18/2019
"Beachbody, LLC., May 23, 2013 ",1/18/2019
"Beam Global Spirits, June 15, 2009 ",1/18/2019
"bebe, December 05, 2014 ",1/18/2019
"Bed Bath & Beyond, Inc., February 13, 2018 ",1/18/2019
"Bed Bath & Beyond, Inc., November 22, 2013 ",1/18/2019
"Bedrock Manufacturing Company, July 14, 2017 ",1/18/2019
"Beecher Carlson, December 18, 2018 ",1/18/2019
"Behavioral Science Technology, Inc., April 22, 2016 ",1/18/2019
"BeiGene, Ltd., September 24, 2018 ",1/18/2019
"Beijing Center, The, December 11, 2009 ",1/18/2019
"Bell Helicopter, January 31, 2014 ",1/18/2019
"Bell Helicopter's Training Academy, August 09, 2013 ",1/18/2019
"Bellacor.com, Inc., August 22, 2012 ",1/18/2019
"Belmont Instrument, LLC, November 30, 2018 ",1/18/2019
"Bel USA, LLC, December 26, 2018 ",1/18/2019
"Benchmade Knife Co., Inc., December 26, 2018 ",1/18/2019
"Benchmark, February 24, 2017 ",1/18/2019
"Benchmark Senior Living, June 22, 2016 ",1/18/2019
"Benchmark Senior Living, October 29, 2013 ",1/18/2019
"Benefit Concepts, September 03, 2010 ",1/18/2019
"Benjamin F. Edwards & Co., July 15, 2014 ",1/18/2019
"Benjamin F. Edwards & Co., June 27, 2014 ",1/18/2019
"Dr. Ben Lynch, LLC, December 17, 2018 ",1/18/2019
"Bennington-Rutland Supervisory Union, December 06, 2017 ",1/18/2019
"Bentley University, February 21, 2017 ",1/18/2019
"Berard & Associates, CPAs PC, April 06, 2017 ",1/18/2019
"Berenter, Jay Scott, January 25, 2017 ",1/18/2019
"Berg LLC, March 21, 2017 ",1/18/2019
"Berkeley College, February 06, 2017 ",1/18/2019
"Berkeley HeartLab, October 31, 2011 ",1/18/2019
"Berteslmann, Inc. and Towers Perrin, February 03, 2007 ",1/18/2019
"Best Buy, April 13, 2018 ",1/18/2019
"Best Buy, February 02, 2009 ",1/18/2019
"Betterbee WebSitePipeline, March 16, 2015 ",1/18/2019
"Beverages & More, Inc., December 18, 2018 ",1/18/2019
"BH Equities, LLC, April 01, 2016 ",1/18/2019
"Big Bend Banks, N.A., October 14, 2011 ",1/18/2019
"Big Fish Games Inc., February 10, 2015 ",1/18/2019
"Bigfoot Gun Belts, March 23, 2018 ",1/18/2019
"Big Y Foods, Inc., October 13, 2016 ",1/18/2019
"Bill Dube Ford Toyota, December 05, 2008 ",1/18/2019
"Bill Dube Hyundai, January 08, 2009 ",1/18/2019
"Bill & Melinda Gates Foundation, August 23, 2012 ",1/18/2019
"Bimbo Bakeries USA, May 02, 2012 ",1/18/2019
"Biolase, June 19, 2007 ",1/18/2019
"Biomedical Systems Corp., March 13, 2017 ",1/18/2019
"Bio-Rad Laboratories, Inc., April 04, 2018 ",1/18/2019
"BioMarin Pharmaceutical Inc. (""BioMarin"")  ",1/18/2019
"Birch Communications, August 25, 2016 ",1/18/2019
"Bishop Company, LLC, The, August 09, 2017 ",1/18/2019
"BJ's Wholesale Club, April 02, 2012 ",1/18/2019
"BJ's Wholesale Club, January 15, 2008 ",1/18/2019
"BJL Cleaning Corporation d/b/a Champion Cleaning, May 01, 2015 ",1/18/2019
"Blauer Manufacturing Company, December 30, 2018 ",1/18/2019
"Blevins, Inc. (Michael T), May 19, 2017 ",1/18/2019
"BloomReach, Inc., April 19, 2016 ",1/18/2019
"Blue Beacon International, April 06, 2018 ",1/18/2019
"Blue Cross Blue Shield of Massachusetts, May 04, 2015 ",1/18/2019
"Blue Cross Blue Shield of Michigan, July 18, 2014 ",1/18/2019
"Blue Cross Blue Shield of Tennessee, October 15, 2010 ",1/18/2019
"Blue Cross Blue Shield of Tennessee, March 31, 2010 ",1/18/2019
"Blue Mountain Community Foundation, December 01, 2014 ",1/18/2019
"Blue Springs Family Care, PC, July 18, 2018 ",1/18/2019
"Bluegrass Community Federal Credit Union, May 22, 2014 ",1/18/2019
"Bluegreen Corporation, September 17, 2007 ",1/18/2019
"Bluestem Brands, Inc., May 08, 2017 ",1/18/2019
"Bluestem Brands, Inc., April 13, 2017 ",1/18/2019
"Bob Ward & Sons, Inc., October 23, 2012 ",1/18/2019
"Bodies of America, October 24, 2018 ",1/18/2019
"Boeing Company, February 09, 2017 ",1/18/2019
"Boise Cascade Company, November 16, 2017 ",1/18/2019
"Bombas, LLC, August 31, 2018 ",1/18/2019
"Bombas, LLC, May 18, 2018 ",1/18/2019
"Boomerang Tags, April 25, 2014 ",1/18/2019
"Borden Perlman Insurance, October 10, 2016 ",1/18/2019
"Boston Biomedical, Inc., June 11, 2018 ",1/18/2019
"Boston Teachers Union Health and Welfare Fund, June 24, 2013 ",1/18/2019
"Boston University, August 17, 2009 ",1/18/2019
"Boulrice & Wood, CPAs, PC, February 10, 2017 ",1/18/2019
"Boys & Girls Club of Wake County, March 26, 2018 ",1/18/2019
"Boys Town National Research Hospital, July 20, 2018 ",1/18/2019
"Bozeman, Montana (City of), July 16, 2018 ",1/18/2019
"Brandywine Pediatrics PA, December 23, 2016 ",1/18/2019
"Brazos Higher Education Service Corporation, Inc., December 21, 2017 ",1/18/2019
"Brennan Recupero, December 5, 2016 ",1/18/2019
"Brennan Recupero, November 22, 2016 ",1/18/2019
"Brenner McDonagh & Tortolani, Inc., November 30, 2015 ",1/18/2019
"Brenton Point Wealth Advisors (BPWA), October 18, 2018 ",1/18/2019
"Breville USA, Inc., December 13, 2016 ",1/18/2019
"Breville USA, Inc., January 17, 2017 ",1/18/2019
"Breyer Horses, October 23, 2014 ",1/18/2019
"Bridge Investment Group, LLC, June 12, 2017 ",1/18/2019
"Bridgewater, June 28, 2013 ",1/18/2019
"Briggs & Stratton Corporation, September 29, 2017 ",1/18/2019
"Brigham Young University, July 12 2017 ",1/18/2019
"Bright Horizons Family Solutions (EasyDraft), January 21, 2014 ",1/18/2019
"Brinderson, LP, November 17, 2017 ",1/18/2019
"Brinker International, May 18, 2018 ",1/18/2019
"Bristol-Myers Squibb Company, July 11, 2008 ",1/18/2019
"British Airways Plc (BA), November 26, 2018 ",1/18/2019
"Broadridge Financial Services, June 22, 2009 ",1/18/2019
"Broadview Mortgage, October 17, 2016 ",1/18/2019
"brokersXpress, June 05, 2012 ",1/18/2019
"Bomberg, Roach & Hanson, December 16, 2016 ",1/18/2019
"Bronson Nutritionals LLC, March 19, 2018 ",1/18/2019
"Brooks Brothers, May 11, 2017 ",1/18/2019
"Broome Community College, March 12, 2009 ",1/18/2019
"Broward College, January 10, 2018 ",1/18/2019
"Brown, Lisle/Cummings, Inc., June 15, 2018 ",1/18/2019
"Brunswick Corporation, May 05, 2016 ",1/18/2019
"Brunswick, Town of, May 15, 2015 ",1/18/2019
"BST & Co. CPAs, LLP, July 28, 2017 ",1/18/2019
"B.T.C.E., Inc. dba HomeBrewIt.com, April 11, 2018 ",1/18/2019
"Bucknell University, June 22, 2016 ",1/18/2019
"Bucknell University, June 03, 2016 ",1/18/2019
"Buena Vista University, July 14, 2010 ",1/18/2019
"Buke Law, P.C., January 2, 2019 ",1/18/2019
"Bulk Reef Supply, Inc., April 30, 2015 ",1/18/2019
"Bulk Reef Supply, Inc., February 27, 2015 ",1/18/2019
"Bulletproof 360, Inc., November 27, 2017 ",1/18/2019
"Bulletproof 360, Inc., September 15, 2017 ",1/18/2019
"Bulletproof 360, Inc., March 21, 2017 ",1/18/2019
"Burdette Smith & Bish LLC, July 14, 2017 ",1/18/2019
"Burdette Smith & Bish LLC, June 26, 2017 ",1/18/2019
"Butler Schein Animal Health, December 08, 2011 ",1/18/2019
"Butler University, June 26, 2014 ",1/18/2019
"BWTX Associates, November 21, 2016 ",1/18/2019
"CA Inc., July 16, 2008 ",1/18/2019
"Cabrillo Community Colleg, October 05, 2017 ",1/18/2019
"Caesars Entertainment, November 28, 2016 ",1/18/2019
Cain Watters & Associates August 20 2018 ,1/18/2019
"Caleb Foundation, July 17, 2009 ",1/18/2019
"California State University, East Bay, October 08, 2018 ",1/18/2019
"California State University, East Bay, September 05, 2014 ",1/18/2019
"California State University, Fresno, March 06, 2018 ",1/18/2019
"Calypso St. Barth, Inc., November 26, 2014 ",1/18/2019
"Cambridge Health Alliance, March 28 2018 ",1/18/2019
"Campbell Taylor & Company, April 07, 2017 ",1/18/2019
"Campbell Taylor & Company, March 18, 2017 ",1/18/2019
"Cape May-Lewes Ferry, October 30, 2014 ",1/18/2019
"Capella University, February 14, 2013 ",1/18/2019
"Capital Digestive Care, April 23, 2018 ",1/18/2019
"Capital First Trust Company, May 10, 2017 ",1/18/2019
"Capital Integration Systems LLC, June 25, 2018 ",1/18/2019
"Capital One, May 18, 2010 ",1/18/2019
"Cardinal Health, October 08, 2010 ",1/18/2019
"Cardinal Health, September 07, 2010 ",1/18/2019
"CareCentrix, Inc., March 21, 2016 ",1/18/2019
"CareCentrix, Inc., September 18, 2014 ",1/18/2019
"Care.com Inc., March 10, 2016 ",1/18/2019
"Career & Technology Education Centers of Licking County ""C-TEC"", July 06, 2018 ",1/18/2019
"CareFirst, May 20, 2015 ",1/18/2019
"Carpenters Benefit Funds Of Philadelphia (""Carpenters Benefit Funds""), September 13, 2018 ",1/18/2019
"Cartier North America, February 25, 2013 ",1/18/2019
"Carus Publishing Company, May 08, 2007 ",1/18/2019
"Catawba Valley Medical Center (""CVMC""), October 22, 2018  ",1/18/2019
"Caterpillar, April 27, 2007 ",1/18/2019
"Catholic United Financial, October 05, 2017 ",1/18/2019
"Cathay Pacific Airways Limited, October 25, 2018 ",1/18/2019
"Cayan LLC, February 23, 2017 ",1/18/2019
"CBIZ MHM, LLC, July 18, 2018 ",1/18/2019
"CBS Consolidated, Inc. dba Cornerstone Business & Management Solutions, August 23, 2017 ",1/18/2019
"CCS Medical, Inc., December 10, 2012 ",1/18/2019
"Cecchi and Associates, Inc. (Rudy), September 20, 2017 ",1/18/2019
"Cendera Funding, October 30, 2018 ",1/18/2019
"Centerstone Insurance and Financial Services d/b/a BenefitMall, January 8, 2019 ",1/18/2019
"Centicor, January 03, 2008 ",1/18/2019
"Central Christian College of Kansas, June 15, 2018 ",1/18/2019
"Central City Concern (""CCC""), April 25, 2014 ",1/18/2019
"Central Hudson Gas & Electric Corporation, March 01, 2013 ",1/18/2019
"Central Hudson Gas & Electric Corporation, February 27, 2013 ",1/18/2019
"Central Ohio Urology Group, Inc., September 22, 2016 ",1/18/2019
"Centric Group, L.L.C., January 09, 2013 ",1/18/2019
"Centric Software Inc., August 09, 2010 ",1/18/2019
"CenturyLink's Corporate Security, February 24, 2017 ",1/18/2019
"Century Martial Arts, September 25, 2017 ",1/18/2019
"Ceridian Corporation, February 01, 2010 ",1/18/2019
"Certegy, July 19, 2007 ",1/18/2019
"Certegy, July 05, 2007 ",1/18/2019
"Certegy – FIS, July 30, 2007 ",1/18/2019
"CertifiKid, LLC, May 05, 2016 ",1/18/2019
"Cetera Advisors LLC, April 26, 2018 ",1/18/2019
"Cetera Advisors LLC, January 08, 2018 ",1/18/2019
"Challenger Sports, Inc. (Challenger), October 23, 2018 ",1/18/2019
"Chamberlain Group, Inc. (CGI), November 27, 2018  ",1/18/2019
"Champlain College, July 02, 2013 ",1/18/2019
"Champlain College, May 31, 2013 ",1/18/2019
"Chapman, August 20, 2018 ",1/18/2019
"Chapman University, April 11, 2013 ",1/18/2019
"Chapman University, February 22, 2011 ",1/18/2019
"Char-Broil, LLC, May 24, 2017 ",1/18/2019
"Charles Schaw & Co, Inc., May 03, 2016 ",1/18/2019
"Charles Schwab & Co, Inc., June 12, 2009 ",1/18/2019
"Chart Industries Inc., August 10, 2009 ",1/18/2019
"Charter Communications, August 05, 2008 ",1/18/2019
"Cheddar's Casual Cafe, Inc. dba Cheddar's Scratch Kitchen, November 15, 2017 ",1/18/2019
"Cheddar's Casual Cafe, Inc. dba Cheddar's Scratch Kitchen, September 29, 2017 ",1/18/2019
"Cheddar's Scratch Kitchen, August 24, 2018 ",1/18/2019
"Chevron USA, Inc., October 12, 2016 ",1/18/2019
"Chicago, IL, City of, March 16, 2009 ",1/18/2019
"Child and Family Services of New Hampshire, April 22, 2013 ",1/18/2019
"Children's Place, Inc., The, April 04, 2017 ",1/18/2019
"Children's Hospital Boston, February 12, 2009 ",1/18/2019
"Children's Mercy Hospital, April 30, 2018 ",1/18/2019
"Chipolte Mexican Grill, Inc., May 26, 2017 ",1/18/2019
"Chipotle Mexican Grill, April 15, 2008 ",1/18/2019
"Choice Hotels International, April 25, 2012 ",1/18/2019
"ChoiceOne Urgent Care, August 08, 2018 ",1/18/2019
"Choices, Inc., July 31, 2012 ",1/18/2019
"Chopra Enterprises, LLC, March 07, 2018 ",1/18/2019
"Christiansburg, Virginia (Town of), November 30, 2018 ",1/18/2019
"Christies, Inc., March 24, 2017 ",1/18/2019
"CHRISTUS St. John Hospital, November 16, 2012 ",1/18/2019
"CHS, December 21, 2010 ",1/18/2019
"CiCi Enterprises, LP, July 19, 2016 ",1/18/2019
"CICS Employment Services, Inc., February 04, 2015 ",1/18/2019
"CIN Legal Data Services, December 27, 2011 ",1/18/2019
"Cincinnati Reds (the Reds), November 19, 2018 ",1/18/2019
"Cisco Systems, Inc., April 09, 2012 ",1/18/2019
"CITGO, December 06, 2013 ",1/18/2019
"Citi, January 20, 2015 ",1/18/2019
"Citi, March 28, 2013 ",1/18/2019
"Citibank, February 02, 2017 ",1/18/2019
"Citibank, April 11, 2017 ",1/18/2019
"Citibank, Feburary 10, 2015 ",1/18/2019
"Citibank, January 27, 2015 ",1/18/2019
"Citibank, November 26, 2013 ",1/18/2019
"Citibank, November 13, 2013 ",1/18/2019
"Citibank, June 26, 2013 ",1/18/2019
"Citibank, Feburary 10, 2015 ",1/18/2019
"Citibank, March 13, 2012 ",1/18/2019
"Citibank (South Dakota), June 09, 2011 ",1/18/2019
"Cities Services, LLC, April 29, 2015 ",1/18/2019
"Citizens Finalcial Group, Inc., June 14, 2018 ",1/18/2019
"Citizens Financial Group, Inc., March 06, 2018 ",1/18/2019
"Citizens Financial Group, Inc., February 02, 2018 ",1/18/2019
"Citizens Financial Group, Inc., October 04, 2017 ",1/18/2019
"Citizens Financial Group, Inc., August 29, 2017 ",1/18/2019
"Citizens Financial Group, Inc., August 01, 2017 ",1/18/2019
"Citizens Financial Group, Inc., July 07, 2017 ",1/18/2019
"Citizens Financial Group, Inc., July 03, 2017 ",1/18/2019
"Citizens Financial Group, Inc., June 07, 2017 ",1/18/2019
"Citizens Financial Group, Inc., June 06, 2017 ",1/18/2019
"Citizens Financial Group, Inc., May 05, 2017 ",1/18/2019
"Citizens Financial Group, Inc., April 13, 2017 ",1/18/2019
"Citizens Financial Group, Inc., April 05, 2017 ",1/18/2019
"Citizens Financial Group, Inc., December 02, 2015 ",1/18/2019
"City Harvest, Inc., July 03, 2007 ",1/18/2019
"Claire's Stores, April 26, 2012 ",1/18/2019
"ClamCase, LLC, August 28, 2014 ",1/18/2019
"ClamCase, LLC, August 22, 2014 ",1/18/2019
"Clarfeld Financial Advisors, March 16, 2018 ",1/18/2019
"Clarity Media Group, Inc., November 07, 2013 ",1/18/2019
"Clark, Friel and Joyce, PA, December 28, 2012 ",1/18/2019
"Clark-Neitzel, Charlotte, Dr., September 06, 2012 ",1/18/2019
"Clarkson PLC, July 30, 2018 ",1/18/2019
"Clarksville-Montgomery County School System, August 08, 2012 ",1/18/2019
