Org Name,Original Text,Reported Date,URL
Akwa Vista LLC,"Akwa Vista LLC, February 06, 2019 ",2/6/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/akwa-vista-20190206.pdf
Alaska Airlines,"Alaska Airlines, May 03, 2018 ",5/3/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/alaska-airlines-20180503.pdf
Alaska Communications Systems Holdings Inc,"Alaska Communications Systems Holdings Inc, February 24, 2014 ",2/24/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/alaska-communications-20140224.pdf
Alere Home Monitoring Inc,"Alere Home Monitoring Inc, October 30, 2012 ",10/30/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/alere-20121030.pdf
Alexandrian Hotel,"Alexandrian Hotel, July 9, 2019 ",7/9/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/alexandrian-20190709.pdf
Alfa Specialty Insurance Corporation and Alfa Vision Insurance Corporation,"Alfa Specialty Insurance Corporation and Alfa Vision Insurance Corporation, July 10, 2015 ",7/10/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/alfa-insurance-20150710.pdf
Al-Farabi Kazakh National University,"Al-Farabi Kazakh National University, January 23, 2019 ",1/23/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/al-farabi-kazakh-20190123.pdf
Alight Solutions LLC ,"Alight Solutions LLC , August 21, 2019 ",8/21/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/alight-solutions-20190821.pdf
Alin Machining Company Inc dba Power Plant Services,"Alin Machining Company Inc dba Power Plant Services, January 12, 2015 ",1/12/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/alin-machining-20150112.pdf
Allen Community College,"Allen Community College, September 18, 2019 ",9/18/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/allen-comunity-college-20190918.pdf
Alliance Workplace Solutions LLC,"Alliance Workplace Solutions LLC, October 24, 2014 ",10/24/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/alliance-workplace-solutions-20141024.pdf
AlliedBarton Security Services LLC,"AlliedBarton Security Services LLC, July 16, 2013 ",7/16/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/alliedbarton-20130716.pdf
Allied Minds LLC,"Allied Minds LLC, February 24, 2017 ",2/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/allied-minds-20170224.pdf
ALM Media LLC,"ALM Media LLC, January 23, 2019  ",1/23/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/alm-media-20190123.pdf
Alpha Industries Inc,"Alpha Industries Inc, October 26, 2017 ",10/26/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-industries-20171026.pdf
Alpha Industries Inc,"Alpha Industries Inc, October 02, 2017 ",10/2/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-industries-20171002.pdf
Alpha Payroll Services LLC,"Alpha Payroll Services LLC, April 29, 2016 ",4/29/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/alpha-payroll-20160429.pdf
Alta Ski Lifts Co.,"Alta Ski Lifts Co., March 09, 2015 ",3/9/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/alta-ski-lifts-20150309.pdf
Alton Lane,"Alton Lane, January 10, 2018 ",1/10/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/alton-lane-20180110.pdf
Altrec Inc,"Altrec Inc, May 24, 2012 ",5/24/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/altrec-20120524.pdf
AM2 Enterprises LLC,"AM2 Enterprises LLC, September 19, 2017 ",9/19/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/am2-20170919.pdf
Amateur Athletic Union,"Amateur Athletic Union, September 17, 2019 ",9/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/amateur-athletic-union-20190917.pdf
AMB Industries,"AMB Industries, April 14, 2011 ",4/14/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/amb-industries-20110414.pdf
Ambassador Title Service and Accurate Title Company,"Ambassador Title Service and Accurate Title Company, February 28, 2017 ",2/28/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/ambassador-title-20170228.pdf
Amedisys Inc,"Amedisys Inc, March 02, 2015 ",3/2/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/amedisys-20150302.pdf
American Association of Nurse Anesthetists,"American Association of Nurse Anesthetists, March 12, 2019 ",3/12/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-nurse-anesthetists-20190312.pdf
American Cancer Society Inc,"American Cancer Society Inc, March 1, 2019 ",3/1/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-cancer-society-20190301.pdf
American Esoteric Laboratories (AEL),"American Esoteric Laboratories (AEL), April 20, 2018 ",4/20/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/american-esoteric-20180420.pdf
American Express Travel Related Services Company Inc,"American Express Travel Related Services Company Inc, March 22, 2018 ",3/22/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/american-express-travel-20180322.pdf
American Friends Service Committee,"American Friends Service Committee, August 21, 2017 ",8/21/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/american-friends-20170821.pdf
American Institute of Aeronautics and Astronautics,"American Institute of Aeronautics and Astronautics, August 20, 2018 ",8/20/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/american-institute-20180820.pdf
American Juice Co,"American Juice Co, April 8, 2019 ",4/8/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-juice-20190408.pdf
American Kennel Club,"American Kennel Club, July 8, 2019 ",7/8/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-kennel-club-20190708.pdf
American Medical Response Inc,"American Medical Response Inc, June 17, 2019 ",6/17/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-medical-response-20190617.pdf
American Pharmacists Association,"American Pharmacists Association, July 09, 2012 ",7/9/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/american-pharmacists-20120709.pdf
American Residuals and Talent Inc,"American Residuals and Talent Inc, December 02, 2014 ",12/2/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/american-residuals-talent-20141202.pdf
American Stock Transfer & Trust Company LLC,"American Stock Transfer & Trust Company LLC, April 13, 2012 ",4/13/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/american-stock-20120413.pdf
American Stock Transfer & Trust Company LLC,"American Stock Transfer & Trust Company LLC, February 14, 2012 ",2/14/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/american-stock-20120214.pdf
American Tire Distributors Inc ,"American Tire Distributors Inc , February 11, 2019 ",2/11/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/american-tires-20190211.pdf
American Tire Disttributors Holdings Inc,"American Tire Disttributors Holdings Inc, March 17, 2017 ",3/17/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/american-tire-20170317.pdf
American Tool Supply,"American Tool Supply, November 19, 2012 ",11/19/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/american-tool-supply-20121119.pdf
AmeriPride Services Inc,"AmeriPride Services Inc, February 26, 2016 ",2/26/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/ameripride-20160226.pdf
Ameriprise Financial Services Inc,"Ameriprise Financial Services Inc, December 18, 2018 ",12/18/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20181218.pdf
Ameriprise Financial Services Inc,"Ameriprise Financial Services Inc, July 13, 2017 ",7/13/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20170713.pdf
Ameriprise Financial Services Inc,"Ameriprise Financial Services Inc, April 06, 2017 ",4/6/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20170406.pdf
Ameriprise Financial Services Inc,"Ameriprise Financial Services Inc, March 14, 2017 ",3/14/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20170314.pdf
Ameriprise Financial Services Inc,"Ameriprise Financial Services Inc, December 21, 2016 ",12/21/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20161221.pdf
Ameriprise Financial Services Inc,"Ameriprise Financial Services Inc, June 13, 2016 ",6/13/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20160613.pdf
Ameriprise Financial Services Inc,"Ameriprise Financial Services Inc, November 25, 2015 ",11/25/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20151125.pdf
Ameriprise Financial Services Inc,"Ameriprise Financial Services Inc, February 06, 2015 ",2/6/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20150206.pdf
Ameriprise Financial Services Inc,"Ameriprise Financial Services Inc, November 13, 2012 ",11/13/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20121113.pdf
Ameriprise Financial Services Inc,"Ameriprise Financial Services Inc, February 12, 2010 ",2/12/2010,https://www.doj.nh.gov/consumer/security-breaches/documents/ameriprise-20100212.pdf
Ameritrade Security,"Ameritrade Security, September 13, 2007 ",9/13/2007,https://www.doj.nh.gov/consumer/security-breaches/documents/ameritrade-security-20070913.pdf
Amplify Education Inc,"Amplify Education Inc, February 16, 2017 ",2/16/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/amplify-education-20170216.pdf
AMR Resorts,"AMR Resorts, December 15, 2014 ",12/15/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/amr-resorts-20141215.pdf
Amsterdam,"Amsterdam, May 14, 2019 ",5/14/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/amsterdam-20190514.pdf
AmTote,"AmTote, February 06, 2017 ",2/6/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/amtote-20170206.pdf
Anchor Loans,"Anchor Loans, December 09, 2016 ",12/9/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/anchor-loans-20161209.pdf
"Anderson Bagley & Mayo Insurance Agency Inc (""AB&M"")","Anderson Bagley & Mayo Insurance Agency Inc (""AB&M""), November 09, 2018 ",11/9/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-bagley-mayo-20181109.pdf
Anderson & Murison Inc,"Anderson & Murison Inc, October 31, 2014 ",10/31/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-murison-20141031.pdf
Anderson & Murison Inc,"Anderson & Murison Inc, August 07, 2014 ",8/7/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-murison-20140807.pdf
Anderson & Vreeland Inc,"Anderson & Vreeland Inc, June 28, 2018 ",6/28/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/anderson-20180628.pdf
Andrews CPA LLC (Mark F.),"Andrews CPA LLC (Mark F.), August 24, 2017 ",8/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/andrews-cpa-20170824.pdf
Angliss & Colohan PC,"Angliss & Colohan PC, May 30, 2017 ",5/30/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/angliss-colohan-20170530.pdf
AnnieMac Home Mortgage,"AnnieMac Home Mortgage, February 16, 2018 ",2/16/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/anniemac-20180216.pdf
Another Planet Entertainment,"Another Planet Entertainment, October 03, 2018 ",10/3/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/another-planet-entertainment-20181003.pdf
ANSYS Inc,"ANSYS Inc, July 30, 2019 ",7/30/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/ansys-20190730.pdf
Anthem Blue Cross and Blue Shield,"Anthem Blue Cross and Blue Shield, February 18, 2015 ",2/18/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20150218.pdf
Anthem Blue Cross and Blue Shield,"Anthem Blue Cross and Blue Shield, March 14, 2013 ",3/14/2013,https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20130314.pdf
Anthem Inc,"Anthem Inc, June 01, 2015 ",6/1/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20150601.pdf
Anthem McDermott BlueCross BlueShield Medical Plan,"Anthem McDermott BlueCross BlueShield Medical Plan, March 12, 2015",3/12/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-mcdermott-20150312.pdf
Anthem McDermott BlueCross BlueShield Medical Plan,"Anthem McDermott BlueCross BlueShield Medical Plan, February 27, 2015 ",2/27/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/mcdermott-bluecross-blueshield-20150227.pdf
Anthem Blue Cross Blue Shield of MA,"Anthem Blue Cross Blue Shield of MA, March 20, 2015 ",3/20/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/anthem-20150320.pdf
Anvil Accounting Services LLC,"Anvil Accounting Services LLC, August 12, 2019 ",8/12/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/anvil-accounting-20190812.pdf
Appen Butler Hill Inc,"Appen Butler Hill Inc, January 05, 2018 ",1/5/2018,https://www.doj.nh.gov/consumer/security-breaches/documents/appen-butler-20180105.pdf
Apple America Group LLC,"Apple America Group LLC, March 15, 2015 ",3/15/2015,https://www.doj.nh.gov/consumer/security-breaches/documents/apple-america-group-20150315.pdf
Apple,"Apple, May 30, 2019 ",5/30/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/apple-20190530.pdf
Apple,"Apple, June 16, 2011 ",6/16/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/apple-20110616.pdf
Apple Leisure Group,"Apple Leisure Group, December 15, 2014 ",12/15/2014,https://www.doj.nh.gov/consumer/security-breaches/documents/apple-leisure-group-20141215.pdf.pdf
Applied Micro Circuits Corp.,"Applied Micro Circuits Corp., March 24, 2011 ",3/24/2011,https://www.doj.nh.gov/consumer/security-breaches/documents/applied-micro-circuits-20110324.pdf
Applied Systems Inc,"Applied Systems Inc, March 07, 2016 ",3/7/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/applied-systems-20160307.pdf
Apria Healthcare Inc,"Apria Healthcare Inc, October 20, 2016 ",10/20/2016,https://www.doj.nh.gov/consumer/security-breaches/documents/apria-20161020.pdf
Apria Healthcare Inc,"Apria Healthcare Inc, September 27, 2012 ",9/27/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/apria-healthcare-20120927.pdf
Apria Healthcare Inc,"Apria Healthcare Inc, August 15, 2012 ",8/15/2012,https://www.doj.nh.gov/consumer/security-breaches/documents/apria-healthcare-20120815.pdf
Aprio LLP,"Aprio LLP, May 24, 2019 ",5/24/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aprio-20190524.PDF
Aptos,"Aptos, August 24, 2017 ",8/24/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170824.pdf
Aptos,"Aptos, April 28, 2017 ",4/28/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170428.pdf
Aptos,"Aptos, April 04, 2017 ",4/4/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170404.pdf
Aptos,"Aptos, March 10, 2017 ",3/10/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170310.pdf
Aptos,"Aptos, March 08, 2017 ",3/8/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170308.pdf
Aptos,"Aptos, March 03, 2017 ",3/3/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170303.pdf
Aptos,"Aptos, February 25, 2017 ",2/25/2017,https://www.doj.nh.gov/consumer/security-breaches/documents/aptos-20170225.pdf
Aptus Health Inc,"Aptus Health Inc, January 31, 2019 ",1/31/2019,https://www.doj.nh.gov/consumer/security-breaches/documents/aptus-health-20190131.pdf
