Name of Organization,Notification Sent,Breach Occurred,IN Affected,Total Affected
PrudentialInsuranceCompanyofAmerica,3/6/2020,5/1/2018,17,"1,945"
QualDermPartners,3/17/2020,11/26/2019,1,109
SlickWrapsInc,,,,
QuickenLoansInc,2/14/2020,1/8/2020,2,44
RacineCountyWisconsin,3/4/2020,4/25/2019,2,"1,924"
RailWorksCorporation,2/27/2020,,496,"23,751"
RainbowFinanceLLC,1/24/2020,5/28/2019,4,493
RaymondJamesFinancial,7/19/2019,5/28/2019,1,12
RehabilitationHospitalofIndiana,2/7/2020,1/27/2020,3,3
RelationInsuranceIncdbaRelationInsuranceservicesofGeorgia,2/10/2020,8/14/2019,88,"13,885"
RobertLSmithCPA,2/26/2020,9/5/2019,1,165
RoyalTitleServicesInc,3/24/2020,3/23/2020,2,2
SalesBenchmarkIndex,2/14/2020,11/16/2019,6,267
SallieMae,2/27/2020,1/30/2020,1,23
SandraEskenaziMentalHealthCenter,,,,
SceptreHospitalityResources,3/13/2020,1/22/2020,21,883
ShamrockGreenHoldingsdbaFMExpressions,2/28/2020,1/15/2020,1,668
SharesPostInc,12/20/2019,9/6/2019,43,
SharmaWassonAssociatesInc,1/8/2020,9/9/2019,1,867
Anthem,,,,
SouthwireCompanyLLC,3/23/2020,11/27/2019,16,643
StarCorpLLC,1/27/2020,12/13/2019,13,582
SteeleCounty-Data Breach,3/19/2020,9/17/2019,11,"6,659"
StoneMorPartnersLP,12/26/2019,5/20/2019,12,44
SlickWrapsInc,,,,
TMobileUSAInc,3/10/2020,11/26/2019,10,"1,027"
TabletInc,2/14/2020,10/24/2019,4,577
Talon LogisticsServicesLLCTalonLogisticsLLC,2/28/2020,2/1/2020,47,87
TDBankNA,3/2/2020,11/20/2019,2,207
TelamonCorporation,2/17/2020,10/8/2019,13,34
TennesseeOrthopaedicAlliance,2/14/2020,8/16/2019,83,"81,237"
TerlatoWineGroup,2/12/2020,8/22/2019,2,485
TheCityofDothan,1/10/2020,8/26/2019,10,"12,774"
TheCityofLosBanosCalifornia,1/30/2020,9/23/2019,1,8716
TheCityofPortOrange,1/10/2020,8/27/2019,4,5615
TheCityofSiouxCityIowa,,8/26/2019,,3563
TheClevelandInstituteofArt,1/10/2020,5/31/2019,1,140
TheHealthandHospitalCorporationofMarionCountydbaEskenaziHealth,,2/27/2020,12,12
TheIndependentOrderofForesters,2/21/2020,1/31/2020,1,34
TheJoshuaAcademyIncdbaJoshuaAcademy,1/10/2020,,191,216
TheNationalAssociationofManufacturers,1/16/2020,12/7/2018,1,70
TheResultsCompaniesLLC,3/11/2020,5/28/2019,35,"25,376"
TheRoasterieInc,2/20/2020,6/1/2020,49,"4,283"
TheStowCompany,1/29/2020,8/25/2019,15,1267
TheUPSStoreInc,1/21/2020,9/29/2019,300,"17,094"
TitanAmericaLLC,3/19/2020,5/3/2019,1,512
TotalQualityLogisticsLLC,3/25/2020,10/1/2019,111,"8,100"
TQConstructorsInc,2/14/2020,1/24/2020,7,115
TravelTripperLLC,1/24/2020,10/15/2019,6,"1,574"
TRPSumnerPLLC,3/16/2020,10/2/2019,5,"3,423"
TrueFireLLC,2/13/2020,8/3/2019,75,"8,190"
USellisCompanyCPA,2/13/2020,11/25/2019,1,54
UniversityofMinnesotaPhysicians,3/30/2020,1/30/2020,3,683
UrologyofIndiana,,,,
ValleyExpositionService,1/9/2020,6/25/2019,33,"1,524"
VikingPartnersLLC,1/16/2020,8/14/2019,1,272
VMSFundAdministrationLLC,3/20/2020,1/21/2020,1,467
WebBank,1/10/2020,11/4/2019,1,106
WebsterBankNA,1/3/2020,12/18/2019,1,1
WellsFargoBankNA,3/18/2020,2/1/2020,2,"3,595"
WESCODistributionInc,2/20/2020,8/15/2018,17,463
WichitaStateUniversity,3/6/2020,12/3/2019,"1,203","440,968"
WinamacCoilSpringInc,,,43,45
WisconsinHistoricalSociety,1/21/2020,6/8/2019,19,"2,206"
WoodsandWoodsLLC,3/11/2020,1/15/2020,"12,443","51,600"
47 BrandLLCandTwinsRetailLLC,8/30/2019,4/30/2019,26,"1,800"
AandAGlobalImportsInc,1/9/2019,8/15/2017,553,"52,441"
ATCrossCompany,6/26/2019,5/9/2019,18,"1,248"
AARCorp,8/6/2019,3/10/2019,556,"4,431"
AbbottLaboratories,2/6/2019,1/19/2019,88,"16,600"
AbelHR,4/25/2019,11/11/2018,6,2637
ABMIndustriesIncorporated,3/12/2019,1/8/2018,652,"42,366"
AboundWealth,1/28/2019,12/23/2018,2,292
AccurateWordLLC,8/16/2019,8/16/2019,6,2518
AcrisureHeritageInsuranceAgencyLLCdbaTheHeritageCompanies,4/10/2019,9/20/2018,3,2286
AcrisureLLCdbaFiliceInsuranceAgency,5/31/2019,4/3/2019,20,"30,821"
AcuityAMutualInsuranceCompany,3/20/2019,2/11/2019,3,221
AdenaHealthSystem,12/31/2018,5/8/2018,3,1717
AdvocateAuroraHealthIncdbaAdvoateChristMedicalCenter,4/25/2019,4/19/2019,4,51
AdvocateShermanHospital,3/8/2019,5/8/2018,18,"5,868"
AegisMedicalGroup,11/8/2019,7/24/2019,5,"9,800"
AeroGrowInternationalInc,4/5/2019,10/29/2018,424,"27,488"
AetnaInc,1/30/2019,6/1/2018,2,"2,334"
AetnaLifeInsuranceCompany,5/17/2019,3/1/2019,1,189
AetrexWorldwideInc,1/17/2019,6/22/2018,206,"14,291"
AGSourceInc,3/22/2019,12/22/2018,6,233
AimbridgeHospitalityHoldingsLLC,12/31/2018,6/7/2018,1989,"120,573"
Aires,8/1/2019,10/10/2018,20,"2,002"
AisinHoldingsofAmericaInc,5/24/2019,5/31/2018,"3,403","9,046"
AkinDohertyKleinandFeugePC,5/14/2019,2/8/2019,10,4007
AkunaCapitalLLC,10/10/2019,7/25/2019,2,409
AlanaHealthcare,4/12/2019,12/26/2018,2,2685
AlightSolutionsLLC,8/26/2019,9/22/2014,105,"19,379"
AllConnectInc,8/13/2019,,1,8
AllenCommunityCollege,9/17/2019,7/30/2019,1,"1,822"
AllstateInsuranceCompany,4/10/2019,12/21/2017,7,55
ALMMediaLLC,1/23/2019,7/7/2018,17,933
AmateurAthleticUnion,9/13/2019,10/1/2018,"5,286","287,661"
AmericaJuiceCoLLC,4/8/2019,11/8/2018,40,4843
AmericanAssociationofNurseAnesthetists,3/8/2019,9/21/2018,2,438
AmericanBoardofMedicalSpecialties,7/31/2019,3/30/2019,1,234
AmericanCancerSocietyInc,3/1/2019,1/8/2019,115,8716
AmericanElectricPower,4/26/2019,12/9/2018,1,4197
AmericanFranchiseHoldingsLLC,8/9/2019,3/29/2019,1,428
AmericanGeneralLifeInsuranceCompany,6/27/2019,5/8/2019,1,1
AmericanGeneralLifeInsuranceCompany,6/11/2019,5/1/2019,1,1
AmericanMedicalResponseInc,6/7/2019,9/24/2018,317,"23,356"
Americares,7/19/2019,2/23/2019,1,258
AmeripriseFinancialInc,2/27/2019,8/7/2018,21,2984
AmeripriseFinancialInc,6/26/2019,6/18/2019,1,1
AmeripriseFinancialInc,7/31/2019,7/13/2019,1,41
AmeripriseFinancialInc,1/4/2019,12/8/2018,1,1
AmeripriseFinancialInc,10/16/2019,10/7/2019,1,2
AmeripriseFinancialInc,12/21/2018,8/28/2018,3,280
AmeripriseFinancialInc,11/20/2019,11/18/2019,1,1
AmeritasLifeInsuranceCorp,7/8/2019,5/1/2019,471,"40,000"
AmsterdamPrintingandLithoInc,5/14/2019,2/1/2019,51,1835
AndyFrainServicesInc,9/3/2019,5/22/2019,3,"3,948"
AntiqueMallofCrownPointInc,,11/8/2018,11,11
AnvilAccountingServicesLLConbehalfofStudentMediaGroupSpringboardInc,7/29/2019,4/1/2019,40,746
ApexBenefitsGroupInc,7/8/2019,7/2/2019,1,1
AppleMortgage,6/5/2019,5/3/2019,4,1867
AppliedBank,1/21/2019,10/30/2018,1,752
AppliedDataFinanceLLCdbaPersonifyFinancial,1/31/2019,7/21/2018,29,9.939
AppliedEcologicalServicesInc,7/11/2019,6/17/2019,8,497
APRConsultingCo,4/10/2019,11/26/2018,2,185
AprimaMedicalSoftwareInc,9/9/2016,9/5/2016,1,180
AptusHealthInc,1/31/2019,8/17/2018,1,235
ArizonaDentalInsuranceServiceIncdbaDeltaDentalofArizona,11/8/2019,7/8/2019,70,"12,886"
ArizonaGameandFishDepartment,8/21/2019,7/22/2019,1,"1,089"
Artcom,10/11/2019,7/5/2019,19,"2,078"
ArthurJGallagher&Co,11/26/2019,3/15/2019,286,"3,330"
AsburyAutomotiveGroupInc,7/26/2019,5/14/2019,5,197
Ascension,,,,
ASCORPIncdbaDebcoConstructionInc,6/28/2019,5/4/2019,1,1091
AshtonWoodsHomes,9/26/2019,4/8/2019,5,"2,089"
Aspire,,,,
AspireFinancialServicesLLC,2/8/2019,12/5/2018,264,"6,431"
AssemblersInc,4/15/2019,2/12/2019,27,3047
AssociatedVitreoretinalandUveitisConsultants,1/31/2019,1/11/2019,1,1
AssuredPartnersInc,2/26/2019,12/26/2018,1,397
Asurint,12/4/2018,9/21/2018,1,52
AtomicAccountingIncdbaLaunchAccountingServices,8/12/2019,4/7/2019,10,649
AugustanaCollege,5/7/2019,2/13/2019,47,"12,443"
AutoApproveLLC,10/28/2019,8/28/2019,1358,"93,759"
AutoTruckKargoEquipmentLLC,4/2/2019,7/19/2018,9,762
AutomatedPetCareProductsInc,4/26/2019,3/13/2019,6,181
AvalaraInc,6/6/2019,5/22/2019,1,1251
AviatUSInc,6/13/2019,11/21/2018,2,6
AvivaInvestorsAmericasLLC,7/16/2019,7/11/2019,1,"1,724"
BRileyFinancialInc,9/27/2019,5/13/2019,1,102
BackcountryEdgeInc,7/2/2019,11/27/2018,154,"12,109"
BallMetalpackLLC,9/25/2019,7/20/2019,1,"1,353"
BambooHRLLC,3/4/2019,2/11/2019,20,2497
BancServ,7/1/2019,6/28/2019,1,1
BankoftheWest,8/22/2019,6/22/2019,1,104
BannerLifeInsuranceCompany,4/26/2019,4/10/2019,4,393
BaptistHealthFloyd,,,,
Greenphire,,,,
BaylorScottandWhiteMedicalCenterFrisco,11/28/2018,9/22/2018,17,"47,984"
BaysideCovenantChurchInc,2/5/2019,8/3/2018,1,2200
BBXCapitalCorporation,7/3/2019,3/26/2019,1,980
BCSFinancialInc,6/18/2019,4/27/2019,3,84
BeaconHealthSystem,8/6/2019,4/17/2017,319,364
BeaconMedicalGroupAdvancedCardiovascularSpecialists,,,,
BeaconSalesAcquisitionInc,3/7/2019,12/3/2018,1,81
BedBathandBeyondInc,5/3/2019,6/19/2018,5,346
BeecherCarlson,12/11/2018,8/7/2018,24,1597
BELUSALLC,12/31/2018,8/5/2018,"1,311","70,244"
BelBornManagementdbaVillageHatShop,4/18/2019,2/12/2019,5,288
BermanMcAleerLLC,10/4/2019,7/9/2019,2,324
BerryGlobalInc,5/9/2019,1/1/2019,27,1461
BFSCapital,10/29/2019,6/11/2019,1,8
BKDLLP,3/6/2019,2/14/2019,1,537
BlackstoneInvestmentGroupInc,3/11/2019,11/11/2018,33,3070
BlauerManufacturingCo,12/31/2018,9/13/2018,11,374
BlauerManufacturingCoInc,11/22/2019,9/23/2019,38,"1,157"
BloominBrandsInc,10/17/2019,8/1/2019,8,499
BluDotDesignandManufacturingInc,6/17/2019,6/4/2019,1,122
BlueRiverValleySchoolCorporation,6/21/2019,5/9/2019,653,667
BluegreenVacationsCorporation,10/2/2019,9/5/2019,1,20
BlueStarInc,5/22/2019,2/1/2019,11,494
BMSSLLC,5/24/2019,9/19/2018,2,3992
BoardofRegentsoftheUniversityofNebraska,3/27/2019,1/19/2019,1,64
BoardofRegentsoftheUniversityofNebraska,6/10/2019,4/13/2019,1,365
BoneandJointSpecialists,12/11/2018,7/6/2018,1,1
BookingcomBV,1/11/2019,12/14/2018,1,1201
BookSharkLLC,10/25/2019,3/11/2019,26,"3,524"
BoroughofFairLawnNJ,8/19/2019,12/4/2018,2,"3,585"
BrandtInformationServicesLLC,4/5/2019,2/11/2019,1,137
BraunAbility,8/27/2019,8/26/2019,1,1
BreckenridgeGrandVacations,6/7/2019,12/1/2018,2,"1,455"
BrightonCollectiblesLLC,3/22/2019,1/28/2019,75,4550
BumblebeeBatteriesLLC,3/7/2019,7/25/2018,2,
BurtWealthAdvisors,4/22/2019,2/7/2019,6,410
CSWholesaleGrocersInc,7/17/2019,6/18/2019,8,"16,790"
CableOneInc,8/8/2019,3/19/2019,13,"7,375"
CafePressInc,9/4/2019,2/19/2019,"3,278","22,000,000"
CAHHoldingsInc,11/15/2019,,138,
CalibreCPAGroup,8/26/2019,3/11/2019,13,"1,801"
CalistaCorporation,6/20/2019,12/8/2018,2,"1,476"
CameronMemorialCommunityHospital,9/14/2018,9/5/2018,1,1
CameronMemorialCommunityHospital,6/21/2018,6/5/2018,1,1
CameronMemorialCommunityHospital,7/25/2018,5/30/2018,1,1
CameronMemorialCommunityHospital,6/7/2019,5/22/2019,1,1
CameronMemorialCommunityHospital,4/5/2018,3/18/2018,1,1
CameronMemorialCommunityHospital,10/30/2018,10/25/2018,1,1
CameronMemorialCommunityHospital,12/12/2018,11/19/2018,1,1
CameronMemorialCommunityHospital,12/12/2018,12/7/2018,1,
CameronMemorialCommunityHospital,4/15/2019,2/10/2019,1,1
CameronMemorialCommunityHospital,8/17/2018,7/23/2018,1,1
CameronMemorialCommunityHospital,10/30/2018,10/22/2018,1,1
CameronMemorialCommunityHospital,7/25/2018,6/14/2018,1,1
CantoRauschDeckCoPA,11/1/2019,3/23/2019,3,"1,096"
CanyonBakehouseLLC,4/9/2019,3/29/2017,223,"11,976"
CapitalCityBankGroupInc,1/22/2019,1/2/2019,5,"11,011"
CapitalOne,8/8/2019,3/22/2019,"2,882","193,741"
CapitalOneNA,7/10/2019,3/12/2019,2,104
CapitalOneNA,8/20/2019,1/28/2019,21,"2,091"
CareNewEngland,11/16/2018,10/29/2018,1,1
Ryan New,,5/27/2019,1,1
CarlsGolflandInc,8/29/2019,3/25/2019,472,"25,022"
CarlsonBuildingMaintenance,5/31/2019,6/8/2018,4,6789
CarusGroupInc,8/2/2019,2/13/2019,28,240
CastlightHealthInc,6/10/2019,4/25/2019,1,71
CenterstoneInsuranceandFinancialServicesdbaBenefitMall,1/4/2019,6/1/2018,88,"117,332"
CentraCareHealthSystem,7/12/2019,4/2/2019,0,"2,085"
CentralMichiganUniversity,8/30/2019,12/7/2018,5,"1,429"
CentrelakeMedicalGroupInc,4/16/2019,1/9/2019,25,"197,661"
CenturionLandTitleInc,4/2/2019,11/16/2018,1048,1246
Century21DepartmentStoresLLC,11/21/2019,8/27/2019,23,"7,213"
CenturySpringCorp,1/8/2019,7/13/2018,57,2263
CernerCorporation,,,,
CertifiedCreditReportingInc,9/23/2019,8/22/2019,14,520
ChannelDistributionCorp,7/17/2019,2/13/2019,1,244
CharBroilLLC,2/12/2019,1/24/2019,1,8
CheckersDriveInRestaurantsInc,5/29/2019,12/17/2015,,
ChernLawLLC,1/25/2019,7/27/2018,543,"13,003"
CherrydaleFundraising,3/15/2019,10/28/2018,117,"13,061"
ChicagoTitleCompanyLLC,8/21/2019,8/5/2019,2,2
ChildrensAutismCenterInc,12/10/2018,11/29/2018,173,173
ChildrensBureauInc,5/9/2019,3/12/2019,244,272
ChildrensHomeSocietyofNorthCarolinaInc,2/28/2019,1/28/2019,3,748
ChildrensHopeAlliance,9/26/2019,4/23/2019,1,"10,744"
ChoiceHotelsInternationalInc,11/29/2019,6/1/2015,"1,957","88,295"
ChristianInvestorsFinancialInc,8/7/2019,4/23/2019,1,200
ChristinaAnderson,,,,
CincinnatiBellInc,6/18/2019,2/11/2019,162,"3,395"
CincinnatiRedsLLC,11/19/2018,3/17/2017,41,1863
CincinnatusSavingsandLoanCo,2/1/2019,5/3/2018,12,100
CISSecureComputingInc,10/10/2019,9/19/2019,1,52
CitizensEnergyGroup,,8/29/2019,1,1
CitizensEquityFirstCreditUnion,2/27/2019,11/15/2018,1,175
CitrixSystemsInc,4/29/2019,10/13/2018,28,"15,820"
CityCollegeofSanFrancisco,6/18/2019,2/11/2019,1,"1,108"
CityFurnitureInc,9/6/2019,5/14/2019,1,"2,199"
CityofCharlottesville,9/27/2019,3/19/2019,14,"10,549"
CityofDekalb,4/24/2019,11/30/2018,8,1091
CIVCOMedicalInstrumentsCoInc,2/15/2019,1/23/2019,1,166
CJProductsInc,2/15/2019,8/30/2017,179,6731
ClarkePowerServices,5/14/2019,6/8/2018,1,16
ClearwaterCreditCompany,10/10/2019,9/13/2019,1,960
CMGroupHoldingsIncdbaCreativeMemories,4/1/2019,1/31/2019,26,1251
CoastalRidgeRealEstatePartners,3/20/2019,1/12/2019,66,1044
CoatesFieldService,4/25/2019,12/9/2018,2,4475
CocaColaBottlingCompanyUnitedInc,7/26/2019,6/19/2018,1,800
CocktailKingdomLLC,3/5/2019,1/16/2019,1,40
ColgateUniversity,4/11/2019,1/19/2019,1,674
ColorStreetLLC,2/5/2019,2/4/2019,13,389
ColosimoEwingSmithLLC,11/13/2019,4/25/2019,4,271
ColumbiaForestProducts,3/29/2019,9/8/2018,2,2391
CombeIncorporated,2/28/2019,1/15/2019,3,240
