Data Intensity,itu-304367,10/1/2018,3,"name, address, ssn, banking info,",phishing
"Toyota Industries North America, Inc.",itu-303820 (1),9/28/2018,87,"full name, home address, date of birth, phone number, financial account information, social security number, photograph of social security card, driver's license number, photograph of driver's license, email address, photograph of birth certificate, photograph of passport, treatment information, prescription information, diagnoses,health plan beneficiary number, and benefits portal username, password and security questions",phishing
"Toyota Industries North America, Inc.",itu-303820 (2),9/28/2018,87,"full name, home address, date of birth, phone number, financial account information, social security number, photograph of social security card, driver's license number, photograph of driver's license, email address, photograph of birth certificate, photograph of passport, treatment information, prescription information, diagnoses,health plan beneficiary number, and benefits portal username, password and security questions",phishing
"Toyota Industries North America, Inc.",itu-303820 (3),9/28/2018,87,"full name, home address, date of birth, phone number, financial account information, social security number, photograph of social security card, driver's license number, photograph of driver's license, email address, photograph of birth certificate, photograph of passport, treatment information, prescription information, diagnoses,health plan beneficiary number, and benefits portal username, password and security questions",phishing
"Toyota Industries North America, Inc.",itu-303820 (4),9/28/2018,87,"full name, home address, date of birth, phone number, financial account information, social security number, photograph of social security card, driver's license number, photograph of driver's license, email address, photograph of birth certificate, photograph of passport, treatment information, prescription information, diagnoses,health plan beneficiary number, and benefits portal username, password and security questions",phishing
"Bauer & Scott, CPAs, LLC",itu-303821,9/28/2018,4,"name, ssn, taxpayer ID number, financial account number",unauthorized access to email account
Power Home Remodeling,itu-303822 (2),9/28/2018,111,"name, address, dob, ssn, income, employer, driver's license",improper use/access by employee
Power Home Remodeling,itu-303822,9/28/2018,111,"name, address, dob, ssn, income, employer, driver's license",improper use/access by employee
"Professional Golf Ball Services, Ltd",itu-303827,9/28/2018,46,"name, address, payment card info",malware
McKenna & Sachs LLC,itu-303828,9/28/2018,1,"name, ssn",unauthorized access to email account
Another Planet Entertainment,itu-303603 (1),9/27/2018,4,"name, ssn, limited medical info",unauthorized access to email
Another Planet Entertainment,itu-303603 (2),9/27/2018,4,"name, ssn, limited medical info",unauthorized access to email
SallieMae,itu-303606,9/27/2018,1,"name, address, ssn, dob, loan account info",unauthorized access
"AEI Fund Management, Inc.",itu-303817 (1),9/27/2018,21,"name, address, ssn, financial account info",unauthorized access to email accounts
"AEI Fund Management, Inc.",itu-303817 (2),9/27/2018,21,"name, address, ssn, financial account info",unauthorized access to email accounts
"AEI Fund Management, Inc.",itu-303817 (3),9/27/2018,21,"name, address, ssn, financial account info",unauthorized access to email accounts
IES Communications,itu-303818,9/27/2018,1,"name, ssn, dln",unauthorized access to email account
"FirstGroup of America, Inc.",itu-303602,9/25/2018,2,"name, ssn, dob, user ID, doctor name",software misconfigured
"Ameriprise Financial, Inc.",itu-303600 (2),9/25/2018,1,"name, ssn, account numbers",package lost in transit
"Ameriprise Financial, Inc.",itu-303600,9/25/2018,1,"name, ssn, account numbers",package lost in transit
YRC Worldwide Inc.,itu-303873,9/24/2018,187,"name, ssn",phishing
Georgia Heirs Property Law Center,itu-303588,9/24/2018,1,"name, driver's license",unauthorized access to email account
Safeco-Mayline,itu-303591,9/24/2018,1,"names, addresses, Social Security numbers, and driver's license numbers",misplaced during facility closing process
DirectPay Payroll Services,itu-303597,9/24/2018,2,"name, date of birth, home address, phone number, social security or other government ID number,financial account information, or personal health information",unauthorized access to email account
Sodexo,itu-303575,9/21/2018,2,"name, address, employee ID, date of birth, and social security number",unauthorized access
"Lutz & Company, P.C.",itu-303580,9/21/2018,,"names, addresses, dates of birth, Social Security numbers, driver's license numbers and bank account numbers",stolen laptop
Recreational Equipment Inc.,itu-303581,9/21/2018,1,"name, passport info, dob, gender",info inadvertently accessible via public internet
Dragas Mortgage Company,itu-303582,9/21/2018,2,"name, Social Security numbers and, for some people, address, driver's license number and/or financial account numbers",email account comrpomised
"Giant Food of Maryland, LLC",itu-303863,9/20/2018,29,"name, payment card numbers",improper use by (now former) employee
The Hanover Insurance Company,itu-303544,9/20/2018,1,"name, dln",unauthorized access to employee email account
Plant Therapy,itu-303562,9/20/2018,35,"names, usernames and passwords, payment card numbers, expiration dates, and security codes.",unauthorized access to web platform
"ESI North America, Inc.",itu-303587,9/20/2018,10,"name, address, ssn, dln, dob",spear phishing
"Tech Rabbit, LLC",itu-303541 (2),9/19/2018,1198,"name, payment card info",unauthorized access
"Tech Rabbit, LLC",itu-303541,9/19/2018,1198,"name, payment card info",unauthorized access
"REDICO Management, Inc.",itu-303542,9/19/2018,1,"name, address, ssn, w2 tax info",spoofed email
The Affiliated Group,itu-303543,9/19/2018,30,"names and Social Security number, medical record number, limited treatment information and/or subscriber ID",phishing
"Whitney Bailey Cox & Magnani, LLC",itu-303533,9/18/2018,,"name, ssn, address, signatures",unauthorized access to network/ emails
University of Maryland University College (UMUC),itu-303537,9/18/2018,68,"name, address, student ID, last four digits of student social security number, month and date of birth as well as course and degree information",software error
"HI Innovation, LLC",itu-303538 (1),9/18/2018,28,"name, dob, address, ssn",unauthorized access to employee email account
"HI Innovation, LLC",itu-303538 (2),9/18/2018,28,"name, dob, address, ssn",unauthorized access to employee email account
"HI Innovation, LLC",itu-303538 (3),9/18/2018,28,"name, dob, address, ssn",unauthorized access to employee email account
Archdiocese of Washington,itu-303539,9/18/2018,237,"name, address, ssn, dob, biometric data",stolen laptop
"Performance Food Group, Inc.",itu-303540,9/18/2018,426,"name, address, ssn, dln",unauthorized access to employee email
Comfort Inn Petersburg,itu-303528 (1),9/17/2018,1,"name, ssn, dln, payment card info",unauthorized access to front desk computer and an email account
Comfort Inn Petersburg,itu-303528 (2),9/17/2018,1,"name, ssn, dln, payment card info",unauthorized access to front desk computer and an email account
"Ebbs, Roberts, Head & Daw Inc.",itu-303529 (1),9/17/2018,8,"name, birth date, telephone number(s), address, social security number, financial account information, and bank account information including account number and routing information",phishing
"Ebbs, Roberts, Head & Daw Inc.",itu-303529 (2),9/17/2018,8,"name, birth date, telephone number(s), address, social security number, financial account information, and bank account information including account number and routing information",phishing
"Prime Mortgage Lending, Inc.",itu-303531,9/17/2018,12,"name, address, ssn, dln, bank accound info, credit/debit info, passport number",phishing
Lion Equity Partners,itu-303532,9/17/2018,2,"name, ssn, dln, payment card info",phishing
"Monroe Capital Holdings, LLC d/b/a Newport Academy",itu-303534,9/17/2018,7,"name, address, tax info",unauthorized access to email account
HSBC,itu-303478 (2),9/14/2018,1,"name, addrss, dob, ssn",info inadvertently emailed to unauthorized third party
HSBC,itu-303478,9/14/2018,1,"name, addrss, dob, ssn",info inadvertently emailed to unauthorized third party
HealthFitness Inc.,itu-303479 (UPDATE),9/14/2018,8,"participants' names and HealthFitness user ID numbers,(and doctor's name was also included for some individuals)",files inadvertently accessible via the internet
HealthFitness Inc.,itu-303479,9/14/2018,8,"participants' names and HealthFitness user ID numbers,(and doctor's name was also included for some individuals)",files inadvertently accessible via the internet
