Reported Date,Org Name,URL,Update Notice
5/31/2019,Historical Emporium Inc,https://ago.vermont.gov/blog/2019/05/31/historical-emporium-inc-sbn-to-consumers/,
5/31/2019,Mediant Communications,https://ago.vermont.gov/blog/2019/05/31/mediant-communications-sbn-to-consumers/,
5/30/2019,Drury Hotels Company LLC,https://ago.vermont.gov/blog/2019/05/30/drury-hotels-company-llc-sbn-to-consumers/,
5/24/2019,National Wildlife Federation,https://ago.vermont.gov/blog/2019/05/24/national-wildlife-federation-sbn-to-consumers/,
5/24/2019,Redtail Technology Inc,https://ago.vermont.gov/blog/2019/05/24/redtail-technology-inc-sbn-to-consumers/,
5/22/2019,Georgia Institute of Technology,https://ago.vermont.gov/blog/2019/05/22/georgia-institute-of-technology-sbn-to-consumers/,
5/21/2019,Smooth-On Inc,https://ago.vermont.gov/blog/2019/05/21/smooth-on-inc-sbn-to-consumers/,
5/21/2019,St. Francis College,https://ago.vermont.gov/blog/2019/05/21/preliminary-st-francis-college-notice-of-data-breach-to-consumers/,
5/17/2019,Aeroflow Healthcare,https://ago.vermont.gov/blog/2019/05/17/aeroflow-healthcare-sbn-to-consumers/,
5/17/2019,Signet Investment Advisory Group,https://ago.vermont.gov/blog/2019/05/17/signet-investment-advisory-group-notice-of-data-breach-to-consumers/,
5/16/2019,RapidScale Inc,https://ago.vermont.gov/blog/2019/05/16/rapidscale-inc-notice-of-data-breach-to-consumers/,
5/14/2019,Amsterdam Printing & Litho,https://ago.vermont.gov/blog/2019/05/14/amsterdam-printing-litho-notice-of-data-breach-to-consumers/,
5/14/2019,Discover,https://ago.vermont.gov/blog/2019/05/14/discover-notice-of-data-breach-to-consumers-6/,
5/13/2019,Cancer Treatment Centers of America,https://ago.vermont.gov/blog/2019/05/13/cancer-treatment-centers-of-america-notice-of-data-breach-to-consumers/,
5/10/2019,Conde Nast,https://ago.vermont.gov/blog/2019/05/10/conde-nast-notice-of-data-breach-to-consumers/,
5/10/2019,General Board of Higher Education and Ministry,https://ago.vermont.gov/blog/2019/05/10/general-board-of-higher-education-and-ministry-notice-of-data-breach-to-consumers/,
5/10/2019,Oklahoma Department of Securties,https://ago.vermont.gov/blog/2019/05/10/oklahoma-department-of-securties-notice-of-data-breach-to-consumers/,
5/10/2019,"The Southeastern Council o Alcoholism and Drug Dependence, Inc",https://ago.vermont.gov/blog/2019/05/10/the-southeastern-council-o-alcoholism-and-drug-dependence-inc-notice-of-data-breach-to-consumers/,
5/10/2019,US Oncology Inc,https://ago.vermont.gov/blog/2019/05/10/us-oncology-inc-notice-of-data-breach-to-consumers/,
5/8/2019,Bed Bath & Beyond Inc.,https://ago.vermont.gov/blog/2019/05/08/bed-bath-beyond-inc-notice-of-data-breach-to-consumers/,
5/8/2019,H&R Block,https://ago.vermont.gov/blog/2019/05/08/hr-block-notice-of-data-breach-to-consumers/,
5/7/2019,Country Financial,https://ago.vermont.gov/blog/2019/05/07/country-financial-notice-of-data-breach-to-consumers/,
5/7/2019,Simon Pearce Inc.,https://ago.vermont.gov/blog/2019/05/07/simon-pearce-inc-notice-of-data-breach-to-consumers/,
4/30/2019,Tacony Corporation,https://ago.vermont.gov/blog/2019/04/30/tacony-corporation-notice-of-data-breach-to-consumers/,
4/29/2019,Supplemental North 40 Outfitter,https://ago.vermont.gov/blog/2019/04/29/supplemental-north-40-outfitter-notice-of-data-breach-to-consumers/,
4/26/2019,Lancaster Archery Supply,https://ago.vermont.gov/blog/2019/04/26/lancaster-archery-supply-notice-of-data-breach-to-consumers/,
4/26/2019,"Paradigm Life Insurance, LLC",https://ago.vermont.gov/blog/2019/04/26/paradigm-life-insurance-llc-notice-of-data-breach-to-consumers/,
4/24/2019,Care.com Inc.,https://ago.vermont.gov/blog/2019/04/24/care-com-inc-notice-of-data-breach-to-consumers/,
4/24/2019,Color Street,https://ago.vermont.gov/blog/2019/04/24/color-street-sbn-to-consumers/,
4/24/2019,Delta Dental of Illinois,https://ago.vermont.gov/blog/2019/04/24/delta-dental-of-illinois-sbn-toconsumers/,
4/24/2019,Doctors Management Service Inc,https://ago.vermont.gov/blog/2019/04/24/doctors-management-service-inc-sbn-to-consumers/,
4/24/2019,Dr TY Steven Ip MD FACS,https://ago.vermont.gov/blog/2019/04/24/dr-ty-steven-ip-md-facs-sbn-to-consumers/,
4/24/2019,flexPATH Strategies LLC,https://ago.vermont.gov/blog/2019/04/24/flexpath-strategies-llc-sbn-to-consumers/,
4/24/2019,Maine Maritime Academy,https://ago.vermont.gov/blog/2019/04/24/maine-maritime-academy-sbn-to-consumers/,
4/23/2019,Seattle University,https://ago.vermont.gov/blog/2019/04/23/seattle-university-notice-of-data-breach-to-consumers/,
4/18/2019,Intuit,https://ago.vermont.gov/blog/2019/04/18/2019-04-15-intuit-sbn-to-consumers/,
4/18/2019,Discover,https://ago.vermont.gov/blog/2019/04/18/discover-sbn-to-consumers-3/,
4/18/2019,Mountain Valley Regional Rehab Hospital,https://ago.vermont.gov/blog/2019/04/18/mountain-valley-regional-rehab-hospital-sbn-to-consumers/,
4/18/2019,"Ronald Snyder, M.D.",https://ago.vermont.gov/blog/2019/04/18/ronald-snyder-m-d-notice-of-data-breach-to-consumers/,
4/18/2019,The Shubert Organization,https://ago.vermont.gov/blog/2019/04/18/the-shubert-organization-sbn-to-consumers/,
4/18/2019,Union Benefit Planners,https://ago.vermont.gov/blog/2019/04/18/union-benefit-planners-sbn-to-consumers/,
4/16/2019,Cincinnatus Savings and Loan,https://ago.vermont.gov/blog/2019/04/16/cincinnatus-savings-and-loan-notice-of-data-breach-to-consumers/,
4/16/2019,Jacor Enterprises LLC dba Volcano eCigs,https://ago.vermont.gov/blog/2019/04/16/jacor-enterprises-llc-dba-volcano-ecigs-notice-of-data-breach-to-consumers/,
4/12/2019,Alana Healthcare,https://ago.vermont.gov/blog/2019/04/12/alana-healthcare-notice-of-data-breach-to-consumers/,
4/12/2019,Merrick Bank,https://ago.vermont.gov/blog/2019/04/12/merrick-bank-notice-of-data-breach-to-consumers/,
4/11/2019,Wingate Wealth Advisors,https://ago.vermont.gov/blog/2019/04/11/wingate-wealth-advisors-notice-of-data-breach-to-consumers/,
4/11/2019,Wingate Wealth Advisors,https://ago.vermont.gov/blog/2019/04/11/wingate-wealth-advisors-notice-of-data-breach-to-consumers-2/,
4/9/2019,Canyon Bakehouse LLC,https://ago.vermont.gov/blog/2019/04/09/canyon-bakehouse-llc-notice-of-data-breach-to-consumers-2/,
4/9/2019,Canyon Bakehouse LLC,https://ago.vermont.gov/blog/2019/04/09/canyon-bakehouse-llc-notice-of-data-breach-to-consumers/,
4/9/2019,Colgate University Redacted,https://ago.vermont.gov/blog/2019/04/09/colgate-university-redacted-notice-of-data-breach-to-consumers/,
4/9/2019,Duke University,https://ago.vermont.gov/blog/2019/04/09/duke-university-notice-of-data-breach-to-consumers/,
4/5/2019,Community College of Allegheny County,https://ago.vermont.gov/blog/2019/04/05/community-college-of-allegheny-county-notice-of-data-breach-to-consumers/,
4/5/2019,"Jobscience, Inc",https://ago.vermont.gov/blog/2019/04/05/jobscience-inc-notice-of-data-breach-to-consumers/,
4/3/2019,"Collier Heggerness & Bronk CPA’s PS Inc.,",https://ago.vermont.gov/blog/2019/04/03/collier-heggerness-bronk-cpas-ps-inc-notice-of-data-breach-to-consumers/,
4/3/2019,"RSC Insurance Brokerage, Inc.",https://ago.vermont.gov/blog/2019/04/03/rsc-insurance-brokerage-inc-notice-of-data-breach-to-consumers/,
4/2/2019,"Auto Truck Kargo Equipment, LLC",https://ago.vermont.gov/blog/2019/04/02/auto-truck-kargo-equipment-llc-notice-of-data-breach-to-consumers/,
4/2/2019,Key West Hotels LLC,https://ago.vermont.gov/blog/2019/04/02/key-west-hotels-llc-notice-of-data-breach-to-consumers/,
4/2/2019,"The City of Winter Park, Florida",https://ago.vermont.gov/blog/2019/04/02/the-city-of-winter-park-florida-notice-of-data-breach-to-consumers/,
4/1/2019,CM Group Holdings-Creative Memories,https://ago.vermont.gov/blog/2019/04/01/cm-group-holdings-creative-memories-notice-of-data-breach-to-consumers/,
3/29/2019,Coinmama-New Bit Ventures Ltd,https://ago.vermont.gov/blog/2019/03/29/coinmama-new-bit-ventures-ltd-notice-of-data-breach-to-consumers/,
3/29/2019,Columbia Forest Products,https://ago.vermont.gov/blog/2019/03/29/columbia-forest-products-notice-of-data-breach-to-consumers/,
3/29/2019,Earl Enterprises,https://ago.vermont.gov/blog/2019/03/29/earl-enterprises-notice-of-data-breach-to-consumers/,
3/29/2019,Fellowship of Catholic University Students,https://ago.vermont.gov/blog/2019/03/29/fellowship-of-catholic-university-students-notice-of-data-breach-to-consumers/,
3/28/2019,University of Vermont,https://ago.vermont.gov/blog/2019/03/28/university-of-vermont-notice-of-data-breach-to-consumers/,
3/25/2019,Superior Dental Care,https://ago.vermont.gov/blog/2019/03/25/superior-dental-care-notice-of-data-breach-to-consumers/,
3/22/2019,Brighton Collectibles,https://ago.vermont.gov/blog/2019/03/22/brighton-collectibles-notice-of-data-breach-to-consumers/,
3/22/2019,Navicent Health,https://ago.vermont.gov/blog/2019/03/22/navicent-health-notice-of-data-breach-to-consumers/,
3/22/2019,TriBike Transport,https://ago.vermont.gov/blog/2019/03/22/tribike-transport-notice-of-data-breach-to-consumers/,
3/21/2019,Tempo Inc,https://ago.vermont.gov/blog/2019/03/21/tempo-inc-notice-of-data-breach-to-consumers/,
3/21/2019,WesternTechnical College,https://ago.vermont.gov/blog/2019/03/21/westerntechnical-college-notice-of-data-breach-to-consumers/,
3/18/2019,EMC Business Solutions,https://ago.vermont.gov/blog/2019/03/18/emc-business-solutions-notice-of-data-breach-to-consumers/,
3/18/2019,"Eye Buy Direct, Inc",https://ago.vermont.gov/blog/2019/03/18/eye-buy-direct-inc-notice-of-data-breach-to-consumers/,
3/18/2019,Kathmandu Limited,https://ago.vermont.gov/blog/2019/03/18/kathmandu-limited-notice-of-data-breach-to-consumers/,
3/15/2019,Cherrydale Fundraising,https://ago.vermont.gov/blog/2019/03/15/cherrydale-fundraising-notice-of-data-breach-to-consumers/,
3/15/2019,Cremation Society of Pennsylvania,https://ago.vermont.gov/blog/2019/03/15/cremation-society-of-pennsylvania-notice-of-data-breach-to-consumers/,
3/14/2019,Discover,https://ago.vermont.gov/blog/2019/03/14/discover-notice-of-data-breach-to-consumers-5/,
3/13/2019,James Perse Enterprises,https://ago.vermont.gov/blog/2019/03/13/james-perse-enterprises-notice-of-data-breach-to-consumers/,
3/12/2019,Harland Clarke Corp,https://ago.vermont.gov/blog/2019/03/12/harland-clarke-corp-notice-of-data-breach-to-consumers/,
3/12/2019,International Vapor Group,https://ago.vermont.gov/blog/2019/03/12/international-vapor-group-notice-of-data-breach-to-consumers-2/,
3/12/2019,International Vapor Group,https://ago.vermont.gov/blog/2019/03/12/international-vapor-group-notice-of-data-breach-to-consumers/,
3/12/2019,Intuit Inc. Turbo Tax,https://ago.vermont.gov/blog/2019/03/12/intuit-inc-turbo-tax-notice-of-data-breach-to-consumers/,
3/12/2019,Rutland Regional Medical Center,https://ago.vermont.gov/blog/2019/03/12/rutland-regional-medical-center-notice-of-data-breach-to-consumers/,
3/11/2019,Bamboo HR LLC,https://ago.vermont.gov/blog/2019/03/11/bamboo-hr-llc-notice-of-data-breach-to-consumers/,
3/11/2019,Polaris Real Estate Partners,https://ago.vermont.gov/blog/2019/03/11/polaris-real-estate-partners-notice-of-data-breach-to-consumers/,
3/8/2019,Emerson Hospital,https://ago.vermont.gov/blog/2019/03/08/emerson-hospital-notice-of-data-breach-to-consumers/,
3/8/2019,"Stevens, Powell & Company, P.A.",https://ago.vermont.gov/blog/2019/03/08/stevens-powell-company-p-a-notice-of-data-breach-to-consumers/,
3/8/2019,Supplemental OnCourse Learning Corp,https://ago.vermont.gov/blog/2019/03/08/supplemental-oncourse-learning-corp-notice-of-data-breach-to-consumers/,
3/8/2019,Velan Studios,https://ago.vermont.gov/blog/2019/03/08/velan-studios-notice-of-data-breach-to-consumers/,
3/7/2019,Rush,https://ago.vermont.gov/blog/2019/03/07/rush-notice-of-data-breach-to-consumers/,
3/6/2019,Rocket Dollar Inc,https://ago.vermont.gov/blog/2019/03/06/rocket-dollar-inc-sbn-to-consumers/,
3/4/2019,St. Francis Physician Servcies,https://ago.vermont.gov/blog/2019/03/04/st-francis-physician-servcies-notice-of-data-breach-to-consumers/,
3/4/2019,"Temptu, Inc.",https://ago.vermont.gov/blog/2019/03/04/temptu-inc-notice-of-data-breach-to-consumers/,
2/27/2019,BLD-AssuredPartners,https://ago.vermont.gov/blog/2019/02/27/bld-assuredpartners-notice-of-data-breach-to-consumers/,
2/26/2019,"Capital Asset Management Group, Inc.",https://ago.vermont.gov/blog/2019/02/26/capital-asset-management-group-inc-notice-of-data-breach-to-consumers/,
2/25/2019,DiPardo Eremic & Co. CPA’s,https://ago.vermont.gov/blog/2019/02/25/dipardo-eremic-co-cpas-notice-of-data-breach-to-consumers/,
2/25/2019,Discover,https://ago.vermont.gov/blog/2019/02/25/discover-notice-of-data-breach-to-consumers-4/,
2/25/2019,"Investment Professionals, Inc",https://ago.vermont.gov/blog/2019/02/25/investment-professionals-inc-notice-of-data-breach-to-consumers-2/,
2/25/2019,"Investment Professionals, Inc",https://ago.vermont.gov/blog/2019/02/25/investment-professionals-inc-notice-of-data-breach-to-consumers/,
2/25/2019,Pasquotank County,https://ago.vermont.gov/blog/2019/02/25/pasquotank-county-notice-of-data-breach-to-consumers/,
2/22/2019,Direct Scripts,https://ago.vermont.gov/blog/2019/02/22/direct-scripts-notice-of-data-breach-to-consumers/,
2/22/2019,Intuit,https://ago.vermont.gov/blog/2019/02/22/intuit-notice-of-data-breach-to-consumers/,
2/22/2019,Welk Resort Group,https://ago.vermont.gov/blog/2019/02/22/welk-resort-group-notice-of-data-breach-to-consumers/,
2/21/2019,"Data Facts, Inc",https://ago.vermont.gov/blog/2019/02/21/data-facts-inc-notice-of-data-breach-to-consumers/,
2/21/2019,"Direct Distributors, Inc",https://ago.vermont.gov/blog/2019/02/21/direct-distributors-inc-notice-of-data-breach-to-consumers/,
2/21/2019,Rennline Automotive,https://ago.vermont.gov/blog/2019/02/21/rennline-automotive-notice-of-data-breach-to-consumers/,
2/21/2019,The Topps Company Inc.,https://ago.vermont.gov/blog/2019/02/21/the-topps-company-inc-notice-of-data-breach-to-consumers/,
2/19/2019,Wentworth Institute of Technology,https://ago.vermont.gov/blog/2019/02/19/wentworth-institute-of-technology-notice-of-data-breach-to-consumers/,
2/15/2019,Five Below Inc,https://ago.vermont.gov/blog/2019/02/15/2018-10-05-five-below-inc-sbn-to-consumers/,
2/15/2019,North 40,https://ago.vermont.gov/blog/2019/02/15/north-40-sbn-to-consumers/,
2/15/2019,Pillow Pets,https://ago.vermont.gov/blog/2019/02/15/pillow-pets-notice-of-data-breach-to-consumers/,
2/15/2019,Print EZ,https://ago.vermont.gov/blog/2019/02/15/print-ez-notice-of-data-breach-to-consumers/,
2/12/2019,Ascension Data & Analytics LLC,https://ago.vermont.gov/blog/2019/02/12/ascension-data-analytics-llc-sbn-to-consumers/,
2/8/2019,"American Tire Distributors, Inc.",https://ago.vermont.gov/blog/2019/02/08/american-tire-distributors-inc-notice-of-data-breach-to-consumers/,
2/8/2019,"American Tire Distributors, Inc.",https://ago.vermont.gov/blog/2019/02/08/american-tire-distributors-inc-notice-of-data-breach-to-consumers-2/,
2/8/2019,"Dunkin Brands, Inc.",https://ago.vermont.gov/blog/2019/02/08/dunkin-brands-inc-notice-of-data-breach-to-consumers-2/,
2/8/2019,"Katz, Sapper & Miller",https://ago.vermont.gov/blog/2019/02/08/katz-sapper-miller-notice-of-data-breach-to-consumers/,
2/6/2019,Akwa Vista LLC,https://ago.vermont.gov/blog/2019/02/06/akwa-vista-llc-notice-of-data-breach-to-consumers/,
2/6/2019,Akwa Vista LLC SNotice of Data Breach,https://ago.vermont.gov/blog/2019/02/06/akwa-vista-llc-snotice-of-data-breach-to-consumers/,
2/6/2019,Graf & Sons Inc.,https://ago.vermont.gov/blog/2019/02/06/grav-sons-inc-notice-of-data-breach-to-consumers/,
2/6/2019,Graf & Sons Inc.,https://ago.vermont.gov/blog/2019/02/06/graf-sons-inc-notice-of-data-breach-to-consumers/,
2/6/2019,Pharmacy Times Office fo Continuing Professional Education LLC,https://ago.vermont.gov/blog/2019/02/06/pharmacy-times-office-fo-continuing-professional-education-llc-notice-of-data-breach-to-consumers-2/,
2/6/2019,Pharmacy Times Office fo Continuing Professional Education LLC,https://ago.vermont.gov/blog/2019/02/06/pharmacy-times-office-fo-continuing-professional-education-llc-notice-of-data-breach-to-consumers/,
2/5/2019,Abbott Laboratories,https://ago.vermont.gov/blog/2019/02/05/abbott-laboratories-notice-of-data-breach-to-consumers/,
2/5/2019,Abbott Laboratories,https://ago.vermont.gov/blog/2019/02/05/abbott-laboratories-notice-of-data-breach-to-consumers-2/,
2/5/2019,Don Best Sports Corporation and DBS Canada Corporation,https://ago.vermont.gov/blog/2019/02/05/don-best-sports-corporation-and-dbs-canada-corporation-notice-of-data-breach-to-consumers/,
1/31/2019,"Borough of Beach Haven, New Jersey",https://ago.vermont.gov/blog/2019/01/31/borough-of-beach-haven-new-jersey-notice-of-data-breach-to-consumers/,
1/31/2019,"Borough of Beach Haven, New Jersey",https://ago.vermont.gov/blog/2019/01/31/borough-of-beach-haven-new-jersey-notice-of-data-breach-to-consumers-2/,
1/31/2019,Defenders Inc,https://ago.vermont.gov/blog/2019/01/31/defenders-inc-notice-of-data-breach-to-consumers/,
1/31/2019,Reliable Respiratory,https://ago.vermont.gov/blog/2019/01/31/reliable-respiratory-notice-of-data-breach-to-consumers/,
1/31/2019,Saline Picture Frame Company,https://ago.vermont.gov/blog/2019/01/31/saline-picture-frame-company-notice-of-data-breach-to-consumers/,
1/31/2019,Supplemental Reliable REspiratory,https://ago.vermont.gov/blog/2019/01/31/supplemental-reliable-respiratory-notice-of-data-breach-to-consumers/,
1/30/2019,"Image-I-Nation Technologies, Inc.",https://ago.vermont.gov/blog/2019/01/30/2019-01-30-image-i-nation-technologies-inc-notice-of-data-breach-to-consumers/,
1/30/2019,"Image-I-Nation Technologies, Inc.",https://ago.vermont.gov/blog/2019/01/30/image-i-nation-technologies-inc-notice-of-data-breach-to-consumers/,
1/29/2019,AdventHealth Medical Group,https://ago.vermont.gov/blog/2019/01/29/adventhealth-medical-group-sbn-to-consumers/,
1/25/2019,AdventHealth Medical Group,https://ago.vermont.gov/blog/2019/01/25/adventhealth-medical-group-notice-of-data-breach-to-consumers/,
1/25/2019,Association of National Advertisers,https://ago.vermont.gov/blog/2019/01/25/association-of-national-advertisers-sbn-to-consumers/,
1/25/2019,Dr DeLuca Dr. Marciano Associates PC,https://ago.vermont.gov/blog/2019/01/25/dr-deluca-dr-marciano-associates-pc-sbn-to-consumers/,
1/25/2019,"Dr. DeLuca Dr. Marciano & Associates, P.C.",https://ago.vermont.gov/blog/2019/01/25/dr-deluca-dr-marciano-associates-p-c-notice-of-data-breach-to-consumers/,
1/25/2019,NCH Corporation,https://ago.vermont.gov/blog/2019/01/25/nch-corporation-notice-of-data-breach-to-consumers/,
1/25/2019,NCH Corporation,https://ago.vermont.gov/blog/2019/01/25/nch-corporation-sbn-to-consumers/,
1/25/2019,Nova Southeastern University,https://ago.vermont.gov/blog/2019/01/25/nova-southeastern-university-notice-of-data-breach-to-consumers/,
1/25/2019,Nova Southeastern University,https://ago.vermont.gov/blog/2019/01/25/nova-southeastern-university-sbn-to-consumers/,
1/25/2019,Wausau MedMal Management Services,https://ago.vermont.gov/blog/2019/01/25/wausau-medmal-management-services-sbn-to-consumers/,
1/24/2019,RevolutionParts,https://ago.vermont.gov/blog/2019/01/24/revolutionparts-notice-of-data-breach-to-consumers/,
1/23/2019,ALM Media,https://ago.vermont.gov/blog/2019/01/23/alm-media-notice-of-data-breach-to-consumers/,
1/23/2019,American Councils for International Education,https://ago.vermont.gov/blog/2019/01/23/american-councils-for-international-education-notice-of-data-breach-to-consumers/,
1/23/2019,Discover,https://ago.vermont.gov/blog/2019/01/23/discover-sbn-to-consumers-2/,
1/23/2019,Valley Hope Association,https://ago.vermont.gov/blog/2019/01/23/valley-hope-association-notice-of-data-breach-to-consumers/,
1/17/2019,"Aetrex Worldwide, Inc.",https://ago.vermont.gov/blog/2019/01/17/aetrex-worldwide-inc-notice-of-data-breach-to-consumers/,
1/17/2019,"Agency of Human Services, DCF, OCS",https://ago.vermont.gov/blog/2019/01/17/agency-of-human-services-dcf-ocs-notice-of-data-breach-to-consumers/,
1/17/2019,"Capital City Bank Group, Inc.",https://ago.vermont.gov/blog/2019/01/17/capital-city-bank-group-inc-notice-of-data-breach-to-consumers/,
1/17/2019,Vermont Agency of Human Services-DVHA-Maximus,https://ago.vermont.gov/blog/2019/01/17/vermont-agency-of-human-services-dvha-maximus-notice-of-data-breach-to-consumers/,
1/16/2019,Reliant Rehabilitation,https://ago.vermont.gov/blog/2019/01/16/reliant-rehabilitation-notice-of-data-breach-to-consumers/,
1/11/2019,International E-Z UP,https://ago.vermont.gov/blog/2019/01/11/international-e-z-up-notice-of-data-breach-to-consumers/,
1/9/2019,A&A Global Imports,https://ago.vermont.gov/blog/2019/01/09/aa-global-imports-notice-of-data-breach-to-consumers/,
1/7/2019,Vermont Agency of Human Services – VDH,https://ago.vermont.gov/blog/2019/01/07/vermont-agency-of-human-services-vdh-notice-of-data-breach-to-consumers/,
1/3/2019,Welders Supply,https://ago.vermont.gov/blog/2019/01/03/welders-supply-notice-of-data-breach-to-consumers/,
12/31/2018,Aimbridge Hospitality,https://ago.vermont.gov/blog/2018/12/31/aimbridge-hospitality-notice-of-data-breach-to-consumers/,
12/28/2018,OXO,https://ago.vermont.gov/blog/2018/12/28/oxo-notice-of-data-breach-to-consumers-2/,
12/28/2018,Wolverine Solutions Group,https://ago.vermont.gov/blog/2018/12/28/wolverine-solutions-group-snotice-of-data-breach-to-consumers/,
12/26/2018,4A's Benefits,https://ago.vermont.gov/blog/2018/12/26/4as-benefits-notice-of-data-breach-to-consumers/,
12/26/2018,Bel USA,https://ago.vermont.gov/blog/2018/12/26/bel-usa-notice-of-data-breach-to-consumers/,
12/21/2018,Benchmade Knife Company,https://ago.vermont.gov/blog/2018/12/21/benchmade-knife-company-notice-of-data-breach-to-consumers/,
12/20/2018,Caribou Coffee Company-Bruggers Enterprises),https://ago.vermont.gov/blog/2018/12/20/caribou-coffee-company-bruggers-enterprises-notice-of-data-breach-to-consumers/,
12/20/2018,Kestra Investment,https://ago.vermont.gov/blog/2018/12/20/kestra-investment-notice-of-data-breach-to-consumers/,
12/20/2018,Warby Parker – Jand Inc,https://ago.vermont.gov/blog/2018/12/20/warby-parker-jand-inc-notice-of-data-breach-to-consumers/,
12/19/2018,Discover,https://ago.vermont.gov/blog/2018/12/19/discover-notice-of-data-breach-to-consumers/,
12/17/2018,Dr Ben Lynch LLC,https://ago.vermont.gov/blog/2018/12/17/dr-ben-lynch-llc-notice-of-data-breach-to-consumers/,
12/14/2018,Century Spring,https://ago.vermont.gov/blog/2018/12/14/century-spring-notice-of-data-breach-to-consumers/,
12/14/2018,Exude Inc,https://ago.vermont.gov/blog/2018/12/14/exude-inc-notice-of-data-breach-to-consumers/,
12/14/2018,Infowarstore.com-Free Speech Systems,https://ago.vermont.gov/blog/2018/12/14/infowarstore-com-free-speech-systems-sbn-to-consumers/,
12/14/2018,Infowarstore.com-Free Speech Systems,https://ago.vermont.gov/blog/2018/12/14/infowarstore-com-free-speech-systems-notice-of-data-breach-to-consumers/,
12/12/2018,Okabena,https://ago.vermont.gov/blog/2018/12/12/okabena-sbn-to-consumers/,
12/12/2018,Ronin Gallery,https://ago.vermont.gov/blog/2018/12/12/ronin-gallery-notice-of-data-breach-to-consumers/,
12/10/2018,East End Disability Associates,https://ago.vermont.gov/blog/2018/12/10/east-end-disability-associates-notice-of-data-breach-to-consumers/,
12/10/2018,Frontier Wealth Management,https://ago.vermont.gov/blog/2018/12/10/frontier-wealth-management-notice-of-data-breach-to-consumers/,
12/7/2018,Robert Graham Designs,https://ago.vermont.gov/blog/2018/12/07/robert-graham-designs-sbn-to-consumers/,
12/7/2018,Robert Graham Designs,https://ago.vermont.gov/blog/2018/12/07/robert-graham-designs-notice-of-data-breach-to-consumers/,
12/4/2018,Synchrony,https://ago.vermont.gov/blog/2018/12/04/synchrony-notice-of-data-breach-to-consumers/,
11/30/2018,Altar’d State,https://ago.vermont.gov/blog/2018/11/30/altard-state-notice-of-data-breach-to-consumers/,
11/30/2018,Marriott International,https://ago.vermont.gov/blog/2018/11/30/marriott-international-notice-of-data-breach-to-consumers/,
11/30/2018,Ontario Inc,https://ago.vermont.gov/blog/2018/11/30/ontario-inc-notice-of-data-breach-to-consumers/,
11/30/2018,"Rosenberg & Manente, PLLC",https://ago.vermont.gov/blog/2018/11/30/rosenberg-manente-pllc-notice-of-data-breach-to-consumers/,
11/29/2018,Equity Concepts LLC,https://ago.vermont.gov/blog/2018/11/29/equity-concepts-llc-notice-of-data-breach-to-consumers/,
11/29/2018,Sothebys Home,https://ago.vermont.gov/blog/2018/11/29/sothebys-home-notice-of-data-breach-to-consumers/,
11/28/2018,Dunkin Brands Inc,https://ago.vermont.gov/blog/2018/11/28/dunkin-brands-inc-notice-of-data-breach-to-consumers/,
