Organization,Date
El Paso-Los Angeles Limousine Express Notice of Data Breach to Consumers,11/2/2018
OXO Notice of Data Breach to Consumers,11/1/2018
2018-10-25 Discover SBN to Consumers,10/25/2018
Net32 Inc SBN to Consumers,10/25/2018
STL International Inc ? Teeter SBN to Consumers,10/25/2018
Strategic Risk Solutions Notice of Data Breach to Consumers,10/22/2018
"Challenger Sports, Inc. Notice of Data Breach to Consumers",10/22/2018
"Gale & McAllister, PLLC Notice of Data Breach to Consumers",10/19/2018
Tallahassee Memorial Healthcare Notice of Data Breach to Consumers,10/17/2018
Envision Healthcare Corporation SBN to Consumers,10/10/2018
Alaskans for Dan Sullivan Notice of Data Breach to Consumers,10/10/2018
Dragas Mortgage Co Notice of Data Breach to Consumers,10/9/2018
"Roadrunner Transporation System, Inc Notice of Data Breach to Consumers",10/9/2018
Five Below Inc. Notice of Data Breach to Consumers,10/5/2018
California State University East Bay Notice of Data Breach to Consumers,10/5/2018
Notice of Data Breach to Consumers,10/5/2018
Professional Publications Inc Notice of Data Breach to Consumers,10/4/2018
Plant Therapy SBN Notice of Data Security Incident to Consumers,9/30/2018
McKenna & Sachs LLC SBN to Consumer Notice of Data Breach to Consumers,9/28/2018
Aflac Notice of Data Breach to Consumers,9/28/2018
2018-09-20 Plant Therapy Notice of Data Security Incident to Consumers,9/20/2018
2018-09-20 YRC Worldwide Inc. Notice of Data Breach to Consumers,9/20/2018
Garretson Resolution Group Inc Email Phishing Incident Notice to Consumers,9/19/2018
2018-09-19 The Affiliated Group Notice of Data Breach to Consumers,9/19/2018
"2018-09-18 Peaceful Valley Farm Supply, Inc Notice of Data Breach to Consumers",9/18/2018
Discover Notice of Data Breach to Consumers,9/17/2018
"2018-09-14 Kyocera Documents Solutions New England, Inc Notice of Data Breach to Consumers",9/14/2018
2018-09-14 Stein Mart Inc. Notice of Data Breach to Consumers,9/14/2018
2018-09-14 Title Nine Notice of Data Breach to Consumers,9/14/2018
2018-09-13 Tauck Notice of Data Breach to Consumers,9/13/2018
Richard Owen Nursery Inc Notice of Data Breach to Consumers,9/12/2018
Lillebaby Notice of Data Breach to Consumers,9/12/2018
"2018-09-12 Nardella & Taylor, LLP Notice of Data Breach to Consumers",9/12/2018
David G Simon DMD Security Breach Notice to Consumers,9/3/2018
North American Risk Services Inc Notice of Data Breach to Consumers,8/31/2018
Movement Mortgage LLC Notice of Data Breach to Consumers,8/31/2018
Augusta University Data Secuirty Incident Notice to Consumers,8/29/2018
Williams Sonoma Inc Notice of Security Breach to Consumers,8/28/2018
2018-08-23 REEB Millwork Corporation Notice of Data Breach to Consumers,8/23/2018
2018-08-22 Cheddar?s Scratch Kitchen Notice of Data Breach to Consumers,8/22/2018
Munro SBN to Consumers,8/21/2018
CNG Financial Corporation Inc Notice of Data Breach to Consumers,8/20/2018
Whitmer Company CPAs LLP Notice of Data Breach to Consumers,8/20/2018
Cain Watters Associates Data Security Incident Notice to Consumers,8/20/2018
2018-08-17 Dallas County Community College District Notice of Data Breach to Consumers,8/17/2018
2018-08-15 Discover Notice of Data Breach to Consumers,8/15/2018
TCM Bank N A Data Security Incident Notice to Consumers,8/7/2018
North American Power Security Incident Notice to Consumers,8/3/2018
"Our Honeymoon Wishes, Inc. Security Incident Notice to Consumers",8/3/2018
Yoakum National Bank Security Incident Notice to Consumers,8/2/2018
Department of Vermont Health Access Security Incident Notice to Consumers,7/31/2018
LifeBridge Health Data Breach Notice to Consumers,7/30/2018
Loyola University Chicago Notice of Unauthorized Access to Confidential Information,7/30/2018
TradeMotion LLC Notice of Data Breach to Consumers,7/30/2018
Sunspire Health Notice of Data Breach to Consumers,7/27/2018
Yale University Data Security Incident Notice to Consumers,7/27/2018
Optoma Technologies Security Incident Notice to Consumers,7/26/2018
Southern College of Optometry Security Breach Notice to Consumers,7/25/2018
Clark University Security Incident Notice to Consumers,7/20/2018
Spinnaker Trust Security Incident Notice to Consumers,7/20/2018
NorthStar Anesthesia Data Privacy Notice to Consumers,7/20/2018
Helly Hansen Notice of Data Breach to Consumers,7/19/2018
CBIZ MHM LLC Security Incident Notice to Consumers,7/18/2018
Blue Spring Family Care PC Security Incident Notice to Consumers,7/18/2018
McDonald Hopkins PLC Security Incident Notice to Consumers,7/18/2018
2018-07-17 Discover Notice of Data Breach to Consumers,7/17/2018
Pinnacle Trailer Sales Inc Security Incident Notice to Consumers,7/16/2018
City of Bozeman Montana Security Incident Notice to Consumers,7/16/2018
Automated Pet Care Products Inc Notice of Data Security Incident to Consumers,7/13/2018
Howard Center Notice of Data Breach to Consumers,7/13/2018
Toms Shoes Notice of Data Breach to Consumers,7/13/2018
Tommie Copper Inc Notice of Data Breach to Consumers,7/11/2018
The Fruitful Yield Inc Notice of Security Incident to Consumers,7/11/2018
Toyo Tire Holdings of Americas Inc Notice of Data Breach to Consumers,7/9/2018
Terteling Company Inc Notice of Data Breach to Consumers,7/9/2018
Paquin Notice of Data Breach to Consumers,7/6/2018
International Mission Board Notice of Data Breach to Consumers,7/6/2018
Career Technology Education Centers of Licking County Notice of Data Breach to Consumers,7/5/2018
MSK Group PC Notice of Security Incident to Consumers,7/5/2018
The Information and Referral Federation of Los Angeles County Inc Notice of Data Breach to Consumers,7/5/2018
Village of Wellington Notice of Security Incident to Consumers,7/5/2018
Macy?s Notice of Data Breach to Consumers,7/2/2018
Jefferies LLC Notice of Security Incident to Consumers,7/2/2018
TCI Notice of Data Breach to Consumers,6/29/2018
North Colonie Central School District Notice of Security Incident to Consumers,6/27/2018
GreatBanc Trust Company Notice of Data Breach to Consumers,6/25/2018
Penn Mutual Notice to Consumers,6/25/2018
Capital Integration Systems LLC Notice of Email Phishing,6/25/2018
ERFC Data Security Incident to Consumers,6/25/2018
Manchester Capital Management LLC Data Breach Notice to Consumers,6/21/2018
Discover Notice of Security Breach to Consumers,6/20/2018
REvUp Notice of Security Incident to Consumers,6/20/2018
City of Goodyear Notice of Data Breach to Consumers,6/18/2018
OFD Foods LLC Notice of Data Breach to Consumers,6/18/2018
HealthEquity Inc Notice of Data Breach to Consumers,6/13/2018
Ithaca College Notice of Security Incident to Consumers,6/13/2018
OFD Foods LLC Notice of Data Breach to Consumers,6/13/2018
Highgate Hotels LP Information Incident Notice to Consumers,6/11/2018
Corporation Service Company Notice of Data Breach,6/11/2018
Weichert Co Data Security Incident Letter to Consumers,6/11/2018
Wilkins Reinicke Co PC Notice of Data Breach to Consumers,6/8/2018
Elmcroft Senior Living Inc Notice of Data Breach,6/8/2018
Total Phase Inc Security Incident Notice to Consumers,6/8/2018
Lutz Carr CPAs LLP Informational Notice to Consumers,6/7/2018
Systeme Software Inc Notice of Data Breach to Consumers,6/7/2018
Evolution Hospitality LLC Notice of Data Breach to Consumers,6/7/2018
Weil Akman Baylin Coleman PA Data Incident Notice to Consumers,6/7/2018
Blue Cross and Blue Shield of Illinois Notice of Data Breach to Consumers,6/6/2018
St. Mary?s Health Inc Security Notification Letter to Consumers,6/5/2018
Walgreen Co Fraudulent Alert Notice to Consumers,6/5/2018
Stein Eriksen Lodge Hotel Data Incident Notice to Consumers,6/1/2018
Temecula Motorsports Inc Notice of Data Breach to Consumers,5/31/2018
Rail Europe SAS Notice of Data Breach to Consumers,5/30/2018
PrintingCenterUSA.com Information Disclosure to Consumers,5/29/2018
Pendleton Square Trust Company Notice to Consumers,5/25/2018
Luxury Retreats Data Incident Notice to Consumers,5/24/2018
National Railraod Passenger Corporation Notice of Data Breach to Consumers,5/23/2018
Coca-Cola Company Notice of Data Breach to Consumers,5/23/2018
Uno Alla Volta LLC Security Breach Notification to Consumers,5/22/2018
Bombas LLC Notice of Data Breach To Consumers,5/22/2018
Humana Notice of Data Breach to Consumers,5/21/2018
Brinker International Data Incident Notice to Consumers,5/18/2018
2018-05-17 Corporation Service Company Notice of Data Breach,5/17/2018
Discover Notice of Data Breach to Consumers,5/16/2018
Cable Hill Notice of Data Breach to Consumers,5/16/2018
Taskrabbit Notice of Data Breach to Consumers,5/9/2018
SP Industries Inc Notice of Data Breach to Consumers,5/8/2018
Global University Notice of Data Breach to Consumers,5/8/2018
USACS Management Group Ltd Data Breach Notice to Consumers,5/8/2018
Amtrak Notice of Data Breach to Consumers,5/4/2018
Alaska Airlines Notice of Data Breach to Consumers,5/4/2018
Orbitz Notice of Data Breach to Consumers,5/3/2018
National Restaurant Association Notice of Data Breach to Consumers,4/30/2018
Rutland Regional Medical Center Data Privacy Incident Notice to Consumers,4/27/2018
MedWatch LLC Privacy Notice to Consumers,4/27/2018
CPT Group Inc Security Incident,4/27/2018
Cetera Advisors LLC Notice to Consumers,4/26/2018
Carolina Digestive Health Associates Data Security Incident,4/26/2018
Intuit Inc Turbo Tax Security Review to Consumers,4/26/2018
Sears Holdings vendor security incident notice to consumers,4/25/2018
Atrium Hospitality Notice of Data Breach to Consumers,4/24/2018
Trust Company of the South Notice of Data Breach to Consumers,4/24/2018
Capital Digestive Care Data Security Incident to Consumers,4/23/2018
Southwest Airlines Co Notice of Data Incident to Consumers,4/20/2018
American Esoteric Laboratories Notice of Data Breach to Consumers,4/20/2018
Best Buy Co Inc Notice of Data Breach to Consumers,4/20/2018
WW Grainger Inc Notice of Third party Data Breach to Consumers,4/19/2018
Michael Gruber DMD PA Notice to Consumers,4/19/2018
Strategic Analysis Inc Notice of Data Breach to Consumers,4/19/2018
Discover SBN to Consumers,4/18/2018
Temp-Tations Home LLC to Consumers,4/16/2018
BTCE Inc SBN to Consumers,4/16/2018
Delta Air Lines Inc SBN,4/16/2018
Inogen Inc SBN to Consumers,4/13/2018
MedWatch LLC SBN to Consumers,4/13/2018
Peoples United Notice of Data Breach to Consumers,4/12/2018
Custom Personalization Solutions LLC Notice of Data Breach to Consumers,4/11/2018
Custom Personalization Solutions LLC to Consumers,4/11/2018
PF@Com Inc to Consumers,4/11/2018
Autism Learning Partners Holdings LLC to Consumers,4/6/2018
John Y Trent & Associations LLC to Consumers,4/4/2018
Interval International Inc Security Breach Noticee Ltr to Consumers,4/4/2018
Springer Science and Business Media LLC Security Notification to Consumers,4/3/2018
JC Penney Corporation Inc Notice of Data Breach to Consumers,4/3/2018
Blue Beacon Notice of Data Breach to Consumers,4/3/2018
Lincoln Financial SBN to Consumers,4/2/2018
Thermo Fisher Scientific SBN to Consumers,3/30/2018
Fred Usinger Inc Notice of Data Breach to Consumers,3/29/2018
Shutterfly Notice of Data Breach to Consumers,3/28/2018
Shutterfly SBN to Consumers,3/28/2018
Manduka Notice of Data Breach to Consumers,3/27/2018
Friedman Leavitt & Associates Inc SBN to Consumers,3/27/2018
NFP Property and Casualty Services Inc SBN to Consumers,3/23/2018
Orbitz Notice of Data Breach to Consumers,3/22/2018
CPLSE Notice of Data Breach to Consumers,3/21/2018
American Express Travel Related Services Co Inc Notice of Data Breach,3/16/2018
Intuit Inc Turbo Tax Security Review for Consumers,3/14/2018
Ithaca College Notice of Data Security Breach to Consumers,3/14/2018
Discover Security Breach Letter to Consumers,3/13/2018
2018-03-13 Rotary International Notice of Data Breach to Consumers,3/13/2018
Chalavoutis Associates LLC Letter to Consumers,3/9/2018
Academy Mortgage Corporation Notice of Security Incident to Consumers,3/9/2018
ABM Industries Incorporated Notice of Data Breach to Consumers,3/8/2018
Chopra Enterprises LLC Notice of Data Breach to Consumers,3/7/2018
CNU Online Holdings LLC Notice of Data Security Incident to Consumers,3/7/2018
California State University Fresno Notice of Data Breach to Consumers,3/6/2018
Interstate Plastics Inc Notice of Data Breach to Consumers,3/6/2018
ISS Solutions Important Notification Regarding Your Personal Information,3/6/2018
Intuit Inc Turbo Tax Security Review Investigation for Consumers,3/5/2018
Cary E Williams CPA SBN to Consumers,3/5/2018
ASI Construction SBN to Consumers,3/2/2018
St. Peter?s Surgery & Endoscopy Center SBN to Consumers,2/28/2018
Mercy Love County Hospital and Clinic SBN to Consumers,2/27/2018
Metro Wire Rope SBN to Consumers,2/27/2018
FastHealth Corporation SBN to Consumers,2/27/2018
Curtis Lumber Co SBN to Consumers _Redacted,2/26/2018
North 40 Outfitters SBN to Consumers,2/23/2018
Mueller and Co CPA SBN to Consumers,2/23/2018
LA Philharmonic SBN to Consumers,2/21/2018
TALX Corp ? Entergy SBN to Consumers,2/12/2018
Connecticut Airport Authority SBN to Consumers,2/12/2018
Corporate Employment Resources SBN to Consumers,2/9/2018
1st Mariner SBN to Consumers,2/5/2018
PAR Electrical Contractors SBN to Consumers,2/5/2018
Vermont Health Connect ? AHS SBN to Consumers,1/30/2018
RBC Royal Bank SBN to Consumer,1/26/2018
Pentair Aquatic Eco Systems SBN to Consumers,1/26/2018
"Southern National Bancorp of Virginia, Inc. SBN to Consumers",1/24/2018
VSA Partners SBN to Consumers,1/24/2018
Westminister Ingleside King Farm Presbyterian Retirement Communitites SBN to Consumers,1/19/2018
Monticello Central School District SBN to Consumers,1/17/2018
Hallmark Home Mortgage SBN to Consumers,1/12/2018
Jason?s Deli ? Deli Management Inc. SBN to Consumers,1/12/2018
Guaranteed Rate Inc SBN to Consumers,1/12/2018
Pharmerica Corporation SBN to Consumers,1/12/2018
Alton Lane SBN to Consumers,1/10/2018
Broward College SBN to Consumers,1/10/2018
talentReef SBN to Consumers,1/10/2018
Sabre Hospitality Service SBN to Consumers,1/9/2018
beautyblender ? Rea.deeming Beauty SBN to Consumers,1/5/2018
Northeast Arc SBN to Consumers,1/5/2018
The Valerie Fund SBN to Consumers,12/20/2017
Board of Pensions of the Presbyterian Church-USA SBN to Consumers,12/15/2017
Florida Power and Light ? TIO Networks USA SBN to Consumers,12/14/2017
IH Mississippi Valley Credit Union SBN to Consumers,12/13/2017
Pacific Gas and Electric SBN to Consumers,12/13/2017
The Whitehall Hotel SBN to Consumers,12/7/2017
AHS DVHA VHC SBN to Consumers,12/4/2017
JAM Paper & Envelope SBN to Consumers,12/1/2017
Grass Advantage LLC SBN to Consumersÿ,11/30/2017
Combat Brands LLC SBN to Consumers,11/29/2017
Bulletproof 360 Inc SBN to Consumers,11/27/2017
SallieMae SBN to Consumers,11/22/2017
Uber SBN to Consumers,11/22/2017
Baylor College of Medicine SBN to Consumers,11/21/2017
JRK Hotel Group Consumer Notice Letter to Consumers,11/17/2017
Saris Cycling Group SBN to Consumers,11/15/2017
Gallagher NAC SBN to Consumers,11/14/2017
ABM Industries Inc SBN to Consumers,11/14/2017
Intuit Turbo Tax SBN to Consumers,11/13/2017
InTouch Credit Union SBN to Consumers,11/8/2017
"Wilbraham, Lawler & Buba P.C. SBN to Consumers",11/6/2017
Agency of Human Services-DCF-ESD Notice of Data Breach to Consumers,10/23/2017
Peoples United Bank SBN to Consumers,2/16/2017
